french_word,caption_text,additional_topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1 mort,one dead in,,space,one dead in,,french_fire_impact,df2c1cc80da6d8ae597456f0f1c52ff3,french_fire_impact__df2c1cc80da6d8ae597456f0f1c52ff3
2morts,two dead in,,space,two dead in,,french_fire_impact,20a0d2293c99f388375d9ebdb0b6030b,french_fire_impact__20a0d2293c99f388375d9ebdb0b6030b
3morts,three dead in,,Diplomat,three dead in,,french_fire_impact,8df11a6e497610c983558fce365e7ec3,french_fire_impact__8df11a6e497610c983558fce365e7ec3
4morts,four dead in,,News,four dead in,,french_fire_impact,701b3898e43dc8b43a35b05feb9f967f,french_fire_impact__701b3898e43dc8b43a35b05feb9f967f
1 morts,one dead in,,Organization,one dead in,,french_fire_impact,df2c1cc80da6d8ae597456f0f1c52ff3,french_fire_impact__df2c1cc80da6d8ae597456f0f1c52ff3
2 morts,two dead in,,IndustryTerm,two dead in,,french_fire_impact,20a0d2293c99f388375d9ebdb0b6030b,french_fire_impact__20a0d2293c99f388375d9ebdb0b6030b
3 morts,three dead in,,Person,three dead in,,french_fire_impact,8df11a6e497610c983558fce365e7ec3,french_fire_impact__8df11a6e497610c983558fce365e7ec3
4 morts,four dead in,,Exec,four dead in,,french_fire_impact,701b3898e43dc8b43a35b05feb9f967f,french_fire_impact__701b3898e43dc8b43a35b05feb9f967f
une personne est morte,one dead in,,Refinery,one dead in,,french_fire_impact,df2c1cc80da6d8ae597456f0f1c52ff3,french_fire_impact__df2c1cc80da6d8ae597456f0f1c52ff3
deux personnes sont mortes,two dead in,,FTO,two dead in,,french_fire_impact,20a0d2293c99f388375d9ebdb0b6030b,french_fire_impact__20a0d2293c99f388375d9ebdb0b6030b
trois personnes sont mortes,three dead in,,DiplomaticFacilities,three dead in,,french_fire_impact,8df11a6e497610c983558fce365e7ec3,french_fire_impact__8df11a6e497610c983558fce365e7ec3
quatre personnes sont mortes,four dead in,,Shipping,four dead in,,french_fire_impact,701b3898e43dc8b43a35b05feb9f967f,french_fire_impact__701b3898e43dc8b43a35b05feb9f967f
une personne est décédée,one dead in,,CompanyKeyword,one dead in,,french_fire_impact,df2c1cc80da6d8ae597456f0f1c52ff3,french_fire_impact__df2c1cc80da6d8ae597456f0f1c52ff3
deux personnes sont décédées,two dead in,,ForeignMinister,two dead in,,french_fire_impact,20a0d2293c99f388375d9ebdb0b6030b,french_fire_impact__20a0d2293c99f388375d9ebdb0b6030b
trois personnes sont décédées,three dead in,,Legislator,three dead in,,french_fire_impact,8df11a6e497610c983558fce365e7ec3,french_fire_impact__8df11a6e497610c983558fce365e7ec3
quatre personnes sont décédées,four dead in,,Legislator,four dead in,,french_fire_impact,701b3898e43dc8b43a35b05feb9f967f,french_fire_impact__701b3898e43dc8b43a35b05feb9f967f
décède,one dead in,,LegislativeCommittee,one dead in,,french_fire_impact,df2c1cc80da6d8ae597456f0f1c52ff3,french_fire_impact__df2c1cc80da6d8ae597456f0f1c52ff3
décédée,one dead in,,LegislativeCommittee,one dead in,,french_fire_impact,df2c1cc80da6d8ae597456f0f1c52ff3,french_fire_impact__df2c1cc80da6d8ae597456f0f1c52ff3
un hospitalisé,one hospitalized due to,,IndustryTerm,one hospitalized due to,,french_fire_impact,81525e9e2356b876ea61246f48547da1,french_fire_impact__81525e9e2356b876ea61246f48547da1
deux hospitalisés,two hospitalized due to,,Media,two hospitalized due to,,french_fire_impact,70583e4eb01ec964307d0d592cd35506,french_fire_impact__70583e4eb01ec964307d0d592cd35506
trois hospitalisés,three hospitalized due to,,Consulates,three hospitalized due to,,french_fire_impact,8758d8becc9a0650b49a24d401e2973c,french_fire_impact__8758d8becc9a0650b49a24d401e2973c
quatre hospitalisés,four hospitalized due to,,AAEntity,four hospitalized due to,,french_fire_impact,8c50f3e2af4fb4111822296b5f10154d,french_fire_impact__8c50f3e2af4fb4111822296b5f10154d
une personne hospitalisée,one hospitalized due to,,Organization,one hospitalized due to,,french_fire_impact,81525e9e2356b876ea61246f48547da1,french_fire_impact__81525e9e2356b876ea61246f48547da1
deux personnes hospitalisées,two hospitalized due to,,ForeignMinistry,two hospitalized due to,,french_fire_impact,70583e4eb01ec964307d0d592cd35506,french_fire_impact__70583e4eb01ec964307d0d592cd35506
trois personnes hospitalisées,three hospitalized due to,,DiplomaticFacilities,three hospitalized due to,,french_fire_impact,8758d8becc9a0650b49a24d401e2973c,french_fire_impact__8758d8becc9a0650b49a24d401e2973c
quatre personnes hospitalisées,four hospitalized due to,,Shipping,four hospitalized due to,,french_fire_impact,8c50f3e2af4fb4111822296b5f10154d,french_fire_impact__8c50f3e2af4fb4111822296b5f10154d
2 transports,one hospitalized due to,,Organization,one hospitalized due to,,french_fire_impact,81525e9e2356b876ea61246f48547da1,french_fire_impact__81525e9e2356b876ea61246f48547da1
1 transport,two hospitalized due to,,Organization,two hospitalized due to,,french_fire_impact,70583e4eb01ec964307d0d592cd35506,french_fire_impact__70583e4eb01ec964307d0d592cd35506
3 transports,three hospitalized due to,,Wells,three hospitalized due to,,french_fire_impact,8758d8becc9a0650b49a24d401e2973c,french_fire_impact__8758d8becc9a0650b49a24d401e2973c
4 transports,four hospitalized due to,,ForeignMinistry,four hospitalized due to,,french_fire_impact,8c50f3e2af4fb4111822296b5f10154d,french_fire_impact__8c50f3e2af4fb4111822296b5f10154d
