german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
birrekoven,"Birrekoven  in Alfter, Germany",50.7304735,7.0110496,2,"Alfter, Germany",50.73941832,7.008885418,,ss,News,"Birrekoven  in Alfter, Germany",,german_fires_alfter_locations,789658c38c16763c03403ab69e18c3a3,german_fires_alfter_locations__789658c38c16763c03403ab69e18c3a3
olsdorf,"Olsdorf in Alfter, Germany",50.7353372,7.004012,2,,,,,u,Wells,"Olsdorf in Alfter, Germany",,german_fires_alfter_locations,a28d9af039ee78d0d5eeed6750c54398,german_fires_alfter_locations__a28d9af039ee78d0d5eeed6750c54398
gielsdorf,"Gielsdorf in Alfter, Germany",50.7266113,7.0235839,2,,,,,a,DiplomaticFacilities,"Gielsdorf in Alfter, Germany",,german_fires_alfter_locations,9d9bdb2eda1abcbe7207aa6fd23d4415,german_fires_alfter_locations__9d9bdb2eda1abcbe7207aa6fd23d4415
oedekoven,"Oedekoven in Alfter, Germany",50.7147902,7.0208634,2,,,,,o,Pipeline,"Oedekoven in Alfter, Germany",,german_fires_alfter_locations,54b5d033f8a4e74aa5c356cb1951f203,german_fires_alfter_locations__54b5d033f8a4e74aa5c356cb1951f203
impekoven,"Impekoven  in Alfter, Germany",50.715818,7.011225,2,,,,,,News,"Impekoven  in Alfter, Germany",,german_fires_alfter_locations,0191ba52e3a67f2837eed53c16fcea1a,german_fires_alfter_locations__0191ba52e3a67f2837eed53c16fcea1a
nettekoven,"Nettekoven in Alfter, Germany",50.7092942,7.0204235,2,,,,,,Wells,"Nettekoven in Alfter, Germany",,german_fires_alfter_locations,d84ebe306097d53d61d7c7fc2c89f7f0,german_fires_alfter_locations__d84ebe306097d53d61d7c7fc2c89f7f0
ramelshoven,"Ramelshoven in Alfter, Germany",50.7039781,7.0139746,2,,,,,,IndustryTerm,"Ramelshoven in Alfter, Germany",,german_fires_alfter_locations,e273ea974f56a0d104b71b1f80077f56,german_fires_alfter_locations__e273ea974f56a0d104b71b1f80077f56
witterschlick,"Witterschlick in Alfter, Germany",50.6927035,7.0252532,2,,,,,,IndustryTerm,"Witterschlick in Alfter, Germany",,german_fires_alfter_locations,53c92e372c283de5b2e3e8de16dda5aa,german_fires_alfter_locations__53c92e372c283de5b2e3e8de16dda5aa
volmershoven,"Volmershoven in Alfter, Germany",50.6794632,7.0178377,2,,,,,,Pipeline,"Volmershoven in Alfter, Germany",,german_fires_alfter_locations,ce5aad70fa73c4bc37d2b6234db00493,german_fires_alfter_locations__ce5aad70fa73c4bc37d2b6234db00493
heidgen,"Heidgen in Alfter, Germany",50.6791715,7.0226697,2,,,,,,News,"Heidgen in Alfter, Germany",,german_fires_alfter_locations,42fda2aa0a421b4c0f80d2b2c3247a9d,german_fires_alfter_locations__42fda2aa0a421b4c0f80d2b2c3247a9d
adolphsgasse,"Adolphsgasse in Alfter, Germany",50.6914643,7.0238773,1,,,,,,Diplomat,"Adolphsgasse in Alfter, Germany",,german_fires_alfter_locations,136ae0cf06f7901013f695eaa03b2187,german_fires_alfter_locations__136ae0cf06f7901013f695eaa03b2187
ahornweg,"Ahornweg in Alfter, Germany",50.7014545,7.0185564,1,,,,,,IndustryTerm,"Ahornweg in Alfter, Germany",,german_fires_alfter_locations,e33ce7ed22739619b573d9a03c1f5d5e,german_fires_alfter_locations__e33ce7ed22739619b573d9a03c1f5d5e
ahrweg,"Ahrweg in Alfter, Germany",50.7105477,7.0194314,1,,,,,,Person,"Ahrweg in Alfter, Germany",,german_fires_alfter_locations,d598b04a5755a7b6430210cdf83b227b,german_fires_alfter_locations__d598b04a5755a7b6430210cdf83b227b
alexander-bell-strasse,"Alexander-Bell-Strasse in Alfter, Germany",50.7557674,7.030466,1,,,,,,AAEntity,"Alexander-Bell-Strasse in Alfter, Germany",,german_fires_alfter_locations,5f77131809149e7d814ece710d6ca7c1,german_fires_alfter_locations__5f77131809149e7d814ece710d6ca7c1
alfterer strasse,"Alfterer Strasse in Alfter, Germany",50.7229421,7.0268232,1,,,,,,Wells,"Alfterer Strasse in Alfter, Germany",,german_fires_alfter_locations,1611cab73a81509641c9e5c46b76e2e8,german_fires_alfter_locations__1611cab73a81509641c9e5c46b76e2e8
almaweg,"Almaweg in Alfter, Germany",50.7156221,7.0302217,1,,,,,,AAEntity,"Almaweg in Alfter, Germany",,german_fires_alfter_locations,a143560eb0d1cb52cd86c88bcdc08549,german_fires_alfter_locations__a143560eb0d1cb52cd86c88bcdc08549
alter heerweg,"Alter Heerweg in Alfter, Germany",50.7182125,7.0393236,1,,,,,,Wells,"Alter Heerweg in Alfter, Germany",,german_fires_alfter_locations,a27764f9b26a7095dcd2a78e6f84dfbb,german_fires_alfter_locations__a27764f9b26a7095dcd2a78e6f84dfbb
am birkenhof,"Am Birkenhof in Alfter, Germany",50.6982222,7.0221372,1,,,,,,Pipeline,"Am Birkenhof in Alfter, Germany",,german_fires_alfter_locations,4eac26f46a617f25c33b60aab9ab542f,german_fires_alfter_locations__4eac26f46a617f25c33b60aab9ab542f
am bockshof,"Am Bockshof in Alfter, Germany",50.6827457,7.0195171,1,,,,,,Legislator,"Am Bockshof in Alfter, Germany",,german_fires_alfter_locations,8e9f4f1f971335c10a0528dd82451b8c,german_fires_alfter_locations__8e9f4f1f971335c10a0528dd82451b8c
am burggarten,"Am Burggarten in Alfter, Germany",50.7020876,7.0136117,1,,,,,,Exec,"Am Burggarten in Alfter, Germany",,german_fires_alfter_locations,f71ba02d40bf80f004efb829472c611d,german_fires_alfter_locations__f71ba02d40bf80f004efb829472c611d
am bahnchen,"Am Bahnchen in Alfter, Germany",50.7394671,7.0252748,1,,,,,,IndustryTerm,"Am Bahnchen in Alfter, Germany",,german_fires_alfter_locations,72a44a9cfe6345d0c837ba767b292d70,german_fires_alfter_locations__72a44a9cfe6345d0c837ba767b292d70
am domplatz,"Am Domplatz in Alfter, Germany",50.7307507,7.0055162,1,,,,,,Legislator,"Am Domplatz in Alfter, Germany",,german_fires_alfter_locations,a4d0e2f464c4df55a857e7ba5b4f69f6,german_fires_alfter_locations__a4d0e2f464c4df55a857e7ba5b4f69f6
am gartchen,"Am Gartchen in Alfter, Germany",50.6920174,7.0169501,1,,,,,,CompanyKeyword,"Am Gartchen in Alfter, Germany",,german_fires_alfter_locations,08b5198c31a98fc8e7cd2864d53a8639,german_fires_alfter_locations__08b5198c31a98fc8e7cd2864d53a8639
am hardtbach,"Am Hardtbach in Alfter, Germany",50.7085068,7.0204776,1,,,,,,IndustryTerm,"Am Hardtbach in Alfter, Germany",,german_fires_alfter_locations,06e27a62103b9f9e3fbef33746cf6c57,german_fires_alfter_locations__06e27a62103b9f9e3fbef33746cf6c57
am heiligenhaus,"Am Heiligenhaus in Alfter, Germany",50.7344877,7.0139664,1,,,,,,Exec,"Am Heiligenhaus in Alfter, Germany",,german_fires_alfter_locations,6f6a2b1ff4147be626cefa02f93ce6bc,german_fires_alfter_locations__6f6a2b1ff4147be626cefa02f93ce6bc
am herkenbusch,"Am Herkenbusch in Alfter, Germany",50.7162154,7.009972,1,,,,,,LegislativeCommittee,"Am Herkenbusch in Alfter, Germany",,german_fires_alfter_locations,b459aaeaca898b5eae1ce29f4e50197e,german_fires_alfter_locations__b459aaeaca898b5eae1ce29f4e50197e
am herrenwingert,"Am Herrenwingert in Alfter, Germany",50.7384598,7.0089675,1,,,,,,Organization,"Am Herrenwingert in Alfter, Germany",,german_fires_alfter_locations,ccd4413790af6a77bdf7803d04d87a8b,german_fires_alfter_locations__ccd4413790af6a77bdf7803d04d87a8b
am junker,"Am Junker in Alfter, Germany",50.7263449,7.0194382,1,,,,,,News,"Am Junker in Alfter, Germany",,german_fires_alfter_locations,9887945d71f151f628603eabc873514c,german_fires_alfter_locations__9887945d71f151f628603eabc873514c
am kalkofen,"Am Kalkofen in Alfter, Germany",50.7488351,7.0221515,1,,,,,,Pipeline,"Am Kalkofen in Alfter, Germany",,german_fires_alfter_locations,313139875a2be4455e5d660d5ba68547,german_fires_alfter_locations__313139875a2be4455e5d660d5ba68547
am lambertushof,"Am Lambertushof in Alfter, Germany",50.6963203,7.0229273,1,,,,,,space,"Am Lambertushof in Alfter, Germany",,german_fires_alfter_locations,7f42c7d425e70f5bcd184bf6ab7d69a8,german_fires_alfter_locations__7f42c7d425e70f5bcd184bf6ab7d69a8
am lindchen,"Am Lindchen in Alfter, Germany",50.7342828,7.0195915,1,,,,,,Media,"Am Lindchen in Alfter, Germany",,german_fires_alfter_locations,47e4fb91e7237c7b84f7b9e38f4dc02b,german_fires_alfter_locations__47e4fb91e7237c7b84f7b9e38f4dc02b
am missionskreuz,"Am Missionskreuz in Alfter, Germany",50.6949978,7.0266863,1,,,,,,Consulates,"Am Missionskreuz in Alfter, Germany",,german_fires_alfter_locations,5ef413a35f3ca256d1e183653abd3d67,german_fires_alfter_locations__5ef413a35f3ca256d1e183653abd3d67
am mothensteeg,"Am Mothensteeg in Alfter, Germany",50.7340039,7.0130731,1,,,,,,Consulates,"Am Mothensteeg in Alfter, Germany",,german_fires_alfter_locations,86fd36cdfc198d1476a454a39ba514cc,german_fires_alfter_locations__86fd36cdfc198d1476a454a39ba514cc
