german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
innenstadt,"Innenstadt in Bad Hersfeld, Germany",50.8701345,9.7019675,2,"Bad Hersfeld, Germany",50.86924545,9.705821571,Refinery,"Innenstadt in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,3bce5ee4a37f596cbe467e0f593bd7f5,german_fires_badhersfeld_locations__3bce5ee4a37f596cbe467e0f593bd7f5
allmershausen,"Allmershausen in Bad Hersfeld, Germany",50.8863682,9.661747,2,,,,Exec,"Allmershausen in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,3ba47e55447c7c7faedafabbccb35b33,german_fires_badhersfeld_locations__3ba47e55447c7c7faedafabbccb35b33
asbach,"Asbach in Bad Hersfeld, Germany",50.8324518,9.6667143,2,,,,space,"Asbach in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,e470469b6e6ddf0042bdc465e4d7248a,german_fires_badhersfeld_locations__e470469b6e6ddf0042bdc465e4d7248a
beiershausen,"Beiershausen in Bad Hersfeld, Germany",50.8257718,9.6484517,2,,,,Wells,"Beiershausen in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,c2dec11cb455fe8f3f09847dbe53e6ff,german_fires_badhersfeld_locations__c2dec11cb455fe8f3f09847dbe53e6ff
eichhof,"Eichhof in Bad Hersfeld, Germany",50.8494618,9.6752209,2,,,,DiplomaticFacilities,"Eichhof in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,fb0c4b86f2d5b622b2741d94a00f0a2c,german_fires_badhersfeld_locations__fb0c4b86f2d5b622b2741d94a00f0a2c
heenes,"Heenes in Bad Hersfeld, Germany",50.8928336,9.6747903,2,,,,Consulates,"Heenes in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,70f4c48d68226ac4448e56cff0f8b328,german_fires_badhersfeld_locations__70f4c48d68226ac4448e56cff0f8b328
hohe luft,"Hohe Luft in Bad Hersfeld, Germany",50.863001,9.733643,2,,,,Media,"Hohe Luft in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,0014bf3fdf8069a2f0b674a61a5ce067,german_fires_badhersfeld_locations__0014bf3fdf8069a2f0b674a61a5ce067
johannesberg,"Johannesberg in Bad Hersfeld, Germany",50.8452361,9.7022147,2,,,,IndustryTerm,"Johannesberg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,39b25a91a9580bbd0da8126166477675,german_fires_badhersfeld_locations__39b25a91a9580bbd0da8126166477675
kathus,"Kathus in Bad Hersfeld, Germany",50.8770098,9.769493,2,,,,Exec,"Kathus in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,d76cc029b9caab9d2804a769a90c9c31,german_fires_badhersfeld_locations__d76cc029b9caab9d2804a769a90c9c31
kohlhausen,"Kohlhausen in Bad Hersfeld, Germany",50.831687,9.6798091,2,,,,Legislator,"Kohlhausen in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,8da9b18ca1d42061c7de09527d5804c0,german_fires_badhersfeld_locations__8da9b18ca1d42061c7de09527d5804c0
petersberg,"Petersberg in Bad Hersfeld, Germany",50.8633976,9.7439686,2,,,,FTO,"Petersberg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,f7fc289b2728bc075cfdaff6541a8695,german_fires_badhersfeld_locations__f7fc289b2728bc075cfdaff6541a8695
sorga,"Sorga in Bad Hersfeld, Germany",50.8686458,9.7596368,2,,,,AAEntity,"Sorga in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,282b154d242f549a271773158d68cc76,german_fires_badhersfeld_locations__282b154d242f549a271773158d68cc76
abt-michael-str.,"Abt-Michael-Strasse in Bad Hersfeld, Germany",50.866406,9.7106254,1,,,,Keyphrase,"Abt-Michael-Strasse in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,06ad63c79ba5ac08a4ebf11b1b119fab,german_fires_badhersfeld_locations__06ad63c79ba5ac08a4ebf11b1b119fab
abteiweg,"Abteiweg in Bad Hersfeld, Germany",50.8658917,9.7016985,1,,,,CompanyKeyword,"Abteiweg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,d2e75cadc1b71cdad18c13ac5e596132,german_fires_badhersfeld_locations__d2e75cadc1b71cdad18c13ac5e596132
ahornweg,"Ahornweg in Bad Hersfeld, Germany",50.8501433,9.6991252,1,,,,Keyphrase,"Ahornweg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,0f401479cab23bfe25bb9c5c4b911cdb,german_fires_badhersfeld_locations__0f401479cab23bfe25bb9c5c4b911cdb
akazienweg,"Akazienweg in Bad Hersfeld, Germany",50.8519081,9.7071236,1,,,,DiplomaticFacilities,"Akazienweg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,08f890b8feabb097a496c4e50741476e,german_fires_badhersfeld_locations__08f890b8feabb097a496c4e50741476e
