german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
dornholzhausen,"Dornholzhausen in Bad Homburg, Germany",50.2402203,8.5859599,2,"Bad Homburg, Germany",50.22751684,8.605234722,,,,,Consulates,"Dornholzhausen in Bad Homburg, Germany",,german_fires_badhomburg_locations,e0efc8ad1cfd395537ccb1c5980d72b6,german_fires_badhomburg_locations__e0efc8ad1cfd395537ccb1c5980d72b6
gonzenheim,"Gonzenheim in Bad Homburg, Germany",50.2209681,8.6406999,2,,,,,,,,Pipeline,"Gonzenheim in Bad Homburg, Germany",,german_fires_badhomburg_locations,67ecc39afe3c515b7f5911902fd0e267,german_fires_badhomburg_locations__67ecc39afe3c515b7f5911902fd0e267
kirdorf,"Kirdorf in Bad Homburg, Germany",50.243073,8.604706,2,,,,,,,,Diplomat,"Kirdorf in Bad Homburg, Germany",,german_fires_badhomburg_locations,5a6f1990c67a157050cb24cec4587249,german_fires_badhomburg_locations__5a6f1990c67a157050cb24cec4587249
ober-erlenbach,"Ober-Erlenbach in Bad Homburg, Germany",50.2259547,8.6787291,2,,,,,,,,Diplomat,"Ober-Erlenbach in Bad Homburg, Germany",,german_fires_badhomburg_locations,f6edfe0fa4e922fdbbc489064284417c,german_fires_badhomburg_locations__f6edfe0fa4e922fdbbc489064284417c
ober-eschbach,"Ober-Eschbach in Bad Homburg, Germany",50.2161351,8.6487685,2,,,,,,,,AAEntity,"Ober-Eschbach in Bad Homburg, Germany",,german_fires_badhomburg_locations,1301ee14a8a86a0b818ac88cd8bac0ba,german_fires_badhomburg_locations__1301ee14a8a86a0b818ac88cd8bac0ba
ackerstrasse,"Ackerstrasse in Bad Homburg, Germany",50.2180595,8.629158,1,,,,,,,ss,Organization,"Ackerstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,a737a27d3921517b4f54ddcc5c2a2bc9,german_fires_badhomburg_locations__a737a27d3921517b4f54ddcc5c2a2bc9
adelhartstrasse,"Adelhartstrasse in Bad Homburg, Germany",50.2152058,8.6497573,1,,,,,,,u,CompanyKeyword,"Adelhartstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,b376c70166b422909ebe69b010a74731,german_fires_badhomburg_locations__b376c70166b422909ebe69b010a74731
adolf-rudiger-strasse,"Adolf-Rudiger-Strasse in Bad Homburg, Germany",50.2238198,8.6133054,1,,,,,,,a,Exec,"Adolf-Rudiger-Strasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,9a30ab3a6fea72779734583fc15fa2b2,german_fires_badhomburg_locations__9a30ab3a6fea72779734583fc15fa2b2
ahlweg,"Ahlweg in Bad Homburg, Germany",50.2232938,8.6896655,1,,,,,,,o,Consulates,"Ahlweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,63c055a3c42a08dcfb3bed8819923ac8,german_fires_badhomburg_locations__63c055a3c42a08dcfb3bed8819923ac8
ahornweg,"Ahornweg in Bad Homburg, Germany",50.2206188,8.6321055,1,,,,,,,,Consulates,"Ahornweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,0e50260fa27ff5307d8652624077f71b,german_fires_badhomburg_locations__0e50260fa27ff5307d8652624077f71b
akazienstrasse,"Akazienstrasse in Bad Homburg, Germany",50.2292399,8.6769844,1,,,,,,,,Organization,"Akazienstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,1b9358e870eaa5dc1892e3624ece0042,german_fires_badhomburg_locations__1b9358e870eaa5dc1892e3624ece0042
alemannenweg,"Alemannenweg in Bad Homburg, Germany",50.2148749,8.6435231,1,,,,,,,,Pipeline,"Alemannenweg in Bad Homburg, Germany",,german_fires_badhomburg_locations,5d8c0b51f1eb1d9dd2c5da4933114fa3,german_fires_badhomburg_locations__5d8c0b51f1eb1d9dd2c5da4933114fa3
alolfstrasse,"Alolfstrasse in Bad Homburg, Germany",50.2370973,8.6112477,1,,,,,,,,Wells,"Alolfstrasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,2b328329ca457906459b48df51bdd769,german_fires_badhomburg_locations__2b328329ca457906459b48df51bdd769
alt gonzenheim,"Alt Gonzenheim in Bad Homburg, Germany",50.2212122,8.6410317,1,,,,,,,,AAEntity,"Alt Gonzenheim in Bad Homburg, Germany",,german_fires_badhomburg_locations,0afbe40ab305e9aae3c0f8a15090e52f,german_fires_badhomburg_locations__0afbe40ab305e9aae3c0f8a15090e52f
alte mauergasse,"Alte Mauergasse in Bad Homburg, Germany",50.23113,8.6097954,1,,,,,,,,Organization,"Alte Mauergasse in Bad Homburg, Germany",,german_fires_badhomburg_locations,8ac272fffd3a4d36e3a2318162a908f1,german_fires_badhomburg_locations__8ac272fffd3a4d36e3a2318162a908f1
