german_text,caption_text,lat,lon,ranking,default location,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
innenstadt,"Innenstadt in Bautzen, Germany",51.1811036,14.4236361,2,"Bautzen, Germany",14.42732728,,ForeignMinistry,"Innenstadt in Bautzen, Germany",,german_fires_bautzen_locations,82daa8e8f77d1ebfdebb28e37034975c,german_fires_bautzen_locations__82daa8e8f77d1ebfdebb28e37034975c
nordostring,"Nordostring in Bautzen, Germany",51.1777414,14.4350919,2,,,ss,LegislativeCommittee,"Nordostring in Bautzen, Germany",,german_fires_bautzen_locations,d5e0342cfa605099ff8af51ed70f0d4d,german_fires_bautzen_locations__d5e0342cfa605099ff8af51ed70f0d4d
gesundbrunnen,"Gesundbrunnen in Bautzen, Germany",51.1898188,14.4424379,2,,,u,Diplomat,"Gesundbrunnen in Bautzen, Germany",,german_fires_bautzen_locations,43dad2038ec3d4e883afb8d9707af7f8,german_fires_bautzen_locations__43dad2038ec3d4e883afb8d9707af7f8
westvorstadt,"Westvorstadt in Bautzen, Germany",51.1796506,14.4236467,2,,,a,News,"Westvorstadt in Bautzen, Germany",,german_fires_bautzen_locations,a531de800a39efbbb2d9128b036777f3,german_fires_bautzen_locations__a531de800a39efbbb2d9128b036777f3
sudvorstadt,"Sudvorstadt in Bautzen, Germany",51.1814155,14.4282636,2,,,o,FTO,"Sudvorstadt in Bautzen, Germany",,german_fires_bautzen_locations,e4b186ca57f6d1942b0b15b1942398f5,german_fires_bautzen_locations__e4b186ca57f6d1942b0b15b1942398f5
ostvorstadt,"Ostvorstadt in Bautzen, Germany",51.1738479,14.4495187,2,,,,FTO,"Ostvorstadt in Bautzen, Germany",,german_fires_bautzen_locations,fd85f37a043442ee23291c9588bd7641,german_fires_bautzen_locations__fd85f37a043442ee23291c9588bd7641
teichnitz,"Teichnitz in Bautzen, Germany",51.2003189,14.4120345,2,,,,Keyphrase,"Teichnitz in Bautzen, Germany",,german_fires_bautzen_locations,86ac5dd80f4873ceaa12c20b8e12f2c6,german_fires_bautzen_locations__86ac5dd80f4873ceaa12c20b8e12f2c6
burk,"Burk in Bautzen, Germany",51.1987827,14.4614281,2,,,,ForeignMinister,"Burk in Bautzen, Germany",,german_fires_bautzen_locations,c76add70d062b4f8282e57e294126e74,german_fires_bautzen_locations__c76add70d062b4f8282e57e294126e74
niederkaina,"Niederkaina in Bautzen, Germany",51.1913116,14.4783285,2,,,,AAEntity,"Niederkaina in Bautzen, Germany",,german_fires_bautzen_locations,433dce620bee38cf2ff061d66c79e481,german_fires_bautzen_locations__433dce620bee38cf2ff061d66c79e481
nadelwitz,"Nadelwitz in Bautzen, Germany",51.18932,14.41887,2,,,,DiplomaticFacilities,"Nadelwitz in Bautzen, Germany",,german_fires_bautzen_locations,cfdbc52ff4188bbd51a4da51911598b8,german_fires_bautzen_locations__cfdbc52ff4188bbd51a4da51911598b8
auritz,"Auritz in Bautzen, Germany",51.1687823,14.4664227,2,,,,Refinery,"Auritz in Bautzen, Germany",,german_fires_bautzen_locations,1e800dac37842a7763eb4422ee5ea92d,german_fires_bautzen_locations__1e800dac37842a7763eb4422ee5ea92d
oberkaina,"Oberkaina in Bautzen, Germany",51.1556412,14.4329909,2,,,,Wells,"Oberkaina in Bautzen, Germany",,german_fires_bautzen_locations,d196d78c383944e5e1441d4a5980ccee,german_fires_bautzen_locations__d196d78c383944e5e1441d4a5980ccee
stiebitz,"Stiebitz in Bautzen, Germany",51.1796432,14.3944832,2,,,,CompanyKeyword,"Stiebitz in Bautzen, Germany",,german_fires_bautzen_locations,d92a90da07a9b74fe2f8c346c7b46acf,german_fires_bautzen_locations__d92a90da07a9b74fe2f8c346c7b46acf
salzenforst,"Salzenforst in Bautzen, Germany",51.1972545,14.3725649,2,,,,Organization,"Salzenforst in Bautzen, Germany",,german_fires_bautzen_locations,1115339e61d417ccf148911c70114d52,german_fires_bautzen_locations__1115339e61d417ccf148911c70114d52
bolbritz,"Bolbritz in Bautzen, Germany",51.2017648,14.3418211,2,,,,News,"Bolbritz in Bautzen, Germany",,german_fires_bautzen_locations,068814b924dba3b55736413f0a3a93fc,german_fires_bautzen_locations__068814b924dba3b55736413f0a3a93fc
bloaschutz,"Bloaschutz in Bautzen, Germany",51.1915892,14.35115,2,,,,AAEntity,"Bloaschutz in Bautzen, Germany",,german_fires_bautzen_locations,96874f2e6411238bd32233a7d0f0ba17,german_fires_bautzen_locations__96874f2e6411238bd32233a7d0f0ba17
doberkitz,"Doberkitz in Bautzen, Germany",51.1872816,14.3375491,2,,,,Refinery,"Doberkitz in Bautzen, Germany",,german_fires_bautzen_locations,f539503dbbdafe49fdd892eed01c9675,german_fires_bautzen_locations__f539503dbbdafe49fdd892eed01c9675
loschau,"Loschau in Bautzen, Germany",51.2039787,14.3321043,2,,,,DiplomaticFacilities,"Loschau in Bautzen, Germany",,german_fires_bautzen_locations,0bf19e2cc1f9c0800f643f601bf40dd0,german_fires_bautzen_locations__0bf19e2cc1f9c0800f643f601bf40dd0
oberuhna,"Oberuhna in Bautzen, Germany",51.2054102,14.3527164,2,,,,DiplomaticFacilities,"Oberuhna in Bautzen, Germany",,german_fires_bautzen_locations,4823f6d999403b3ef374feb285444dd6,german_fires_bautzen_locations__4823f6d999403b3ef374feb285444dd6
schmochtitz,"Schmochtitz in Bautzen, Germany",51.2139956,14.3614746,2,,,,Diplomat,"Schmochtitz in Bautzen, Germany",,german_fires_bautzen_locations,c4e31b170e5d9c6f3af6bebebb24051f,german_fires_bautzen_locations__c4e31b170e5d9c6f3af6bebebb24051f
temritz,"Temritz in Bautzen, Germany",51.1962072,14.3942525,2,,,,Legislator,"Temritz in Bautzen, Germany",,german_fires_bautzen_locations,a37b88f5b9bc5f2ef63c1b737dc8951b,german_fires_bautzen_locations__a37b88f5b9bc5f2ef63c1b737dc8951b
grosswelka,"Grosswelka in Bautzen, Germany",51.211106,14.3845686,2,,,,Refinery,"Grosswelka in Bautzen, Germany",,german_fires_bautzen_locations,0d411b8bd71305765747c196f8f6f92c,german_fires_bautzen_locations__0d411b8bd71305765747c196f8f6f92c
kleinwelka,"Kleinwelka in Bautzen, Germany",51.2109535,14.3911157,2,,,,Person,"Kleinwelka in Bautzen, Germany",,german_fires_bautzen_locations,9eb72c3a4a99325e3150c3dbcfb45049,german_fires_bautzen_locations__9eb72c3a4a99325e3150c3dbcfb45049
kleinseidau,"Kleinseidau in Bautzen, Germany",51.2066329,14.3944262,2,,,,space,"Kleinseidau in Bautzen, Germany",,german_fires_bautzen_locations,8b6ce565a5d205b12393539dbdf2e227,german_fires_bautzen_locations__8b6ce565a5d205b12393539dbdf2e227
