german_text,caption_text,lat,lon,ranking,default location,.1,default_lon,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
schildgen,"Schildgen in Bergisch Gladbach, Germany",51.017332,7.0813677,2,"Bergisch Gladbach, Germany",,7.124020919,,Consulates,"Schildgen in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,7ffe2f9066737e441c090db38f06c196,german_fires_bergisch_gladbach_locations__7ffe2f9066737e441c090db38f06c196
katterbach,"Katterbach in Bergisch Gladbach, Germany",51.0105766,7.0828471,2,,,,,Media,"Katterbach in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,9d22c38e2d0dbe71ba64ef086fa3d9bd,german_fires_bergisch_gladbach_locations__9d22c38e2d0dbe71ba64ef086fa3d9bd
nussbaum,"Nussbaum in Bergisch Gladbach, Germany",51.0068071,7.1047624,2,,,,,Shipping,"Nussbaum in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,25caea99469fd267c55c3a7a8b898d3e,german_fires_bergisch_gladbach_locations__25caea99469fd267c55c3a7a8b898d3e
paffrath,"Paffrath in Bergisch Gladbach, Germany",50.9989464,7.1002725,2,,,,,Media,"Paffrath in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,91d42adaf2f2a1bfc026cff970ec8a65,german_fires_bergisch_gladbach_locations__91d42adaf2f2a1bfc026cff970ec8a65
hand,"Hand in Bergisch Gladbach, Germany",50.992714,7.0995179,2,,,,,Exec,"Hand in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,2ce675f4580dc0e7e3cf0b460f918047,german_fires_bergisch_gladbach_locations__2ce675f4580dc0e7e3cf0b460f918047
stadtmitte,"Stadtmitte in Bergisch Gladbach, Germany",50.9912809,7.1300567,2,,,,,Legislator,"Stadtmitte in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,d3d46def31b55c7b910f2614eb3d65e2,german_fires_bergisch_gladbach_locations__d3d46def31b55c7b910f2614eb3d65e2
hebborn,"Hebborn in Bergisch Gladbach, Germany",51.0042632,7.1301133,2,,,,,FTO,"Hebborn in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,1e2bc5e3fde36ef2bd3b8e86fb7d8ae6,german_fires_bergisch_gladbach_locations__1e2bc5e3fde36ef2bd3b8e86fb7d8ae6
heidkamp,"Heidkamp in Bergisch Gladbach, Germany",50.9801209,7.1374474,2,,,,,News,"Heidkamp in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,2b37df9ff1a092ea5cc52d8d327df9a3,german_fires_bergisch_gladbach_locations__2b37df9ff1a092ea5cc52d8d327df9a3
gronau,"Gronau in Bergisch Gladbach, Germany",50.9845155,7.1137836,2,,,,,space,"Gronau in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,e3e81282b7b0a1c33125faef072fea3f,german_fires_bergisch_gladbach_locations__e3e81282b7b0a1c33125faef072fea3f
romaney,"Romaney in Bergisch Gladbach, Germany",51.0065439,7.157255,2,,,,,Legislator,"Romaney in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,00f0f66f30456f9daca936e6d16a7c24,german_fires_bergisch_gladbach_locations__00f0f66f30456f9daca936e6d16a7c24
herrenstrunden,"Herrenstrunden in Bergisch Gladbach, Germany",51.0055877,7.1781297,2,,,,,ForeignMinister,"Herrenstrunden in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,441c66b0e514abb87a34742cbfdadada,german_fires_bergisch_gladbach_locations__441c66b0e514abb87a34742cbfdadada
sand,"Sand in Bergisch Gladbach, Germany",50.9869063,7.1531384,2,,,,,space,"Sand in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,59676f51eab0d251cc40c95209b98e20,german_fires_bergisch_gladbach_locations__59676f51eab0d251cc40c95209b98e20
herkenrath,"Herkenrath in Bergisch Gladbach, Germany",50.9883084,7.1927262,2,,,,,Consulates,"Herkenrath in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,b516daca7619ebcb7785fb63dc4cfde0,german_fires_bergisch_gladbach_locations__b516daca7619ebcb7785fb63dc4cfde0
asselborn,"Asselborn in Bergisch Gladbach, Germany",50.9970392,7.1945651,2,,,,,ForeignMinistry,"Asselborn in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,130665af160ff59b43f20c59f8f5b56b,german_fires_bergisch_gladbach_locations__130665af160ff59b43f20c59f8f5b56b
barbroich,"Barbroich  in Bergisch Gladbach, Germany",50.9831651,7.2243947,2,,,,,FTO,"Barbroich  in Bergisch Gladbach, Germany",,german_fires_bergisch_gladbach_locations,ef2984153d0dd024043d464c72db66b6,german_fires_bergisch_gladbach_locations__ef2984153d0dd024043d464c72db66b6
