german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aachener strasse,"Aachener Strasse in Berlin, Germany",52.4814493,13.3189377,1,"Berlin, Germany",52.52096863,13.4034395,,,,,Consulates,"Aachener Strasse in Berlin, Germany",,german_fires_berlin_locations,b5667a10785573f8d2f3e14dabee931e,german_fires_berlin_locations__b5667a10785573f8d2f3e14dabee931e
aalemannufer,"Aalemannufer in Berlin, Germany",52.5731282,13.2186147,1,,,,,,,ss,Person,"Aalemannufer in Berlin, Germany",,german_fires_berlin_locations,1a136abcb197755694699a2381ea9474,german_fires_berlin_locations__1a136abcb197755694699a2381ea9474
aalesunder strasse,"Aalesunder Strasse in Berlin, Germany",52.5554941,13.4077031,1,,,,,,,u,space,"Aalesunder Strasse in Berlin, Germany",,german_fires_berlin_locations,6a0e9aa32f6f89927b93478ff36ed6f2,german_fires_berlin_locations__6a0e9aa32f6f89927b93478ff36ed6f2
aalstieg,"Aalstieg in Berlin, Germany",52.4353359,13.6908451,1,,,,,,,a,FTO,"Aalstieg in Berlin, Germany",,german_fires_berlin_locations,e1689c1e8eddf67e06e0229b2cdf6c11,german_fires_berlin_locations__e1689c1e8eddf67e06e0229b2cdf6c11
aarauer strasse,"Aarauer Strasse in Berlin, Germany",52.4258362,13.2903645,1,,,,,,,o,Media,"Aarauer Strasse in Berlin, Germany",,german_fires_berlin_locations,68876ffe8b0a240445610e0c768ad8b0,german_fires_berlin_locations__68876ffe8b0a240445610e0c768ad8b0
aarberger strasse,"Aarberger Strasse in Berlin, Germany",52.4254044,13.3008282,1,,,,,,,,AAEntity,"Aarberger Strasse in Berlin, Germany",,german_fires_berlin_locations,3de773051edd3d2316b3edde06d9bbff,german_fires_berlin_locations__3de773051edd3d2316b3edde06d9bbff
aaron-bernstein-platz,"Aaron-Bernstein-Platz in Berlin, Germany",52.5096488,13.3759441,1,,,,,,,,ForeignMinistry,"Aaron-Bernstein-Platz in Berlin, Germany",,german_fires_berlin_locations,dc6ed8716fef255d10a37e7ffe64aa86,german_fires_berlin_locations__dc6ed8716fef255d10a37e7ffe64aa86
abajstrasse,"Abajstrasse in Berlin, Germany",52.5903316,13.3918658,1,,,,,,,,Legislator,"Abajstrasse in Berlin, Germany",,german_fires_berlin_locations,9a6e98cb307527e0f80478feecb6acc5,german_fires_berlin_locations__9a6e98cb307527e0f80478feecb6acc5
abbé-lemire-weg,"Abbé-Lemire-Weg in Berlin, Germany",52.5200066,13.404954,1,,,,,,,,News,"Abbé-Lemire-Weg in Berlin, Germany",,german_fires_berlin_locations,f8ff8196be3805c7d80c57e801ded512,german_fires_berlin_locations__f8ff8196be3805c7d80c57e801ded512
abbestrasse,"Abbestrasse in Berlin, Germany",52.5167095,13.321157,1,,,,,,,,AAEntity,"Abbestrasse in Berlin, Germany",,german_fires_berlin_locations,bba8813066789f1a8c914d111e5a346e,german_fires_berlin_locations__bba8813066789f1a8c914d111e5a346e
