german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alt garge,"Alt Garge in Bleckede, Germany",53.2630803,10.7910853,1,"Bleckede, Germany",53.28708097,10.73251588,FTO,"Alt Garge in Bleckede, Germany",,german_fires_bleckede_locations,729d9a0cdcba94dd9ca427ffe9e9ee8b,german_fires_bleckede_locations__729d9a0cdcba94dd9ca427ffe9e9ee8b
barskamp,"Barskamp in Bleckede, Germany",53.2426103,10.7838963,1,,,,DiplomaticFacilities,"Barskamp in Bleckede, Germany",,german_fires_bleckede_locations,9a9f6913e35bda91a0f55d542b973a43,german_fires_bleckede_locations__9a9f6913e35bda91a0f55d542b973a43
bleckede-wendischthun,"Bleckede-Wendischthun in Bleckede, Germany",53.2865475,10.7334861,1,,,,Diplomat,"Bleckede-Wendischthun in Bleckede, Germany",,german_fires_bleckede_locations,c7bac489342f64e775eb42e42357b1b8,german_fires_bleckede_locations__c7bac489342f64e775eb42e42357b1b8
brackede,"Brackede in Bleckede, Germany",53.3534979,10.7079758,1,,,,DiplomaticFacilities,"Brackede in Bleckede, Germany",,german_fires_bleckede_locations,5a511025c4c3187125e4e7e91d703a20,german_fires_bleckede_locations__5a511025c4c3187125e4e7e91d703a20
breetze,"Breetze in Bleckede, Germany",53.2645579,10.7074417,1,,,,CompanyKeyword,"Breetze in Bleckede, Germany",,german_fires_bleckede_locations,fdbd0530b4af7a40bc86a19928c31421,german_fires_bleckede_locations__fdbd0530b4af7a40bc86a19928c31421
garlstorf,"Garlstorf in Bleckede, Germany",53.3503003,10.675429,1,,,,IndustryTerm,"Garlstorf in Bleckede, Germany",,german_fires_bleckede_locations,cdf35ef13193c8ff1cd1df35cdeee345,german_fires_bleckede_locations__cdf35ef13193c8ff1cd1df35cdeee345
garze,"Garze in Bleckede, Germany",53.3083833,10.6939684,1,,,,LegislativeCommittee,"Garze in Bleckede, Germany",,german_fires_bleckede_locations,ddfea0042c5c7118216020df30d55b34,german_fires_bleckede_locations__ddfea0042c5c7118216020df30d55b34
goddingen,"Goddingen in Bleckede, Germany",53.2556316,10.7606741,1,,,,FTO,"Goddingen in Bleckede, Germany",,german_fires_bleckede_locations,a18316343377b7fb219e7dec996460b8,german_fires_bleckede_locations__a18316343377b7fb219e7dec996460b8
karze,"Karze in Bleckede, Germany",53.3150986,10.6762573,1,,,,space,"Karze in Bleckede, Germany",,german_fires_bleckede_locations,07ac0e2e9ef6a95122a0aa1a9fbf2a7f,german_fires_bleckede_locations__07ac0e2e9ef6a95122a0aa1a9fbf2a7f
radegast,"Radegast in Bleckede, Germany",53.3447144,10.7258434,1,,,,Diplomat,"Radegast in Bleckede, Germany",,german_fires_bleckede_locations,1f13c159f02a607d60bec0941c367d33,german_fires_bleckede_locations__1f13c159f02a607d60bec0941c367d33
rosenthal,"Rosenthal in Bleckede, Germany",53.3130334,10.633978,1,,,,News,"Rosenthal in Bleckede, Germany",,german_fires_bleckede_locations,39d44d2f46f9d325960e71068b99a8eb,german_fires_bleckede_locations__39d44d2f46f9d325960e71068b99a8eb
walmsburg,"Walmsburg in Bleckede, Germany",53.2380682,10.8483601,1,,,,Person,"Walmsburg in Bleckede, Germany",,german_fires_bleckede_locations,21bd1961a1063fd0a8da70ca16f3cc24,german_fires_bleckede_locations__21bd1961a1063fd0a8da70ca16f3cc24
neu bleckede,"Neu Bleckede in Bleckede, Germany",53.3004253,10.7459937,1,,,,Legislator,"Neu Bleckede in Bleckede, Germany",,german_fires_bleckede_locations,150b4429efe48b3f234002e967506331,german_fires_bleckede_locations__150b4429efe48b3f234002e967506331
neu wendischthun,"Neu Wendischthun in Bleckede, Germany",53.3051893,10.7741822,1,,,,AAEntity,"Neu Wendischthun in Bleckede, Germany",,german_fires_bleckede_locations,e10ce05226201816c316e25dba002cda,german_fires_bleckede_locations__e10ce05226201816c316e25dba002cda
nindorf,"Nindorf in Bleckede, Germany",53.2623525,10.7429912,1,,,,Refinery,"Nindorf in Bleckede, Germany",,german_fires_bleckede_locations,fc246513f2cf598c2468212974cb7986,german_fires_bleckede_locations__fc246513f2cf598c2468212974cb7986
vogelsang,"Vogelsang in Bleckede, Germany",53.3245286,10.6586636,1,,,,Organization,"Vogelsang in Bleckede, Germany",,german_fires_bleckede_locations,b350caed026191dce9b5d6cf2ecbbe7b,german_fires_bleckede_locations__b350caed026191dce9b5d6cf2ecbbe7b
wendewisch,"Wendewisch in Bleckede, Germany",53.3513753,10.6483724,1,,,,Person,"Wendewisch in Bleckede, Germany",,german_fires_bleckede_locations,b02cb2b7b423965ee4576bc564bd39a4,german_fires_bleckede_locations__b02cb2b7b423965ee4576bc564bd39a4
reesseln,"Reesseln in Bleckede, Germany",53.2278749,10.8545656,1,,,,space,"Reesseln in Bleckede, Germany",,german_fires_bleckede_locations,ba8a8124a197d4f2d7ca7861e68b3f06,german_fires_bleckede_locations__ba8a8124a197d4f2d7ca7861e68b3f06
ff_bleckede,"Bleckede, Germany",53.28708097,10.73251588,,,,,Pipeline,"Bleckede, Germany",,german_fires_bleckede_locations,df0296f5c43c54e83396ae26cf61e310,german_fires_bleckede_locations__df0296f5c43c54e83396ae26cf61e310
