german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
dagersheim,"Dagersheim in Boblingen, Germany",48.6933371,8.95522,2,"Boblingen, Germany",48.68176092,9.008559508,,,ss,DiplomaticFacilities,"Dagersheim in Boblingen, Germany",,german_fires_boblingen_locations,bcc4c0a5529b53bcbd191a7013ef84a0,german_fires_boblingen_locations__bcc4c0a5529b53bcbd191a7013ef84a0
sindelfingen,"Sindelfingen in Boblingen, Germany",48.7074558,9.0044053,2,,,,,,u,IndustryTerm,"Sindelfingen in Boblingen, Germany",,german_fires_boblingen_locations,631668ba2cd4185751198d1a5f8d6a66,german_fires_boblingen_locations__631668ba2cd4185751198d1a5f8d6a66
aidlingen,"Aidlingen in Boblingen, Germany",48.6790564,8.8957465,2,,,,,,a,LegislativeCommittee,"Aidlingen in Boblingen, Germany",,german_fires_boblingen_locations,aae9cc960fdebf1faaae21026d191f8a,german_fires_boblingen_locations__aae9cc960fdebf1faaae21026d191f8a
altdorf,"Altdorf in Boblingen, Germany",48.6302345,8.9955815,2,,,,,,o,AAEntity,"Altdorf in Boblingen, Germany",,german_fires_boblingen_locations,eb222c4712e2c3c024ecba8f44de5148,german_fires_boblingen_locations__eb222c4712e2c3c024ecba8f44de5148
ehningen,"Ehningen  in Boblingen, Germany",48.6592022,8.940526,2,,,,,,,Diplomat,"Ehningen  in Boblingen, Germany",,german_fires_boblingen_locations,65539ca1b89e1d66c65faf2028582f6a,german_fires_boblingen_locations__65539ca1b89e1d66c65faf2028582f6a
gartringen,"Gartringen in Boblingen, Germany",48.641586,8.9029165,2,,,,,,,Pipeline,"Gartringen in Boblingen, Germany",,german_fires_boblingen_locations,dd3ecbe73f4cb11f967229cc111bd1ed,german_fires_boblingen_locations__dd3ecbe73f4cb11f967229cc111bd1ed
grafenau,"Grafenau in Boblingen, Germany",48.7145329,8.9121403,2,,,,,,,Media,"Grafenau in Boblingen, Germany",,german_fires_boblingen_locations,212ec989d8fc016ff63c6240b9dc944a,german_fires_boblingen_locations__212ec989d8fc016ff63c6240b9dc944a
hildrizhausen,"Hildrizhausen in Boblingen, Germany",48.6254886,8.9700401,2,,,,,,,FTO,"Hildrizhausen in Boblingen, Germany",,german_fires_boblingen_locations,db9ac79008ecefe618c0c6704d2d22c2,german_fires_boblingen_locations__db9ac79008ecefe618c0c6704d2d22c2
holzgerlingen,"Holzgerlingen in Boblingen, Germany",48.6394255,9.0181128,2,,,,,,,Consulates,"Holzgerlingen in Boblingen, Germany",,german_fires_boblingen_locations,06f648bdbd881f0f5d35bfeec122eb47,german_fires_boblingen_locations__06f648bdbd881f0f5d35bfeec122eb47
"magstadt,","Magstadt,  in Boblingen, Germany",48.7425459,8.9665575,2,,,,,,,News,"Magstadt,  in Boblingen, Germany",,german_fires_boblingen_locations,b7230c31a91229196f1eca58e114069b,german_fires_boblingen_locations__b7230c31a91229196f1eca58e114069b
