german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
altenbochum,"Altenbochum in Bochum, Germany",51.4754952,7.2473359,2,"Bochum, Germany",51.48179199,7.213883067,,,a,Wells,"Altenbochum in Bochum, Germany",,german_fires_bochum_locations,4b33cf8398b9ab1191636f3f6ce58c16,german_fires_bochum_locations__4b33cf8398b9ab1191636f3f6ce58c16
bergen,"Bergen in Bochum, Germany",51.515098,7.2475646,2,,,,,,o,IndustryTerm,"Bergen in Bochum, Germany",,german_fires_bochum_locations,c103d8f20e4a570d58ab9297c4ac7bb3,german_fires_bochum_locations__c103d8f20e4a570d58ab9297c4ac7bb3
ehrenfeld,"Ehrenfeld in Bochum, Germany",51.4724875,7.2100769,2,,,,,,,ForeignMinistry,"Ehrenfeld in Bochum, Germany",,german_fires_bochum_locations,69d1850546ae5eee6e8eccf53d21637a,german_fires_bochum_locations__69d1850546ae5eee6e8eccf53d21637a
gerthe,"Gerthe in Bochum, Germany",51.5174092,7.2953955,2,,,,,,,Refinery,"Gerthe in Bochum, Germany",,german_fires_bochum_locations,aa7121049d8ebf6cdb12cb4fbde4f6d0,german_fires_bochum_locations__aa7121049d8ebf6cdb12cb4fbde4f6d0
grumme,"Grumme in Bochum, Germany",51.4998859,7.2282844,2,,,,,,,Shipping,"Grumme in Bochum, Germany",,german_fires_bochum_locations,005be0b2e5891b87b24c049781a9d0d5,german_fires_bochum_locations__005be0b2e5891b87b24c049781a9d0d5
gunnigfeld,"Gunnigfeld in Bochum, Germany",51.4944047,7.1546368,2,,,,,,,Shipping,"Gunnigfeld in Bochum, Germany",,german_fires_bochum_locations,6d6eab90d1973c9f4ca6d9090495f89c,german_fires_bochum_locations__6d6eab90d1973c9f4ca6d9090495f89c
hamme,"Hamme in Bochum, Germany",51.4914357,7.1992788,2,,,,,,,Exec,"Hamme in Bochum, Germany",,german_fires_bochum_locations,cc18cf6784049292b1387b0e400f54b8,german_fires_bochum_locations__cc18cf6784049292b1387b0e400f54b8
harpen,"Harpen in Bochum, Germany",51.4946366,7.2792983,2,,,,,,,LegislativeCommittee,"Harpen in Bochum, Germany",,german_fires_bochum_locations,e426ac14ecee9d3f3af8e2ee6587d493,german_fires_bochum_locations__e426ac14ecee9d3f3af8e2ee6587d493
hiltrop,"Hiltrop in Bochum, Germany",51.5138629,7.2674749,2,,,,,,,Refinery,"Hiltrop in Bochum, Germany",,german_fires_bochum_locations,3137f83e69641c4f17bab4ebc8054d3b,german_fires_bochum_locations__3137f83e69641c4f17bab4ebc8054d3b
hofstede,"Hofstede in Bochum, Germany",51.5075649,7.198428,2,,,,,,,FTO,"Hofstede in Bochum, Germany",,german_fires_bochum_locations,07384dcfd5c905ce750b826752a55386,german_fires_bochum_locations__07384dcfd5c905ce750b826752a55386
hontrop,"Hontrop in Bochum, Germany",51.4500204,7.1465713,2,,,,,,,ForeignMinistry,"Hontrop in Bochum, Germany",,german_fires_bochum_locations,66834e9679fe0ca733fb9b03f23577e1,german_fires_bochum_locations__66834e9679fe0ca733fb9b03f23577e1
hordel,"Hordel in Bochum, Germany",51.4987932,7.1692265,2,,,,,,,Media,"Hordel in Bochum, Germany",,german_fires_bochum_locations,b0d23a392d9fb1c63e233924160b20ec,german_fires_bochum_locations__b0d23a392d9fb1c63e233924160b20ec
innenstadt,"Innenstadt in Bochum, Germany",51.4847262,7.2261707,2,,,,,,,CompanyKeyword,"Innenstadt in Bochum, Germany",,german_fires_bochum_locations,3790ba7293151ef3208e4fd1c48df58b,german_fires_bochum_locations__3790ba7293151ef3208e4fd1c48df58b
laer,"Laer in Bochum, Germany",51.4738491,7.2738508,2,,,,,,,News,"Laer in Bochum, Germany",,german_fires_bochum_locations,6a6fbe457f8937c4a3d15dae19040e89,german_fires_bochum_locations__6a6fbe457f8937c4a3d15dae19040e89
langendreer,"Langendreer in Bochum, Germany",51.4736822,7.3242652,2,,,,,,,Shipping,"Langendreer in Bochum, Germany",,german_fires_bochum_locations,6d8ee398c7ab9f46b0e4825306f0abd8,german_fires_bochum_locations__6d8ee398c7ab9f46b0e4825306f0abd8
leithe,"Leithe in Bochum, Germany",51.4797236,7.1108183,2,,,,,,,Keyphrase,"Leithe in Bochum, Germany",,german_fires_bochum_locations,94c5a3901287964f65eb5621b6a295e1,german_fires_bochum_locations__94c5a3901287964f65eb5621b6a295e1
linden,"Linden in Bochum, Germany",51.4248216,7.1703,2,,,,,,,IndustryTerm,"Linden in Bochum, Germany",,german_fires_bochum_locations,9e0740fcde5eab404666b8103dd8d2e7,german_fires_bochum_locations__9e0740fcde5eab404666b8103dd8d2e7
querenburg,"Querenburg in Bochum, Germany",51.4530679,7.2684099,2,,,,,,,Consulates,"Querenburg in Bochum, Germany",,german_fires_bochum_locations,fb8e5d84d633fb7bc5fd689d8ed5fc29,german_fires_bochum_locations__fb8e5d84d633fb7bc5fd689d8ed5fc29
