german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
auerberg,"Auerberg in Bonn, Germany",50.7534079,7.0782574,2,"Bonn, Germany",50.7334,7.0939,Wells,"Auerberg in Bonn, Germany",,german_fires_bonn_locations,84440a0ae4be84bf4a0b7c53fa53910d,german_fires_bonn_locations__84440a0ae4be84bf4a0b7c53fa53910d
castell,"Castell in Bonn, Germany",50.7470859,7.0963425,2,,,,ForeignMinistry,"Castell in Bonn, Germany",,german_fires_bonn_locations,8fce838c3ecd66800d91e8ff9c3dba40,german_fires_bonn_locations__8fce838c3ecd66800d91e8ff9c3dba40
zentrum,"Zentrum in Bonn, Germany",50.737598,7.1021346,2,,,,Keyphrase,"Zentrum in Bonn, Germany",,german_fires_bonn_locations,1251c3de967147b3eed3e8086ba45c54,german_fires_bonn_locations__1251c3de967147b3eed3e8086ba45c54
buschdorf,"Buschdorf in Bonn, Germany",50.7545857,7.0588706,2,,,,Keyphrase,"Buschdorf in Bonn, Germany",,german_fires_bonn_locations,d0f23e23b18dcdb98f8c7d9f0aa635f2,german_fires_bonn_locations__d0f23e23b18dcdb98f8c7d9f0aa635f2
dottendorf,"Dottendorf in Bonn, Germany",50.7040044,7.1181833,2,,,,Wells,"Dottendorf in Bonn, Germany",,german_fires_bonn_locations,e815d21102f66bbb9981723de7b12546,german_fires_bonn_locations__e815d21102f66bbb9981723de7b12546
dransdorf,"Dransdorf in Bonn, Germany",50.7395542,7.0485161,2,,,,Shipping,"Dransdorf in Bonn, Germany",,german_fires_bonn_locations,aa34dca1f737d26f4b34eb578e722f5f,german_fires_bonn_locations__aa34dca1f737d26f4b34eb578e722f5f
endenich,"Endenich in Bonn, Germany",50.7282016,7.0735513,2,,,,IndustryTerm,"Endenich in Bonn, Germany",,german_fires_bonn_locations,332865512e35cc3958bc8fb6636de956,german_fires_bonn_locations__332865512e35cc3958bc8fb6636de956
graurheindorf,"Graurheindorf in Bonn, Germany",50.7597364,7.0815025,2,,,,LegislativeCommittee,"Graurheindorf in Bonn, Germany",,german_fires_bonn_locations,cfbf51081b751650ef78725a86e3d107,german_fires_bonn_locations__cfbf51081b751650ef78725a86e3d107
gronau,"Gronau in Bonn, Germany",50.7138827,7.1272608,2,,,,Refinery,"Gronau in Bonn, Germany",,german_fires_bonn_locations,28837c90881a1e538f4eabd1238b2c89,german_fires_bonn_locations__28837c90881a1e538f4eabd1238b2c89
ippendorf,"Ippendorf in Bonn, Germany",50.6957018,7.0833014,2,,,,DiplomaticFacilities,"Ippendorf in Bonn, Germany",,german_fires_bonn_locations,a8b5b0acd7035a6f9ba5192a65c189e2,german_fires_bonn_locations__a8b5b0acd7035a6f9ba5192a65c189e2
kessenich,"Kessenich in Bonn, Germany",50.7150684,7.1078847,2,,,,Consulates,"Kessenich in Bonn, Germany",,german_fires_bonn_locations,e7eb35bee7576295d306819eb3a1d11c,german_fires_bonn_locations__e7eb35bee7576295d306819eb3a1d11c
lessenich,"Lessenich in Bonn, Germany",50.725517,7.0433369,2,,,,Diplomat,"Lessenich in Bonn, Germany",,german_fires_bonn_locations,7d44302eba1b85afc96f26d048fc7387,german_fires_bonn_locations__7d44302eba1b85afc96f26d048fc7387
nordstadt,"Nordstadt in Bonn, Germany",50.7429199,7.0778137,2,,,,DiplomaticFacilities,"Nordstadt in Bonn, Germany",,german_fires_bonn_locations,545abbe4c8421bdfc498d4bf5d8a7e95,german_fires_bonn_locations__545abbe4c8421bdfc498d4bf5d8a7e95
poppelsdorf,"Poppelsdorf in Bonn, Germany",50.7213888,7.0898171,2,,,,Media,"Poppelsdorf in Bonn, Germany",,german_fires_bonn_locations,dff9fb32eca694d2d9482a7714161437,german_fires_bonn_locations__dff9fb32eca694d2d9482a7714161437
rottgen,"Rottgen in Bonn, Germany",50.6625196,7.0716236,2,,,,Consulates,"Rottgen in Bonn, Germany",,german_fires_bonn_locations,b2df85316b92a6bf5a728394ada16c69,german_fires_bonn_locations__b2df85316b92a6bf5a728394ada16c69
sudstadt,"Sudstadt in Bonn, Germany",50.7257392,7.1040399,2,,,,FTO,"Sudstadt in Bonn, Germany",,german_fires_bonn_locations,7a117f5f08292545d7089234220655de,german_fires_bonn_locations__7a117f5f08292545d7089234220655de
tannenbusch,"Tannenbusch in Bonn, Germany",50.7466319,7.0511202,2,,,,ForeignMinister,"Tannenbusch in Bonn, Germany",,german_fires_bonn_locations,f60252365abb2a812b389d8a4dfe1ba9,german_fires_bonn_locations__f60252365abb2a812b389d8a4dfe1ba9
uckesdorf,"uckesdorf in Bonn, Germany",50.6913504,7.0690992,2,,,,Diplomat,"uckesdorf in Bonn, Germany",,german_fires_bonn_locations,39d854dbd2449ad92ece208d6dbbbd5a,german_fires_bonn_locations__39d854dbd2449ad92ece208d6dbbbd5a
venusberg,"Venusberg in Bonn, Germany",50.7000514,7.0975106,2,,,,Pipeline,"Venusberg in Bonn, Germany",,german_fires_bonn_locations,7626f031f59c879761c6e99f34e7184e,german_fires_bonn_locations__7626f031f59c879761c6e99f34e7184e
weststadt,"Weststadt in Bonn, Germany",50.7308737,7.0840257,2,,,,Refinery,"Weststadt in Bonn, Germany",,german_fires_bonn_locations,6cd92dad3f06ccce5057f20af7c51e81,german_fires_bonn_locations__6cd92dad3f06ccce5057f20af7c51e81
messdorf,"Messdorf in Bonn, Germany",50.730129,7.047674,2,,,,Media,"Messdorf in Bonn, Germany",,german_fires_bonn_locations,4c14b9e77a58b79802e802f0a796b096,german_fires_bonn_locations__4c14b9e77a58b79802e802f0a796b096
bonn-auerberg,"Auerberg in Bonn, Germany",50.7534079,7.0782574,2,,,,Exec,"Auerberg in Bonn, Germany",,german_fires_bonn_locations,84440a0ae4be84bf4a0b7c53fa53910d,german_fires_bonn_locations__84440a0ae4be84bf4a0b7c53fa53910d
bonn-castell,"Castell in Bonn, Germany",50.7470859,7.0963425,2,,,,Consulates,"Castell in Bonn, Germany",,german_fires_bonn_locations,8fce838c3ecd66800d91e8ff9c3dba40,german_fires_bonn_locations__8fce838c3ecd66800d91e8ff9c3dba40
bonn-zentrum,"Zentrum in Bonn, Germany",50.737598,7.1021346,2,,,,Pipeline,"Zentrum in Bonn, Germany",,german_fires_bonn_locations,1251c3de967147b3eed3e8086ba45c54,german_fires_bonn_locations__1251c3de967147b3eed3e8086ba45c54
bonn-buschdorf,"Buschdorf in Bonn, Germany",50.7545857,7.0588706,2,,,,Pipeline,"Buschdorf in Bonn, Germany",,german_fires_bonn_locations,d0f23e23b18dcdb98f8c7d9f0aa635f2,german_fires_bonn_locations__d0f23e23b18dcdb98f8c7d9f0aa635f2
bonn-dottendorf,"Dottendorf in Bonn, Germany",50.7040044,7.1181833,2,,,,FTO,"Dottendorf in Bonn, Germany",,german_fires_bonn_locations,e815d21102f66bbb9981723de7b12546,german_fires_bonn_locations__e815d21102f66bbb9981723de7b12546
bonn-dransdorf,"Dransdorf in Bonn, Germany",50.7395542,7.0485161,2,,,,space,"Dransdorf in Bonn, Germany",,german_fires_bonn_locations,aa34dca1f737d26f4b34eb578e722f5f,german_fires_bonn_locations__aa34dca1f737d26f4b34eb578e722f5f
bonn-endenich,"Endenich in Bonn, Germany",50.7282016,7.0735513,2,,,,AAEntity,"Endenich in Bonn, Germany",,german_fires_bonn_locations,332865512e35cc3958bc8fb6636de956,german_fires_bonn_locations__332865512e35cc3958bc8fb6636de956
bonn-graurheindorf,"Graurheindorf in Bonn, Germany",50.7597364,7.0815025,2,,,,Wells,"Graurheindorf in Bonn, Germany",,german_fires_bonn_locations,cfbf51081b751650ef78725a86e3d107,german_fires_bonn_locations__cfbf51081b751650ef78725a86e3d107
bonn-gronau,"Gronau in Bonn, Germany",50.7138827,7.1272608,2,,,,DiplomaticFacilities,"Gronau in Bonn, Germany",,german_fires_bonn_locations,28837c90881a1e538f4eabd1238b2c89,german_fires_bonn_locations__28837c90881a1e538f4eabd1238b2c89
bonn-ippendorf,"Ippendorf in Bonn, Germany",50.6957018,7.0833014,2,,,,LegislativeCommittee,"Ippendorf in Bonn, Germany",,german_fires_bonn_locations,a8b5b0acd7035a6f9ba5192a65c189e2,german_fires_bonn_locations__a8b5b0acd7035a6f9ba5192a65c189e2
bonn-kessenich,"Kessenich in Bonn, Germany",50.7150684,7.1078847,2,,,,FTO,"Kessenich in Bonn, Germany",,german_fires_bonn_locations,e7eb35bee7576295d306819eb3a1d11c,german_fires_bonn_locations__e7eb35bee7576295d306819eb3a1d11c
bonn-lessenich,"Lessenich in Bonn, Germany",50.725517,7.0433369,2,,,,Consulates,"Lessenich in Bonn, Germany",,german_fires_bonn_locations,7d44302eba1b85afc96f26d048fc7387,german_fires_bonn_locations__7d44302eba1b85afc96f26d048fc7387
