german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
brenig,"Brenig in Bornheim, Germany",50.754,6.969573,2,"Bornheim, Germany",50.76002019,6.987764007,,ss,AAEntity,"Brenig in Bornheim, Germany",,german_fires_bornheim_locations,b70b193e293e077225289ee9a2241605,german_fires_bornheim_locations__b70b193e293e077225289ee9a2241605
dersdorf,"Dersdorf in Bornheim, Germany",50.7614178,6.9671668,2,,,,,u,Wells,"Dersdorf in Bornheim, Germany",,german_fires_bornheim_locations,e460e9db2827194e77b7ca458db0f721,german_fires_bornheim_locations__e460e9db2827194e77b7ca458db0f721
hemmerich,"Hemmerich in Bornheim, Germany",50.7617522,6.928777,2,,,,,a,Shipping,"Hemmerich in Bornheim, Germany",,german_fires_bornheim_locations,d47101e619c83b819a32b92d5313a472,german_fires_bornheim_locations__d47101e619c83b819a32b92d5313a472
kardorf,"Kardorf in Bornheim, Germany",50.7671045,6.9384638,2,,,,,o,Media,"Kardorf in Bornheim, Germany",,german_fires_bornheim_locations,cd85149ef7e4cac08182157406a2d916,german_fires_bornheim_locations__cd85149ef7e4cac08182157406a2d916
merten,"Merten in Bornheim, Germany",50.7771674,6.9219593,2,,,,,,CompanyKeyword,"Merten in Bornheim, Germany",,german_fires_bornheim_locations,9812a81ecf21f31e4f805b0ebccb12b4,german_fires_bornheim_locations__9812a81ecf21f31e4f805b0ebccb12b4
roisdorf,"Roisdorf in Bornheim, Germany",50.7556665,7.009874,2,,,,,,CompanyKeyword,"Roisdorf in Bornheim, Germany",,german_fires_bornheim_locations,24554c3695a7b0e39701880f5f906948,german_fires_bornheim_locations__24554c3695a7b0e39701880f5f906948
rosberg,"Rosberg in Bornheim, Germany",50.7670689,6.9161842,2,,,,,,Legislator,"Rosberg in Bornheim, Germany",,german_fires_bornheim_locations,623fb8866322963dfd299bec05d925b5,german_fires_bornheim_locations__623fb8866322963dfd299bec05d925b5
sechtem,"Sechtem in Bornheim, Germany",50.7936389,6.9522595,2,,,,,,AAEntity,"Sechtem in Bornheim, Germany",,german_fires_bornheim_locations,a272dc875850bd0d03e68c400d3eed81,german_fires_bornheim_locations__a272dc875850bd0d03e68c400d3eed81
walberberg,"Walberberg in Bornheim, Germany",50.7933732,6.9128735,2,,,,,,Media,"Walberberg in Bornheim, Germany",,german_fires_bornheim_locations,1eb8e8bf26534a68c00e98ce84b41b5b,german_fires_bornheim_locations__1eb8e8bf26534a68c00e98ce84b41b5b
waldorf,"Waldorf in Bornheim, Germany",50.761193,6.9490989,2,,,,,,LegislativeCommittee,"Waldorf in Bornheim, Germany",,german_fires_bornheim_locations,e93e2830795870f5025460569b927c25,german_fires_bornheim_locations__e93e2830795870f5025460569b927c25
hersel,"Hersel in Bornheim, Germany",50.7698042,7.0446696,2,,,,,,FTO,"Hersel in Bornheim, Germany",,german_fires_bornheim_locations,3d682dc77b3128479965efe502beeb8d,german_fires_bornheim_locations__3d682dc77b3128479965efe502beeb8d
uedorf,"Uedorf in Bornheim, Germany",50.7829489,7.0323963,2,,,,,,Organization,"Uedorf in Bornheim, Germany",,german_fires_bornheim_locations,f6ba0c39f4c4756c1336c8fc0b14f3da,german_fires_bornheim_locations__f6ba0c39f4c4756c1336c8fc0b14f3da
widdig,"Widdig in Bornheim, Germany",50.7945162,7.0246414,2,,,,,,Keyphrase,"Widdig in Bornheim, Germany",,german_fires_bornheim_locations,0ce0f80bfe1335d7f9dd322ca6c17dbd,german_fires_bornheim_locations__0ce0f80bfe1335d7f9dd322ca6c17dbd
aachener str.,"Aachener Str. in Bornheim, Germany",50.7538351,7.0129202,1,,,,,,ForeignMinistry,"Aachener Str. in Bornheim, Germany",,german_fires_bornheim_locations,ee66dc7d17a269e8e73ebd58744de7f4,german_fires_bornheim_locations__ee66dc7d17a269e8e73ebd58744de7f4
aarhusweg,"Aarhusweg in Bornheim, Germany",50.7936838,6.9594872,1,,,,,,Consulates,"Aarhusweg in Bornheim, Germany",,german_fires_bornheim_locations,a874c1c6fc70f32fb1332023844d7b75,german_fires_bornheim_locations__a874c1c6fc70f32fb1332023844d7b75
ackerweg,"Ackerweg in Bornheim, Germany",50.7937862,6.9215353,1,,,,,,News,"Ackerweg in Bornheim, Germany",,german_fires_bornheim_locations,dbf7a75b0c73480dd599c8791df704bf,german_fires_bornheim_locations__dbf7a75b0c73480dd599c8791df704bf
adenauerallee,"Adenauerallee in Bornheim, Germany",50.7586846,7.0044753,1,,,,,,FTO,"Adenauerallee in Bornheim, Germany",,german_fires_bornheim_locations,b03436b04b87a04e1a99ce0bf2e3db0b,german_fires_bornheim_locations__b03436b04b87a04e1a99ce0bf2e3db0b
aegidiusstr.,"Aegidiusstr. in Bornheim, Germany",50.7771414,7.0376849,1,,,,,,Person,"Aegidiusstr. in Bornheim, Germany",,german_fires_bornheim_locations,6062a2cc394aff78cdbd25ac4f563327,german_fires_bornheim_locations__6062a2cc394aff78cdbd25ac4f563327
aeltersgasse,"Aeltersgasse in Bornheim, Germany",50.7597251,6.9946925,1,,,,,,ForeignMinister,"Aeltersgasse in Bornheim, Germany",,german_fires_bornheim_locations,3c15323018ed48e330fe59184436b390,german_fires_bornheim_locations__3c15323018ed48e330fe59184436b390
aggerstrasse,"Aggerstrasse in Bornheim, Germany",50.7813697,7.0335379,1,,,,,,ForeignMinister,"Aggerstrasse in Bornheim, Germany",,german_fires_bornheim_locations,b12d39a73282a3121781bf2687208161,german_fires_bornheim_locations__b12d39a73282a3121781bf2687208161
ailbertusstrasse,"Ailbertusstrasse in Bornheim, Germany",50.7868416,6.9498999,1,,,,,,CompanyKeyword,"Ailbertusstrasse in Bornheim, Germany",,german_fires_bornheim_locations,1f656440cdac0b2d75dfe862443247a5,german_fires_bornheim_locations__1f656440cdac0b2d75dfe862443247a5
albertstrasse,"Albertstrasse in Bornheim, Germany",50.799111,6.913096,1,,,,,,Legislator,"Albertstrasse in Bornheim, Germany",,german_fires_bornheim_locations,f9b5ff917c83250966b1347fc5ac5d6f,german_fires_bornheim_locations__f9b5ff917c83250966b1347fc5ac5d6f
albertus-magnus-strasse,"Albertus-Magnus-strasse in Bornheim, Germany",50.76214,6.9637015,1,,,,,,Consulates,"Albertus-Magnus-strasse in Bornheim, Germany",,german_fires_bornheim_locations,b3cb1044afd7f78c2f1f93efd7485dd2,german_fires_bornheim_locations__b3cb1044afd7f78c2f1f93efd7485dd2
alemannenweg,"Alemannenweg in Bornheim, Germany",50.7890982,7.0275305,1,,,,,,Wells,"Alemannenweg in Bornheim, Germany",,german_fires_bornheim_locations,1268bf6a219bce841f43712209b997eb,german_fires_bornheim_locations__1268bf6a219bce841f43712209b997eb
alexander-bell-strasse,"Alexander-Bell-strasse in Bornheim, Germany",50.7588169,7.0298426,1,,,,,,space,"Alexander-Bell-strasse in Bornheim, Germany",,german_fires_bornheim_locations,d752459f60bed89433f3e6cb7e61a6cd,german_fires_bornheim_locations__d752459f60bed89433f3e6cb7e61a6cd
alfred-rademacher-strasse,"Alfred-Rademacher-strasse in Bornheim, Germany",50.772621,6.9914653,1,,,,,,Wells,"Alfred-Rademacher-strasse in Bornheim, Germany",,german_fires_bornheim_locations,286148f33accd0034480d6b8239755fc,german_fires_bornheim_locations__286148f33accd0034480d6b8239755fc
allensteiner strasse,"Allensteiner strasse in Bornheim, Germany",50.7958817,6.9554571,1,,,,,,Refinery,"Allensteiner strasse in Bornheim, Germany",,german_fires_bornheim_locations,52604276ee229dd2eac3ee97f28b869b,german_fires_bornheim_locations__52604276ee229dd2eac3ee97f28b869b
allerstrasse,"Allerstrasse in Bornheim, Germany",50.7639927,7.0409746,1,,,,,,ForeignMinistry,"Allerstrasse in Bornheim, Germany",,german_fires_bornheim_locations,c2c9ded203f344db7057c08836f8fba9,german_fires_bornheim_locations__c2c9ded203f344db7057c08836f8fba9
altenberger gasse,"Altenberger Gasse in Bornheim, Germany",50.7679698,6.930406,1,,,,,,Shipping,"Altenberger Gasse in Bornheim, Germany",,german_fires_bornheim_locations,60825eda4d4106bff46159d8b023f97b,german_fires_bornheim_locations__60825eda4d4106bff46159d8b023f97b
alter siebenbach,"Alter Siebenbach in Bornheim, Germany",50.7959912,6.9502252,1,,,,,,Shipping,"Alter Siebenbach in Bornheim, Germany",,german_fires_bornheim_locations,7c6a40236e8dbad77e8b23902d5c334d,german_fires_bornheim_locations__7c6a40236e8dbad77e8b23902d5c334d
alter sportplatz,"Alter Sportplatz in Bornheim, Germany",50.7950481,6.9534854,1,,,,,,IndustryTerm,"Alter Sportplatz in Bornheim, Germany",,german_fires_bornheim_locations,1ad4c917e53884b08efd91b03e4d1c3e,german_fires_bornheim_locations__1ad4c917e53884b08efd91b03e4d1c3e
alter weiher,"Alter Weiher in Bornheim, Germany",50.7570002,7.0046194,1,,,,,,CompanyKeyword,"Alter Weiher in Bornheim, Germany",,german_fires_bornheim_locations,568076aae9723c9093483b89ce589531,german_fires_bornheim_locations__568076aae9723c9093483b89ce589531
altmuhlstrasse,"Altmuhlstrasse in Bornheim, Germany",50.7863053,7.0299269,1,,,,,,Person,"Altmuhlstrasse in Bornheim, Germany",,german_fires_bornheim_locations,a5509f9bc46133da07635cb7b663658a,german_fires_bornheim_locations__a5509f9bc46133da07635cb7b663658a
alveradisstrasse,"Alveradisstrasse in Bornheim, Germany",50.7917208,6.9105982,1,,,,,,Shipping,"Alveradisstrasse in Bornheim, Germany",,german_fires_bornheim_locations,924baf8cf7e83ee3f837477046fee75b,german_fires_bornheim_locations__924baf8cf7e83ee3f837477046fee75b
am aegidiushauschen,"Am Aegidiushauschen in Bornheim, Germany",50.7602682,6.9260323,1,,,,,,Consulates,"Am Aegidiushauschen in Bornheim, Germany",,german_fires_bornheim_locations,e91460b9fd6a0c75a1e97b833c4dda17,german_fires_bornheim_locations__e91460b9fd6a0c75a1e97b833c4dda17
am alten kurfursten,"Am Alten Kurfursten in Bornheim, Germany",50.7929912,6.9166777,1,,,,,,DiplomaticFacilities,"Am Alten Kurfursten in Bornheim, Germany",,german_fires_bornheim_locations,b455ef92ea4864e51f19b7cbb52c5204,german_fires_bornheim_locations__b455ef92ea4864e51f19b7cbb52c5204
am alten muhlenbach,"Am Alten Muhlenbach in Bornheim, Germany",50.7933766,6.9537935,1,,,,,,News,"Am Alten Muhlenbach in Bornheim, Germany",,german_fires_bornheim_locations,7be7434e97dab6b508d981f5b1b364d2,german_fires_bornheim_locations__7be7434e97dab6b508d981f5b1b364d2
am brunnchen,"Am Brunnchen in Bornheim, Germany",50.760474,6.9905609,1,,,,,,AAEntity,"Am Brunnchen in Bornheim, Germany",,german_fires_bornheim_locations,82a5f7fc2f9014043372c199c72857e6,german_fires_bornheim_locations__82a5f7fc2f9014043372c199c72857e6
am dietkirchener hof,"Am Dietkirchener Hof in Bornheim, Germany",50.750022,7.0011151,1,,,,,,Media,"Am Dietkirchener Hof in Bornheim, Germany",,german_fires_bornheim_locations,fcdea5d925de49c8e3bc13dc4e2eea6f,german_fires_bornheim_locations__fcdea5d925de49c8e3bc13dc4e2eea6f
am goldacker,"Am Goldacker in Bornheim, Germany",50.7929969,6.9079006,1,,,,,,Shipping,"Am Goldacker in Bornheim, Germany",,german_fires_bornheim_locations,847171767abc5897621c7bf4ec01dbe5,german_fires_bornheim_locations__847171767abc5897621c7bf4ec01dbe5
am heidental,"Am Heidental in Bornheim, Germany",50.7882477,7.0196444,1,,,,,,Shipping,"Am Heidental in Bornheim, Germany",,german_fires_bornheim_locations,259492541624365bc8ca79d30b5800f2,german_fires_bornheim_locations__259492541624365bc8ca79d30b5800f2
am marienhof,"Am Marienhof in Bornheim, Germany",50.7737612,7.045694,1,,,,,,Diplomat,"Am Marienhof in Bornheim, Germany",,german_fires_bornheim_locations,82b9bc2182d85cd708f1617b50e90842,german_fires_bornheim_locations__82b9bc2182d85cd708f1617b50e90842
am monchshof,"Am Monchshof in Bornheim, Germany",50.7822889,6.9214519,1,,,,,,Wells,"Am Monchshof in Bornheim, Germany",,german_fires_bornheim_locations,a5ab235be2755e9e0c47cf1f230216bf,german_fires_bornheim_locations__a5ab235be2755e9e0c47cf1f230216bf
am tonberg,"Am Tonberg in Bornheim, Germany",50.7538269,6.9672555,1,,,,,,LegislativeCommittee,"Am Tonberg in Bornheim, Germany",,german_fires_bornheim_locations,bf47c609bdcace64dd632d4560dcbb39,german_fires_bornheim_locations__bf47c609bdcace64dd632d4560dcbb39
am vogtshostert,"Am Vogtshostert in Bornheim, Germany",50.7650107,6.9471637,1,,,,,,Exec,"Am Vogtshostert in Bornheim, Germany",,german_fires_bornheim_locations,aec2d5712969209480a2ffd085263a0b,german_fires_bornheim_locations__aec2d5712969209480a2ffd085263a0b
am werkersgarten,"Am Werkersgarten in Bornheim, Germany",50.7622858,6.9526555,1,,,,,,News,"Am Werkersgarten in Bornheim, Germany",,german_fires_bornheim_locations,66b82b12f006b218aef2722f355343c8,german_fires_bornheim_locations__66b82b12f006b218aef2722f355343c8
am zidderwald,"Am Zidderwald in Bornheim, Germany",50.793679,6.9063693,1,,,,,,ForeignMinister,"Am Zidderwald in Bornheim, Germany",,german_fires_bornheim_locations,45331306677e4c69e2b3ecddfe81f728,german_fires_bornheim_locations__45331306677e4c69e2b3ecddfe81f728
amselweg,"Amselweg in Bornheim, Germany",50.7754951,6.9124775,1,,,,,,Keyphrase,"Amselweg in Bornheim, Germany",,german_fires_bornheim_locations,2f954a2b0b19e06531ff1d61c9822c9c,german_fires_bornheim_locations__2f954a2b0b19e06531ff1d61c9822c9c
an der bonnstrasse,"An der Bonnstrasse in Bornheim, Germany",50.7923198,6.9187756,1,,,,,,Person,"An der Bonnstrasse in Bornheim, Germany",,german_fires_bornheim_locations,bc131d2ef6b5db4df7a7a4c1f3c5339a,german_fires_bornheim_locations__bc131d2ef6b5db4df7a7a4c1f3c5339a
an der grauen burg,"An der grauen Burg in Bornheim, Germany",50.7931734,6.9481161,1,,,,,,Diplomat,"An der grauen Burg in Bornheim, Germany",,german_fires_bornheim_locations,1437e684a970847872dea63613e44add,german_fires_bornheim_locations__1437e684a970847872dea63613e44add
an der wolfsburg,"An der Wolfsburg in Bornheim, Germany",50.7570429,7.0053058,1,,,,,,Legislator,"An der Wolfsburg in Bornheim, Germany",,german_fires_bornheim_locations,5476160ad58a2bec0f837ad77d850a6b,german_fires_bornheim_locations__5476160ad58a2bec0f837ad77d850a6b
annastrasse,"Annastrasse in Bornheim, Germany",50.7472564,7.0048893,1,,,,,,Wells,"Annastrasse in Bornheim, Germany",,german_fires_bornheim_locations,d717fca9b71ea0fb7a6deadf53cd9a1e,german_fires_bornheim_locations__d717fca9b71ea0fb7a6deadf53cd9a1e
annograben,"Annograben in Bornheim, Germany",50.7961005,6.9125097,1,,,,,,Diplomat,"Annograben in Bornheim, Germany",,german_fires_bornheim_locations,2c52c8c7a14b218b101abb02fc430727,german_fires_bornheim_locations__2c52c8c7a14b218b101abb02fc430727
apostelpfad,"Apostelpfad in Bornheim, Germany",50.765872,6.9900746,1,,,,,,Refinery,"Apostelpfad in Bornheim, Germany",,german_fires_bornheim_locations,53ae466424cf58bc2455088be02023d8,german_fires_bornheim_locations__53ae466424cf58bc2455088be02023d8
arnoldstrasse,"Arnoldstrasse in Bornheim, Germany",50.7682244,6.9404267,1,,,,,,DiplomaticFacilities,"Arnoldstrasse in Bornheim, Germany",,german_fires_bornheim_locations,a592fbf477d69db99b329eb512f951bb,german_fires_bornheim_locations__a592fbf477d69db99b329eb512f951bb
asternstrasse,"Asternstrasse in Bornheim, Germany",50.7608512,6.9506832,1,,,,,,ForeignMinistry,"Asternstrasse in Bornheim, Germany",,german_fires_bornheim_locations,a4b0ecedb49bc337797e7589a1df2038,german_fires_bornheim_locations__a4b0ecedb49bc337797e7589a1df2038
auelsgasse,"Auelsgasse in Bornheim, Germany",50.7705651,6.9174396,1,,,,,,News,"Auelsgasse in Bornheim, Germany",,german_fires_bornheim_locations,48dbbc04aee989478d62be48c65dfc8b,german_fires_bornheim_locations__48dbbc04aee989478d62be48c65dfc8b
auf dem mohlenberg,"Auf dem Mohlenberg in Bornheim, Germany",50.7763051,6.9222732,1,,,,,,DiplomaticFacilities,"Auf dem Mohlenberg in Bornheim, Germany",,german_fires_bornheim_locations,a4e466d8f96233d80d3d6657e6d10f1a,german_fires_bornheim_locations__a4e466d8f96233d80d3d6657e6d10f1a
auf der minnen,"Auf der Minnen in Bornheim, Germany",50.7911879,7.0268865,1,,,,,,Media,"Auf der Minnen in Bornheim, Germany",,german_fires_bornheim_locations,d24f67204a57ed7c83825d9d57453bb9,german_fires_bornheim_locations__d24f67204a57ed7c83825d9d57453bb9
