german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ss,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
batenbrock,"Batenbrock in Bottrop, Germany",51.5329543,6.9501172,2,"Bottrop, Germany",51.52896989,6.943830598,u,LegislativeCommittee,"Batenbrock in Bottrop, Germany",,german_fires_bottrop_locations,647d26df84e057514a7c7416dd0b8f25,german_fires_bottrop_locations__647d26df84e057514a7c7416dd0b8f25
boy,"Boy in Bottrop, Germany",51.543293,6.968676,2,,,,a,FTO,"Boy in Bottrop, Germany",,german_fires_bottrop_locations,9efbfe9678ef07ab152d5de1466fddc0,german_fires_bottrop_locations__9efbfe9678ef07ab152d5de1466fddc0
ebel,"Ebel in Bottrop, Germany",51.5029593,6.9469388,2,,,,o,Keyphrase,"Ebel in Bottrop, Germany",,german_fires_bottrop_locations,0cb30b154c09ef6e5d8d05875fd1fc03,german_fires_bottrop_locations__0cb30b154c09ef6e5d8d05875fd1fc03
eigen,"Eigen in Bottrop, Germany",51.5471873,6.9371595,2,,,,,space,"Eigen in Bottrop, Germany",,german_fires_bottrop_locations,ae08adecb8b761708e7eb5b1ed989fdb,german_fires_bottrop_locations__ae08adecb8b761708e7eb5b1ed989fdb
ekel,"Ekel in Bottrop, Germany",51.6274024,6.9318686,2,,,,,Keyphrase,"Ekel in Bottrop, Germany",,german_fires_bottrop_locations,0e837e91497909a497bbfdcaabad456e,german_fires_bottrop_locations__0e837e91497909a497bbfdcaabad456e
feldhausen,"Feldhausen in Bottrop, Germany",51.6119119,6.970048,2,,,,,Wells,"Feldhausen in Bottrop, Germany",,german_fires_bottrop_locations,b84e77b3d6477155fc01994f0ea4b47f,german_fires_bottrop_locations__b84e77b3d6477155fc01994f0ea4b47f
fuhlenbrock,"Fuhlenbrock in Bottrop, Germany",51.5329955,6.8984832,2,,,,,Person,"Fuhlenbrock in Bottrop, Germany",,german_fires_bottrop_locations,3fb0f8ed7ae8294cc73ddd90312c0e73,german_fires_bottrop_locations__3fb0f8ed7ae8294cc73ddd90312c0e73
grafenwald,"Grafenwald in Bottrop, Germany",51.5741642,6.9043157,2,,,,,Exec,"Grafenwald in Bottrop, Germany",,german_fires_bottrop_locations,ca3b8b82dfb76f09519dc5ef12193ccc,german_fires_bottrop_locations__ca3b8b82dfb76f09519dc5ef12193ccc
hardinghausen,"Hardinghausen in Bottrop, Germany",51.5329955,6.8984832,2,,,,,Consulates,"Hardinghausen in Bottrop, Germany",,german_fires_bottrop_locations,7a9269cb6f5c474f8bc71d84682edf51,german_fires_bottrop_locations__7a9269cb6f5c474f8bc71d84682edf51
kirchhellen,"Kirchhellen in Bottrop, Germany",51.6084573,6.9279785,2,,,,,Shipping,"Kirchhellen in Bottrop, Germany",,german_fires_bottrop_locations,f7c7bc81d2c08e8ff6a0e739c699084b,german_fires_bottrop_locations__f7c7bc81d2c08e8ff6a0e739c699084b
