german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alte neustadt,"Alte Neustadt in Bremen, Germany",53.0721273,8.7988756,2,"Bremen, Germany",53.08120214,8.809229658,,ss,Diplomat,"Alte Neustadt in Bremen, Germany",,german_fires_bremen_locations,d89e45d5a6b15afe9cfe06d03e0f841f,german_fires_bremen_locations__d89e45d5a6b15afe9cfe06d03e0f841f
altstadt,"Altstadt in Bremen, Germany",53.0771536,8.8041367,2,,,,,u,Diplomat,"Altstadt in Bremen, Germany",,german_fires_bremen_locations,045e4b8157d693c82c8d7598e1dc0cc1,german_fires_bremen_locations__045e4b8157d693c82c8d7598e1dc0cc1
arbergen,"Arbergen in Bremen, Germany",53.0325418,8.9116659,2,,,,,a,Refinery,"Arbergen in Bremen, Germany",,german_fires_bremen_locations,7c0cc185eefa54e120ac215eec784090,german_fires_bremen_locations__7c0cc185eefa54e120ac215eec784090
arsten,"Arsten in Bremen, Germany",53.0320571,8.8459779,2,,,,,o,ForeignMinistry,"Arsten in Bremen, Germany",,german_fires_bremen_locations,cf36d7c233222245d508d62f05b00ff8,german_fires_bremen_locations__cf36d7c233222245d508d62f05b00ff8
aumund-hammersbeck,"Aumund-Hammersbeck in Bremen, Germany",53.1891329,8.6268434,2,,,,,,Exec,"Aumund-Hammersbeck in Bremen, Germany",,german_fires_bremen_locations,3c02d741c569444ad3e3686220f9472d,german_fires_bremen_locations__3c02d741c569444ad3e3686220f9472d
bahnhofsvorstadt,"Bahnhofsvorstadt in Bremen, Germany",53.0850902,8.8066967,2,,,,,,Legislator,"Bahnhofsvorstadt in Bremen, Germany",,german_fires_bremen_locations,7216f0845bd7b479b250483571142505,german_fires_bremen_locations__7216f0845bd7b479b250483571142505
barkhof,"Barkhof in Bremen, Germany",53.0831706,8.823379,2,,,,,,Legislator,"Barkhof in Bremen, Germany",,german_fires_bremen_locations,5e5e8b60f60d2e8044d8658adaf2f964,german_fires_bremen_locations__5e5e8b60f60d2e8044d8658adaf2f964
blockdiek,"Blockdiek in Bremen, Germany",53.0762933,8.9241349,2,,,,,,Keyphrase,"Blockdiek in Bremen, Germany",,german_fires_bremen_locations,d5e358fa524f5ab0297e8b4585d9dbc7,german_fires_bremen_locations__d5e358fa524f5ab0297e8b4585d9dbc7
blockland,"Blockland in Bremen, Germany",53.1408035,8.8046246,2,,,,,,Refinery,"Blockland in Bremen, Germany",,german_fires_bremen_locations,534b4628c0657ebb6a3af7a175ba8754,german_fires_bremen_locations__534b4628c0657ebb6a3af7a175ba8754
blumenthal,"Blumenthal in Bremen, Germany",53.1972015,8.5529209,2,,,,,,Wells,"Blumenthal in Bremen, Germany",,german_fires_bremen_locations,36aba85d85f7d43690a22193b7966e47,german_fires_bremen_locations__36aba85d85f7d43690a22193b7966e47
