german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
innenstadt,"Innenstadt in Cologne, Germany",50.9352304,6.9531152,2,"Cologne, Germany",50.93658344,6.952003785,,a,ForeignMinistry,"Innenstadt in Cologne, Germany",,german_fires_cologne_locations,2f0db170bcce68c89943ac2fbfe7ef10,german_fires_cologne_locations__2f0db170bcce68c89943ac2fbfe7ef10
altstadt-sud,"Altstadt-Sud in Cologne, Germany",50.927941,6.9578013,2,,,,,o,Wells,"Altstadt-Sud in Cologne, Germany",,german_fires_cologne_locations,5032674f8cc261c807dd74bcbdd2be99,german_fires_cologne_locations__5032674f8cc261c807dd74bcbdd2be99
neustadt-sud,"Neustadt-Sud in Cologne, Germany",50.9219785,6.9480866,2,,,,,,FTO,"Neustadt-Sud in Cologne, Germany",,german_fires_cologne_locations,857183e866baa17294783e2491ec24fc,german_fires_cologne_locations__857183e866baa17294783e2491ec24fc
altstadt-nord,"Altstadt-Nord in Cologne, Germany",50.943802,6.9551707,2,,,,,,ForeignMinistry,"Altstadt-Nord in Cologne, Germany",,german_fires_cologne_locations,4e3e58bede27e6ab470fd9f94de542ee,german_fires_cologne_locations__4e3e58bede27e6ab470fd9f94de542ee
neustadt-nord,"Neustadt-Nord in Cologne, Germany",50.9497351,6.9434744,2,,,,,,Legislator,"Neustadt-Nord in Cologne, Germany",,german_fires_cologne_locations,34b48565b7181cdc8b986bbff9ae3635,german_fires_cologne_locations__34b48565b7181cdc8b986bbff9ae3635
deutz,"Deutz in Cologne, Germany",50.937082,6.9779623,2,,,,,,DiplomaticFacilities,"Deutz in Cologne, Germany",,german_fires_cologne_locations,d55aa56c4d03b2c338985411291cb0cc,german_fires_cologne_locations__d55aa56c4d03b2c338985411291cb0cc
rodenkirchen,"Rodenkirchen in Cologne, Germany",50.8645066,6.9738806,2,,,,,,DiplomaticFacilities,"Rodenkirchen in Cologne, Germany",,german_fires_cologne_locations,7e2a3d4ec19cb65e67c4dfbad7f8908c,german_fires_cologne_locations__7e2a3d4ec19cb65e67c4dfbad7f8908c
bayenthal,"Bayenthal in Cologne, Germany",50.9120641,6.9683134,2,,,,,,Organization,"Bayenthal in Cologne, Germany",,german_fires_cologne_locations,03071a59e223202b38e203b993ccac46,german_fires_cologne_locations__03071a59e223202b38e203b993ccac46
marienburg,"Marienburg in Cologne, Germany",50.8954551,6.9760178,2,,,,,,Exec,"Marienburg in Cologne, Germany",,german_fires_cologne_locations,15b723e0cdc4bc207d364f280c0138d7,german_fires_cologne_locations__15b723e0cdc4bc207d364f280c0138d7
raderberg,"Raderberg in Cologne, Germany",50.9108918,6.9584863,2,,,,,,Shipping,"Raderberg in Cologne, Germany",,german_fires_cologne_locations,b3fb8f9ca3de0da7b4bc2bee80f53b46,german_fires_cologne_locations__b3fb8f9ca3de0da7b4bc2bee80f53b46
raderthal,"Raderthal in Cologne, Germany",50.8914635,6.9552873,2,,,,,,CompanyKeyword,"Raderthal in Cologne, Germany",,german_fires_cologne_locations,70da0fe873f755db61793f4e247e979d,german_fires_cologne_locations__70da0fe873f755db61793f4e247e979d
