german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
branitz,"Branitz in Cottbus, Germany",51.7471556,14.3814148,1,"Cottbus, Germany",51.75592493,14.33717663,News,"Branitz in Cottbus, Germany",,german_fires_cottbus_locations,b75bb1ef7183b840242a394aa227986a,german_fires_cottbus_locations__b75bb1ef7183b840242a394aa227986a
dissenchen,"Dissenchen in Cottbus, Germany",51.7636429,14.3935664,1,,,,Wells,"Dissenchen in Cottbus, Germany",,german_fires_cottbus_locations,92040a2382cb1166ca15c6d9e50daa19,german_fires_cottbus_locations__92040a2382cb1166ca15c6d9e50daa19
dobbrick,"Dobbrick in Cottbus, Germany",51.8400402,14.3495041,1,,,,Keyphrase,"Dobbrick in Cottbus, Germany",,german_fires_cottbus_locations,4719bc18261519f0edb1e5ded79bc87d,german_fires_cottbus_locations__4719bc18261519f0edb1e5ded79bc87d
gallinchen,"Gallinchen in Cottbus, Germany",51.7076391,14.3529134,1,,,,Legislator,"Gallinchen in Cottbus, Germany",,german_fires_cottbus_locations,0a207c62228cfb8e09ace6eb7f15b5c0,german_fires_cottbus_locations__0a207c62228cfb8e09ace6eb7f15b5c0
gross gaglow,"Gross Gaglow in Cottbus, Germany",51.7061714,14.3214316,1,,,,Person,"Gross Gaglow in Cottbus, Germany",,german_fires_cottbus_locations,59d894251ee79bde530214400c6388e7,german_fires_cottbus_locations__59d894251ee79bde530214400c6388e7
kahren,"Kahren in Cottbus, Germany",51.724521,14.4117712,1,,,,IndustryTerm,"Kahren in Cottbus, Germany",,german_fires_cottbus_locations,22afbcf1785fc7d5c7e66edef4b39c1a,german_fires_cottbus_locations__22afbcf1785fc7d5c7e66edef4b39c1a
kiekebusch,"Kiekebusch in Cottbus, Germany",51.7218947,14.3681005,1,,,,AAEntity,"Kiekebusch in Cottbus, Germany",,german_fires_cottbus_locations,604d54927bf08f3772a05a509ed4648e,german_fires_cottbus_locations__604d54927bf08f3772a05a509ed4648e
madlow,"Madlow in Cottbus, Germany",51.7225191,14.3450067,1,,,,IndustryTerm,"Madlow in Cottbus, Germany",,german_fires_cottbus_locations,1d9a19bd7fd9a6a7155882f598c33226,german_fires_cottbus_locations__1d9a19bd7fd9a6a7155882f598c33226
merzdorf,"Merzdorf in Cottbus, Germany",51.7804568,14.3951398,1,,,,IndustryTerm,"Merzdorf in Cottbus, Germany",,german_fires_cottbus_locations,7dd5c145aca613cef1cb7c06e24f466a,german_fires_cottbus_locations__7dd5c145aca613cef1cb7c06e24f466a
mitte,"Mitte in Cottbus, Germany",51.759131,14.342699,1,,,,ForeignMinistry,"Mitte in Cottbus, Germany",,german_fires_cottbus_locations,b6b34583d018e0c201340ba21f65bd38,german_fires_cottbus_locations__b6b34583d018e0c201340ba21f65bd38
sachsendorf,"Sachsendorf in Cottbus, Germany",51.721751,14.3259268,1,,,,ForeignMinistry,"Sachsendorf in Cottbus, Germany",,german_fires_cottbus_locations,f5a9d2385dfaecd3688714c327683ab2,german_fires_cottbus_locations__f5a9d2385dfaecd3688714c327683ab2
sandow,"Sandow in Cottbus, Germany",51.7617842,14.3466473,1,,,,Wells,"Sandow in Cottbus, Germany",,german_fires_cottbus_locations,c2e59f801dab56f49e7290f6410cd24c,german_fires_cottbus_locations__c2e59f801dab56f49e7290f6410cd24c
saspow,"Saspow in Cottbus, Germany",51.7889046,14.3543565,1,,,,Pipeline,"Saspow in Cottbus, Germany",,german_fires_cottbus_locations,9185c7eb73e393a080514dd63305bfce,german_fires_cottbus_locations__9185c7eb73e393a080514dd63305bfce
schmellwitz,"Schmellwitz in Cottbus, Germany",51.778262,14.335441,1,,,,LegislativeCommittee,"Schmellwitz in Cottbus, Germany",,german_fires_cottbus_locations,e5640dbd47142e579b4be506981f9a6e,german_fires_cottbus_locations__e5640dbd47142e579b4be506981f9a6e
sielow,"Sielow in Cottbus, Germany",51.792195,14.3036604,1,,,,Media,"Sielow in Cottbus, Germany",,german_fires_cottbus_locations,8f4ffe41f9816688fbe4f53e81e02c16,german_fires_cottbus_locations__8f4ffe41f9816688fbe4f53e81e02c16
skadow,"Skadow in Cottbus, Germany",51.8090646,14.3601615,1,,,,Keyphrase,"Skadow in Cottbus, Germany",,german_fires_cottbus_locations,b87c4ddd435d83c0d389784f65f916ba,german_fires_cottbus_locations__b87c4ddd435d83c0d389784f65f916ba
spremberger vorstadt,"Spremberger Vorstadt in Cottbus, Germany",51.7433059,14.312147,1,,,,Wells,"Spremberger Vorstadt in Cottbus, Germany",,german_fires_cottbus_locations,940bab500b1f7fdf68886be37d3cd0fa,german_fires_cottbus_locations__940bab500b1f7fdf68886be37d3cd0fa
strobitz,"Strobitz in Cottbus, Germany",51.7592076,14.2998992,1,,,,Media,"Strobitz in Cottbus, Germany",,german_fires_cottbus_locations,1a3f17b20b8fa9d4acf584ff5f82a914,german_fires_cottbus_locations__1a3f17b20b8fa9d4acf584ff5f82a914
willmersdorf,"Willmersdorf in Cottbus, Germany",51.8144011,14.3822394,1,,,,Shipping,"Willmersdorf in Cottbus, Germany",,german_fires_cottbus_locations,bf7f4363288c3691cf61cac15acbc682,german_fires_cottbus_locations__bf7f4363288c3691cf61cac15acbc682
lst_lau_cb_bf,"Cottbus, Germany",51.75592493,14.33717663,,,,,Exec,"Cottbus, Germany",,german_fires_cottbus_locations,5ab50f39dbc453fb94c833ced888fa6a,german_fires_cottbus_locations__5ab50f39dbc453fb94c833ced888fa6a
