german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
arheilgen,"Arheilgen in Darmstadt, Germany",49.9136962,8.6549022,2,"Darmstadt, Germany",49.87341164,8.657566225,,,,,Exec,"Arheilgen in Darmstadt, Germany",,german_fires_darmstadt_locations,2de04c1ec6e4b1e1905c1ecb7de85c41,german_fires_darmstadt_locations__2de04c1ec6e4b1e1905c1ecb7de85c41
bessungen,"Bessungen in Darmstadt, Germany",49.8582847,8.6550418,2,,,,,,,,CompanyKeyword,"Bessungen in Darmstadt, Germany",,german_fires_darmstadt_locations,59985fd54a7f0691ea2dd3c80106d4a9,german_fires_darmstadt_locations__59985fd54a7f0691ea2dd3c80106d4a9
eberstadt,"Eberstadt in Darmstadt, Germany",49.8170327,8.6459789,2,,,,,,,ss,Pipeline,"Eberstadt in Darmstadt, Germany",,german_fires_darmstadt_locations,1d747e5050ceb37b0dd4ad03b7f28d82,german_fires_darmstadt_locations__1d747e5050ceb37b0dd4ad03b7f28d82
kranichstein,"Kranichstein in Darmstadt, Germany",49.8958844,8.6861775,2,,,,,,,u,News,"Kranichstein in Darmstadt, Germany",,german_fires_darmstadt_locations,68455ee10deac73584fc6305de6d70cf,german_fires_darmstadt_locations__68455ee10deac73584fc6305de6d70cf
wixhausen,"Wixhausen in Darmstadt, Germany",49.9315042,8.6500832,2,,,,,,,a,Person,"Wixhausen in Darmstadt, Germany",,german_fires_darmstadt_locations,c6803acf45cd20c3bc2296424d5efd4a,german_fires_darmstadt_locations__c6803acf45cd20c3bc2296424d5efd4a
darmstadt-mitte,"Darmstadt-Mitte in Darmstadt, Germany",49.8745699,8.6522419,2,,,,,,,o,FTO,"Darmstadt-Mitte in Darmstadt, Germany",,german_fires_darmstadt_locations,bd5d7f35ad00749f83f2de56f3263498,german_fires_darmstadt_locations__bd5d7f35ad00749f83f2de56f3263498
stadtzentrum,"Stadtzentrum in Darmstadt, Germany",49.8779132,8.6454196,2,,,,,,,,Media,"Stadtzentrum in Darmstadt, Germany",,german_fires_darmstadt_locations,6a31bd0b49e7ab3af4d5c5e974c1a218,german_fires_darmstadt_locations__6a31bd0b49e7ab3af4d5c5e974c1a218
rheintor,"Rheintor in Darmstadt, Germany",49.8722899,8.6482509,2,,,,,,,,ForeignMinistry,"Rheintor in Darmstadt, Germany",,german_fires_darmstadt_locations,181ad8386fac15aa074722d99961e9be,german_fires_darmstadt_locations__181ad8386fac15aa074722d99961e9be
hochschulviertel,"Hochschulviertel in Darmstadt, Germany",49.877091,8.6530204,2,,,,,,,,ForeignMinister,"Hochschulviertel in Darmstadt, Germany",,german_fires_darmstadt_locations,5cccb4b4909fb79985f2696be96d622a,german_fires_darmstadt_locations__5cccb4b4909fb79985f2696be96d622a
kapellplatzviertel,"Kapellplatzviertel in Darmstadt, Germany",49.8694957,8.6597143,2,,,,,,,,ForeignMinister,"Kapellplatzviertel in Darmstadt, Germany",,german_fires_darmstadt_locations,9ca2f484755ae5b29b1205989ce16ad0,german_fires_darmstadt_locations__9ca2f484755ae5b29b1205989ce16ad0
st. ludwig mit eichbergviertel,"St. Ludwig mit Eichbergviertel in Darmstadt, Germany",49.8681083,8.6523883,2,,,,,,,,DiplomaticFacilities,"St. Ludwig mit Eichbergviertel in Darmstadt, Germany",,german_fires_darmstadt_locations,80787c08d210a2d58563951d1bbe167c,german_fires_darmstadt_locations__80787c08d210a2d58563951d1bbe167c
