german_text,caption_text,lat,lon,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
innere altstadt,"Innere Altstadt in Dresden, Germany",51.0516953,13.7389479,"Dresden, Germany",51.08922784,13.7941118,Wells,"Innere Altstadt in Dresden, Germany",,german_fires_dresden_locations,0dacdd66b940b128a5f829b9e38d21b2,german_fires_dresden_locations__0dacdd66b940b128a5f829b9e38d21b2
pirnaische vorstadt,"Pirnaische Vorstadt in Dresden, Germany",51.0518817,13.7533705,,,,Legislator,"Pirnaische Vorstadt in Dresden, Germany",,german_fires_dresden_locations,978ae8a8fc42a29535b11193af4b64f5,german_fires_dresden_locations__978ae8a8fc42a29535b11193af4b64f5
seevorstadt-ost,"Seevorstadt-Ost in Dresden, Germany",51.0366112,13.7587714,,,,Refinery,"Seevorstadt-Ost in Dresden, Germany",,german_fires_dresden_locations,017721139b75623e3f3c8d7dda36b1c0,german_fires_dresden_locations__017721139b75623e3f3c8d7dda36b1c0
strehlen-nordwest,"Strehlen-Nordwest in Dresden, Germany",51.0306807,13.7619435,,,,ForeignMinistry,"Strehlen-Nordwest in Dresden, Germany",,german_fires_dresden_locations,2d7671d6ae1284692fac708091035e06,german_fires_dresden_locations__2d7671d6ae1284692fac708091035e06
grosser garten,"Grosser Garten in Dresden, Germany",51.0378515,13.7628617,,,,FTO,"Grosser Garten in Dresden, Germany",,german_fires_dresden_locations,7e8c7dd233adc81517ebcc20549f1b3c,german_fires_dresden_locations__7e8c7dd233adc81517ebcc20549f1b3c
wilsdruffer vorstadt,"Wilsdruffer Vorstadt in Dresden, Germany",51.0523159,13.7274943,,,,CompanyKeyword,"Wilsdruffer Vorstadt in Dresden, Germany",,german_fires_dresden_locations,cdbfef8138d696f536308f89ed09db48,german_fires_dresden_locations__cdbfef8138d696f536308f89ed09db48
friedrichstadt,"Friedrichstadt in Dresden, Germany",51.0615344,13.7128755,,,,Exec,"Friedrichstadt in Dresden, Germany",,german_fires_dresden_locations,bb2ef20e38858a811a5e88ac8769902a,german_fires_dresden_locations__bb2ef20e38858a811a5e88ac8769902a
johannstadt-nord,"Johannstadt-Nord in Dresden, Germany",51.051662,13.7663115,,,,CompanyKeyword,"Johannstadt-Nord in Dresden, Germany",,german_fires_dresden_locations,b7d54aea29c3f0eacacead28c3e377e7,german_fires_dresden_locations__b7d54aea29c3f0eacacead28c3e377e7
johannstadt-sud,"Johannstadt-Sud in Dresden, Germany",51.051662,13.7663115,,,,News,"Johannstadt-Sud in Dresden, Germany",,german_fires_dresden_locations,4658b4cd440d3ef4ecf37ab3eb59a846,german_fires_dresden_locations__4658b4cd440d3ef4ecf37ab3eb59a846
seevorstadt-west,"Seevorstadt-West in Dresden, Germany",51.0431081,13.7377985,,,,Pipeline,"Seevorstadt-West in Dresden, Germany",,german_fires_dresden_locations,aac01522fef62d40620be722ac23608d,german_fires_dresden_locations__aac01522fef62d40620be722ac23608d
blasewitz,"Blasewitz in Dresden, Germany",51.042873,13.7953974,,,,Exec,"Blasewitz in Dresden, Germany",,german_fires_dresden_locations,683ffe2d0878eb39437309a5e7912027,german_fires_dresden_locations__683ffe2d0878eb39437309a5e7912027
neugruna,"Neugruna in Dresden, Germany",51.045241,13.8084885,,,,DiplomaticFacilities,"Neugruna in Dresden, Germany",,german_fires_dresden_locations,db9963ee0d556bcbd693804c36301caf,german_fires_dresden_locations__db9963ee0d556bcbd693804c36301caf
striesen-ost,"Striesen-Ost in Dresden, Germany",51.0432709,13.7919393,,,,FTO,"Striesen-Ost in Dresden, Germany",,german_fires_dresden_locations,72780e7a833d2bf726e1627ee712c99b,german_fires_dresden_locations__72780e7a833d2bf726e1627ee712c99b
striesen-sud,"Striesen-Sud in Dresden, Germany",51.0413273,13.7998223,,,,Media,"Striesen-Sud in Dresden, Germany",,german_fires_dresden_locations,fe905e18d56f6afbb786e6563405b0e5,german_fires_dresden_locations__fe905e18d56f6afbb786e6563405b0e5
striesen-west,"Striesen-West in Dresden, Germany",51.0432709,13.7919393,,,,IndustryTerm,"Striesen-West in Dresden, Germany",,german_fires_dresden_locations,c833b126c0f3f33cd343050f72a3bc62,german_fires_dresden_locations__c833b126c0f3f33cd343050f72a3bc62
johannstadt-sudost,"Johannstadt-Sudost in Dresden, Germany",51.051662,13.7663115,,,,Shipping,"Johannstadt-Sudost in Dresden, Germany",,german_fires_dresden_locations,de20b43d86eddb0174e38334fc3f5b44,german_fires_dresden_locations__de20b43d86eddb0174e38334fc3f5b44
seidnitz-nord,"Seidnitz-Nord in Dresden, Germany",51.026536,13.7984527,,,,AAEntity,"Seidnitz-Nord in Dresden, Germany",,german_fires_dresden_locations,8fa19505820b5c65fce149a735a96caa,german_fires_dresden_locations__8fa19505820b5c65fce149a735a96caa
tolkewitz,"Tolkewitz in Dresden, Germany",51.0340281,13.8245986,,,,space,"Tolkewitz in Dresden, Germany",,german_fires_dresden_locations,aef689521fc0ea365750a6e71c5a24aa,german_fires_dresden_locations__aef689521fc0ea365750a6e71c5a24aa
seidnitz,"Seidnitz in Dresden, Germany",51.026536,13.7984527,,,,CompanyKeyword,"Seidnitz in Dresden, Germany",,german_fires_dresden_locations,1175069e58dc983cb32073559d94b584,german_fires_dresden_locations__1175069e58dc983cb32073559d94b584
strehlen-nordost,"Strehlen-Nordost in Dresden, Germany",51.0306807,13.7619435,,,,Shipping,"Strehlen-Nordost in Dresden, Germany",,german_fires_dresden_locations,3cc168c53f11ad848094cea57915b807,german_fires_dresden_locations__3cc168c53f11ad848094cea57915b807
gruna,"Gruna in Dresden, Germany",51.0343693,13.7836002,,,,FTO,"Gruna in Dresden, Germany",,german_fires_dresden_locations,8496e57ed84f0def49ec4ff0476c0a36,german_fires_dresden_locations__8496e57ed84f0def49ec4ff0476c0a36
dobritz,"Dobritz in Dresden, Germany",51.0198145,13.8125927,,,,Wells,"Dobritz in Dresden, Germany",,german_fires_dresden_locations,366d3b2a6a47f1e22776143dea2d6edb,german_fires_dresden_locations__366d3b2a6a47f1e22776143dea2d6edb
friedrichstadt-sudwest,"Friedrichstadt-Sudwest in Dresden, Germany",51.0548372,13.6840456,,,,Shipping,"Friedrichstadt-Sudwest in Dresden, Germany",,german_fires_dresden_locations,199f50de147edf9667e53e5ab3b8c74f,german_fires_dresden_locations__199f50de147edf9667e53e5ab3b8c74f
cotta,"Cotta in Dresden, Germany",51.0548372,13.6840456,,,,Pipeline,"Cotta in Dresden, Germany",,german_fires_dresden_locations,8aae34512ce018c440b4f6ed6f37e13d,german_fires_dresden_locations__8aae34512ce018c440b4f6ed6f37e13d
lobtau-nord,"Lobtau-Nord in Dresden, Germany",51.0422862,13.7001358,,,,Keyphrase,"Lobtau-Nord in Dresden, Germany",,german_fires_dresden_locations,b44b766693edc2699933115f40dc5f48,german_fires_dresden_locations__b44b766693edc2699933115f40dc5f48
lobtau-sud,"Lobtau-Sud in Dresden, Germany",51.0422862,13.7001358,,,,LegislativeCommittee,"Lobtau-Sud in Dresden, Germany",,german_fires_dresden_locations,cf9dfafdb868d2cf4c055f8630a894dc,german_fires_dresden_locations__cf9dfafdb868d2cf4c055f8630a894dc
wolfnitz,"Wolfnitz in Dresden, Germany",51.0403013,13.677739,,,,Organization,"Wolfnitz in Dresden, Germany",,german_fires_dresden_locations,5b390433269fcdc2546d358a8f6391d9,german_fires_dresden_locations__5b390433269fcdc2546d358a8f6391d9
rossthal,"Rossthal in Dresden, Germany",51.0307866,13.6739344,,,,ForeignMinister,"Rossthal in Dresden, Germany",,german_fires_dresden_locations,66978a5e955a881eb7a6903bb5f92a11,german_fires_dresden_locations__66978a5e955a881eb7a6903bb5f92a11
niedergorbitz,"Niedergorbitz in Dresden, Germany",51.0525893,13.7371292,,,,space,"Niedergorbitz in Dresden, Germany",,german_fires_dresden_locations,ac16cf2e15ac88d40e9d4eaece4f80c6,german_fires_dresden_locations__ac16cf2e15ac88d40e9d4eaece4f80c6
dolzschen,"Dolzschen in Dresden, Germany",51.0251414,13.6878692,,,,CompanyKeyword,"Dolzschen in Dresden, Germany",,german_fires_dresden_locations,4c4f03bdd90df19543ebe222977f3b93,german_fires_dresden_locations__4c4f03bdd90df19543ebe222977f3b93
stetzsch,"Stetzsch in Dresden, Germany",51.0801511,13.6612564,,,,CompanyKeyword,"Stetzsch in Dresden, Germany",,german_fires_dresden_locations,91bd1f65dcc3a5fb908cb04129fc9a06,german_fires_dresden_locations__91bd1f65dcc3a5fb908cb04129fc9a06
kemnitz,"Kemnitz in Dresden, Germany",51.0732462,13.6634105,,,,FTO,"Kemnitz in Dresden, Germany",,german_fires_dresden_locations,7fd8d3d2b0f802eeb3a9b4cad45e359d,german_fires_dresden_locations__7fd8d3d2b0f802eeb3a9b4cad45e359d
leutewitz,"Leutewitz in Dresden, Germany",51.0560922,13.6734982,,,,Media,"Leutewitz in Dresden, Germany",,german_fires_dresden_locations,66c70f625cf60843f2a22ddb782bb5aa,german_fires_dresden_locations__66c70f625cf60843f2a22ddb782bb5aa
