german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
bubach-calmesweiler,"Bubach-Calmesweiler in Eppelborn, Germany",49.4101855,6.9431633,2,"Eppelborn, Germany",49.40806042,6.967210068,,,,Wells,"Bubach-Calmesweiler in Eppelborn, Germany",,german_fires_eppelborn_locations,8608560de52c3a52528950f3d454692d,german_fires_eppelborn_locations__8608560de52c3a52528950f3d454692d
dirmingen,"Dirmingen in Eppelborn, Germany",49.4161283,7.0137297,2,,,,,,,Pipeline,"Dirmingen in Eppelborn, Germany",,german_fires_eppelborn_locations,70d7463c52d4c1e0e88fa2a9eba8d333,german_fires_eppelborn_locations__70d7463c52d4c1e0e88fa2a9eba8d333
eppelborn,"Eppelborn in Eppelborn, Germany",49.4085629,6.9645334,2,,,,,,ss,Exec,"Eppelborn in Eppelborn, Germany",,german_fires_eppelborn_locations,8ca57a9f14c84d7ae657b8ae5640ee6f,german_fires_eppelborn_locations__8ca57a9f14c84d7ae657b8ae5640ee6f
habach,"Habach in Eppelborn, Germany",49.385262,6.959063,2,,,,,,u,Exec,"Habach in Eppelborn, Germany",,german_fires_eppelborn_locations,3df90e3fffa51630e9d71b305c8a65f7,german_fires_eppelborn_locations__3df90e3fffa51630e9d71b305c8a65f7
hierscheid,"Hierscheid in Eppelborn, Germany",49.396118,6.985714,2,,,,,,a,Refinery,"Hierscheid in Eppelborn, Germany",,german_fires_eppelborn_locations,325cfa3e945a4f6990f066508994927b,german_fires_eppelborn_locations__325cfa3e945a4f6990f066508994927b
humes,"Humes in Eppelborn, Germany",49.3902736,6.9980967,2,,,,,,o,Diplomat,"Humes in Eppelborn, Germany",,german_fires_eppelborn_locations,6eedf0d4daa46090dfa0b6e7849412a3,german_fires_eppelborn_locations__6eedf0d4daa46090dfa0b6e7849412a3
macherbach,"Macherbach in Eppelborn, Germany",49.422481,6.957921,2,,,,,,,Person,"Macherbach in Eppelborn, Germany",,german_fires_eppelborn_locations,388aacb7b1b9ce9d328dd88480a2e2bd,german_fires_eppelborn_locations__388aacb7b1b9ce9d328dd88480a2e2bd
wiesbach,"Wiesbach in Eppelborn, Germany",49.3712474,6.9792318,2,,,,,,,Exec,"Wiesbach in Eppelborn, Germany",,german_fires_eppelborn_locations,24908f260be771f8771b95f820345268,german_fires_eppelborn_locations__24908f260be771f8771b95f820345268
ackerstr.,"Ackerstr. in Eppelborn, Germany",49.3770547,6.9711839,1,,,,,,,ForeignMinister,"Ackerstr. in Eppelborn, Germany",,german_fires_eppelborn_locations,2cc1d3e7b69c74c488ed98c9111a02dd,german_fires_eppelborn_locations__2cc1d3e7b69c74c488ed98c9111a02dd
ahornweg,"Ahornweg in Eppelborn, Germany",49.4053237,6.9483527,1,,,,,,,space,"Ahornweg in Eppelborn, Germany",,german_fires_eppelborn_locations,73db66a62b6e0d63187a4240666fe4cf,german_fires_eppelborn_locations__73db66a62b6e0d63187a4240666fe4cf
alfred-gross-str.,"Alfred-Gross-Str. in Eppelborn, Germany",49.4030777,6.970916,1,,,,,,,IndustryTerm,"Alfred-Gross-Str. in Eppelborn, Germany",,german_fires_eppelborn_locations,09d5907d28be3d5e5f8f0b232828004e,german_fires_eppelborn_locations__09d5907d28be3d5e5f8f0b232828004e
