german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
buchenbach west,"Buchenbach West in Erlangen, Germany",49.5934349,10.965976,2,"Erlangen, Germany",49.58960104,11.01126111,,,Shipping,"Buchenbach West in Erlangen, Germany",,german_fires_erlangen_locations,5f894af9678f2b59034717a4e3d8fae3,german_fires_erlangen_locations__5f894af9678f2b59034717a4e3d8fae3
dechsendorf ost,"Dechsendorf Ost in Erlangen, Germany",49.6309138,10.9381534,2,,,,,,FTO,"Dechsendorf Ost in Erlangen, Germany",,german_fires_erlangen_locations,01a7d007676ef8b2c4df7eb2cba122c8,german_fires_erlangen_locations__01a7d007676ef8b2c4df7eb2cba122c8
in der reuth,"In der Reuth in Erlangen, Germany",49.6035576,10.9598011,2,,,,,,Refinery,"In der Reuth in Erlangen, Germany",,german_fires_erlangen_locations,c84ba7cb03297ebb4ad50cfe1719ec76,german_fires_erlangen_locations__c84ba7cb03297ebb4ad50cfe1719ec76
rathausplatz,"Rathausplatz in Erlangen, Germany",49.5910806,11.0067144,2,,,,,ss,Organization,"Rathausplatz in Erlangen, Germany",,german_fires_erlangen_locations,580bb79cdf0595f39f6380f4a58bad6d,german_fires_erlangen_locations__580bb79cdf0595f39f6380f4a58bad6d
steudach,"Steudach in Erlangen, Germany",49.5778755,10.9433049,2,,,,,u,Wells,"Steudach in Erlangen, Germany",,german_fires_erlangen_locations,75815e5b6f56bc595fcd7cac947ff533,german_fires_erlangen_locations__75815e5b6f56bc595fcd7cac947ff533
west,"West in Erlangen, Germany",49.5896744,11.0119611,2,,,,,a,Organization,"West in Erlangen, Germany",,german_fires_erlangen_locations,392fba5d00c1d384d655cd7fccd5ccce,german_fires_erlangen_locations__392fba5d00c1d384d655cd7fccd5ccce
alterlangen,"Alterlangen in Erlangen, Germany",49.6021215,10.9829943,2,,,,,o,Pipeline,"Alterlangen in Erlangen, Germany",,german_fires_erlangen_locations,831b6fc660122938dc3e043daba7ab53,german_fires_erlangen_locations__831b6fc660122938dc3e043daba7ab53
altstadt,"Altstadt in Erlangen, Germany",49.601215,11.0056873,2,,,,,,space,"Altstadt in Erlangen, Germany",,german_fires_erlangen_locations,b3f9f0af29ddf66d45322114304a7c51,german_fires_erlangen_locations__b3f9f0af29ddf66d45322114304a7c51
anger,"Anger in Erlangen, Germany",49.5846241,10.9973053,2,,,,,,DiplomaticFacilities,"Anger in Erlangen, Germany",,german_fires_erlangen_locations,f5f1bbca3c4b65c6a795c1411f83410d,german_fires_erlangen_locations__f5f1bbca3c4b65c6a795c1411f83410d
bachfeld,"Bachfeld in Erlangen, Germany",50.4085447,10.9803905,2,,,,,,News,"Bachfeld in Erlangen, Germany",,german_fires_erlangen_locations,a962bf6a79d0506df343b3f04162718a,german_fires_erlangen_locations__a962bf6a79d0506df343b3f04162718a
