german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
altstadt,"Altstadt in Flensburg, Germany",54.7894664,9.4400792,2,"Flensburg, Germany",54.79372316,9.445813781,ForeignMinister,"Altstadt in Flensburg, Germany",,german_fires_flensburg_locations,3bd0da75d05172469bc8a4dee39ce4a5,german_fires_flensburg_locations__3bd0da75d05172469bc8a4dee39ce4a5
engelsby,"Engelsby in Flensburg, Germany",54.7969431,9.4894,2,,,,IndustryTerm,"Engelsby in Flensburg, Germany",,german_fires_flensburg_locations,a13d7257b5eb965dcda3b12827031a6f,german_fires_flensburg_locations__a13d7257b5eb965dcda3b12827031a6f
friesischer berg,"Friesischer Berg in Flensburg, Germany",54.7762872,9.4051095,2,,,,Person,"Friesischer Berg in Flensburg, Germany",,german_fires_flensburg_locations,85743bfd71bac2a2bf4e52c214d3136d,german_fires_flensburg_locations__85743bfd71bac2a2bf4e52c214d3136d
fruerlund,"Fruerlund in Flensburg, Germany",54.790663,9.461182,2,,,,Consulates,"Fruerlund in Flensburg, Germany",,german_fires_flensburg_locations,df512e041d65c12dced810f1ab1c3a9a,german_fires_flensburg_locations__df512e041d65c12dced810f1ab1c3a9a
jurgensby,"Jurgensby in Flensburg, Germany",54.7878271,9.4476056,2,,,,AAEntity,"Jurgensby in Flensburg, Germany",,german_fires_flensburg_locations,d380c26a23b217a44157fd774cd8bcaf,german_fires_flensburg_locations__d380c26a23b217a44157fd774cd8bcaf
murwik,"Murwik in Flensburg, Germany",54.8106782,9.4767572,2,,,,Wells,"Murwik in Flensburg, Germany",,german_fires_flensburg_locations,f4e13c055640da6ffb76107fdf6b1a57,german_fires_flensburg_locations__f4e13c055640da6ffb76107fdf6b1a57
neustadt,"Neustadt in Flensburg, Germany",54.7977773,9.4261716,2,,,,Exec,"Neustadt in Flensburg, Germany",,german_fires_flensburg_locations,ed8a79461046eff443278e8cfe929bf0,german_fires_flensburg_locations__ed8a79461046eff443278e8cfe929bf0
nordstadt,"Nordstadt in Flensburg, Germany",54.8076843,9.423181,2,,,,DiplomaticFacilities,"Nordstadt in Flensburg, Germany",,german_fires_flensburg_locations,2d824c8d8e75453bdaa0848578f83c51,german_fires_flensburg_locations__2d824c8d8e75453bdaa0848578f83c51
sandberg,"Sandberg in Flensburg, Germany",54.7803985,9.4433467,2,,,,Refinery,"Sandberg in Flensburg, Germany",,german_fires_flensburg_locations,fa2c0d1ad2a71c4c73ac36772b40c0ce,german_fires_flensburg_locations__fa2c0d1ad2a71c4c73ac36772b40c0ce
sudstadt,"Sudstadt in Flensburg, Germany",54.767544,9.4401184,2,,,,Legislator,"Sudstadt in Flensburg, Germany",,german_fires_flensburg_locations,fd11773fa829fea42ca08e4f0a7d29f7,german_fires_flensburg_locations__fd11773fa829fea42ca08e4f0a7d29f7
tarup,"Tarup in Flensburg, Germany",54.7817978,9.4733498,2,,,,Person,"Tarup in Flensburg, Germany",,german_fires_flensburg_locations,9f6c78f3631393a6db6ea56536c6c991,german_fires_flensburg_locations__9f6c78f3631393a6db6ea56536c6c991
weiche,"Weiche in Flensburg, Germany",54.755495,9.4024448,2,,,,Media,"Weiche in Flensburg, Germany",,german_fires_flensburg_locations,dd47cecb1cd8061a51b16c780d4e9064,german_fires_flensburg_locations__dd47cecb1cd8061a51b16c780d4e9064
westliche hohe,"Westliche Hohe in Flensburg, Germany",54.7914642,9.4177453,2,,,,LegislativeCommittee,"Westliche Hohe in Flensburg, Germany",,german_fires_flensburg_locations,742079cca35d8f1faaeb38bfc96925bd,german_fires_flensburg_locations__742079cca35d8f1faaeb38bfc96925bd
abt-nikolaus-pfad,"Abt-Nikolaus-Pfad in Flensburg, Germany",54.7584405,9.3863468,1,,,,Shipping,"Abt-Nikolaus-Pfad in Flensburg, Germany",,german_fires_flensburg_locations,902609c7a17968be2e0a8fde9e7c27c5,german_fires_flensburg_locations__902609c7a17968be2e0a8fde9e7c27c5
adelbyer kirchenweg,"Adelbyer Kirchenweg in Flensburg, Germany",54.7885051,9.4583502,1,,,,Media,"Adelbyer Kirchenweg in Flensburg, Germany",,german_fires_flensburg_locations,9e4fb05d2cc262222370200d49765126,german_fires_flensburg_locations__9e4fb05d2cc262222370200d49765126
adelbyer str.,"Adelbyer Strasse in Flensburg, Germany",54.7835911,9.4519663,1,,,,FTO,"Adelbyer Strasse in Flensburg, Germany",,german_fires_flensburg_locations,6034045d8520f90ca7735e32ff38e1f1,german_fires_flensburg_locations__6034045d8520f90ca7735e32ff38e1f1
adelbyer weg,"Adelbyer Weg in Flensburg, Germany",54.7829694,9.4520646,1,,,,Legislator,"Adelbyer Weg in Flensburg, Germany",,german_fires_flensburg_locations,f9e9d7541826b278620cf34f7743a116,german_fires_flensburg_locations__f9e9d7541826b278620cf34f7743a116
adelbyheck,"Adelbyheck in Flensburg, Germany",54.787977,9.4551733,1,,,,ForeignMinister,"Adelbyheck in Flensburg, Germany",,german_fires_flensburg_locations,a738c6c52de428e88fee5613297c96e3,german_fires_flensburg_locations__a738c6c52de428e88fee5613297c96e3
adelbykamp,"Adelbykamp in Flensburg, Germany",54.7848468,9.4502981,1,,,,Diplomat,"Adelbykamp in Flensburg, Germany",,german_fires_flensburg_locations,c7f63d5a05b7587b516aab68a6842f36,german_fires_flensburg_locations__c7f63d5a05b7587b516aab68a6842f36
adelbylund,"Adelbylund in Flensburg, Germany",54.78114,9.4577187,1,,,,News,"Adelbylund in Flensburg, Germany",,german_fires_flensburg_locations,f290963afe140d50c62e8112c4fd4572,german_fires_flensburg_locations__f290963afe140d50c62e8112c4fd4572
adelbytoft,"Adelbytoft in Flensburg, Germany",54.7818396,9.4523359,1,,,,Consulates,"Adelbytoft in Flensburg, Germany",,german_fires_flensburg_locations,8bc2e56069ef43ff2d081073b4ee6805,german_fires_flensburg_locations__8bc2e56069ef43ff2d081073b4ee6805
adolf-menzel-weg,"Adolf-Menzel-Weg in Flensburg, Germany",54.7980617,9.4560613,1,,,,Organization,"Adolf-Menzel-Weg in Flensburg, Germany",,german_fires_flensburg_locations,e84d9a894362b86d7ee67f8476da4bec,german_fires_flensburg_locations__e84d9a894362b86d7ee67f8476da4bec
ahornweg,"Ahornweg in Flensburg, Germany",54.7543527,9.395915,1,,,,IndustryTerm,"Ahornweg in Flensburg, Germany",,german_fires_flensburg_locations,2217d69b536b6816fdb37eaf7c79d47c,german_fires_flensburg_locations__2217d69b536b6816fdb37eaf7c79d47c
albert-schweitzer-hof,"Albert-Schweitzer-Hof in Flensburg, Germany",54.7792597,9.4119653,1,,,,Legislator,"Albert-Schweitzer-Hof in Flensburg, Germany",,german_fires_flensburg_locations,4b8424fbd92dfeac6f9819be4fe9adce,german_fires_flensburg_locations__4b8424fbd92dfeac6f9819be4fe9adce
alsenstr.,"Alsenstrasse in Flensburg, Germany",54.8088412,9.4204561,1,,,,Organization,"Alsenstrasse in Flensburg, Germany",,german_fires_flensburg_locations,34069a1ab9cf064f91d4a92ca0c13713,german_fires_flensburg_locations__34069a1ab9cf064f91d4a92ca0c13713
