german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
altstadt,"Altstadt in Frankfurt, Germany",50.1100897,8.6822492,2,"Frankfurt, Germany",50.11122029,8.675795592,IndustryTerm,"Altstadt in Frankfurt, Germany",,german_fires_frankfurt_locations,2e1e8e20e23b993b41d5f2e13a0c6244,german_fires_frankfurt_locations__394029e3512eec0dc03742de47683dec
innenstadt,"Innenstadt in Frankfurt, Germany",50.1106593,8.6752721,2,,,,Consulates,"Innenstadt in Frankfurt, Germany",,german_fires_frankfurt_locations,4c767da1b6e4fd6b0d4999320d333180,german_fires_frankfurt_locations__85c27ded7e94a644686bc4d0417695a7
bahnhofsviertel,"Bahnhofsviertel in Frankfurt, Germany",50.1091032,8.6695217,2,,,,LegislativeCommittee,"Bahnhofsviertel in Frankfurt, Germany",,german_fires_frankfurt_locations,7aa9d3087a868c9a508672b657e82f77,german_fires_frankfurt_locations__b43d57eab1d3cff1b3a835ad46d78e7e
westend-sud,"Westend-Sud in Frankfurt, Germany",50.1157078,8.6591469,2,,,,IndustryTerm,"Westend-Sud in Frankfurt, Germany",,german_fires_frankfurt_locations,f84849c2651febf609fbbff4b509f20d,german_fires_frankfurt_locations__2b2db21146907267f44e429b34677c92
westend-nord,"Westend-Nord in Frankfurt, Germany",50.114932,8.6586998,2,,,,DiplomaticFacilities,"Westend-Nord in Frankfurt, Germany",,german_fires_frankfurt_locations,7cad81b7b45721a0ea524cfc2154f614,german_fires_frankfurt_locations__c2b01375836666af9df06332bee49381
nordend-west,"Nordend-West in Frankfurt, Germany",50.1294372,8.6832832,2,,,,DiplomaticFacilities,"Nordend-West in Frankfurt, Germany",,german_fires_frankfurt_locations,237e7f2065c62eedad2f6069e5f6bc91,german_fires_frankfurt_locations__5a9785fb1d2c03c3625ff81fee4a7d4e
nordend-ost,"Nordend-Ost in Frankfurt, Germany",50.1270753,8.697468,2,,,,Legislator,"Nordend-Ost in Frankfurt, Germany",,german_fires_frankfurt_locations,a9d2aeb521e48529f5f65bb7336a1533,german_fires_frankfurt_locations__491e5ec1bc9f9d2d433f6fa0c15b5a78
ostend,"Ostend in Frankfurt, Germany",50.1115462,8.7059524,2,,,,Organization,"Ostend in Frankfurt, Germany",,german_fires_frankfurt_locations,10f88aed91c7a8b5fd4c8cab2b06995e,german_fires_frankfurt_locations__1a0d639298f1ba3c39ebdbcc768cc663
bornheim,"Bornheim in Frankfurt, Germany",50.1309177,8.7088466,2,,,,ForeignMinistry,"Bornheim in Frankfurt, Germany",,german_fires_frankfurt_locations,d9ec7de57ab1ff18b2e5bc3375f53818,german_fires_frankfurt_locations__9c4868eea6355a6f840825ebee646471
gutleutviertel,"Gutleutviertel in Frankfurt, Germany",50.1016527,8.6595725,2,,,,DiplomaticFacilities,"Gutleutviertel in Frankfurt, Germany",,german_fires_frankfurt_locations,69c06783eb589907b81a94a3e3a29994,german_fires_frankfurt_locations__efa6ceecfc9200c8ca479d99de17be1e
gallus,"Gallus in Frankfurt, Germany",50.1047735,8.642458,2,,,,Exec,"Gallus in Frankfurt, Germany",,german_fires_frankfurt_locations,fe57c822435410c805a392e2800a9917,german_fires_frankfurt_locations__f5efad53400183a744980cc569a4c61a
bockenheim,"Bockenheim in Frankfurt, Germany",50.1191151,8.6435868,2,,,,space,"Bockenheim in Frankfurt, Germany",,german_fires_frankfurt_locations,c7f215a64772fb31bc76c3c1a36fe93a,german_fires_frankfurt_locations__a2f1293cc89a9b83652fb5b7ecf66570
sachsenhausen-nord,"Sachsenhausen-Nord in Frankfurt, Germany",50.1011147,8.6850179,2,,,,DiplomaticFacilities,"Sachsenhausen-Nord in Frankfurt, Germany",,german_fires_frankfurt_locations,5d007bc694e89c5d3d3e5e1c6d3638b9,german_fires_frankfurt_locations__5b4a12e145835c62299b0f497461986f
sachsenhausen-sud,"Sachsenhausen-Sud in Frankfurt, Germany",50.1011147,8.6850179,2,,,,Media,"Sachsenhausen-Sud in Frankfurt, Germany",,german_fires_frankfurt_locations,73ea0e6baad653d58e2e16bd89693bee,german_fires_frankfurt_locations__8914900a7f8646408cde5f5ea34b3455
flughafen,"Flughafen in Frankfurt, Germany",50.041381,8.5800547,2,,,,Diplomat,"Flughafen in Frankfurt, Germany",,german_fires_frankfurt_locations,1b1a88d5bfa834d58687a6330a4d0c7b,german_fires_frankfurt_locations__6b2258b83f9fae49aaf2233081372367
oberrad,"Oberrad in Frankfurt, Germany",50.1002823,8.7242791,2,,,,Refinery,"Oberrad in Frankfurt, Germany",,german_fires_frankfurt_locations,575e2e0fabc4aee73017b8f7f8b9032e,german_fires_frankfurt_locations__61977e3e7052d65810ef58589241f8d8
niederrad,"Niederrad in Frankfurt, Germany",50.083698,8.6443596,2,,,,Exec,"Niederrad in Frankfurt, Germany",,german_fires_frankfurt_locations,9d7195c402c14e526a0d5775c65f8705,german_fires_frankfurt_locations__ef51b09ddc6896d617d69ba70bd08a07
schwanheim,"Schwanheim in Frankfurt, Germany",50.085849,8.5896714,2,,,,Diplomat,"Schwanheim in Frankfurt, Germany",,german_fires_frankfurt_locations,8826cc8dbb76dd4751aac96a0607201b,german_fires_frankfurt_locations__75329781c03a7529e2709d9bc61baab5
griesheim,"Griesheim in Frankfurt, Germany",50.0965406,8.5987565,2,,,,AAEntity,"Griesheim in Frankfurt, Germany",,german_fires_frankfurt_locations,65573f4c6f37e42697764fbea5231208,german_fires_frankfurt_locations__3b7a6c16ad4fad7d7fa7c421f408acdd
rodelheim,"Rodelheim in Frankfurt, Germany",50.127714,8.6076805,2,,,,Shipping,"Rodelheim in Frankfurt, Germany",,german_fires_frankfurt_locations,fd4c9903b429b6dce58767df17b7e30c,german_fires_frankfurt_locations__ad8ec39b90da75bb87f25f68aeb1c680
hausen,"Hausen in Frankfurt, Germany",50.1349474,8.6270024,2,,,,IndustryTerm,"Hausen in Frankfurt, Germany",,german_fires_frankfurt_locations,53c02ee3fad92b91805a6eb495a5c169,german_fires_frankfurt_locations__988b1f21fe786fae0002d29fbc273312
praunheim,"Praunheim in Frankfurt, Germany",50.149333,8.6188412,2,,,,Pipeline,"Praunheim in Frankfurt, Germany",,german_fires_frankfurt_locations,f63fb33656b321058ba898e6a4fbdc6f,german_fires_frankfurt_locations__1c0ec1c0cdc0bad199e60d4c5cc35899
heddernheim,"Heddernheim in Frankfurt, Germany",50.1612625,8.6424693,2,,,,Pipeline,"Heddernheim in Frankfurt, Germany",,german_fires_frankfurt_locations,ea48e1e92b6d3fcf3741363a97f91f2e,german_fires_frankfurt_locations__dff23af4b5401591068b39b764ad352e
niederursel,"Niederursel in Frankfurt, Germany",50.1654762,8.6212665,2,,,,Refinery,"Niederursel in Frankfurt, Germany",,german_fires_frankfurt_locations,ce0768de91329f65673c3fb9ebabb71c,german_fires_frankfurt_locations__037d236e026f88d22143bdb678354845
ginnheim,"Ginnheim in Frankfurt, Germany",50.1424791,8.6475496,2,,,,Consulates,"Ginnheim in Frankfurt, Germany",,german_fires_frankfurt_locations,34c8c6a1cfca95bf270bb9b108ccbdef,german_fires_frankfurt_locations__b02a42ec597b1e7f41fd126dea140aef
dornbusch,"Dornbusch in Frankfurt, Germany",50.1479878,8.6663255,2,,,,Exec,"Dornbusch in Frankfurt, Germany",,german_fires_frankfurt_locations,0491925ef8dc4b4f6ebd2c490f87eece,german_fires_frankfurt_locations__84ff4010391e2ab84dc32455830c40eb
eschersheim,"Eschersheim in Frankfurt, Germany",50.1562178,8.6574949,2,,,,News,"Eschersheim in Frankfurt, Germany",,german_fires_frankfurt_locations,1e927db32a88459546126644d2e771af,german_fires_frankfurt_locations__fcb41725cc45c935d66e9a81af794c81
eckenheim,"Eckenheim in Frankfurt, Germany",50.1501788,8.6830901,2,,,,space,"Eckenheim in Frankfurt, Germany",,german_fires_frankfurt_locations,a521d6284bba9aff5d0d69bd93370716,german_fires_frankfurt_locations__1d438786fe90eb8ef164b1af34c0152f
preungesheim,"Preungesheim in Frankfurt, Germany",50.1542684,8.6976313,2,,,,Refinery,"Preungesheim in Frankfurt, Germany",,german_fires_frankfurt_locations,faa6e447b9cdec61c78c5d95e39e63e0,german_fires_frankfurt_locations__6faa47ce0857c14a11f404870a40c690
