german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
atzenhof,"Atzenhof in Furth, Germany",49.5016101,10.9494888,2,"Furth, Germany",49.47685287,10.98759611,,,ss,LegislativeCommittee,"Atzenhof in Furth, Germany",,german_fires_furth_locations,4be84144f7994f5ca27ffa45f840bc10,german_fires_furth_locations__4be84144f7994f5ca27ffa45f840bc10
bislohe,"Bislohe in Furth, Germany",49.5077658,11.0061823,2,,,,,,u,Refinery,"Bislohe in Furth, Germany",,german_fires_furth_locations,312cdd69cf98f22d92818a6dee246a62,german_fires_furth_locations__312cdd69cf98f22d92818a6dee246a62
braunsbach,"Braunsbach in Furth, Germany",49.5045752,11.0208823,2,,,,,,a,News,"Braunsbach in Furth, Germany",,german_fires_furth_locations,dc04fd14dfc40c5e75115b44cafcf009,german_fires_furth_locations__dc04fd14dfc40c5e75115b44cafcf009
burgfarrnbach,"Burgfarrnbach in Furth, Germany",49.4905305,10.9239734,2,,,,,,o,FTO,"Burgfarrnbach in Furth, Germany",,german_fires_furth_locations,2425803af3ee82f3ddbc3b926531c202,german_fires_furth_locations__2425803af3ee82f3ddbc3b926531c202
dambach,"Dambach in Furth, Germany",49.462902,10.9707417,2,,,,,,,Media,"Dambach in Furth, Germany",,german_fires_furth_locations,7cfa28494d14e6dba3747d64ada0938d,german_fires_furth_locations__7cfa28494d14e6dba3747d64ada0938d
flexdorf,"Flexdorf in Furth, Germany",49.5113811,10.9550133,2,,,,,,,Exec,"Flexdorf in Furth, Germany",,german_fires_furth_locations,dc8d3b18516d1eed4b15cdc65e354e8e,german_fires_furth_locations__dc8d3b18516d1eed4b15cdc65e354e8e
herboldshof,"Herboldshof in Furth, Germany",49.5206239,10.9896034,2,,,,,,,Person,"Herboldshof in Furth, Germany",,german_fires_furth_locations,af6a007327106685f4fc1feef409c229,german_fires_furth_locations__af6a007327106685f4fc1feef409c229
kronach,"Kronach in Furth, Germany",49.500444,10.9986334,2,,,,,,,ForeignMinister,"Kronach in Furth, Germany",,german_fires_furth_locations,75c5c75e0afb1cb88469cee59946e0b8,german_fires_furth_locations__75c5c75e0afb1cb88469cee59946e0b8
mannhof,"Mannhof in Furth, Germany",49.5261072,10.9760595,2,,,,,,,Organization,"Mannhof in Furth, Germany",,german_fires_furth_locations,37f3b1fd4418b33623d7ba307490bacc,german_fires_furth_locations__37f3b1fd4418b33623d7ba307490bacc
oberfurberg,"Oberfurberg in Furth, Germany",49.4674936,10.9429052,2,,,,,,,Exec,"Oberfurberg in Furth, Germany",,german_fires_furth_locations,c3acf9bdc2fdbcaebc7a13e166b639cf,german_fires_furth_locations__c3acf9bdc2fdbcaebc7a13e166b639cf
poppenreuth,"Poppenreuth in Furth, Germany",49.4824015,11.0089162,2,,,,,,,ForeignMinister,"Poppenreuth in Furth, Germany",,german_fires_furth_locations,fb18c96b8cc694a9761d745e28b3c7e2,german_fires_furth_locations__fb18c96b8cc694a9761d745e28b3c7e2
ritzmannshof,"Ritzmannshof in Furth, Germany",49.5087917,10.9383163,2,,,,,,,DiplomaticFacilities,"Ritzmannshof in Furth, Germany",,german_fires_furth_locations,2da0f2e203252a3833931c2ec45b1c18,german_fires_furth_locations__2da0f2e203252a3833931c2ec45b1c18
ronhof,"Ronhof in Furth, Germany",49.4950469,11.0045671,2,,,,,,,Pipeline,"Ronhof in Furth, Germany",,german_fires_furth_locations,d03d5d943c3ecf26210a00b3bbcd346d,german_fires_furth_locations__d03d5d943c3ecf26210a00b3bbcd346d
sack,"Sack in Furth, Germany",49.5029443,11.0161627,2,,,,,,,Person,"Sack in Furth, Germany",,german_fires_furth_locations,e4632fe0d3a92a96e39153405fc20801,german_fires_furth_locations__e4632fe0d3a92a96e39153405fc20801
stadeln,"Stadeln in Furth, Germany",49.5084925,10.9784722,2,,,,,,,IndustryTerm,"Stadeln in Furth, Germany",,german_fires_furth_locations,9818840d5c9a1d259395461cac61010d,german_fires_furth_locations__9818840d5c9a1d259395461cac61010d
steinach,"Steinach in Furth, Germany",49.5142763,10.9958783,2,,,,,,,ForeignMinister,"Steinach in Furth, Germany",,german_fires_furth_locations,dbefddad3e06871c80073979e39acdd7,german_fires_furth_locations__dbefddad3e06871c80073979e39acdd7
unterfarrnbach,"Unterfarrnbach in Furth, Germany",49.4871,10.9599032,2,,,,,,,ForeignMinistry,"Unterfarrnbach in Furth, Germany",,german_fires_furth_locations,cf06138f9c7e43550d1c694c8e628518,german_fires_furth_locations__cf06138f9c7e43550d1c694c8e628518
unterfurberg,"Unterfurberg in Furth, Germany",49.4719042,10.9573343,2,,,,,,,Pipeline,"Unterfurberg in Furth, Germany",,german_fires_furth_locations,49e689dbad46d4ea7cbaba7fba16ecbe,german_fires_furth_locations__49e689dbad46d4ea7cbaba7fba16ecbe
vach,"Vach in Furth, Germany",49.517816,10.9617764,2,,,,,,,Exec,"Vach in Furth, Germany",,german_fires_furth_locations,9448269206290df86718b046c885e339,german_fires_furth_locations__9448269206290df86718b046c885e339
weikershof,"Weikershof in Furth, Germany",49.4397117,10.9912693,2,,,,,,,LegislativeCommittee,"Weikershof in Furth, Germany",,german_fires_furth_locations,7079c6c10d3130635f7c07eee41b98c2,german_fires_furth_locations__7079c6c10d3130635f7c07eee41b98c2
ackerstrasse,"Ackerstrasse in Furth, Germany",49.4814252,10.9990935,1,,,,,,,CompanyKeyword,"Ackerstrasse in Furth, Germany",,german_fires_furth_locations,cf37e09c558d500efe7fc46d22c513ac,german_fires_furth_locations__cf37e09c558d500efe7fc46d22c513ac
adalbert-stifter-strasse,"Adalbert-Stifter-Strasse in Furth, Germany",49.51734335,10.89432326,1,,,,,,,Shipping,"Adalbert-Stifter-Strasse in Furth, Germany",,german_fires_furth_locations,35412c421444d78e32e4bc1bd4511cb3,german_fires_furth_locations__35412c421444d78e32e4bc1bd4511cb3
adlerstrasse,"Adlerstrasse in Furth, Germany",49.4663985,10.9957964,1,,,,,,,Wells,"Adlerstrasse in Furth, Germany",,german_fires_furth_locations,1182cdf7fdd04293088179560bd186ea,german_fires_furth_locations__1182cdf7fdd04293088179560bd186ea
ahornstrasse,"Ahornstrasse in Furth, Germany",49.5061959,10.9791219,1,,,,,,,Pipeline,"Ahornstrasse in Furth, Germany",,german_fires_furth_locations,c7bb8af03bb65767a93b36e73ab62603,german_fires_furth_locations__c7bb8af03bb65767a93b36e73ab62603
aischweg,"Aischweg in Furth, Germany",49.4993435,10.945015,1,,,,,,,Keyphrase,"Aischweg in Furth, Germany",,german_fires_furth_locations,13fb41f8ccd87e49561abdde1df86d73,german_fires_furth_locations__13fb41f8ccd87e49561abdde1df86d73
albert-einstein-strasse,"Albert-Einstein-Strasse in Furth, Germany",49.4783604,10.9507532,1,,,,,,,CompanyKeyword,"Albert-Einstein-Strasse in Furth, Germany",,german_fires_furth_locations,75ff656ff79462bc4986ee5b85bf6944,german_fires_furth_locations__75ff656ff79462bc4986ee5b85bf6944
albert-schweitzer-strasse,"Albert-Schweitzer-Strasse in Furth, Germany",49.5120521,10.9773058,1,,,,,,,Wells,"Albert-Schweitzer-Strasse in Furth, Germany",,german_fires_furth_locations,6e5eda52d6081f82645dfa2d5013577b,german_fires_furth_locations__6e5eda52d6081f82645dfa2d5013577b
albigstrasse,"Albigstrasse in Furth, Germany",49.4734459,10.9519678,1,,,,,,,News,"Albigstrasse in Furth, Germany",,german_fires_furth_locations,1d454e8716049d29a9c027c01398d8d0,german_fires_furth_locations__1d454e8716049d29a9c027c01398d8d0
albrecht-durer-strasse,"Albrecht-Durer-Strasse in Furth, Germany",49.4919945,10.9729296,1,,,,,,,News,"Albrecht-Durer-Strasse in Furth, Germany",,german_fires_furth_locations,396ec3536d66d898f2321fd8eada5fc7,german_fires_furth_locations__396ec3536d66d898f2321fd8eada5fc7
albrechtstrasse,"Albrechtstrasse in Furth, Germany",49.477203,10.9732992,1,,,,,,,Person,"Albrechtstrasse in Furth, Germany",,german_fires_furth_locations,77e8f75ca08a1527e8efdaeadedabb46,german_fires_furth_locations__77e8f75ca08a1527e8efdaeadedabb46
aldringerstrasse,"Aldringerstrasse in Furth, Germany",49.4549847,10.9736602,1,,,,,,,Legislator,"Aldringerstrasse in Furth, Germany",,german_fires_furth_locations,03018478ec68cd5900cf74bfb2655cf5,german_fires_furth_locations__03018478ec68cd5900cf74bfb2655cf5
