german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
altstadt,"Altstadt in Geesthacht, Germany",53.4329261,10.371374,2,"Geesthacht, Germany",53.43751462,10.3636333,AAEntity,"Altstadt in Geesthacht, Germany",,german_fires_geesthacht_locations,c0a61a13be05b2298e5092590dbac633,german_fires_geesthacht_locations__c0a61a13be05b2298e5092590dbac633
besenhorst,"Besenhorst in Geesthacht, Germany",53.4556679,10.3470139,2,,,,AAEntity,"Besenhorst in Geesthacht, Germany",,german_fires_geesthacht_locations,e3504dc4ade5275b62aa7b9c81feede5,german_fires_geesthacht_locations__e3504dc4ade5275b62aa7b9c81feede5
duneberg,"Duneberg in Geesthacht, Germany",53.4384601,10.3563228,2,,,,space,"Duneberg in Geesthacht, Germany",,german_fires_geesthacht_locations,b8d673a30190133e025cc65bac0f484e,german_fires_geesthacht_locations__b8d673a30190133e025cc65bac0f484e
edmundstal-siemerswalde,"Edmundstal-Siemerswalde in Geesthacht, Germany",53.4266373,10.3826588,2,,,,Organization,"Edmundstal-Siemerswalde in Geesthacht, Germany",,german_fires_geesthacht_locations,5bd61f6fe3cdc88e3f03a5834b54cb52,german_fires_geesthacht_locations__5bd61f6fe3cdc88e3f03a5834b54cb52
grunhof,"Grunhof in Geesthacht, Germany",53.4125129,10.4331321,2,,,,FTO,"Grunhof in Geesthacht, Germany",,german_fires_geesthacht_locations,d7d8a85025d08d12d25d51a469d38d6a,german_fires_geesthacht_locations__d7d8a85025d08d12d25d51a469d38d6a
hasenthal,"Hasenthal in Geesthacht, Germany",53.4321831,10.4246924,2,,,,Wells,"Hasenthal in Geesthacht, Germany",,german_fires_geesthacht_locations,88e863c62c631c85f7044c181962acfb,german_fires_geesthacht_locations__88e863c62c631c85f7044c181962acfb
heinrichshof,"Heinrichshof in Geesthacht, Germany",53.444868,10.3762506,2,,,,Diplomat,"Heinrichshof in Geesthacht, Germany",,german_fires_geesthacht_locations,a3cb7143f99c186a116954d4ac55c4da,german_fires_geesthacht_locations__a3cb7143f99c186a116954d4ac55c4da
heinrich-jebens-siedlung,"Heinrich-Jebens-Siedlung in Geesthacht, Germany",53.4252892,10.4445709,2,,,,Media,"Heinrich-Jebens-Siedlung in Geesthacht, Germany",,german_fires_geesthacht_locations,bda1968823bde35f70ba57b527599ea9,german_fires_geesthacht_locations__bda1968823bde35f70ba57b527599ea9
krummel,"Krummel in Geesthacht, Germany",53.4143479,10.4045255,2,,,,Legislator,"Krummel in Geesthacht, Germany",,german_fires_geesthacht_locations,a705e2770f0ea71d38b1c3bf62fd24e4,german_fires_geesthacht_locations__a705e2770f0ea71d38b1c3bf62fd24e4
oberstadt,"Oberstadt in Geesthacht, Germany",53.4434934,10.3846886,2,,,,Consulates,"Oberstadt in Geesthacht, Germany",,german_fires_geesthacht_locations,ff31478f5385f2249f92e3f78e441a19,german_fires_geesthacht_locations__ff31478f5385f2249f92e3f78e441a19
