german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
buer,"Buer in Gelsenkirchen, Germany",51.5732574,7.0570349,2,"Gelsenkirchen, Germany",51.51828242,7.073669244,Refinery,"Buer in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,eb5ece89dee7a53fa37acc25721566e2,german_fires_gelsenkirchen_locations__eb5ece89dee7a53fa37acc25721566e2
scholven,"Scholven in Gelsenkirchen, Germany",51.6109446,7.019461,2,,,,LegislativeCommittee,"Scholven in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,d05c4c28396ecc331bcd9f2fa3a5c158,german_fires_gelsenkirchen_locations__d05c4c28396ecc331bcd9f2fa3a5c158
hassel,"Hassel in Gelsenkirchen, Germany",51.6037411,7.0513206,2,,,,space,"Hassel in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,1181f9c90c4476e152f9e4fe5bac876f,german_fires_gelsenkirchen_locations__1181f9c90c4476e152f9e4fe5bac876f
erle,"Erle in Gelsenkirchen, Germany",51.5596768,7.0805146,2,,,,Media,"Erle in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,f84d6d1822e3fb6dc4e43a960dd1063b,german_fires_gelsenkirchen_locations__f84d6d1822e3fb6dc4e43a960dd1063b
resse,"Resse in Gelsenkirchen, Germany",51.5788938,7.1123739,2,,,,Keyphrase,"Resse in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,5198fa2168d944cb8806845005892802,german_fires_gelsenkirchen_locations__5198fa2168d944cb8806845005892802
resser mark,"Resser Mark in Gelsenkirchen, Germany",51.5572633,7.1203052,2,,,,FTO,"Resser Mark in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,a2d452f030e27fa9eb2043533ca20b05,german_fires_gelsenkirchen_locations__a2d452f030e27fa9eb2043533ca20b05
horst,"Horst in Gelsenkirchen, Germany",51.5308428,7.0328264,2,,,,Legislator,"Horst in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,26775730f3957a9540da3a0ee61f0c1f,german_fires_gelsenkirchen_locations__26775730f3957a9540da3a0ee61f0c1f
beckhausen,"Beckhausen in Gelsenkirchen, Germany",51.5540668,7.042075,2,,,,Organization,"Beckhausen in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,9398c804eaa23c66345adbdd2151d88a,german_fires_gelsenkirchen_locations__9398c804eaa23c66345adbdd2151d88a
altstadt,"Altstadt in Gelsenkirchen, Germany",51.5088372,7.0910863,2,,,,Media,"Altstadt in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,95c3377c4dbd82943beba2920c04d87b,german_fires_gelsenkirchen_locations__95c3377c4dbd82943beba2920c04d87b
schalke,"Schalke in Gelsenkirchen, Germany",51.5196426,7.087121,2,,,,space,"Schalke in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,d200fde7b9b52ee7e141e162bf3b5c80,german_fires_gelsenkirchen_locations__d200fde7b9b52ee7e141e162bf3b5c80
schalke-nord,"Schalke-Nord in Gelsenkirchen, Germany",51.5308504,7.0765291,2,,,,DiplomaticFacilities,"Schalke-Nord in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,4b95f57a403b3d67beb20696d5c87a6b,german_fires_gelsenkirchen_locations__4b95f57a403b3d67beb20696d5c87a6b
bismarck,"Bismarck in Gelsenkirchen, Germany",51.5364462,7.1149676,2,,,,Consulates,"Bismarck in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,b7ee3c29339d3bdcb22c16e0f10f3847,german_fires_gelsenkirchen_locations__b7ee3c29339d3bdcb22c16e0f10f3847
bulmke-hullen,"Bulmke-Hullen in Gelsenkirchen, Germany",51.5176322,7.1202394,2,,,,FTO,"Bulmke-Hullen in Gelsenkirchen, Germany",,german_fires_gelsenkirchen_locations,3b151ed4a21dd106ea5f9af7869db58b,german_fires_gelsenkirchen_locations__3b151ed4a21dd106ea5f9af7869db58b
