german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
allendorf/lahn,"Allendorf/Lahn in Giessen, Germany",50.5531618,8.6219464,2,"Giessen, Germany",50.58556495,8.67817117,IndustryTerm,"Allendorf/Lahn in Giessen, Germany",,german_fires_giessen_locations,19868ed8ff9646ecbb7ffde6b0908e59,german_fires_giessen_locations__19868ed8ff9646ecbb7ffde6b0908e59
kleinlinden,"Kleinlinden in Giessen, Germany",50.5573712,8.6442204,2,,,,CompanyKeyword,"Kleinlinden in Giessen, Germany",,german_fires_giessen_locations,6b2c6c403d8cc88dd4962034533e4f4d,german_fires_giessen_locations__6b2c6c403d8cc88dd4962034533e4f4d
wieseck,"Wieseck in Giessen, Germany",50.6085432,8.7059246,2,,,,Legislator,"Wieseck in Giessen, Germany",,german_fires_giessen_locations,5c4452f25cb2bd3637b2b0a6ea57cf1e,german_fires_giessen_locations__5c4452f25cb2bd3637b2b0a6ea57cf1e
siedlung petersweiher,"Siedlung Petersweiher in Giessen, Germany",50.5483453,8.7211682,2,,,,CompanyKeyword,"Siedlung Petersweiher in Giessen, Germany",,german_fires_giessen_locations,0e95fe6621e32b6916cf5ce9623affdd,german_fires_giessen_locations__0e95fe6621e32b6916cf5ce9623affdd
lutzellinden,"Lutzellinden in Giessen, Germany",50.5381989,8.6215148,2,,,,Consulates,"Lutzellinden in Giessen, Germany",,german_fires_giessen_locations,796987189417e7861eaba8d20396e465,german_fires_giessen_locations__796987189417e7861eaba8d20396e465
rodgen,"Rodgen in Giessen, Germany",50.5991643,8.7480155,2,,,,AAEntity,"Rodgen in Giessen, Germany",,german_fires_giessen_locations,d38e64980c2e3ac154dd3221ee1fc1e6,german_fires_giessen_locations__d38e64980c2e3ac154dd3221ee1fc1e6
achstattring,"Achstattring in Giessen, Germany",50.6024023,8.6742593,1,,,,Refinery,"Achstattring in Giessen, Germany",,german_fires_giessen_locations,8166f03860c90b8e420333db4badd97a,german_fires_giessen_locations__8166f03860c90b8e420333db4badd97a
adalbert-stifter-str.,"Adalbert-Stifter-Strasse in Giessen, Germany",50.58022,8.6909956,1,,,,Refinery,"Adalbert-Stifter-Strasse in Giessen, Germany",,german_fires_giessen_locations,8b042c6053171dafda5e1a8f5aa49a42,german_fires_giessen_locations__8b042c6053171dafda5e1a8f5aa49a42
adolph-kolping-str.,"Adolph-Kolping-Strasse in Giessen, Germany",50.564784,8.6606343,1,,,,News,"Adolph-Kolping-Strasse in Giessen, Germany",,german_fires_giessen_locations,26768c0aed5b14b90c458ecabd8d0fe6,german_fires_giessen_locations__26768c0aed5b14b90c458ecabd8d0fe6
ahornweg,"Ahornweg in Giessen, Germany",50.5888185,8.6965777,1,,,,FTO,"Ahornweg in Giessen, Germany",,german_fires_giessen_locations,16ee043dc5270199b2d4b82f6b0ba297,german_fires_giessen_locations__16ee043dc5270199b2d4b82f6b0ba297
albert-bossler-str.,"Albert-Bossler-Strasse in Giessen, Germany",50.5570877,8.6457571,1,,,,ForeignMinistry,"Albert-Bossler-Strasse in Giessen, Germany",,german_fires_giessen_locations,11306bb4f8e25cb0e36edfdca1d63e11,german_fires_giessen_locations__11306bb4f8e25cb0e36edfdca1d63e11
albert-schweitzer-str.,"Albert-Schweitzer-Strasse in Giessen, Germany",50.5866194,8.6694306,1,,,,Diplomat,"Albert-Schweitzer-Strasse in Giessen, Germany",,german_fires_giessen_locations,f402897a23df6316c09c1ee69df57ca6,german_fires_giessen_locations__f402897a23df6316c09c1ee69df57ca6
