german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
eldena,"Eldena in Greifswald, Germany",54.090839,13.445857,2,"Greifswald, Germany",54.08659234,13.38859929,,ss,IndustryTerm,"Eldena in Greifswald, Germany",,german_fires_greifswald_locations,3e0163ca43deadf7f55e0697d583a2c0,german_fires_greifswald_locations__3e0163ca43deadf7f55e0697d583a2c0
fettenvorstadt,"Fettenvorstadt in Greifswald, Germany",54.09411,13.36405,2,,,,,u,Wells,"Fettenvorstadt in Greifswald, Germany",,german_fires_greifswald_locations,d19cf11b71dcd731b7ad2dbe8d671b6a,german_fires_greifswald_locations__d19cf11b71dcd731b7ad2dbe8d671b6a
fleischervorstadt,"Fleischervorstadt in Greifswald, Germany",54.0865463,13.3923414,2,,,,,a,Pipeline,"Fleischervorstadt in Greifswald, Germany",,german_fires_greifswald_locations,2bd7fe1095126e56ae534f0db96765be,german_fires_greifswald_locations__2bd7fe1095126e56ae534f0db96765be
industriegebiet,"Industriegebiet in Greifswald, Germany",54.0696,13.3788999,2,,,,,o,Legislator,"Industriegebiet in Greifswald, Germany",,german_fires_greifswald_locations,c97d748a3bd638f5e77892dcc490cac5,german_fires_greifswald_locations__c97d748a3bd638f5e77892dcc490cac5
innenstadt,"Innenstadt in Greifswald, Germany",54.0961146,13.3762339,2,,,,,,Refinery,"Innenstadt in Greifswald, Germany",,german_fires_greifswald_locations,6e0e58af6526455af23388c89e2024c5,german_fires_greifswald_locations__6e0e58af6526455af23388c89e2024c5
ladebow,"Ladebow in Greifswald, Germany",54.0970168,13.4432585,2,,,,,,AAEntity,"Ladebow in Greifswald, Germany",,german_fires_greifswald_locations,5fd28557850380399be60f76054b36e3,german_fires_greifswald_locations__5fd28557850380399be60f76054b36e3
muhlenvorstadt,"Muhlenvorstadt in Greifswald, Germany",54.0865463,13.3923414,2,,,,,,Organization,"Muhlenvorstadt in Greifswald, Germany",,german_fires_greifswald_locations,881931858af1f4912491133d556c76e9,german_fires_greifswald_locations__881931858af1f4912491133d556c76e9
nordliche,"Nordliche in Greifswald, Germany",54.09817,13.3891099,2,,,,,,AAEntity,"Nordliche in Greifswald, Germany",,german_fires_greifswald_locations,d52937dd4bab78143fe9a4e388028836,german_fires_greifswald_locations__d52937dd4bab78143fe9a4e388028836
obstbausiedlung,"Obstbausiedlung in Greifswald, Germany",54.081654,13.3953679,2,,,,,,Exec,"Obstbausiedlung in Greifswald, Germany",,german_fires_greifswald_locations,1d8299a41516c48b89c7d3b042b88624,german_fires_greifswald_locations__1d8299a41516c48b89c7d3b042b88624
ostseeviertel,"Ostseeviertel in Greifswald, Germany",54.09469,13.4248755,2,,,,,,FTO,"Ostseeviertel in Greifswald, Germany",,german_fires_greifswald_locations,e3b9d492294d1d967e418d6ad58434ee,german_fires_greifswald_locations__e3b9d492294d1d967e418d6ad58434ee
ostseeviertel,"Ostseeviertel in Greifswald, Germany",54.09469,13.4248755,2,,,,,,News,"Ostseeviertel in Greifswald, Germany",,german_fires_greifswald_locations,e3b9d492294d1d967e418d6ad58434ee,german_fires_greifswald_locations__e3b9d492294d1d967e418d6ad58434ee
schonwalde i,"Schonwalde I in Greifswald, Germany",54.0767164,13.4264757,2,,,,,,space,"Schonwalde I in Greifswald, Germany",,german_fires_greifswald_locations,8f80c4f66e264db6562da25a9fb9a03a,german_fires_greifswald_locations__8f80c4f66e264db6562da25a9fb9a03a
schonwalde ii,"Schonwalde II in Greifswald, Germany",54.0767164,13.4264757,2,,,,,,Refinery,"Schonwalde II in Greifswald, Germany",,german_fires_greifswald_locations,78688160eec95de4382e06997bf86fa2,german_fires_greifswald_locations__78688160eec95de4382e06997bf86fa2
stadtrandsiedlung,"Stadtrandsiedlung in Greifswald, Germany",54.0822222,13.3680556,2,,,,,,ForeignMinister,"Stadtrandsiedlung in Greifswald, Germany",,german_fires_greifswald_locations,77e2a3738c3d3bf73a7c12b86aab387e,german_fires_greifswald_locations__77e2a3738c3d3bf73a7c12b86aab387e
steinbeckervorstadt,"Steinbeckervorstadt in Greifswald, Germany",54.0957857,13.379787,2,,,,,,Organization,"Steinbeckervorstadt in Greifswald, Germany",,german_fires_greifswald_locations,8f69cd76b2127e8773e6d09c1814ea1d,german_fires_greifswald_locations__8f69cd76b2127e8773e6d09c1814ea1d
sudliche muhlenvorstadt,"Sudliche Muhlenvorstadt in Greifswald, Germany",54.081654,13.3953679,2,,,,,,LegislativeCommittee,"Sudliche Muhlenvorstadt in Greifswald, Germany",,german_fires_greifswald_locations,9c91ed604850a02c8c8936bc923573f0,german_fires_greifswald_locations__9c91ed604850a02c8c8936bc923573f0
sudstadt,"Sudstadt in Greifswald, Germany",54.0761913,13.3989682,2,,,,,,Media,"Sudstadt in Greifswald, Germany",,german_fires_greifswald_locations,4f1c5e15807328c1fb248242ca460c12,german_fires_greifswald_locations__4f1c5e15807328c1fb248242ca460c12
wieck,"Wieck in Greifswald, Germany",54.0954272,13.4492982,2,,,,,,ForeignMinistry,"Wieck in Greifswald, Germany",,german_fires_greifswald_locations,60265d4c466d3c20b265cde3458b5fc0,german_fires_greifswald_locations__60265d4c466d3c20b265cde3458b5fc0
aalbruch,"Aalbruch in Greifswald, Germany",54.0944854,13.3607561,1,,,,,,space,"Aalbruch in Greifswald, Germany",,german_fires_greifswald_locations,d9bd29c498e142df772fb6e7c4f9c2d1,german_fires_greifswald_locations__d9bd29c498e142df772fb6e7c4f9c2d1
adolf-hofmeister-weg,"Adolf-Hofmeister-Weg in Greifswald, Germany",54.0847918,13.403605,1,,,,,,DiplomaticFacilities,"Adolf-Hofmeister-Weg in Greifswald, Germany",,german_fires_greifswald_locations,8eedc74509f8e258f38aabc28e3d4311,german_fires_greifswald_locations__8eedc74509f8e258f38aabc28e3d4311
ahornweg,"Ahornweg in Greifswald, Germany",54.0854187,13.4447488,1,,,,,,IndustryTerm,"Ahornweg in Greifswald, Germany",,german_fires_greifswald_locations,453b8654cdd3e250afd934e0c734759a,german_fires_greifswald_locations__453b8654cdd3e250afd934e0c734759a
alfred-wegener-strasse,"Alfred-Wegener-Strasse in Greifswald, Germany",54.0914948,13.4249578,1,,,,,,Legislator,"Alfred-Wegener-Strasse in Greifswald, Germany",,german_fires_greifswald_locations,5f3eeda16b3c3c6ac062914f430b6df1,german_fires_greifswald_locations__5f3eeda16b3c3c6ac062914f430b6df1
alte brauerei,"Alte Brauerei in Greifswald, Germany",54.0944492,13.3655585,1,,,,,,DiplomaticFacilities,"Alte Brauerei in Greifswald, Germany",,german_fires_greifswald_locations,86fc0dd56bc564de272e5e23bcc65eed,german_fires_greifswald_locations__86fc0dd56bc564de272e5e23bcc65eed
