german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aichen,"Aichen, Germany",48.2272154,10.5391861,1,"Gunzburg, Germany",48.45238707,10.28055806,,,ss,Shipping,"Aichen, Germany",,german_fires_gunzburg2_locations,9041e6fce48066625ca8fc0ccb5e519a,german_fires_gunzburg2_locations__9041e6fce48066625ca8fc0ccb5e519a
aletshausen,"Aletshausen, Germany",48.197165,10.3895576,1,,,,,,u,Shipping,"Aletshausen, Germany",,german_fires_gunzburg2_locations,63bfc7b2d27f434b3f5be97040a01d06,german_fires_gunzburg2_locations__63bfc7b2d27f434b3f5be97040a01d06
balzhausen,"Balzhausen, Germany",48.2420247,10.4933316,1,,,,,,a,Refinery,"Balzhausen, Germany",,german_fires_gunzburg2_locations,03afe9f531dca59833a92c6fdafc24c7,german_fires_gunzburg2_locations__03afe9f531dca59833a92c6fdafc24c7
bibertal,"Bibertal, Germany",48.3971121,10.1978596,1,,,,,,o,Legislator,"Bibertal, Germany",,german_fires_gunzburg2_locations,a05f60df7969548c0f4740898dbb8f80,german_fires_gunzburg2_locations__a05f60df7969548c0f4740898dbb8f80
breitenthal,"Breitenthal, Germany",48.2376445,10.2943302,1,,,,,,,space,"Breitenthal, Germany",,german_fires_gunzburg2_locations,e20600103f6e5c0fa3bc106d19a04c0c,german_fires_gunzburg2_locations__e20600103f6e5c0fa3bc106d19a04c0c
bubesheim,"Bubesheim, Germany",48.4334375,10.2509994,1,,,,,,,AAEntity,"Bubesheim, Germany",,german_fires_gunzburg2_locations,b9c61812a5e1a052cb9247b6514348ef,german_fires_gunzburg2_locations__b9c61812a5e1a052cb9247b6514348ef
burgau,"Burgau, Germany",48.430206,10.4107793,1,,,,,,,Person,"Burgau, Germany",,german_fires_gunzburg2_locations,f3c235831568916b0b68fbac2e97c502,german_fires_gunzburg2_locations__f3c235831568916b0b68fbac2e97c502
burtenbach,"Burtenbach, Germany",48.3394733,10.4481971,1,,,,,,,DiplomaticFacilities,"Burtenbach, Germany",,german_fires_gunzburg2_locations,65532fd5702861d0b9c14f673790a0a7,german_fires_gunzburg2_locations__65532fd5702861d0b9c14f673790a0a7
deisenhausen,"Deisenhausen, Germany",48.2564106,10.3256545,1,,,,,,,FTO,"Deisenhausen, Germany",,german_fires_gunzburg2_locations,75845b543e72a08f2859b354e0e5e585,german_fires_gunzburg2_locations__75845b543e72a08f2859b354e0e5e585
durrlauingen,"Durrlauingen, Germany",48.4676377,10.4312585,1,,,,,,,Pipeline,"Durrlauingen, Germany",,german_fires_gunzburg2_locations,0940d2ef01b7b9e2c3013b39960623c8,german_fires_gunzburg2_locations__0940d2ef01b7b9e2c3013b39960623c8
ebershausen,"Ebershausen, Germany",48.2045246,10.3161864,1,,,,,,,Consulates,"Ebershausen, Germany",,german_fires_gunzburg2_locations,c6e7ddc80542bddbf7fca5f9eb21dc05,german_fires_gunzburg2_locations__c6e7ddc80542bddbf7fca5f9eb21dc05
ebershauser-nattenhauser wald,"Ebershauser-Nattenhauser Wald, Germany",48.2096035,10.3395719,1,,,,,,,space,"Ebershauser-Nattenhauser Wald, Germany",,german_fires_gunzburg2_locations,943e1eff1f8d7626c231ea78515cf24b,german_fires_gunzburg2_locations__943e1eff1f8d7626c231ea78515cf24b
ellzee,"Ellzee, Germany",48.3380804,10.3207355,1,,,,,,,Legislator,"Ellzee, Germany",,german_fires_gunzburg2_locations,513470ce5c6c15ffbdb40c638b6a7789,german_fires_gunzburg2_locations__513470ce5c6c15ffbdb40c638b6a7789
gundremmingen,"Gundremmingen, Germany",48.5009611,10.4041776,1,,,,,,,IndustryTerm,"Gundremmingen, Germany",,german_fires_gunzburg2_locations,c81ab76a619f5dd3aa28b71ac9d3314f,german_fires_gunzburg2_locations__c81ab76a619f5dd3aa28b71ac9d3314f
gunzburg,"Gunzburg, Germany",48.4528412,10.2775127,1,,,,,,,Keyphrase,"Gunzburg, Germany",,german_fires_gunzburg2_locations,8b4d8bc3f71d2faa4f66d1a033a44c89,german_fires_gunzburg2_locations__8b4d8bc3f71d2faa4f66d1a033a44c89
haldenwang,"Haldenwang, Germany",48.4370208,10.4483119,1,,,,,,,Consulates,"Haldenwang, Germany",,german_fires_gunzburg2_locations,83021433cb740245672319c170e68c48,german_fires_gunzburg2_locations__83021433cb740245672319c170e68c48
ichenhausen,"Ichenhausen, Germany",48.3725685,10.3072686,1,,,,,,,Organization,"Ichenhausen, Germany",,german_fires_gunzburg2_locations,6ce37966c2509b258d87de666df12bb8,german_fires_gunzburg2_locations__6ce37966c2509b258d87de666df12bb8
jettingen-scheppach,"Jettingen-Scheppach, Germany",48.3939093,10.4578772,1,,,,,,,Wells,"Jettingen-Scheppach, Germany",,german_fires_gunzburg2_locations,42deec67e8bbe053c79aa30c3e0f199e,german_fires_gunzburg2_locations__42deec67e8bbe053c79aa30c3e0f199e
kammeltal,"Kammeltal, Germany",48.3727464,10.3649844,1,,,,,,,Legislator,"Kammeltal, Germany",,german_fires_gunzburg2_locations,ee511072a80352addcc06129b43065dc,german_fires_gunzburg2_locations__ee511072a80352addcc06129b43065dc
kotz,"Kotz, Germany",48.4071303,10.2757695,1,,,,,,,ForeignMinistry,"Kotz, Germany",,german_fires_gunzburg2_locations,8f8a1d328dbf860a8e27d6b206ff480c,german_fires_gunzburg2_locations__8f8a1d328dbf860a8e27d6b206ff480c
krumbach,"Krumbach, Germany",48.2403108,10.3750892,1,,,,,,,Organization,"Krumbach, Germany",,german_fires_gunzburg2_locations,c5173ad18a91d9f4d152826557dc08f1,german_fires_gunzburg2_locations__c5173ad18a91d9f4d152826557dc08f1
landensberg,"Landensberg, Germany",48.434534,10.5182764,1,,,,,,,Legislator,"Landensberg, Germany",,german_fires_gunzburg2_locations,a3abab117c0bca0927124c327e162d0e,german_fires_gunzburg2_locations__a3abab117c0bca0927124c327e162d0e
landensberg,"Landensberg, Germany",48.434534,10.5182764,1,,,,,,,FTO,"Landensberg, Germany",,german_fires_gunzburg2_locations,a3abab117c0bca0927124c327e162d0e,german_fires_gunzburg2_locations__a3abab117c0bca0927124c327e162d0e
leipheim,"Leipheim, Germany",48.4495038,10.2196324,1,,,,,,,FTO,"Leipheim, Germany",,german_fires_gunzburg2_locations,4be09c6a771ff7d358a25943662c7245,german_fires_gunzburg2_locations__4be09c6a771ff7d358a25943662c7245
markt munsterhausen,"Markt Munsterhausen, Germany",48.2840049,10.4598531,1,,,,,,,Wells,"Markt Munsterhausen, Germany",,german_fires_gunzburg2_locations,8c995b378202b29a2e0092ac8f9a17e1,german_fires_gunzburg2_locations__8c995b378202b29a2e0092ac8f9a17e1
markt waldstetten,"Markt Waldstetten, Germany",48.3491259,10.293263,1,,,,,,,IndustryTerm,"Markt Waldstetten, Germany",,german_fires_gunzburg2_locations,3929b7c3a934a31634c83cc055ae98e2,german_fires_gunzburg2_locations__3929b7c3a934a31634c83cc055ae98e2
munsterhausen,"Munsterhausen, Germany",48.3122488,10.452685,1,,,,,,,Pipeline,"Munsterhausen, Germany",,german_fires_gunzburg2_locations,f75f0d3584c83466e3ea289339776687,german_fires_gunzburg2_locations__f75f0d3584c83466e3ea289339776687
neuburg an der kammel,"Neuburg an der Kammel, Germany",48.3032088,10.362967,1,,,,,,,ForeignMinistry,"Neuburg an der Kammel, Germany",,german_fires_gunzburg2_locations,9a5430640d6651ebd0f605dc63f73fa6,german_fires_gunzburg2_locations__9a5430640d6651ebd0f605dc63f73fa6
offingen,"Offingen, Germany",48.4822973,10.3646815,1,,,,,,,ForeignMinister,"Offingen, Germany",,german_fires_gunzburg2_locations,857170d1a441e1813377b63a09fac22b,german_fires_gunzburg2_locations__857170d1a441e1813377b63a09fac22b
rettenbach,"Rettenbach, Germany",49.0692698,12.4557856,1,,,,,,,IndustryTerm,"Rettenbach, Germany",,german_fires_gunzburg2_locations,27b915c4e2776b77fddfed5ad17b35e6,german_fires_gunzburg2_locations__27b915c4e2776b77fddfed5ad17b35e6
rofingen,"Rofingen, Germany",48.4245803,10.4448594,1,,,,,,,Pipeline,"Rofingen, Germany",,german_fires_gunzburg2_locations,a23dccca2800ce54423e10108d3e7371,german_fires_gunzburg2_locations__a23dccca2800ce54423e10108d3e7371
rofingen,"Rofingen, Germany",48.4245803,10.4448594,1,,,,,,,Exec,"Rofingen, Germany",,german_fires_gunzburg2_locations,a23dccca2800ce54423e10108d3e7371,german_fires_gunzburg2_locations__a23dccca2800ce54423e10108d3e7371
thannhausen,"Thannhausen, Germany",48.2813692,10.4674946,1,,,,,,,IndustryTerm,"Thannhausen, Germany",,german_fires_gunzburg2_locations,1a0816876b0cf7739f7d432060bd720a,german_fires_gunzburg2_locations__1a0816876b0cf7739f7d432060bd720a
ursberg,"Ursberg, Germany",48.2659069,10.443872,1,,,,,,,Consulates,"Ursberg, Germany",,german_fires_gunzburg2_locations,1100575d985f4fe20be9f9260ff80094,german_fires_gunzburg2_locations__1100575d985f4fe20be9f9260ff80094
waldstetten,"Waldstetten, Germany",48.7667281,9.8210358,1,,,,,,,Keyphrase,"Waldstetten, Germany",,german_fires_gunzburg2_locations,47f170dd27999d98eb11a717cd86b8ea,german_fires_gunzburg2_locations__47f170dd27999d98eb11a717cd86b8ea
waltenhausen,"Waltenhausen, Germany",48.1901619,10.3648816,1,,,,,,,DiplomaticFacilities,"Waltenhausen, Germany",,german_fires_gunzburg2_locations,05231e5042b7eeb6923af2bb8d56f935,german_fires_gunzburg2_locations__05231e5042b7eeb6923af2bb8d56f935
waltenhausen,"Waltenhausen, Germany",48.1901619,10.3648816,1,,,,,,,Shipping,"Waltenhausen, Germany",,german_fires_gunzburg2_locations,05231e5042b7eeb6923af2bb8d56f935,german_fires_gunzburg2_locations__05231e5042b7eeb6923af2bb8d56f935
wiesenbach,"Wiesenbach, Germany",49.3614232,8.8028139,1,,,,,,,Refinery,"Wiesenbach, Germany",,german_fires_gunzburg2_locations,87843721f6f566b451251ec36ac58ef3,german_fires_gunzburg2_locations__87843721f6f566b451251ec36ac58ef3
winterbach,"Winterbach, Germany",48.7996065,9.4792107,1,,,,,,,ForeignMinistry,"Winterbach, Germany",,german_fires_gunzburg2_locations,baec4d85a6c5df6cfb78f06999bb7438,german_fires_gunzburg2_locations__baec4d85a6c5df6cfb78f06999bb7438
winzerwald,"Winzerwald, Germany",48.2137925,10.431556,1,,,,,,,ForeignMinistry,"Winzerwald, Germany",,german_fires_gunzburg2_locations,4c66652803e31c9f6a8504cc27eca6e1,german_fires_gunzburg2_locations__4c66652803e31c9f6a8504cc27eca6e1
ziemetshausen,"Ziemetshausen, Germany",48.2917343,10.5315458,1,,,,,,,ForeignMinistry,"Ziemetshausen, Germany",,german_fires_gunzburg2_locations,06deb713d11e33ea2d619a9ef6a2cfc0,german_fires_gunzburg2_locations__06deb713d11e33ea2d619a9ef6a2cfc0
kfv_gz,"Gunzburg, Germany",48.45238707,10.28055806,,,,,,,,Consulates,"Gunzburg, Germany",,german_fires_gunzburg2_locations,8b4d8bc3f71d2faa4f66d1a033a44c89,german_fires_gunzburg2_locations__8b4d8bc3f71d2faa4f66d1a033a44c89
