german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nornheim,"Nornheim in Gunzburg, Germany",48.4505325,10.3138416,2,"Gunzburg, Germany",48.45238707,10.28055806,,,,FTO,"Nornheim in Gunzburg, Germany",,german_fires_gunzburg_locations,e8976f5795d7ba09e40015fa69bb6153,german_fires_gunzburg_locations__e8976f5795d7ba09e40015fa69bb6153
deffingen,"Deffingen in Gunzburg, Germany",48.4356488,10.2970246,2,,,,,,,DiplomaticFacilities,"Deffingen in Gunzburg, Germany",,german_fires_gunzburg_locations,c2c07802a8c93aaa1d1d0a752c2c852a,german_fires_gunzburg_locations__c2c07802a8c93aaa1d1d0a752c2c852a
denzingen,"Denzingen in Gunzburg, Germany",48.4438526,10.2829839,2,,,,,,ss,space,"Denzingen in Gunzburg, Germany",,german_fires_gunzburg_locations,e35615f008f30a1e98ca1ff2126140a8,german_fires_gunzburg_locations__e35615f008f30a1e98ca1ff2126140a8
leinheim,"Leinheim in Gunzburg, Germany",48.4404496,10.3207002,2,,,,,,u,space,"Leinheim in Gunzburg, Germany",,german_fires_gunzburg_locations,7aba9bbb9e0ef6781320e4dfa50ca5b8,german_fires_gunzburg_locations__7aba9bbb9e0ef6781320e4dfa50ca5b8
reisensburg,"Reisensburg in Gunzburg, Germany",48.4622643,10.3027094,2,,,,,,a,CompanyKeyword,"Reisensburg in Gunzburg, Germany",,german_fires_gunzburg_locations,5faea93a3d792929cfc7f699bb5d1c22,german_fires_gunzburg_locations__5faea93a3d792929cfc7f699bb5d1c22
riedhausen,"Riedhausen in Gunzburg, Germany",48.509888,10.2575553,2,,,,,,o,ForeignMinistry,"Riedhausen in Gunzburg, Germany",,german_fires_gunzburg_locations,fd94fb62fe9bca495f95ca8635fe62d7,german_fires_gunzburg_locations__fd94fb62fe9bca495f95ca8635fe62d7
wasserburg,"Wasserburg in Gunzburg, Germany",48.4368327,10.2698731,2,,,,,,,Legislator,"Wasserburg in Gunzburg, Germany",,german_fires_gunzburg_locations,96013f18b5210c8b8f2ddd69ab08574d,german_fires_gunzburg_locations__96013f18b5210c8b8f2ddd69ab08574d
adalbert-stifter-str.,"Adalbert-Stifter-Str. in Gunzburg, Germany",48.4501465,10.2668782,1,,,,,,,AAEntity,"Adalbert-Stifter-Str. in Gunzburg, Germany",,german_fires_gunzburg_locations,63f5b9535fe44d006223281f53d8c3a9,german_fires_gunzburg_locations__63f5b9535fe44d006223281f53d8c3a9
adolf-paul-gasse,"Adolf-Paul-Gasse in Gunzburg, Germany",48.4556147,10.2746995,1,,,,,,,ForeignMinistry,"Adolf-Paul-Gasse in Gunzburg, Germany",,german_fires_gunzburg_locations,9cc04eb29b2915b6c99def2568e4d47d,german_fires_gunzburg_locations__9cc04eb29b2915b6c99def2568e4d47d
adolph-kolping-str.,"Adolph-Kolping-Str. in Gunzburg, Germany",48.4461313,10.2844345,1,,,,,,,Exec,"Adolph-Kolping-Str. in Gunzburg, Germany",,german_fires_gunzburg_locations,be226dac999fd01abcce7bcf060528d8,german_fires_gunzburg_locations__be226dac999fd01abcce7bcf060528d8
