german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
wehringhausen,"Wehringhausen in Hagen, Germany",51.3563297,7.4646955,2,"Hagen, Germany",51.36746192,7.466830572,,,Shipping,"Wehringhausen in Hagen, Germany",,german_fires_hagen_locations,49a1b9c8ba4952f6de2b09a1b8060e0a,german_fires_hagen_locations__49a1b9c8ba4952f6de2b09a1b8060e0a
emst,"Emst in Hagen, Germany",51.353687,7.494969,2,,,,,,space,"Emst in Hagen, Germany",,german_fires_hagen_locations,64c930fe0cdb034c760959050ce8540d,german_fires_hagen_locations__64c930fe0cdb034c760959050ce8540d
altenhagen,"Altenhagen in Hagen, Germany",51.370339,7.458966,2,,,,,,Media,"Altenhagen in Hagen, Germany",,german_fires_hagen_locations,cf0d59e1f8614dbaff58ff2788de4e40,german_fires_hagen_locations__cf0d59e1f8614dbaff58ff2788de4e40
hochschulviertel,"Hochschulviertel in Hagen, Germany",51.38077,7.4951799,2,,,,,,Person,"Hochschulviertel in Hagen, Germany",,german_fires_hagen_locations,0d8ee3a4620b8c068fe699f9d79f89e3,german_fires_hagen_locations__0d8ee3a4620b8c068fe699f9d79f89e3
mittelstadt,"Mittelstadt in Hagen, Germany",51.3568732,7.4650795,2,,,,,,ForeignMinistry,"Mittelstadt in Hagen, Germany",,german_fires_hagen_locations,72f54a02a126279ecdca192c1b06d1e2,german_fires_hagen_locations__72f54a02a126279ecdca192c1b06d1e2
vorhalle,"Vorhalle in Hagen, Germany",51.3867219,7.4136528,2,,,,,,Legislator,"Vorhalle in Hagen, Germany",,german_fires_hagen_locations,b7c7e931e9eb050089da7ae10c8c5520,german_fires_hagen_locations__b7c7e931e9eb050089da7ae10c8c5520
eckesey,"Eckesey in Hagen, Germany",51.3733631,7.4565995,2,,,,,,Refinery,"Eckesey in Hagen, Germany",,german_fires_hagen_locations,e4f151c302d107e1810f407d04c94b53,german_fires_hagen_locations__e4f151c302d107e1810f407d04c94b53
bathey,"Bathey in Hagen, Germany",51.4110817,7.4770733,2,,,,,ss,space,"Bathey in Hagen, Germany",,german_fires_hagen_locations,824d896dfbb54a8172482046d39584ca,german_fires_hagen_locations__824d896dfbb54a8172482046d39584ca
boele,"Boele in Hagen, Germany",51.397877,7.467173,2,,,,,u,AAEntity,"Boele in Hagen, Germany",,german_fires_hagen_locations,c273a7c2120252a271c0c4c52423b659,german_fires_hagen_locations__c273a7c2120252a271c0c4c52423b659
boelerheide,"Boelerheide  in Hagen, Germany",51.397877,7.467173,2,,,,,a,Keyphrase,"Boelerheide  in Hagen, Germany",,german_fires_hagen_locations,df88d59279046572e1c784f2dcd7f3ff,german_fires_hagen_locations__df88d59279046572e1c784f2dcd7f3ff
