german_text,caption_text,lat,lon,ranking,default location,,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hamburg-mitte,"in Hamburg Mitte, Germany",53.5126736,10.0159421,2,"Hamburg, Germany",,10.00190946,LegislativeCommittee,"in Hamburg Mitte, Germany",,german_fires_hamburg_locations,60a6173a95776207da9ee1b20c948b8e,german_fires_hamburg_locations__60a6173a95776207da9ee1b20c948b8e
altona,"Altona in Hamburg, Germany",53.57916,9.8745558,2,,,,ForeignMinister,"Altona in Hamburg, Germany",,german_fires_hamburg_locations,da79ca1649df57d6ccba77fc8b4e080e,german_fires_hamburg_locations__da79ca1649df57d6ccba77fc8b4e080e
eimsbuttel,"Eimsbuttel in Hamburg, Germany",53.5747675,9.9594532,2,,,,FTO,"Eimsbuttel in Hamburg, Germany",,german_fires_hamburg_locations,5549432817416bb577868da70ddeab46,german_fires_hamburg_locations__5549432817416bb577868da70ddeab46
hamburg-nord,"Hamburg-Nord in Hamburg, Germany",53.6117883,10.0072738,2,,,,Diplomat,"Hamburg-Nord in Hamburg, Germany",,german_fires_hamburg_locations,66cfefc71b4bc4af38446507ac3e6b18,german_fires_hamburg_locations__66cfefc71b4bc4af38446507ac3e6b18
wandsbek,"Wandsbek in Hamburg, Germany",53.6536454,10.1070233,2,,,,ForeignMinister,"Wandsbek in Hamburg, Germany",,german_fires_hamburg_locations,4354dfb1e5aa07fa7403d4a22e273f3d,german_fires_hamburg_locations__4354dfb1e5aa07fa7403d4a22e273f3d
bergedorf,"Bergedorf in Hamburg, Germany",53.485984,10.2162551,2,,,,ForeignMinister,"Bergedorf in Hamburg, Germany",,german_fires_hamburg_locations,772e57a32fc816db241463cc9db223e8,german_fires_hamburg_locations__772e57a32fc816db241463cc9db223e8
harburg,"Harburg in Hamburg, Germany",53.4607681,9.9835844,2,,,,Pipeline,"Harburg in Hamburg, Germany",,german_fires_hamburg_locations,3da3e688ac740655007e1d68a7838d89,german_fires_hamburg_locations__3da3e688ac740655007e1d68a7838d89
hamburg-altstadt,"Hamburg-Altstadt in Hamburg, Germany",53.5484098,9.9970905,2,,,,CompanyKeyword,"Hamburg-Altstadt in Hamburg, Germany",,german_fires_hamburg_locations,b1a5dd4f8f8f021fe41d58b59531f364,german_fires_hamburg_locations__b1a5dd4f8f8f021fe41d58b59531f364
billbrook,"Billbrook in Hamburg, Germany",53.5229862,10.0876464,2,,,,Legislator,"Billbrook in Hamburg, Germany",,german_fires_hamburg_locations,8c315d884ec344d1b76a7f9776200ae1,german_fires_hamburg_locations__8c315d884ec344d1b76a7f9776200ae1
billstedt,"Billstedt in Hamburg, Germany",53.5388029,10.1272883,2,,,,Media,"Billstedt in Hamburg, Germany",,german_fires_hamburg_locations,a1f3fa19af3860e52ad7df346f22f09a,german_fires_hamburg_locations__a1f3fa19af3860e52ad7df346f22f09a
borgfelde,"Borgfelde in Hamburg, Germany",53.5535804,10.0329558,2,,,,IndustryTerm,"Borgfelde in Hamburg, Germany",,german_fires_hamburg_locations,328e736087013f3f1cd483073cf578d5,german_fires_hamburg_locations__328e736087013f3f1cd483073cf578d5
finkenwerder,"Finkenwerder in Hamburg, Germany",53.5356068,9.8496346,2,,,,AAEntity,"Finkenwerder in Hamburg, Germany",,german_fires_hamburg_locations,867b1752fe78984332cf5d7b730e8d72,german_fires_hamburg_locations__867b1752fe78984332cf5d7b730e8d72
hafencity,"HafenCity in Hamburg, Germany",53.5395358,10.0051291,2,,,,Consulates,"HafenCity in Hamburg, Germany",,german_fires_hamburg_locations,7683f7a87df17e614180a1bd23320100,german_fires_hamburg_locations__7683f7a87df17e614180a1bd23320100
hamm,"Hamm in Hamburg, Germany",53.5549076,10.0574521,2,,,,News,"Hamm in Hamburg, Germany",,german_fires_hamburg_locations,edc462abcb90cda69b0641a44c7d0434,german_fires_hamburg_locations__edc462abcb90cda69b0641a44c7d0434
hammerbrook,"Hammerbrook in Hamburg, Germany",53.5465315,10.0239361,2,,,,space,"Hammerbrook in Hamburg, Germany",,german_fires_hamburg_locations,016f1722a174dedbe9e075d30e17040d,german_fires_hamburg_locations__016f1722a174dedbe9e075d30e17040d
horn,"Horn in Hamburg, Germany",53.5550327,10.0833707,2,,,,IndustryTerm,"Horn in Hamburg, Germany",,german_fires_hamburg_locations,f5f7a5cf2a08bf7c0d6d37f9f3755352,german_fires_hamburg_locations__f5f7a5cf2a08bf7c0d6d37f9f3755352
kleiner grasbrook,"Kleiner Grasbrook in Hamburg, Germany",53.5303835,10.002153,2,,,,ForeignMinister,"Kleiner Grasbrook in Hamburg, Germany",,german_fires_hamburg_locations,97df554110da5f164544bc76e525f64d,german_fires_hamburg_locations__97df554110da5f164544bc76e525f64d
neustadt,"Neustadt in Hamburg, Germany",53.5511202,9.98112,2,,,,Exec,"Neustadt in Hamburg, Germany",,german_fires_hamburg_locations,138761e6606d9c8859624874e3a9dfb4,german_fires_hamburg_locations__138761e6606d9c8859624874e3a9dfb4
neuwerk,"Neuwerk  in Hamburg, Germany",53.9204084,8.5001641,2,,,,Keyphrase,"Neuwerk  in Hamburg, Germany",,german_fires_hamburg_locations,4be788870beef7cca70ff4ebc859bafc,german_fires_hamburg_locations__4be788870beef7cca70ff4ebc859bafc
rothenburgsort,"Rothenburgsort in Hamburg, Germany",53.5342142,10.0416963,2,,,,LegislativeCommittee,"Rothenburgsort in Hamburg, Germany",,german_fires_hamburg_locations,340cf1cb473f55004bcd55dd3deebb7a,german_fires_hamburg_locations__340cf1cb473f55004bcd55dd3deebb7a
