german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
allen,"Allen in Hamm, Germany",51.6018727,7.8743234,2,"Hamm, Germany",51.67400281,7.815459482,,,,,Pipeline,"Allen in Hamm, Germany",,german_fires_hamm_locations,2344412c64cdfa4f54a95a8cc427a492,german_fires_hamm_locations__2344412c64cdfa4f54a95a8cc427a492
berge,"Berge in Hamm, Germany",51.65031,7.829145,2,,,,,,,,IndustryTerm,"Berge in Hamm, Germany",,german_fires_hamm_locations,15a25092bce62b9aa4674f1beddca713,german_fires_hamm_locations__15a25092bce62b9aa4674f1beddca713
bockum-hovel,"Bockum-Hovel in Hamm, Germany",51.6949146,7.731774,2,,,,,,,ss,Wells,"Bockum-Hovel in Hamm, Germany",,german_fires_hamm_locations,77f0e6951a0764d6139efdb036e8dd5c,german_fires_hamm_locations__77f0e6951a0764d6139efdb036e8dd5c
braam-ostwennemar,"Braam-Ostwennemar in Hamm, Germany",51.675379,7.875444,2,,,,,,,u,LegislativeCommittee,"Braam-Ostwennemar in Hamm, Germany",,german_fires_hamm_locations,bb787038172a5e0361cc2021b81e4d92,german_fires_hamm_locations__bb787038172a5e0361cc2021b81e4d92
daberg,"Daberg in Hamm, Germany",51.66894,7.77082,2,,,,,,,a,Organization,"Daberg in Hamm, Germany",,german_fires_hamm_locations,ba357c3ac5d19a35e1dedfb4e6f098ce,german_fires_hamm_locations__ba357c3ac5d19a35e1dedfb4e6f098ce
freiske,"Freiske in Hamm, Germany",51.6184731,7.822921,2,,,,,,,o,Diplomat,"Freiske in Hamm, Germany",,german_fires_hamm_locations,2069a4a1241806478b80194a8529e1e1,german_fires_hamm_locations__2069a4a1241806478b80194a8529e1e1
frielinghausen,"Frielinghausen in Hamm, Germany",51.6631,7.939126,2,,,,,,,,Wells,"Frielinghausen in Hamm, Germany",,german_fires_hamm_locations,9e96053591aedf3e6ff03c9e1d706fb3,german_fires_hamm_locations__9e96053591aedf3e6ff03c9e1d706fb3
haaren,"Haaren in Hamm, Germany",51.6922343,7.9174856,2,,,,,,,,Diplomat,"Haaren in Hamm, Germany",,german_fires_hamm_locations,85163030b96e8ac660cd986546539ad7,german_fires_hamm_locations__85163030b96e8ac660cd986546539ad7
hamm-mitte,"Hamm-Mitte in Hamm, Germany",53.5507906,10.0658968,2,,,,,,,,Shipping,"Hamm-Mitte in Hamm, Germany",,german_fires_hamm_locations,028edb3eee74642e53b1d6ddd2745306,german_fires_hamm_locations__028edb3eee74642e53b1d6ddd2745306
hamm-norden,"Hamm-Norden in Hamm, Germany",53.5596704,10.0578654,2,,,,,,,,Person,"Hamm-Norden in Hamm, Germany",,german_fires_hamm_locations,bd94260ed5c859266dd153c9d57612e7,german_fires_hamm_locations__bd94260ed5c859266dd153c9d57612e7
hamm-osten,"Hamm-Osten in Hamm, Germany",51.6841991,7.8217417,2,,,,,,,,Media,"Hamm-Osten in Hamm, Germany",,german_fires_hamm_locations,160254a86b23ec507c978e45d8eb6f60,german_fires_hamm_locations__160254a86b23ec507c978e45d8eb6f60
hamm-westen,"Hamm-Westen in Hamm, Germany",51.6666018,7.7904909,2,,,,,,,,Legislator,"Hamm-Westen in Hamm, Germany",,german_fires_hamm_locations,70d632f4bb3fca506b3c52f55951dd35,german_fires_hamm_locations__70d632f4bb3fca506b3c52f55951dd35
heessen,"Heessen in Hamm, Germany",51.690813,7.8093353,2,,,,,,,,Exec,"Heessen in Hamm, Germany",,german_fires_hamm_locations,9b42593aca58651e3cc026801f54d93e,german_fires_hamm_locations__9b42593aca58651e3cc026801f54d93e
herringen,"Herringen in Hamm, Germany",51.6614236,7.7410777,2,,,,,,,,CompanyKeyword,"Herringen in Hamm, Germany",,german_fires_hamm_locations,72c369f49ad2c3183eb6432c90ec6ac2,german_fires_hamm_locations__72c369f49ad2c3183eb6432c90ec6ac2
lerche,"Lerche in Hamm, Germany",51.622776,7.707513,2,,,,,,,,Keyphrase,"Lerche in Hamm, Germany",,german_fires_hamm_locations,728baee2b876d62246307f132bea2be4,german_fires_hamm_locations__728baee2b876d62246307f132bea2be4
