german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ahlem,"Ahlem in Hanover, Germany",52.3660028,9.6687262,2,"Hanover, Germany",52.37608271,9.729884176,,,,,,News,"Ahlem in Hanover, Germany",,german_fires_hannover_locations,abc53cceefefd8c63b50d206f5692e9c,german_fires_hannover_locations__9d0ab00112d5cf6aeb4ff9d7fce68ae2
ahlem-badenstedt-davenstedt,"Ahlem-Badenstedt-Davenstedt in Hanover, Germany",52.3660028,9.6687262,2,,,,,,,,,Shipping,"Ahlem-Badenstedt-Davenstedt in Hanover, Germany",,german_fires_hannover_locations,74100830591f31791175a85144c3890b,german_fires_hannover_locations__22bca586de9b5503b1d8c10838050951
anderten,"Anderten in Hanover, Germany",52.3879107,9.8575904,2,,,,,,,,,FTO,"Anderten in Hanover, Germany",,german_fires_hannover_locations,4b7e99a3fe1d05deecbb9318ba5b2ac1,german_fires_hannover_locations__b1e7a15130278a2636ffa6451c4a1877
badenstedt,"Badenstedt in Hanover, Germany",52.3578824,9.669479,2,,,,,,,,ss,Wells,"Badenstedt in Hanover, Germany",,german_fires_hannover_locations,6189ab37ad6329a061e879e756555b83,german_fires_hannover_locations__5a41793e0e8f0d399aac9545c7a163bb
bemerode,"Bemerode in Hanover, Germany",52.3382402,9.8332651,2,,,,,,,,u,Shipping,"Bemerode in Hanover, Germany",,german_fires_hannover_locations,e465a78bfa29ebcb24e09febac9410a8,german_fires_hannover_locations__ffa8e53d7909e7bd0f86c2bbd317914b
bornum,"Bornum in Hanover, Germany",52.3517945,9.6944348,2,,,,,,,,a,CompanyKeyword,"Bornum in Hanover, Germany",,german_fires_hannover_locations,7d9376658c46f055f43385cefe5290a9,german_fires_hannover_locations__a74d382889c6a7d86b352e0e0a1cfb55
bothfeld,"Bothfeld in Hanover, Germany",52.4367575,9.7879897,2,,,,,,,,o,CompanyKeyword,"Bothfeld in Hanover, Germany",,german_fires_hannover_locations,83c2d2be766eba319106494392603207,german_fires_hannover_locations__e5ed9db79293d67e467db4811ee63e57
bothfeld-vahrenheide,"Bothfeld-Vahrenheide in Hanover, Germany",52.4367575,9.7879897,2,,,,,,,,,Consulates,"Bothfeld-Vahrenheide in Hanover, Germany",,german_fires_hannover_locations,5f770dab4214b781a462518b9cef071a,german_fires_hannover_locations__62b94d1de31a1074d21a47e06b48b309
brink-hafen,"Brink-Hafen in Hanover, Germany",52.4216213,9.7221064,2,,,,,,,,,CompanyKeyword,"Brink-Hafen in Hanover, Germany",,german_fires_hannover_locations,2bc512cd041e64d8f492c53b46cb0c54,german_fires_hannover_locations__b812695db663450d084058dac46cb1c0
buchholz-kleefeld,"Buchholz-Kleefeld in Hanover, Germany",52.3868218,9.8064243,2,,,,,,,,,Refinery,"Buchholz-Kleefeld in Hanover, Germany",,german_fires_hannover_locations,83ab48deebcb987a46d905ad553eaeb8,german_fires_hannover_locations__86fe29b0405a9c1afe08e530a95a87b8
bult,"Bult in Hanover, Germany",52.36539,9.7734155,2,,,,,,,,,Exec,"Bult in Hanover, Germany",,german_fires_hannover_locations,f26ce84c6a69365c661c64866d2b0739,german_fires_hannover_locations__5374888546b273d62e75fc43dd341a59
