german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
wanne,"Wanne in Herne, Germany",51.5366784,7.1991276,2,"Herne, Germany",51.53650733,7.20183535,CompanyKeyword,"Wanne in Herne, Germany",,german_fires_herne_locations,7a9a0959873bae8bf0a9c93c79b272fc,german_fires_herne_locations__7a9a0959873bae8bf0a9c93c79b272fc
unser fritz,"Unser Fritz in Herne, Germany",51.5368948,7.2009147,2,,,,Person,"Unser Fritz in Herne, Germany",,german_fires_herne_locations,c064eb5b6ebdf9afc00a1da766fcd605,german_fires_herne_locations__c064eb5b6ebdf9afc00a1da766fcd605
crange,"Crange in Herne, Germany",51.5368948,7.2009147,2,,,,Wells,"Crange in Herne, Germany",,german_fires_herne_locations,713b294a7c6ff79101a138ac047ec955,german_fires_herne_locations__713b294a7c6ff79101a138ac047ec955
wanne,"Wanne in Herne, Germany",51.5366784,7.1991276,2,,,,ForeignMinister,"Wanne in Herne, Germany",,german_fires_herne_locations,7a9a0959873bae8bf0a9c93c79b272fc,german_fires_herne_locations__7a9a0959873bae8bf0a9c93c79b272fc
baukau-west,"Baukau-West in Herne, Germany",51.5368948,7.2009147,2,,,,Diplomat,"Baukau-West in Herne, Germany",,german_fires_herne_locations,474cccbc42adc5dc2dda89fc7bf2612b,german_fires_herne_locations__474cccbc42adc5dc2dda89fc7bf2612b
eickel,"Eickel  in Herne, Germany",51.5366784,7.1991276,2,,,,ForeignMinister,"Eickel  in Herne, Germany",,german_fires_herne_locations,cf8b48db3360ccd66484811778bb4bf8,german_fires_herne_locations__cf8b48db3360ccd66484811778bb4bf8
rohlinghausen,"Rohlinghausen in Herne, Germany",51.509423,7.135804,2,,,,Shipping,"Rohlinghausen in Herne, Germany",,german_fires_herne_locations,6170113befa1eb80ef11e98c7d93920a,german_fires_herne_locations__6170113befa1eb80ef11e98c7d93920a
wanne-sud,"Wanne-Sud in Herne, Germany",51.5368948,7.2009147,2,,,,ForeignMinistry,"Wanne-Sud in Herne, Germany",,german_fires_herne_locations,37b1f69a000062ea254e5232c72e1246,german_fires_herne_locations__37b1f69a000062ea254e5232c72e1246
eickel,"Eickel  in Herne, Germany",51.5366784,7.1991276,2,,,,Person,"Eickel  in Herne, Germany",,german_fires_herne_locations,cf8b48db3360ccd66484811778bb4bf8,german_fires_herne_locations__cf8b48db3360ccd66484811778bb4bf8
herne-mitte,"Herne-Mitte in Herne, Germany",51.54016,7.2202228,2,,,,ForeignMinistry,"Herne-Mitte in Herne, Germany",,german_fires_herne_locations,0d0c31fe73d4fff5007afae101fcbd74,german_fires_herne_locations__0d0c31fe73d4fff5007afae101fcbd74
holsterhausen,"Holsterhausen in Herne, Germany",51.531536,7.181661,2,,,,space,"Holsterhausen in Herne, Germany",,german_fires_herne_locations,85b85d0bdf4672f06cce3446f13f08f9,german_fires_herne_locations__85b85d0bdf4672f06cce3446f13f08f9
baukau-ost,"Baukau-Ost in Herne, Germany",51.5368948,7.2009147,2,,,,Refinery,"Baukau-Ost in Herne, Germany",,german_fires_herne_locations,f25423d8d66d99125cdbc02e0b9e9239,german_fires_herne_locations__f25423d8d66d99125cdbc02e0b9e9239
herne-sud,"Herne-Sud in Herne, Germany",51.525566,7.211099,2,,,,Media,"Herne-Sud in Herne, Germany",,german_fires_herne_locations,dff2db750fced76a745432ce5bff38b0,german_fires_herne_locations__dff2db750fced76a745432ce5bff38b0
horsthausen,"Horsthausen in Herne, Germany",51.55821,7.22805,2,,,,Shipping,"Horsthausen in Herne, Germany",,german_fires_herne_locations,b09b22ca0a5445f78ffc0aea61439a87,german_fires_herne_locations__b09b22ca0a5445f78ffc0aea61439a87
sodingen,"Sodingen  in Herne, Germany",51.5391181,7.2575115,2,,,,Diplomat,"Sodingen  in Herne, Germany",,german_fires_herne_locations,c6f16d098f95ffb76e7f9d597cd18ae5,german_fires_herne_locations__c6f16d098f95ffb76e7f9d597cd18ae5
bornig,"Bornig  in Herne, Germany",51.562257,7.2597646,2,,,,Consulates,"Bornig  in Herne, Germany",,german_fires_herne_locations,0ae735ce857ca1b869f92ce1ac6b7284,german_fires_herne_locations__0ae735ce857ca1b869f92ce1ac6b7284
