german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
achtum,"Achtum in Hildesheim, Germany",52.1477982,10.0069051,2,"Hildesheim, Germany",52.15507699,9.958397372,,Keyphrase,"Achtum in Hildesheim, Germany",,german_fires_hildesheim_locations,1428e63b5c16d97aa3c8d3007c5b8ed5,german_fires_hildesheim_locations__1428e63b5c16d97aa3c8d3007c5b8ed5
bavenstedt,"Bavenstedt in Hildesheim, Germany",52.1686617,9.9901187,2,,,,ss,Legislator,"Bavenstedt in Hildesheim, Germany",,german_fires_hildesheim_locations,b1326fdefce531b7b3a8553378d9f0ac,german_fires_hildesheim_locations__b1326fdefce531b7b3a8553378d9f0ac
drispenstedt,"Drispenstedt in Hildesheim, Germany",52.179833,9.945667,2,,,,u,Legislator,"Drispenstedt in Hildesheim, Germany",,german_fires_hildesheim_locations,df5403a1d9bb0058b5d453821f9e6864,german_fires_hildesheim_locations__df5403a1d9bb0058b5d453821f9e6864
einum,"Einum in Hildesheim, Germany",52.1619425,10.0138642,2,,,,a,Consulates,"Einum in Hildesheim, Germany",,german_fires_hildesheim_locations,5d68198025ccbdcb62ae43f1a25a306b,german_fires_hildesheim_locations__5d68198025ccbdcb62ae43f1a25a306b
galgenberg,"Galgenberg in Hildesheim, Germany",52.1419666,9.976872,2,,,,o,AAEntity,"Galgenberg in Hildesheim, Germany",,german_fires_hildesheim_locations,33a8f35301d8a979a7fa09fe6ba068f1,german_fires_hildesheim_locations__33a8f35301d8a979a7fa09fe6ba068f1
himmelsthur,"Himmelsthur in Hildesheim, Germany",52.1661766,9.9144004,2,,,,,Person,"Himmelsthur in Hildesheim, Germany",,german_fires_hildesheim_locations,456e84e3a798f81d71100192a919db74,german_fires_hildesheim_locations__456e84e3a798f81d71100192a919db74
itzum,"Itzum in Hildesheim, Germany",52.1148961,9.9922269,2,,,,,Refinery,"Itzum in Hildesheim, Germany",,german_fires_hildesheim_locations,bf65489b1b2841bfed99dd64940d8890,german_fires_hildesheim_locations__bf65489b1b2841bfed99dd64940d8890
marienburg,"Marienburg in Hildesheim, Germany",52.1123317,9.9791255,2,,,,,ForeignMinistry,"Marienburg in Hildesheim, Germany",,german_fires_hildesheim_locations,0bdfcff8aa9b487c39d6a1a641f37f5d,german_fires_hildesheim_locations__0bdfcff8aa9b487c39d6a1a641f37f5d
marienburger hohe,"Marienburger Hohe in Hildesheim, Germany",52.139583,9.968119,2,,,,,Diplomat,"Marienburger Hohe in Hildesheim, Germany",,german_fires_hildesheim_locations,bc50bf2560385194f0e3e1a599b9624c,german_fires_hildesheim_locations__bc50bf2560385194f0e3e1a599b9624c
marienrode,"Marienrode in Hildesheim, Germany",52.1145068,9.9141504,2,,,,,Refinery,"Marienrode in Hildesheim, Germany",,german_fires_hildesheim_locations,4a36afb580a3f02508406835701ea858,german_fires_hildesheim_locations__4a36afb580a3f02508406835701ea858
mitte,"Mitte in Hildesheim, Germany",52.3701453,9.7271379,2,,,,,Wells,"Mitte in Hildesheim, Germany",,german_fires_hildesheim_locations,e3e1334f251c7bb19a55ea4e3761af17,german_fires_hildesheim_locations__e3e1334f251c7bb19a55ea4e3761af17
moritzberg,"Moritzberg in Hildesheim, Germany",52.1376738,9.9252131,2,,,,,LegislativeCommittee,"Moritzberg in Hildesheim, Germany",,german_fires_hildesheim_locations,37aba2e712a5869640a8492839c4e24c,german_fires_hildesheim_locations__37aba2e712a5869640a8492839c4e24c
neuhof,"Neuhof in Hildesheim, Germany",52.1260609,9.9160664,2,,,,,Diplomat,"Neuhof in Hildesheim, Germany",,german_fires_hildesheim_locations,cd381b0a2afdd4c8051332f24d0bb7fc,german_fires_hildesheim_locations__cd381b0a2afdd4c8051332f24d0bb7fc
neustadt,"Neustadt in Hildesheim, Germany",52.1908193,10.0252558,2,,,,,Exec,"Neustadt in Hildesheim, Germany",,german_fires_hildesheim_locations,c35cdafbd190f669d7c6c1dacfa6fe81,german_fires_hildesheim_locations__c35cdafbd190f669d7c6c1dacfa6fe81
nord,"Nord in Hildesheim, Germany",52.184389,9.955881,2,,,,,Refinery,"Nord in Hildesheim, Germany",,german_fires_hildesheim_locations,e71585aa4c1024a20b6a1f7e0bf7d81c,german_fires_hildesheim_locations__e71585aa4c1024a20b6a1f7e0bf7d81c
ochtersum,"Ochtersum in Hildesheim, Germany",52.1286674,9.9441665,2,,,,,FTO,"Ochtersum in Hildesheim, Germany",,german_fires_hildesheim_locations,604d240a19db936b14845e110c76e466,german_fires_hildesheim_locations__604d240a19db936b14845e110c76e466
ost,"Ost in Hildesheim, Germany",52.1464926,9.9630269,2,,,,,IndustryTerm,"Ost in Hildesheim, Germany",,german_fires_hildesheim_locations,5529268dc5f3380c4e3836b19f1538a4,german_fires_hildesheim_locations__5529268dc5f3380c4e3836b19f1538a4
sorsum,"Sorsum in Hildesheim, Germany",52.1467856,9.8814483,2,,,,,Refinery,"Sorsum in Hildesheim, Germany",,german_fires_hildesheim_locations,9ffe4c7778c07ba6000f754abff6031e,german_fires_hildesheim_locations__9ffe4c7778c07ba6000f754abff6031e
steuerwald,"Steuerwald in Hildesheim, Germany",52.168803,9.932417,2,,,,,LegislativeCommittee,"Steuerwald in Hildesheim, Germany",,german_fires_hildesheim_locations,6159fcc1e2b1d321b1a01211cbe5ba1c,german_fires_hildesheim_locations__6159fcc1e2b1d321b1a01211cbe5ba1c
sud,"Sud in Hildesheim, Germany",52.124908,9.993935,2,,,,,Organization,"Sud in Hildesheim, Germany",,german_fires_hildesheim_locations,ffbbd18fb7b9d5af1991177c15fe83d1,german_fires_hildesheim_locations__ffbbd18fb7b9d5af1991177c15fe83d1
uppen,"Uppen in Hildesheim, Germany",52.1385048,10.0215728,2,,,,,Exec,"Uppen in Hildesheim, Germany",,german_fires_hildesheim_locations,146e0130b658c68ff1ea38df84cad02d,german_fires_hildesheim_locations__146e0130b658c68ff1ea38df84cad02d
west,"West in Hildesheim, Germany",52.154778,9.9579652,2,,,,,space,"West in Hildesheim, Germany",,german_fires_hildesheim_locations,102e58e7ddacdea5128a8f4371c431af,german_fires_hildesheim_locations__102e58e7ddacdea5128a8f4371c431af
achtumer feld,"Achtumer Feld in Hildesheim, Germany",52.1494224,10.0045109,1,,,,,LegislativeCommittee,"Achtumer Feld in Hildesheim, Germany",,german_fires_hildesheim_locations,ef417d134548cc74fe6d9a7a84b4f729,german_fires_hildesheim_locations__ef417d134548cc74fe6d9a7a84b4f729
achtumer lindenkamp,"Achtumer Lindenkamp in Hildesheim, Germany",52.1463823,10.004396,1,,,,,AAEntity,"Achtumer Lindenkamp in Hildesheim, Germany",,german_fires_hildesheim_locations,2a302a46b6cffa9217ab1e7b882553e2,german_fires_hildesheim_locations__2a302a46b6cffa9217ab1e7b882553e2
achtumer winkel,"Achtumer Winkel in Hildesheim, Germany",52.1505404,10.0076131,1,,,,,space,"Achtumer Winkel in Hildesheim, Germany",,german_fires_hildesheim_locations,a85a9c60f955896049cf21d0347d21bc,german_fires_hildesheim_locations__a85a9c60f955896049cf21d0347d21bc
adelogstrasse,"Adelogstrasse in Hildesheim, Germany",52.1153749,9.9961408,1,,,,,ForeignMinistry,"Adelogstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,a8b4ff64acba93d652bf48638021a14d,german_fires_hildesheim_locations__a8b4ff64acba93d652bf48638021a14d
adolf-kolping-strasse,"Adolf-Kolping-Strasse in Hildesheim, Germany",52.1291881,9.9399605,1,,,,,Refinery,"Adolf-Kolping-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,066b192bdc78befa42c90010e6c76a89,german_fires_hildesheim_locations__066b192bdc78befa42c90010e6c76a89
agnes-meyerhof-strasse,"Agnes-Meyerhof-Strasse in Hildesheim, Germany",52.1314387,9.9410161,1,,,,,ForeignMinistry,"Agnes-Meyerhof-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,62643d03627eed0590282a037a866ed3,german_fires_hildesheim_locations__62643d03627eed0590282a037a866ed3
agnes-miegel-strasse,"Agnes-Miegel-Strasse in Hildesheim, Germany",52.1325381,9.946564,1,,,,,Person,"Agnes-Miegel-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,ba13b39ade7aad94e98848827226c1b1,german_fires_hildesheim_locations__ba13b39ade7aad94e98848827226c1b1
ahnekamp,"Ahnekamp in Hildesheim, Germany",52.1631626,9.9010833,1,,,,,Refinery,"Ahnekamp in Hildesheim, Germany",,german_fires_hildesheim_locations,e784f3f8c18a03c32b4b9e1685c5b751,german_fires_hildesheim_locations__e784f3f8c18a03c32b4b9e1685c5b751
ahornweg,"Ahornweg in Hildesheim, Germany",52.1376578,9.9399999,1,,,,,Organization,"Ahornweg in Hildesheim, Germany",,german_fires_hildesheim_locations,26a9e73f1e6be72161502dc83e1fa076,german_fires_hildesheim_locations__26a9e73f1e6be72161502dc83e1fa076
