german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
buttgen,"Buttgen in Kaarst, Germany",51.1947634,6.6074931,2,"Kaarst, Germany",51.22467524,6.617784555,,,,LegislativeCommittee,"Buttgen in Kaarst, Germany",,german_fires_kaarst_locations,a5a80fd8ddd81bcc893bed220d62b1c3,german_fires_kaarst_locations__a5a80fd8ddd81bcc893bed220d62b1c3
holzbuttgen,"Holzbuttgen in Kaarst, Germany",51.2183151,6.6059448,2,,,,,,ss,Refinery,"Holzbuttgen in Kaarst, Germany",,german_fires_kaarst_locations,6657979a46bd4462e783019fd36de81b,german_fires_kaarst_locations__6657979a46bd4462e783019fd36de81b
vorst,"Vorst  in Kaarst, Germany",51.213543,6.5772996,2,,,,,,u,Keyphrase,"Vorst  in Kaarst, Germany",,german_fires_kaarst_locations,fb9a20d0b2306b496b589ddbe05adf06,german_fires_kaarst_locations__fb9a20d0b2306b496b589ddbe05adf06
driesch,"Driesch in Kaarst, Germany",51.206746,6.5930127,2,,,,,,a,DiplomaticFacilities,"Driesch in Kaarst, Germany",,german_fires_kaarst_locations,e465c331049a884c656c713a3f17eb69,german_fires_kaarst_locations__e465c331049a884c656c713a3f17eb69
aachener str.,"Aachener Strasse in Kaarst, Germany",51.1944317,6.6127813,1,,,,,,o,space,"Aachener Strasse in Kaarst, Germany",,german_fires_kaarst_locations,b3f8a3690c12c3181753c3e260326f54,german_fires_kaarst_locations__b3f8a3690c12c3181753c3e260326f54
achatweg,"Achatweg in Kaarst, Germany",51.215629,6.6177908,1,,,,,,,space,"Achatweg in Kaarst, Germany",,german_fires_kaarst_locations,6416ddd59e46765da48302e10d2708ed,german_fires_kaarst_locations__6416ddd59e46765da48302e10d2708ed
ackerstr.,"Ackerstrasse in Kaarst, Germany",51.2196845,6.585882,1,,,,,,,Diplomat,"Ackerstrasse in Kaarst, Germany",,german_fires_kaarst_locations,5eea3027f6a62deef092554631159fd6,german_fires_kaarst_locations__5eea3027f6a62deef092554631159fd6
adenauer allee,"Adenauer Allee in Kaarst, Germany",51.2297621,6.6298599,1,,,,,,,Exec,"Adenauer Allee in Kaarst, Germany",,german_fires_kaarst_locations,b4b5f90cc971d85a393eefb7dc9d3375,german_fires_kaarst_locations__b4b5f90cc971d85a393eefb7dc9d3375
adlerstr.,"Adlerstrasse in Kaarst, Germany",51.2295586,6.604364,1,,,,,,,Legislator,"Adlerstrasse in Kaarst, Germany",,german_fires_kaarst_locations,5adf4b69d7b3261d8d7150b4c278329e,german_fires_kaarst_locations__5adf4b69d7b3261d8d7150b4c278329e
ahornstr.,"Ahornstrasse in Kaarst, Germany",51.2189222,6.6104321,1,,,,,,,Refinery,"Ahornstrasse in Kaarst, Germany",,german_fires_kaarst_locations,a1723bda5758591e4d1c14069faa3038,german_fires_kaarst_locations__a1723bda5758591e4d1c14069faa3038
aldegundisstr.,"Aldegundisstrasse in Kaarst, Germany",51.1998416,6.6028807,1,,,,,,,Diplomat,"Aldegundisstrasse in Kaarst, Germany",,german_fires_kaarst_locations,cffcd3dec822ac28f7f9279f12fa566c,german_fires_kaarst_locations__cffcd3dec822ac28f7f9279f12fa566c
allensteinstr.,"Allensteinstrasse in Kaarst, Germany",51.2199916,6.6371127,1,,,,,,,Consulates,"Allensteinstrasse in Kaarst, Germany",,german_fires_kaarst_locations,c00a9d83cdb62fdcc220f7ac61c25524,german_fires_kaarst_locations__c00a9d83cdb62fdcc220f7ac61c25524
alma-mahler-werfel-str.,"Alma-Mahler-Werfel-Strasse in Kaarst, Germany",51.1937415,6.6007276,1,,,,,,,Media,"Alma-Mahler-Werfel-Strasse in Kaarst, Germany",,german_fires_kaarst_locations,550d7fa66b4dfb1278a514ce640498e5,german_fires_kaarst_locations__550d7fa66b4dfb1278a514ce640498e5
alt vorst,"Alt Vorst in Kaarst, Germany",51.2145507,6.5918093,1,,,,,,,AAEntity,"Alt Vorst in Kaarst, Germany",,german_fires_kaarst_locations,95bf68971e420cdcab1006f459460a1e,german_fires_kaarst_locations__95bf68971e420cdcab1006f459460a1e
alt werret,"Alt Werret in Kaarst, Germany",51.2184024,6.5735765,1,,,,,,,DiplomaticFacilities,"Alt Werret in Kaarst, Germany",,german_fires_kaarst_locations,23792be142d68e95be63fded9da432f6,german_fires_kaarst_locations__23792be142d68e95be63fded9da432f6
alte heerstr.,"Alte Heerstrasse in Kaarst, Germany",51.2330055,6.5992536,1,,,,,,,Legislator,"Alte Heerstrasse in Kaarst, Germany",,german_fires_kaarst_locations,2651be391f3b6a1b7cbf75ac40ef5420,german_fires_kaarst_locations__2651be391f3b6a1b7cbf75ac40ef5420
am alten dorf,"Am Alten Dorf in Kaarst, Germany",51.2333307,6.6169811,1,,,,,,,space,"Am Alten Dorf in Kaarst, Germany",,german_fires_kaarst_locations,6e772643263cd6684991ae75d6959679,german_fires_kaarst_locations__6e772643263cd6684991ae75d6959679
am bauhof,"Am Bauhof in Kaarst, Germany",51.2243483,6.5955106,1,,,,,,,ForeignMinister,"Am Bauhof in Kaarst, Germany",,german_fires_kaarst_locations,8cc8cfa19ab25cde67bac4d80e4fbf0c,german_fires_kaarst_locations__8cc8cfa19ab25cde67bac4d80e4fbf0c
am bingerhof,"Am Bingerhof in Kaarst, Germany",51.2313042,6.5986135,1,,,,,,,Diplomat,"Am Bingerhof in Kaarst, Germany",,german_fires_kaarst_locations,a79532c9f2566c35b862685ede9a9bbb,german_fires_kaarst_locations__a79532c9f2566c35b862685ede9a9bbb
am bisgeshof,"Am Bisgeshof in Kaarst, Germany",51.2249197,6.6080198,1,,,,,,,space,"Am Bisgeshof in Kaarst, Germany",,german_fires_kaarst_locations,9fd5b687cb0d1a8156422d02798ff618,german_fires_kaarst_locations__9fd5b687cb0d1a8156422d02798ff618
am breiten deich,"Am Breiten Deich in Kaarst, Germany",51.2225695,6.5831641,1,,,,,,,Diplomat,"Am Breiten Deich in Kaarst, Germany",,german_fires_kaarst_locations,a5e2ce3e241b4cd1ba90de14e215237a,german_fires_kaarst_locations__a5e2ce3e241b4cd1ba90de14e215237a
am dreieck,"Am Dreieck in Kaarst, Germany",51.2279519,6.6182513,1,,,,,,,space,"Am Dreieck in Kaarst, Germany",,german_fires_kaarst_locations,06f9c2638ca8319c743e2cc2a8cdadbc,german_fires_kaarst_locations__06f9c2638ca8319c743e2cc2a8cdadbc
am duffes-pohl,"Am Duffes-Pohl in Kaarst, Germany",51.2201253,6.5968111,1,,,,,,,ForeignMinistry,"Am Duffes-Pohl in Kaarst, Germany",,german_fires_kaarst_locations,21361ad85d63f800accfa94a6dc07b4d,german_fires_kaarst_locations__21361ad85d63f800accfa94a6dc07b4d
am ehrenmal,"Am Ehrenmal in Kaarst, Germany",51.2123919,6.6248441,1,,,,,,,News,"Am Ehrenmal in Kaarst, Germany",,german_fires_kaarst_locations,603c84c90d9035db28d5fae5181ca67d,german_fires_kaarst_locations__603c84c90d9035db28d5fae5181ca67d
am feldrand,"Am Feldrand in Kaarst, Germany",51.2114288,6.5718283,1,,,,,,,Diplomat,"Am Feldrand in Kaarst, Germany",,german_fires_kaarst_locations,77ec9c771640dc0b2119722220247ccf,german_fires_kaarst_locations__77ec9c771640dc0b2119722220247ccf
am fliederbusch,"Am Fliederbusch in Kaarst, Germany",51.2205449,6.6109632,1,,,,,,,ForeignMinister,"Am Fliederbusch in Kaarst, Germany",,german_fires_kaarst_locations,dd8664be119a64a3bbd329c59ae05796,german_fires_kaarst_locations__dd8664be119a64a3bbd329c59ae05796
am grunen weg,"Am Grunen Weg in Kaarst, Germany",51.2150412,6.587081,1,,,,,,,Refinery,"Am Grunen Weg in Kaarst, Germany",,german_fires_kaarst_locations,d5553b83b35d3e6bf17fa1eb7d355d3e,german_fires_kaarst_locations__d5553b83b35d3e6bf17fa1eb7d355d3e
am hagelkreuz,"Am Hagelkreuz in Kaarst, Germany",51.2328316,6.6188614,1,,,,,,,DiplomaticFacilities,"Am Hagelkreuz in Kaarst, Germany",,german_fires_kaarst_locations,3f9c51e3433ba5eda866b28cb63172aa,german_fires_kaarst_locations__3f9c51e3433ba5eda866b28cb63172aa
am haindornchen,"Am Haindornchen in Kaarst, Germany",51.2098722,6.5937877,1,,,,,,,Shipping,"Am Haindornchen in Kaarst, Germany",,german_fires_kaarst_locations,0ca145c4a201bbf5a3a1d3b1ee6f2bfb,german_fires_kaarst_locations__0ca145c4a201bbf5a3a1d3b1ee6f2bfb
am hasenkamp,"Am Hasenkamp in Kaarst, Germany",51.2324359,6.6063595,1,,,,,,,space,"Am Hasenkamp in Kaarst, Germany",,german_fires_kaarst_locations,a7ba876625203643af742ccbac26b8f5,german_fires_kaarst_locations__a7ba876625203643af742ccbac26b8f5
am heidt,"Am Heidt in Kaarst, Germany",51.2099523,6.5782545,1,,,,,,,Organization,"Am Heidt in Kaarst, Germany",,german_fires_kaarst_locations,0fd1bd84f0ba8b497cd6eb0182dd9a88,german_fires_kaarst_locations__0fd1bd84f0ba8b497cd6eb0182dd9a88
am holzbuttger haus,"Am Holzbuttger Haus in Kaarst, Germany",51.2215817,6.5930634,1,,,,,,,FTO,"Am Holzbuttger Haus in Kaarst, Germany",,german_fires_kaarst_locations,c946c942811005352c9b6b32dd7aa23a,german_fires_kaarst_locations__c946c942811005352c9b6b32dd7aa23a
am hoverkamp,"Am Hoverkamp in Kaarst, Germany",51.2321633,6.6293253,1,,,,,,,AAEntity,"Am Hoverkamp in Kaarst, Germany",,german_fires_kaarst_locations,8b2651628f61ff849feca009214efcc2,german_fires_kaarst_locations__8b2651628f61ff849feca009214efcc2
am huppelpesch,"Am Huppelpesch in Kaarst, Germany",51.2241232,6.6211564,1,,,,,,,Diplomat,"Am Huppelpesch in Kaarst, Germany",,german_fires_kaarst_locations,3277162e3833e72af157ae33e821dd27,german_fires_kaarst_locations__3277162e3833e72af157ae33e821dd27
am husemeshof,"Am Husemeshof in Kaarst, Germany",51.23278,6.6175519,1,,,,,,,ForeignMinistry,"Am Husemeshof in Kaarst, Germany",,german_fires_kaarst_locations,e563d99f6fb0bcc967935286dd5a0ccf,german_fires_kaarst_locations__e563d99f6fb0bcc967935286dd5a0ccf
am jagerhof,"Am Jagerhof in Kaarst, Germany",51.2304775,6.6241937,1,,,,,,,DiplomaticFacilities,"Am Jagerhof in Kaarst, Germany",,german_fires_kaarst_locations,0ae863a501ece4bf459253fc4d61b8cc,german_fires_kaarst_locations__0ae863a501ece4bf459253fc4d61b8cc
am kaarster see,"Am Kaarster See in Kaarst, Germany",51.2300086,6.5842509,1,,,,,,,Organization,"Am Kaarster See in Kaarst, Germany",,german_fires_kaarst_locations,77fda7899840df502f1b31c6bd190cee,german_fires_kaarst_locations__77fda7899840df502f1b31c6bd190cee
am kaufmannskreuz,"Am Kaufmannskreuz in Kaarst, Germany",51.2009687,6.6150206,1,,,,,,,Organization,"Am Kaufmannskreuz in Kaarst, Germany",,german_fires_kaarst_locations,0698fe64380b868b2bea104d3a02901b,german_fires_kaarst_locations__0698fe64380b868b2bea104d3a02901b
am kornfeld,"Am Kornfeld in Kaarst, Germany",51.2193221,6.6374431,1,,,,,,,ForeignMinister,"Am Kornfeld in Kaarst, Germany",,german_fires_kaarst_locations,dfb12e91cde5dc02a4e3988d591e8326,german_fires_kaarst_locations__dfb12e91cde5dc02a4e3988d591e8326
am luttenglehner weg,"Am Luttenglehner Weg in Kaarst, Germany",51.185056,6.6085037,1,,,,,,,Exec,"Am Luttenglehner Weg in Kaarst, Germany",,german_fires_kaarst_locations,ec18f3e00a3cb9ac077fc81419d4a989,german_fires_kaarst_locations__ec18f3e00a3cb9ac077fc81419d4a989
am marienheim,"Am Marienheim in Kaarst, Germany",51.2325037,6.6159676,1,,,,,,,Person,"Am Marienheim in Kaarst, Germany",,german_fires_kaarst_locations,57b98ae458edf7572b9f5eee2650f5fb,german_fires_kaarst_locations__57b98ae458edf7572b9f5eee2650f5fb
am maubishof,"Am Maubishof in Kaarst, Germany",51.2271532,6.6187326,1,,,,,,,ForeignMinister,"Am Maubishof in Kaarst, Germany",,german_fires_kaarst_locations,adfbd2694debc6fe482ce377ec95b622,german_fires_kaarst_locations__adfbd2694debc6fe482ce377ec95b622
am pfarrzentrum,"Am Pfarrzentrum in Kaarst, Germany",51.2180583,6.617369,1,,,,,,,LegislativeCommittee,"Am Pfarrzentrum in Kaarst, Germany",,german_fires_kaarst_locations,c150d36f1038847e77037a4e2a0bc191,german_fires_kaarst_locations__c150d36f1038847e77037a4e2a0bc191
am sandfeld,"Am Sandfeld in Kaarst, Germany",51.220696,6.6241007,1,,,,,,,Pipeline,"Am Sandfeld in Kaarst, Germany",,german_fires_kaarst_locations,f993df43950f62d75c47499608ba7593,german_fires_kaarst_locations__f993df43950f62d75c47499608ba7593
am schulzentrum,"Am Schulzentrum in Kaarst, Germany",51.2261891,6.6157549,1,,,,,,,space,"Am Schulzentrum in Kaarst, Germany",,german_fires_kaarst_locations,17518871725d3af153c7076b5137729b,german_fires_kaarst_locations__17518871725d3af153c7076b5137729b
am siepbach,"Am Siepbach in Kaarst, Germany",51.228812,6.6171103,1,,,,,,,IndustryTerm,"Am Siepbach in Kaarst, Germany",,german_fires_kaarst_locations,f2d192c40bfe563f74cf16b92504da17,german_fires_kaarst_locations__f2d192c40bfe563f74cf16b92504da17
am spielmannsfalter,"Am Spielmannsfalter in Kaarst, Germany",51.2153401,6.5734082,1,,,,,,,Shipping,"Am Spielmannsfalter in Kaarst, Germany",,german_fires_kaarst_locations,aae0653f986e5436c5d964e102efc568,german_fires_kaarst_locations__aae0653f986e5436c5d964e102efc568
am spurk,"Am Spurk in Kaarst, Germany",51.2118146,6.5755148,1,,,,,,,News,"Am Spurk in Kaarst, Germany",,german_fires_kaarst_locations,e40c93c468e5964011ebc35dbccfea1f,german_fires_kaarst_locations__e40c93c468e5964011ebc35dbccfea1f
am storkesfeld,"Am Storkesfeld in Kaarst, Germany",51.2151634,6.6281228,1,,,,,,,Diplomat,"Am Storkesfeld in Kaarst, Germany",,german_fires_kaarst_locations,bcf987469b1fb398c746c61726a79b83,german_fires_kaarst_locations__bcf987469b1fb398c746c61726a79b83
am stussgeshof,"Am Stussgeshof in Kaarst, Germany",51.2228861,6.6185765,1,,,,,,,News,"Am Stussgeshof in Kaarst, Germany",,german_fires_kaarst_locations,c27732cfc271bac38e0e445c96b15263,german_fires_kaarst_locations__c27732cfc271bac38e0e445c96b15263
am vorster bruch,"Am Vorster Bruch in Kaarst, Germany",51.2185729,6.5726144,1,,,,,,,Keyphrase,"Am Vorster Bruch in Kaarst, Germany",,german_fires_kaarst_locations,50525c08f4c4273c674868f4de3f0a32,german_fires_kaarst_locations__50525c08f4c4273c674868f4de3f0a32
am vorster pfad,"Am Vorster Pfad in Kaarst, Germany",51.2141016,6.5877814,1,,,,,,,Exec,"Am Vorster Pfad in Kaarst, Germany",,german_fires_kaarst_locations,1a685d4a16f83c5ba2fcb6f3fa0b5785,german_fires_kaarst_locations__1a685d4a16f83c5ba2fcb6f3fa0b5785
am wasserwerk,"Am Wasserwerk in Kaarst, Germany",51.2080673,6.5928871,1,,,,,,,DiplomaticFacilities,"Am Wasserwerk in Kaarst, Germany",,german_fires_kaarst_locations,af50d88ee6a55c6d443038f261ddb170,german_fires_kaarst_locations__af50d88ee6a55c6d443038f261ddb170
