german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
dorsfeld,"Dorsfeld in Kerpen, Germany",50.8800409,6.6354256,2,"Kerpen, Germany",50.87338411,6.688009128,,,,LegislativeCommittee,"Dorsfeld in Kerpen, Germany",,german_fires_kerpen_locations,4d35127a48032ab85cac43692fe43f33,german_fires_kerpen_locations__4d35127a48032ab85cac43692fe43f33
bergerhausen,"Bergerhausen in Kerpen, Germany",50.8617299,6.6473499,2,,,,,,,IndustryTerm,"Bergerhausen in Kerpen, Germany",,german_fires_kerpen_locations,7673ab88496e751820b7f64b9cf33ed0,german_fires_kerpen_locations__7673ab88496e751820b7f64b9cf33ed0
niederbolheim,"Niederbolheim  in Kerpen, Germany",50.8294865,6.6343783,2,,,,,,,Shipping,"Niederbolheim  in Kerpen, Germany",,german_fires_kerpen_locations,616dbbaff28b1bb12873b55c91334871,german_fires_kerpen_locations__616dbbaff28b1bb12873b55c91334871
balkhausen,"Balkhausen in Kerpen, Germany",50.855641,6.759855,2,,,,,,ss,News,"Balkhausen in Kerpen, Germany",,german_fires_kerpen_locations,d912e7532bcc397adc071132e5db6cff,german_fires_kerpen_locations__d912e7532bcc397adc071132e5db6cff
blatzheim,"Blatzheim  in Kerpen, Germany",50.8520606,6.6336213,2,,,,,,u,Wells,"Blatzheim  in Kerpen, Germany",,german_fires_kerpen_locations,f056d8cf2b1bbd9c3ebf82446a7bc3a4,german_fires_kerpen_locations__f056d8cf2b1bbd9c3ebf82446a7bc3a4
geilrath,"Geilrath in Kerpen, Germany",50.8901241,6.640938,2,,,,,,a,ForeignMinistry,"Geilrath in Kerpen, Germany",,german_fires_kerpen_locations,d12d93b96523f92e6302713fd253445c,german_fires_kerpen_locations__d12d93b96523f92e6302713fd253445c
bruggen,"Bruggen in Kerpen, Germany",50.8479886,6.7748944,2,,,,,,o,Wells,"Bruggen in Kerpen, Germany",,german_fires_kerpen_locations,d3b03de2fa5e9222e49292a2a0ecb061,german_fires_kerpen_locations__d3b03de2fa5e9222e49292a2a0ecb061
buir,"Buir in Kerpen, Germany",50.8595404,6.5823599,2,,,,,,,Organization,"Buir in Kerpen, Germany",,german_fires_kerpen_locations,1c3dd611b48bc2ec63368e822b603a49,german_fires_kerpen_locations__1c3dd611b48bc2ec63368e822b603a49
horrem,"Horrem in Kerpen, Germany",50.9110408,6.7106639,2,,,,,,,Pipeline,"Horrem in Kerpen, Germany",,german_fires_kerpen_locations,f8b8fd5b8160e4515ef3ddc690f595bc,german_fires_kerpen_locations__f8b8fd5b8160e4515ef3ddc690f595bc
manheim,"Manheim in Kerpen, Germany",50.8832351,6.5971508,2,,,,,,,AAEntity,"Manheim in Kerpen, Germany",,german_fires_kerpen_locations,0ef6faa5befbedddea4ab10bd2d73e28,german_fires_kerpen_locations__0ef6faa5befbedddea4ab10bd2d73e28
manheim-neu,"Manheim-neu in Kerpen, Germany",50.8708003,6.6601301,2,,,,,,,Legislator,"Manheim-neu in Kerpen, Germany",,german_fires_kerpen_locations,493ceed4c8087d1e73e022346e58a28b,german_fires_kerpen_locations__493ceed4c8087d1e73e022346e58a28b
modrath,"Modrath in Kerpen, Germany",50.8765019,6.6974595,2,,,,,,,space,"Modrath in Kerpen, Germany",,german_fires_kerpen_locations,baa1ce8f545b416126c390b441381ad2,german_fires_kerpen_locations__baa1ce8f545b416126c390b441381ad2
neu-bottenbroich,"Neu-Bottenbroich in Kerpen, Germany",50.917026,6.7265381,2,,,,,,,CompanyKeyword,"Neu-Bottenbroich in Kerpen, Germany",,german_fires_kerpen_locations,6a26aea87ee88a957e01a4a53fb4889d,german_fires_kerpen_locations__6a26aea87ee88a957e01a4a53fb4889d
sindorf,"Sindorf in Kerpen, Germany",50.9029465,6.6694391,2,,,,,,,Exec,"Sindorf in Kerpen, Germany",,german_fires_kerpen_locations,d3c0b6f63b250b602971c23da725507c,german_fires_kerpen_locations__d3c0b6f63b250b602971c23da725507c
turnich,"Turnich in Kerpen, Germany",50.8620598,6.7518387,2,,,,,,,Exec,"Turnich in Kerpen, Germany",,german_fires_kerpen_locations,76dd0a503759dcf7432786ab21df6461,german_fires_kerpen_locations__76dd0a503759dcf7432786ab21df6461
gehoften,"Gehoften in Kerpen, Germany",50.8741043,6.7425179,2,,,,,,,Pipeline,"Gehoften in Kerpen, Germany",,german_fires_kerpen_locations,26567683a072ef16dfd0531ba0683350,german_fires_kerpen_locations__26567683a072ef16dfd0531ba0683350
gotzenkirchen,"Gotzenkirchen in Kerpen, Germany",50.9008559,6.7172206,2,,,,,,,CompanyKeyword,"Gotzenkirchen in Kerpen, Germany",,german_fires_kerpen_locations,7fb849f551544e093edcb241ba8fd436,german_fires_kerpen_locations__7fb849f551544e093edcb241ba8fd436
langenich,"Langenich in Kerpen, Germany",50.8651127,6.6738879,2,,,,,,,space,"Langenich in Kerpen, Germany",,german_fires_kerpen_locations,b2593c98b00b4cd2300c45713e513737,german_fires_kerpen_locations__b2593c98b00b4cd2300c45713e513737
adenauerstrasse,"Adenauerstrasse in Kerpen, Germany",50.911583,6.7071028,1,,,,,,,ForeignMinister,"Adenauerstrasse in Kerpen, Germany",,german_fires_kerpen_locations,645c15b93d88fff69176ff941d10bd98,german_fires_kerpen_locations__645c15b93d88fff69176ff941d10bd98
ahornallee,"Ahornallee in Kerpen, Germany",50.8679759,6.6620096,1,,,,,,,ForeignMinister,"Ahornallee in Kerpen, Germany",,german_fires_kerpen_locations,d8e392cc44c1ac3959ee3a780ef246cf,german_fires_kerpen_locations__d8e392cc44c1ac3959ee3a780ef246cf
ahornstrasse,"Ahornstrasse in Kerpen, Germany",50.8671578,6.7387023,1,,,,,,,FTO,"Ahornstrasse in Kerpen, Germany",,german_fires_kerpen_locations,e4728efc452630e0c437190c5589cf3c,german_fires_kerpen_locations__e4728efc452630e0c437190c5589cf3c
akazienweg,"Akazienweg in Kerpen, Germany",50.9070297,6.7140794,1,,,,,,,Exec,"Akazienweg in Kerpen, Germany",,german_fires_kerpen_locations,2f3b42c3a3a23973839d95af2e2fb70d,german_fires_kerpen_locations__2f3b42c3a3a23973839d95af2e2fb70d
albert-schweitzer-strasse,"Albert-Schweitzer-Strasse in Kerpen, Germany",50.8764322,6.7003543,1,,,,,,,IndustryTerm,"Albert-Schweitzer-Strasse in Kerpen, Germany",,german_fires_kerpen_locations,73e93fe6179b2ee5c116f721dcb32acd,german_fires_kerpen_locations__73e93fe6179b2ee5c116f721dcb32acd
albertus-magnus-strasse,"Albertus-Magnus-Strasse in Kerpen, Germany",50.878368,6.6961404,1,,,,,,,Pipeline,"Albertus-Magnus-Strasse in Kerpen, Germany",,german_fires_kerpen_locations,893e0ced45f7d47aac167460f262651d,german_fires_kerpen_locations__893e0ced45f7d47aac167460f262651d
alfred-doblin-strasse,"Alfred-Doblin-Strasse in Kerpen, Germany",50.9122175,6.6789632,1,,,,,,,Refinery,"Alfred-Doblin-Strasse in Kerpen, Germany",,german_fires_kerpen_locations,366153aa2d7ce00a4f7969652e90c064,german_fires_kerpen_locations__366153aa2d7ce00a4f7969652e90c064
alfred-nobel-strasse,"Alfred-Nobel-Strasse in Kerpen, Germany",50.8672104,6.7538606,1,,,,,,,ForeignMinister,"Alfred-Nobel-Strasse in Kerpen, Germany",,german_fires_kerpen_locations,c260df323fa53fa082341541cca1839c,german_fires_kerpen_locations__c260df323fa53fa082341541cca1839c
alte landstrasse,"Alte Landstrasse in Kerpen, Germany",50.8721357,6.691318,1,,,,,,,Consulates,"Alte Landstrasse in Kerpen, Germany",,german_fires_kerpen_locations,c0181ca5454dd8ebf20d73f64b02180b,german_fires_kerpen_locations__c0181ca5454dd8ebf20d73f64b02180b
alte strasse,"Alte Strasse in Kerpen, Germany",50.862573,6.6466224,1,,,,,,,Person,"Alte Strasse in Kerpen, Germany",,german_fires_kerpen_locations,63ed9d3c9415662220a35a22f634d5cf,german_fires_kerpen_locations__63ed9d3c9415662220a35a22f634d5cf
alte ziegelei,"Alte Ziegelei in Kerpen, Germany",50.8529858,6.7614621,1,,,,,,,Refinery,"Alte Ziegelei in Kerpen, Germany",,german_fires_kerpen_locations,185337c8153ba5e7cd739615e326a968,german_fires_kerpen_locations__185337c8153ba5e7cd739615e326a968
altes forsthaus,"Altes Forsthaus in Kerpen, Germany",50.8847576,6.6952526,1,,,,,,,News,"Altes Forsthaus in Kerpen, Germany",,german_fires_kerpen_locations,fe41d91c1b1fcd0f290c61b196e9df3c,german_fires_kerpen_locations__fe41d91c1b1fcd0f290c61b196e9df3c
am bahndamm,"Am Bahndamm in Kerpen, Germany",50.8642718,6.579525,1,,,,,,,CompanyKeyword,"Am Bahndamm in Kerpen, Germany",,german_fires_kerpen_locations,a4545a49ac54245023137cf11624112d,german_fires_kerpen_locations__a4545a49ac54245023137cf11624112d
