german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
abtnaundorf,"Abtnaundorf in Leipzig, Germany",51.3549122,12.4076323,2,"Leipzig, Germany",51.34255642,12.38332883,AAEntity,"Abtnaundorf in Leipzig, Germany",,german_fires_lepzig_locations,bb670ebd6b943fc654d77229e3dbd915,german_fires_lepzig_locations__72179d4d2f93e89b8be9d1f4d4893a3d
althen,"Althen in Leipzig, Germany",51.3369791,12.5245542,2,,,,CompanyKeyword,"Althen in Leipzig, Germany",,german_fires_lepzig_locations,8b724edfd432b89b1b19fa6029e52df7,german_fires_lepzig_locations__18df7913dcb0e5e50fca0b6cb0a97826
anger,"Anger in Leipzig, Germany",51.3359628,12.4229653,2,,,,Organization,"Anger in Leipzig, Germany",,german_fires_lepzig_locations,c7a5dea2815bf09370badd09aed712c1,german_fires_lepzig_locations__2bb41b145cdaf1d56d25bc8c0931a44d
baalsdorf,"Baalsdorf in Leipzig, Germany",51.3247917,12.4895813,2,,,,DiplomaticFacilities,"Baalsdorf in Leipzig, Germany",,german_fires_lepzig_locations,83e84ca11b148d35622aa3e5296d8339,german_fires_lepzig_locations__2480cd1094e04c9895ad3fc4a44e8381
barneck,"Barneck in Leipzig, Germany",51.3385738,12.3784615,2,,,,ForeignMinister,"Barneck in Leipzig, Germany",,german_fires_lepzig_locations,5663e84bf87d0fa0ac535a4d7895b990,german_fires_lepzig_locations__62b1db0be1556c806d94b9386fd55242
barneck,"Barneck in Leipzig, Germany",51.3385738,12.3784615,2,,,,Media,"Barneck in Leipzig, Germany",,german_fires_lepzig_locations,2ad9804eddb64ffb118a79957e7b23a6,german_fires_lepzig_locations__62b1db0be1556c806d94b9386fd55242
bohlitz,"Bohlitz in Leipzig, Germany",51.3567237,12.2909554,2,,,,ForeignMinistry,"Bohlitz in Leipzig, Germany",,german_fires_lepzig_locations,8746921901ccffcf89460814ae068d94,german_fires_lepzig_locations__68f2d5c6ad6262dde8e2c51df7cd6765
bosdorf,"Bosdorf in Leipzig, Germany",51.2517613,12.2990641,2,,,,Shipping,"Bosdorf in Leipzig, Germany",,german_fires_lepzig_locations,d2919fbad4f0f5c645a25a0fcb5860ae,german_fires_lepzig_locations__5986732ea4df2027bac5cee9acc070b6
breitenfeld,"Breitenfeld in Leipzig, Germany",51.4041521,12.3413302,2,,,,Shipping,"Breitenfeld in Leipzig, Germany",,german_fires_lepzig_locations,77d69921750ab1390ecf0c73d377d8c0,german_fires_lepzig_locations__1f914ff34854c3465770d957e3527fec
burgaue,"Burgaue in Leipzig, Germany",51.3685521,12.2997466,2,,,,Refinery,"Burgaue in Leipzig, Germany",,german_fires_lepzig_locations,73059134f9aeecf2b1aecf4be394e5e6,german_fires_lepzig_locations__bbe1b6bea6e6d3d66e4019d02f5f2e1f
burghausen,"Burghausen in Leipzig, Germany",51.3546139,12.2606793,2,,,,Consulates,"Burghausen in Leipzig, Germany",,german_fires_lepzig_locations,944ecfd587f8903d907a080f7c9e4671,german_fires_lepzig_locations__66928005b377949d8836e5a0a6f9cb58
cleuden,"Cleuden in Leipzig, Germany",51.3396955,12.3730747,2,,,,Refinery,"Cleuden in Leipzig, Germany",,german_fires_lepzig_locations,eda7dfbd3bb888be2237922314ab38bf,german_fires_lepzig_locations__3a3493539a2db4b1b1ee7ace32d247e0
connewitz,"Connewitz in Leipzig, Germany",51.3078032,12.375401,2,,,,Organization,"Connewitz in Leipzig, Germany",,german_fires_lepzig_locations,96cf94a094273d168c316a61d747c4e9,german_fires_lepzig_locations__e847f256c865b264db798d6bf06eb165
crottendorf,"Crottendorf in Leipzig, Germany",51.3359628,12.4229653,2,,,,Person,"Crottendorf in Leipzig, Germany",,german_fires_lepzig_locations,c226f956ddfe7878a95c3f21c6b34c2c,german_fires_lepzig_locations__26c22f8014e13d375d467bfbbd12debd
dobschutz,"Dobschutz in Leipzig, Germany",51.146401,13.272736,2,,,,Exec,"Dobschutz in Leipzig, Germany",,german_fires_lepzig_locations,019ed3ef2e0269df503a4718460f734b,german_fires_lepzig_locations__254a84535dc4bb66a76409bd22f999c9
dolitz,"Dolitz in Leipzig, Germany",51.2874168,12.3918998,2,,,,CompanyKeyword,"Dolitz in Leipzig, Germany",,german_fires_lepzig_locations,0c05def6e7140af3780c0e8a0b9b1945,german_fires_lepzig_locations__18e09c21c1597070ca617366dba3ebb5
dolitz,"Dolitz in Leipzig, Germany",51.2874168,12.3918998,2,,,,FTO,"Dolitz in Leipzig, Germany",,german_fires_lepzig_locations,c664c6d7e153a5d4c025154b472ff60d,german_fires_lepzig_locations__18e09c21c1597070ca617366dba3ebb5
dosen,"Dosen in Leipzig, Germany",51.2891573,12.4128558,2,,,,space,"Dosen in Leipzig, Germany",,german_fires_lepzig_locations,ff96b3603a8a1703522af573bd58a532,german_fires_lepzig_locations__71e104460f72599668331c8cef985345
ehrenberg,"Ehrenberg in Leipzig, Germany",51.3567237,12.2909554,2,,,,IndustryTerm,"Ehrenberg in Leipzig, Germany",,german_fires_lepzig_locations,a55bfdf40ca80683e3dadefcccbbf909,german_fires_lepzig_locations__e1e086e361541ec99b68d25bdb366960
engelsdorf,"Engelsdorf in Leipzig, Germany",51.3382024,12.4799296,2,,,,Diplomat,"Engelsdorf in Leipzig, Germany",,german_fires_lepzig_locations,6b542d066bb27e9cf8d5fb506aab23b6,german_fires_lepzig_locations__71a1b56fc4b12a7104a9c011b4529ec4
eutritzsch,"Eutritzsch in Leipzig, Germany",51.3731585,12.3864518,2,,,,Exec,"Eutritzsch in Leipzig, Germany",,german_fires_lepzig_locations,b926f7a9d938556bb3748b303444e56a,german_fires_lepzig_locations__4dd23f34be3f77ff50a8c3a34754e7c8
eythra,"Eythra in Leipzig, Germany",51.30676,12.26991,2,,,,AAEntity,"Eythra in Leipzig, Germany",,german_fires_lepzig_locations,0b125bc7890c6a16a1f16a564e5a4542,german_fires_lepzig_locations__7c4ff911ca58d190c79b44212752432d
flickert,"Flickert in Leipzig, Germany",51.2885404,12.2788018,2,,,,Wells,"Flickert in Leipzig, Germany",,german_fires_lepzig_locations,2918d96d96f5c531b34e3f667648f215,german_fires_lepzig_locations__15f13b5fa1780e6b64285b1d84955d2c
