german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
wiesdorf,"Wiesdorf in Leverkusen, Germany",51.0277638,6.9885099,2,"Leverkusen, Germany",51.0459517,7.014200156,,,,Legislator,"Wiesdorf in Leverkusen, Germany",,german_fires_leverkusen_locations,b68105fd988348778df121f24c535a9c,german_fires_leverkusen_locations__b68105fd988348778df121f24c535a9c
manfort,"Manfort in Leverkusen, Germany",51.0292102,7.0161655,2,,,,,,ss,Organization,"Manfort in Leverkusen, Germany",,german_fires_leverkusen_locations,2384abfbad0a5b863a561276d5ed2cc2,german_fires_leverkusen_locations__2384abfbad0a5b863a561276d5ed2cc2
rheindorf,"Rheindorf  in Leverkusen, Germany",51.0593326,6.950984,2,,,,,,u,News,"Rheindorf  in Leverkusen, Germany",,german_fires_leverkusen_locations,8e2ab766b56618fe439acec24b69abce,german_fires_leverkusen_locations__8e2ab766b56618fe439acec24b69abce
hitdorf,"Hitdorf in Leverkusen, Germany",51.0624644,6.920369,2,,,,,,a,FTO,"Hitdorf in Leverkusen, Germany",,german_fires_leverkusen_locations,e01a481d88e31a019b22a1dabaf310cc,german_fires_leverkusen_locations__e01a481d88e31a019b22a1dabaf310cc
opladen,"Opladen in Leverkusen, Germany",51.0697197,6.9965788,2,,,,,,o,AAEntity,"Opladen in Leverkusen, Germany",,german_fires_leverkusen_locations,5e5a44895b7f56fb79935dc1320f9189,german_fires_leverkusen_locations__5e5a44895b7f56fb79935dc1320f9189
kuppersteg,"Kuppersteg in Leverkusen, Germany",51.0514383,6.9952981,2,,,,,,,Person,"Kuppersteg in Leverkusen, Germany",,german_fires_leverkusen_locations,5430279496a510a20aa2867d6cc14800,german_fires_leverkusen_locations__5430279496a510a20aa2867d6cc14800
burrig,"Burrig in Leverkusen, Germany",51.0471965,6.9820013,2,,,,,,,AAEntity,"Burrig in Leverkusen, Germany",,german_fires_leverkusen_locations,14a84fef779d7c21205bead74c836b5b,german_fires_leverkusen_locations__14a84fef779d7c21205bead74c836b5b
quettingen,"Quettingen  in Leverkusen, Germany",51.0630266,7.022813,2,,,,,,,ForeignMinistry,"Quettingen  in Leverkusen, Germany",,german_fires_leverkusen_locations,c8df47016c0d2645517300852dda613c,german_fires_leverkusen_locations__c8df47016c0d2645517300852dda613c
bergisch-neukirchen,"Bergisch-Neukirchen in Leverkusen, Germany",51.0792883,7.0337523,2,,,,,,,IndustryTerm,"Bergisch-Neukirchen in Leverkusen, Germany",,german_fires_leverkusen_locations,eb2980981c1bd8b65a7cf2472a0cc652,german_fires_leverkusen_locations__eb2980981c1bd8b65a7cf2472a0cc652
schlebusch,"Schlebusch in Leverkusen, Germany",51.0284377,7.0506967,2,,,,,,,AAEntity,"Schlebusch in Leverkusen, Germany",,german_fires_leverkusen_locations,77cab2ca7e69baf0532ff9d0d81f821f,german_fires_leverkusen_locations__77cab2ca7e69baf0532ff9d0d81f821f
steinbuchel,"Steinbuchel in Leverkusen, Germany",51.0542562,7.067233,2,,,,,,,Legislator,"Steinbuchel in Leverkusen, Germany",,german_fires_leverkusen_locations,c37ba133b71bba2689f4ab2aa8705f5b,german_fires_leverkusen_locations__c37ba133b71bba2689f4ab2aa8705f5b
lutzenkirchen,"Lutzenkirchen  in Leverkusen, Germany",51.0637514,7.0445959,2,,,,,,,CompanyKeyword,"Lutzenkirchen  in Leverkusen, Germany",,german_fires_leverkusen_locations,8f6dfc2d98a4c41d81d531487fb46162,german_fires_leverkusen_locations__8f6dfc2d98a4c41d81d531487fb46162
alkenrath,"Alkenrath in Leverkusen, Germany",51.0429234,7.0278884,2,,,,,,,ForeignMinistry,"Alkenrath in Leverkusen, Germany",,german_fires_leverkusen_locations,7dad41e69422d5a1277f989a6f96ea72,german_fires_leverkusen_locations__7dad41e69422d5a1277f989a6f96ea72
ackerweg,"Ackerweg in Leverkusen, Germany",51.0571638,6.9530963,1,,,,,,,Pipeline,"Ackerweg in Leverkusen, Germany",,german_fires_leverkusen_locations,f4e0ff044e679ea82b2313d82b20dd7f,german_fires_leverkusen_locations__f4e0ff044e679ea82b2313d82b20dd7f
adalbert-stifter-str.,"Adalbert-Stifter-Strasse in Leverkusen, Germany",51.0714243,7.0026739,1,,,,,,,Refinery,"Adalbert-Stifter-Strasse in Leverkusen, Germany",,german_fires_leverkusen_locations,ab9806a9363563d3382f515c3e05481b,german_fires_leverkusen_locations__ab9806a9363563d3382f515c3e05481b
adalbertstr.,"Adalbertstrasse in Leverkusen, Germany",51.0589124,7.0069893,1,,,,,,,IndustryTerm,"Adalbertstrasse in Leverkusen, Germany",,german_fires_leverkusen_locations,1795a167169230eaeaccc1c72c2ec84b,german_fires_leverkusen_locations__1795a167169230eaeaccc1c72c2ec84b
adam-riese-str.,"Adam-Riese-Strasse in Leverkusen, Germany",51.0654303,7.0139186,1,,,,,,,DiplomaticFacilities,"Adam-Riese-Strasse in Leverkusen, Germany",,german_fires_leverkusen_locations,c29c04fd18da61d19682d1f7126e779d,german_fires_leverkusen_locations__c29c04fd18da61d19682d1f7126e779d
