german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
osterath,"Osterath in Meerbusch, Germany",51.2729354,6.6194512,2,"Meerbusch, Germany",51.2503429,6.694639683,Consulates,"Osterath in Meerbusch, Germany",,german_fires_meerbusch_locations,e030d1a330e72295f6f7ef987ae8673d,german_fires_meerbusch_locations__e030d1a330e72295f6f7ef987ae8673d
nierst,"Nierst in Meerbusch, Germany",51.3142042,6.7146415,2,,,,ForeignMinister,"Nierst in Meerbusch, Germany",,german_fires_meerbusch_locations,0608961c292423160a23e8f64c84196d,german_fires_meerbusch_locations__0608961c292423160a23e8f64c84196d
buderich,"Buderich in Meerbusch, Germany",51.2512949,6.6889757,2,,,,Consulates,"Buderich in Meerbusch, Germany",,german_fires_meerbusch_locations,72759b4963f316585f187d99d5cea11b,german_fires_meerbusch_locations__72759b4963f316585f187d99d5cea11b
lank-latum,"Lank-Latum in Meerbusch, Germany",51.3062971,6.6804033,2,,,,IndustryTerm,"Lank-Latum in Meerbusch, Germany",,german_fires_meerbusch_locations,d745c1c32480b46bab74fae4ececdfdd,german_fires_meerbusch_locations__d745c1c32480b46bab74fae4ececdfdd
langst-kierst,"Langst-Kierst in Meerbusch, Germany",51.2986305,6.7108848,2,,,,News,"Langst-Kierst in Meerbusch, Germany",,german_fires_meerbusch_locations,6efd8d42f6d50432d5fe54e8301f52ea,german_fires_meerbusch_locations__6efd8d42f6d50432d5fe54e8301f52ea
strump,"Strump in Meerbusch, Germany",51.2824797,6.6597866,2,,,,Wells,"Strump in Meerbusch, Germany",,german_fires_meerbusch_locations,a30a1e977851113d08b17c534e468e0b,german_fires_meerbusch_locations__a30a1e977851113d08b17c534e468e0b
ilverich,"Ilverich in Meerbusch, Germany",51.2911264,6.7041032,2,,,,DiplomaticFacilities,"Ilverich in Meerbusch, Germany",,german_fires_meerbusch_locations,7f1e15b63211f63f27eba4b29a1b5645,german_fires_meerbusch_locations__7f1e15b63211f63f27eba4b29a1b5645
ossum-bosinghoven,"Ossum-Bosinghoven in Meerbusch, Germany",51.304501,6.632118,2,,,,ForeignMinister,"Ossum-Bosinghoven in Meerbusch, Germany",,german_fires_meerbusch_locations,bfb0efd51fd50ca15efd1fbdec811c4a,german_fires_meerbusch_locations__bfb0efd51fd50ca15efd1fbdec811c4a
ackerstrasse,"Ackerstrasse in Meerbusch, Germany",51.2687594,6.6341107,1,,,,Wells,"Ackerstrasse in Meerbusch, Germany",,german_fires_meerbusch_locations,29e1983ae6486c985894a3adfd16bed1,german_fires_meerbusch_locations__29e1983ae6486c985894a3adfd16bed1
adolf-rutten-weg,"Adolf-Rutten-Weg in Meerbusch, Germany",51.3176064,6.715492,1,,,,Diplomat,"Adolf-Rutten-Weg in Meerbusch, Germany",,german_fires_meerbusch_locations,6814a8a46f67f5296767a5df9d1024bb,german_fires_meerbusch_locations__6814a8a46f67f5296767a5df9d1024bb
ahornstrasse,"Ahornstrasse in Meerbusch, Germany",51.2634707,6.6708136,1,,,,AAEntity,"Ahornstrasse in Meerbusch, Germany",,german_fires_meerbusch_locations,75cbdf1e10e95f24a758f1ead211b1e1,german_fires_meerbusch_locations__75cbdf1e10e95f24a758f1ead211b1e1
