german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
windberg,"Windberg in Monchengladbach, Germany",51.2104644,6.4201162,2,"Monchengladbach, Germany",51.17935007,6.441964147,LegislativeCommittee,"Windberg in Monchengladbach, Germany",,german_fires_monchengladbach_locations,8091202be04e6b97c8a4fd8db86e98a4,german_fires_monchengladbach_locations__21ab70b87b88d893b571124ae275da9e
eicken,"Eicken in Monchengladbach, Germany",51.2090336,6.4461041,2,,,,Refinery,"Eicken in Monchengladbach, Germany",,german_fires_monchengladbach_locations,c4e3ce0c1df30bff094f2c0aab7a687f,german_fires_monchengladbach_locations__9d822ea3cba6763ebd51631fb3170159
am wasserturm,"Am Wasserturm in Monchengladbach, Germany",51.2009403,6.4261424,2,,,,ForeignMinister,"Am Wasserturm in Monchengladbach, Germany",,german_fires_monchengladbach_locations,996756bc1026d9d0f7d15c49c1db9ec1,german_fires_monchengladbach_locations__db65ca953d9f1539562673d4b39248be
gladbach,"Gladbach in Monchengladbach, Germany",51.1938316,6.4360109,2,,,,DiplomaticFacilities,"Gladbach in Monchengladbach, Germany",,german_fires_monchengladbach_locations,e5664209f3dfff392001b0c078975eda,german_fires_monchengladbach_locations__ce0d9422c6fceaaeebff28c0de5de02c
waldhausen,"Waldhausen in Monchengladbach, Germany",51.1938738,6.411364,2,,,,CompanyKeyword,"Waldhausen in Monchengladbach, Germany",,german_fires_monchengladbach_locations,c199e9083a0241e3e84e990419f26274,german_fires_monchengladbach_locations__978755f35bad70a445f7b7f62978bd5b
westend,"Westend in Monchengladbach, Germany",51.1877959,6.4263986,2,,,,Shipping,"Westend in Monchengladbach, Germany",,german_fires_monchengladbach_locations,b5ffb6d8fe73032207527f1d1452dbf9,german_fires_monchengladbach_locations__d0ea170837d361a4445494d944561619
dahl,"Dahl in Monchengladbach, Germany",51.1818956,6.4381851,2,,,,Exec,"Dahl in Monchengladbach, Germany",,german_fires_monchengladbach_locations,89969800e90a93f0c4bddff217d858e8,german_fires_monchengladbach_locations__b705fb28dec5fe395ef17e64d3da4577
ohler,"Ohler in Monchengladbach, Germany",51.1776035,6.4207627,2,,,,Organization,"Ohler in Monchengladbach, Germany",,german_fires_monchengladbach_locations,31e25f653710907c80371cf42e333d2e,german_fires_monchengladbach_locations__46a2f36587e327b95541d9754b7b7ef8
hardt-mitte,"Hardt-Mitte in Monchengladbach, Germany",51.2112429,6.3578374,2,,,,Diplomat,"Hardt-Mitte in Monchengladbach, Germany",,german_fires_monchengladbach_locations,13caf18181dddf7b65635d2b99b80a43,german_fires_monchengladbach_locations__f2332e7858bd1d83a822b60fb2b7137c
venn,"Venn in Monchengladbach, Germany",51.1987421,6.3944067,2,,,,FTO,"Venn in Monchengladbach, Germany",,german_fires_monchengladbach_locations,b6e7b850e45656dea45d2ab56357ad18,german_fires_monchengladbach_locations__68121353d4923117eb53ddb3180326b4
hardter wald,"Hardter Wald in Monchengladbach, Germany",51.1918991,6.3271669,2,,,,Legislator,"Hardter Wald in Monchengladbach, Germany",,german_fires_monchengladbach_locations,b963fdca03d229a00eebebc4687b88c1,german_fires_monchengladbach_locations__3fa9112cd73248151a81458cd4876681
bettrath-hoven,"Bettrath-Hoven in Monchengladbach, Germany",51.222215,6.4512125,2,,,,Organization,"Bettrath-Hoven in Monchengladbach, Germany",,german_fires_monchengladbach_locations,8e429763ef930a6be891c080e252194f,german_fires_monchengladbach_locations__c01fa3fc9cd4ec57bc71a36bf5b0cf1f
flughafen,"Flughafen in Monchengladbach, Germany",51.2310314,6.5009299,2,,,,Keyphrase,"Flughafen in Monchengladbach, Germany",,german_fires_monchengladbach_locations,f9495184a6d9de71354a20f4288e9b01,german_fires_monchengladbach_locations__44b8ff378f8ffa256b7bac85b233b17a
neuwerk-mitte,"Neuwerk-Mitte in Monchengladbach, Germany",51.2231585,6.4757172,2,,,,Pipeline,"Neuwerk-Mitte in Monchengladbach, Germany",,german_fires_monchengladbach_locations,91306db06efdae9fd143cdd77e2afeb9,german_fires_monchengladbach_locations__bb07902bccf20f84a1c4699d9999c6dc
uedding,"Uedding in Monchengladbach, Germany",51.212423,6.4798075,2,,,,Person,"Uedding in Monchengladbach, Germany",,german_fires_monchengladbach_locations,afe550fdf51957f557b2ad225aef1876,german_fires_monchengladbach_locations__334539684fa60087760ec814d573cb16
lurrip,"Lurrip in Monchengladbach, Germany",51.2010233,6.4722194,2,,,,Shipping,"Lurrip in Monchengladbach, Germany",,german_fires_monchengladbach_locations,722e580997eb8badd4a467b02a598ba6,german_fires_monchengladbach_locations__c2dc7253ec15f7e399690aab3d4f979e
hardterbroich-pesch,"Hardterbroich-Pesch in Monchengladbach, Germany",51.1927566,6.4554951,2,,,,Keyphrase,"Hardterbroich-Pesch in Monchengladbach, Germany",,german_fires_monchengladbach_locations,eaa1a63f2e4bb18af12af2e9da3c5c7e,german_fires_monchengladbach_locations__2bf7d5558559fd0f20f8339085371e7b
bungt,"Bungt in Monchengladbach, Germany",51.192038,6.4684874,2,,,,Pipeline,"Bungt in Monchengladbach, Germany",,german_fires_monchengladbach_locations,08adee9e1fdd9474d51a8a9d8413b960,german_fires_monchengladbach_locations__8b1c4ae50f9993533ae560f9e104c7fe
giesenkirchen-nord,"Giesenkirchen-Nord in Monchengladbach, Germany",51.1691364,6.5026358,2,,,,LegislativeCommittee,"Giesenkirchen-Nord in Monchengladbach, Germany",,german_fires_monchengladbach_locations,5a99ad5f3d6222db47e3d865886a1dec,german_fires_monchengladbach_locations__3a4053c8ee65020afe3d33bcd9d57652
schelsen,"Schelsen in Monchengladbach, Germany",51.1525029,6.5184859,2,,,,ForeignMinistry,"Schelsen in Monchengladbach, Germany",,german_fires_monchengladbach_locations,8dc6d4121959b53c1569d6658787c387,german_fires_monchengladbach_locations__e03dfa9b006c006afe5c5d8029ded283
giesenkirchen-mitte,"Giesenkirchen-Mitte in Monchengladbach, Germany",51.1543102,6.4860269,2,,,,Pipeline,"Giesenkirchen-Mitte in Monchengladbach, Germany",,german_fires_monchengladbach_locations,e793126cdcca4f4104e44ab3dc0c6859,german_fires_monchengladbach_locations__64e5a9f1a580a88dd1f4ae18b69c8cd6
schloss rheydt,"Schloss Rheydt in Monchengladbach, Germany",51.1821665,6.4814659,2,,,,LegislativeCommittee,"Schloss Rheydt in Monchengladbach, Germany",,german_fires_monchengladbach_locations,9aeb19a9f40b2b28904fa2f631607837,german_fires_monchengladbach_locations__30bb19f64542a12b7a1487336d75e379
bonnenbroich-geneicken,"Bonnenbroich-Geneicken in Monchengladbach, Germany",51.1764831,6.4648774,2,,,,Shipping,"Bonnenbroich-Geneicken in Monchengladbach, Germany",,german_fires_monchengladbach_locations,52a533323549bad7bed6edc271040662,german_fires_monchengladbach_locations__6e714fce63607d25fa6bbb1588755c13
rheydt,"Rheydt in Monchengladbach, Germany",51.1686686,6.4469619,2,,,,DiplomaticFacilities,"Rheydt in Monchengladbach, Germany",,german_fires_monchengladbach_locations,a992b1f70d966e2ae6f048d9bba6642d,german_fires_monchengladbach_locations__f26002dfb79c13a704ac33b86da4d4f5
mulfort,"Mulfort in Monchengladbach, Germany",51.1553898,6.4665579,2,,,,Pipeline,"Mulfort in Monchengladbach, Germany",,german_fires_monchengladbach_locations,72f55ab72f1819192f487cb609c693b1,german_fires_monchengladbach_locations__8bffe41e5b106fc72c47e9db1850ff5a
heyden,"Heyden in Monchengladbach, Germany",51.1576721,6.4490153,2,,,,Shipping,"Heyden in Monchengladbach, Germany",,german_fires_monchengladbach_locations,97ebd67187de845cb13d7d4f85c10974,german_fires_monchengladbach_locations__5811704f9dbafe6b0b41af9a5880a7ff
geistenbeck,"Geistenbeck in Monchengladbach, Germany",51.1516408,6.4394091,2,,,,space,"Geistenbeck in Monchengladbach, Germany",,german_fires_monchengladbach_locations,e4efb89bfd0870e34125fd84215d36c1,german_fires_monchengladbach_locations__5801ca585daec9b417293b5f31cb5253
pongs,"Pongs in Monchengladbach, Germany",51.1637913,6.4093718,2,,,,Exec,"Pongs in Monchengladbach, Germany",,german_fires_monchengladbach_locations,af782a9ba436bd7ae69acb155e156d59,german_fires_monchengladbach_locations__5bebe78f491b7933bdc43bcc064947d7
schrievers,"Schrievers in Monchengladbach, Germany",51.1692912,6.4287027,2,,,,FTO,"Schrievers in Monchengladbach, Germany",,german_fires_monchengladbach_locations,410c55d3c908b37de08ac914312f8da6,german_fires_monchengladbach_locations__f13bf6da7bf41735966f39f04ae83985
