german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
altstadt-lehel,"Altstadt-Lehel in Munich, Germany",48.1430545,11.5885872,2,"Munich, Germany",48.13725048,11.57788293,,,Keyphrase,"Altstadt-Lehel in Munich, Germany",,german_fires_munich_locations,ddb21c17cf28ce378b3c8172a351e75b,german_fires_munich_locations__3d63517d0865dbf46349da51b0867b65
ludwigsvorstadt-isarvorstadt,"Ludwigsvorstadt-Isarvorstadt in Munich, Germany",48.1262498,11.5582945,2,,,,,ss,Exec,"Ludwigsvorstadt-Isarvorstadt in Munich, Germany",,german_fires_munich_locations,c6a4416b1289b8bba370ef696b95b898,german_fires_munich_locations__9f622dd2eb594472c7f0b4f6b70b6fda
maxvorstadt,"Maxvorstadt in Munich, Germany",48.149976,11.5736217,2,,,,,u,Diplomat,"Maxvorstadt in Munich, Germany",,german_fires_munich_locations,4587261fdb63037c9ef258cf340d659c,german_fires_munich_locations__5ee880155949b57ab469ae91de557e53
schwabing-west,"Schwabing-West in Munich, Germany",48.1678522,11.5710964,2,,,,,a,Diplomat,"Schwabing-West in Munich, Germany",,german_fires_munich_locations,44e099a72a07ac13b516fb0274bfbbea,german_fires_munich_locations__8d3bd372e0f8fcaa5db146daabd37b5d
au-haidhausen,"Au-Haidhausen in Munich, Germany",48.1285918,11.5939258,2,,,,,o,Media,"Au-Haidhausen in Munich, Germany",,german_fires_munich_locations,06253041333d3ac0ac0ad4eeab984c1a,german_fires_munich_locations__bbfb72aecb99da7c156f66677f2cb713
sendling,"Sendling in Munich, Germany",48.112627,11.5450777,2,,,,,,Organization,"Sendling in Munich, Germany",,german_fires_munich_locations,d0349f8aa76176e5cc456dcd027dfa1a,german_fires_munich_locations__6cfa21f1170fae258dcc2a04a422db34
sendling-westpark,"Sendling-Westpark in Munich, Germany",48.1151898,11.5198077,2,,,,,,LegislativeCommittee,"Sendling-Westpark in Munich, Germany",,german_fires_munich_locations,7240899dbd181571bd6d33efdf9710b5,german_fires_munich_locations__a69a896d7991b162468db9bf5c922be2
schwanthalerhohe,"Schwanthalerhohe in Munich, Germany",48.1359616,11.5382059,2,,,,,,Keyphrase,"Schwanthalerhohe in Munich, Germany",,german_fires_munich_locations,c441967bc1226a94828da71d0323902a,german_fires_munich_locations__2a2189dcb3348413a62e85c6aecc2c06
neuhausen-nymphenburg,"Neuhausen-Nymphenburg in Munich, Germany",48.1551149,11.523016,2,,,,,,Wells,"Neuhausen-Nymphenburg in Munich, Germany",,german_fires_munich_locations,10be2cb0333be88da7b39c858f82bfe0,german_fires_munich_locations__abc73a04e19fc46a9977a2445a77128a
moosach,"Moosach in Munich, Germany",48.1811078,11.5115453,2,,,,,,CompanyKeyword,"Moosach in Munich, Germany",,german_fires_munich_locations,1fadcc9af83953a54cdfada8ab7971fa,german_fires_munich_locations__fb27e6968956c016f8c9fad61ed71a56
milbertshofen-am hart,"Milbertshofen-Am Hart in Munich, Germany",48.210554,11.572193,2,,,,,,Organization,"Milbertshofen-Am Hart in Munich, Germany",,german_fires_munich_locations,922d626ad443cb6b37ff3e4a8c4f0ec9,german_fires_munich_locations__ab46b7a596f7b7c78ccb64570bc3bd59
