german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
coerde,"Coerde in Munster, Germany",51.991479,7.648434,2,"Munster, Germany",51.96032222,7.619949613,,ss,Person,"Coerde in Munster, Germany",,german_fires_munster_locations,24c23233258e47b6900a87e9526af62c,german_fires_munster_locations__24c23233258e47b6900a87e9526af62c
kinderhaus,"Kinderhaus in Munster, Germany",51.9940678,7.6041677,2,,,,,u,News,"Kinderhaus in Munster, Germany",,german_fires_munster_locations,555ceaa16b19ae6bc51661533ef91395,german_fires_munster_locations__555ceaa16b19ae6bc51661533ef91395
sprakel,"Sprakel in Munster, Germany",52.0358404,7.6163773,2,,,,,a,AAEntity,"Sprakel in Munster, Germany",,german_fires_munster_locations,d7d4892dcd9e37abfd45b9eb50e28f15,german_fires_munster_locations__d7d4892dcd9e37abfd45b9eb50e28f15
gelmer,"Gelmer in Munster, Germany",52.0285332,7.6733434,2,,,,,o,Media,"Gelmer in Munster, Germany",,german_fires_munster_locations,38165100a09c11c71a477b96a33c8111,german_fires_munster_locations__38165100a09c11c71a477b96a33c8111
handorf,"Handorf in Munster, Germany",51.988542,7.7045008,2,,,,,,Media,"Handorf in Munster, Germany",,german_fires_munster_locations,990d276f218ea0def9ae7ea6d680448b,german_fires_munster_locations__990d276f218ea0def9ae7ea6d680448b
albachten,"Albachten in Munster, Germany",51.920214,7.5273625,2,,,,,,News,"Albachten in Munster, Germany",,german_fires_munster_locations,2a847c32e38e488bdd950f801e0b23be,german_fires_munster_locations__2a847c32e38e488bdd950f801e0b23be
gievenbeck,"Gievenbeck in Munster, Germany",51.9641152,7.5685538,2,,,,,,Shipping,"Gievenbeck in Munster, Germany",,german_fires_munster_locations,37f3c21e919d7f4e9443c1e7a8b160a5,german_fires_munster_locations__37f3c21e919d7f4e9443c1e7a8b160a5
mecklenbeck,"Mecklenbeck in Munster, Germany",51.9246849,7.570402,2,,,,,,Refinery,"Mecklenbeck in Munster, Germany",,german_fires_munster_locations,491e63d6ea353ac4d7c3d69207953197,german_fires_munster_locations__491e63d6ea353ac4d7c3d69207953197
nienberge,"Nienberge in Munster, Germany",51.9944097,7.5527539,2,,,,,,LegislativeCommittee,"Nienberge in Munster, Germany",,german_fires_munster_locations,2438ce962f51b0c3497f7648819d3f1e,german_fires_munster_locations__2438ce962f51b0c3497f7648819d3f1e
hager,"Hager in Munster, Germany",52.0223748,7.5629854,2,,,,,,Organization,"Hager in Munster, Germany",,german_fires_munster_locations,5c8c338ab56ec596e1cbb1807492ee40,german_fires_munster_locations__5c8c338ab56ec596e1cbb1807492ee40
roxel,"Roxel in Munster, Germany",51.952998,7.534574,2,,,,,,ForeignMinistry,"Roxel in Munster, Germany",,german_fires_munster_locations,ef2958c7d7c66003411d1b35ed1ec440,german_fires_munster_locations__ef2958c7d7c66003411d1b35ed1ec440
angelmodde,"Angelmodde in Munster, Germany",51.9181114,7.7071548,2,,,,,,DiplomaticFacilities,"Angelmodde in Munster, Germany",,german_fires_munster_locations,2f9de5e4f6e187f558fa39612dda12b4,german_fires_munster_locations__2f9de5e4f6e187f558fa39612dda12b4
gremmendorf,"Gremmendorf in Munster, Germany",51.9297449,7.671892,2,,,,,,Person,"Gremmendorf in Munster, Germany",,german_fires_munster_locations,22d20448ecd4532656531b0ae78c6ad5,german_fires_munster_locations__22d20448ecd4532656531b0ae78c6ad5
wolbeck,"Wolbeck in Munster, Germany",51.914122,7.7233755,2,,,,,,Refinery,"Wolbeck in Munster, Germany",,german_fires_munster_locations,68274ca5f3b5c8f1e847ea741588bb50,german_fires_munster_locations__68274ca5f3b5c8f1e847ea741588bb50
amelsburen,"Amelsburen in Munster, Germany",51.8803776,7.6091478,2,,,,,,ForeignMinister,"Amelsburen in Munster, Germany",,german_fires_munster_locations,9baddf0c33301ca5a1a2013629f19f35,german_fires_munster_locations__9baddf0c33301ca5a1a2013629f19f35
berg fidel,"Berg Fidel in Munster, Germany",51.9247749,7.621862,2,,,,,,AAEntity,"Berg Fidel in Munster, Germany",,german_fires_munster_locations,e9847b1909e2f9dc17f5067276c38314,german_fires_munster_locations__e9847b1909e2f9dc17f5067276c38314
hiltrup,"Hiltrup in Munster, Germany",51.9033219,7.6446763,2,,,,,,Keyphrase,"Hiltrup in Munster, Germany",,german_fires_munster_locations,3df02930986b70e13fbaaf6cefeeca15,german_fires_munster_locations__3df02930986b70e13fbaaf6cefeeca15
