german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,ss,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
altenfurt,"Altenfurt in Nuremberg, Germany",49.4063738,11.1738314,2,"Nuremberg, Germany",49.45033536,11.10205625,,u,DiplomaticFacilities,"Altenfurt in Nuremberg, Germany",,german_fires_nuremberg_locations,274740c3e02f14d16cbcf17dda5e08e9,german_fires_nuremberg_locations__274740c3e02f14d16cbcf17dda5e08e9
barenschanze,"Barenschanze in Nuremberg, Germany",49.4528905,11.048146,2,,,,,a,Shipping,"Barenschanze in Nuremberg, Germany",,german_fires_nuremberg_locations,fd8af78f637feda882adfcf48e7f2ce9,german_fires_nuremberg_locations__fd8af78f637feda882adfcf48e7f2ce9
boxdorf,"Boxdorf in Nuremberg, Germany",49.5163637,11.0172093,2,,,,,o,Person,"Boxdorf in Nuremberg, Germany",,german_fires_nuremberg_locations,00e8bc2748af2a6db6a80a04f3a1a343,german_fires_nuremberg_locations__00e8bc2748af2a6db6a80a04f3a1a343
brunn,"Brunn in Nuremberg, Germany",49.4251963,11.2663657,2,,,,,,DiplomaticFacilities,"Brunn in Nuremberg, Germany",,german_fires_nuremberg_locations,77b650bb429bbf44a5229a539ed2953d,german_fires_nuremberg_locations__77b650bb429bbf44a5229a539ed2953d
buch,"Buch in Nuremberg, Germany",49.4967937,11.0332553,2,,,,,,LegislativeCommittee,"Buch in Nuremberg, Germany",,german_fires_nuremberg_locations,cfce945d373d7bd5051c633b31355f34,german_fires_nuremberg_locations__cfce945d373d7bd5051c633b31355f34
buchenbuhl,"Buchenbuhl in Nuremberg, Germany",49.5019203,11.1134309,2,,,,,,Organization,"Buchenbuhl in Nuremberg, Germany",,german_fires_nuremberg_locations,822913976018884483c91b8d22fe2cee,german_fires_nuremberg_locations__822913976018884483c91b8d22fe2cee
eibach,"Eibach in Nuremberg, Germany",49.4016318,11.0329845,2,,,,,,Person,"Eibach in Nuremberg, Germany",,german_fires_nuremberg_locations,64fa3e21400d7f22835296a60c54180b,german_fires_nuremberg_locations__64fa3e21400d7f22835296a60c54180b
erlenstegen,"Erlenstegen in Nuremberg, Germany",49.4739513,11.1362907,2,,,,,,Refinery,"Erlenstegen in Nuremberg, Germany",,german_fires_nuremberg_locations,7a08542c3651027f16a3355791556de8,german_fires_nuremberg_locations__7a08542c3651027f16a3355791556de8
fischbach,"Fischbach in Nuremberg, Germany",49.4212752,11.1883033,2,,,,,,Person,"Fischbach in Nuremberg, Germany",,german_fires_nuremberg_locations,f6118806fdb636070ae5296950ce67ba,german_fires_nuremberg_locations__f6118806fdb636070ae5296950ce67ba
gartenstadt,"Gartenstadt in Nuremberg, Germany",49.4071263,11.0825771,2,,,,,,Keyphrase,"Gartenstadt in Nuremberg, Germany",,german_fires_nuremberg_locations,c23ae5bafa158628bc0eab33d7fa6f08,german_fires_nuremberg_locations__c23ae5bafa158628bc0eab33d7fa6f08
gebersdorf,"Gebersdorf in Nuremberg, Germany",49.4295423,11.0101273,2,,,,,,Consulates,"Gebersdorf in Nuremberg, Germany",,german_fires_nuremberg_locations,d5aea520b3223e9f55ab589ff53f4813,german_fires_nuremberg_locations__d5aea520b3223e9f55ab589ff53f4813
gerasmuhle,"Gerasmuhle in Nuremberg, Germany",49.4528471,11.0495401,2,,,,,,Refinery,"Gerasmuhle in Nuremberg, Germany",,german_fires_nuremberg_locations,48f0c8856010b0e213697a04abf9ca03,german_fires_nuremberg_locations__48f0c8856010b0e213697a04abf9ca03
gibitzenhof,"Gibitzenhof in Nuremberg, Germany",49.4330228,11.067414,2,,,,,,Legislator,"Gibitzenhof in Nuremberg, Germany",,german_fires_nuremberg_locations,a510b870ae10f786453849e437e9dc82,german_fires_nuremberg_locations__a510b870ae10f786453849e437e9dc82
gleisshammer,"Gleisshammer in Nuremberg, Germany",49.4448534,11.1179108,2,,,,,,Shipping,"Gleisshammer in Nuremberg, Germany",,german_fires_nuremberg_locations,dd116d3d87bf76057366b2b24f8720e8,german_fires_nuremberg_locations__dd116d3d87bf76057366b2b24f8720e8
grossgrundlach,"Grossgrundlach in Nuremberg, Germany",49.5303449,11.0057382,2,,,,,,Wells,"Grossgrundlach in Nuremberg, Germany",,german_fires_nuremberg_locations,a204b011ce2759ea53fb7c385d4b679b,german_fires_nuremberg_locations__a204b011ce2759ea53fb7c385d4b679b
herpersdorf,"Herpersdorf in Nuremberg, Germany",49.3729198,11.0774885,2,,,,,,IndustryTerm,"Herpersdorf in Nuremberg, Germany",,german_fires_nuremberg_locations,54d1e7dc3baf7502997f6cf53c99be4c,german_fires_nuremberg_locations__54d1e7dc3baf7502997f6cf53c99be4c
herrnhutte,"Herrnhutte in Nuremberg, Germany",49.478119,11.1110742,2,,,,,,space,"Herrnhutte in Nuremberg, Germany",,german_fires_nuremberg_locations,a4a34343c681ac7dbfe49432c7a5ada8,german_fires_nuremberg_locations__a4a34343c681ac7dbfe49432c7a5ada8
hofen,"Hofen in Nuremberg, Germany",49.4499961,11.011408,2,,,,,,News,"Hofen in Nuremberg, Germany",,german_fires_nuremberg_locations,9c50af58e510295a31e82f12875a2eda,german_fires_nuremberg_locations__9c50af58e510295a31e82f12875a2eda
katzwang,"Katzwang in Nuremberg, Germany",49.3515961,11.0588978,2,,,,,,Exec,"Katzwang in Nuremberg, Germany",,german_fires_nuremberg_locations,0f6fe81ad25df3a5f8ca4220f7e028bf,german_fires_nuremberg_locations__0f6fe81ad25df3a5f8ca4220f7e028bf
klingenhof,"Klingenhof in Nuremberg, Germany",49.4774767,11.1136782,2,,,,,,space,"Klingenhof in Nuremberg, Germany",,german_fires_nuremberg_locations,8dd366c24bbdfbfc07bf8af789742423,german_fires_nuremberg_locations__8dd366c24bbdfbfc07bf8af789742423
kornburg,"Kornburg in Nuremberg, Germany",49.3552331,11.1009393,2,,,,,,Organization,"Kornburg in Nuremberg, Germany",,german_fires_nuremberg_locations,8fc900e1d467500fc3c5a634204a4ae8,german_fires_nuremberg_locations__8fc900e1d467500fc3c5a634204a4ae8
kraftshof,"Kraftshof in Nuremberg, Germany",49.5082512,11.0479698,2,,,,,,space,"Kraftshof in Nuremberg, Germany",,german_fires_nuremberg_locations,d074642203d9cffa01029acbb49d1fb4,german_fires_nuremberg_locations__d074642203d9cffa01029acbb49d1fb4
langwasser,"Langwasser in Nuremberg, Germany",49.413795,11.1394785,2,,,,,,Organization,"Langwasser in Nuremberg, Germany",,german_fires_nuremberg_locations,d1cffb144889a19978bb3b7ac79616d4,german_fires_nuremberg_locations__d1cffb144889a19978bb3b7ac79616d4
laufamholz,"Laufamholz in Nuremberg, Germany",49.4662671,11.1626241,2,,,,,,News,"Laufamholz in Nuremberg, Germany",,german_fires_nuremberg_locations,fe3cf44b861649670d5bcc31b82238cf,german_fires_nuremberg_locations__fe3cf44b861649670d5bcc31b82238cf
maxfeld,"Maxfeld in Nuremberg, Germany",49.4670821,11.0876989,2,,,,,,DiplomaticFacilities,"Maxfeld in Nuremberg, Germany",,german_fires_nuremberg_locations,d42861b83b89e0cf56129a25c07f6a19,german_fires_nuremberg_locations__d42861b83b89e0cf56129a25c07f6a19
mogeldorf,"Mogeldorf in Nuremberg, Germany",49.462323,11.1367537,2,,,,,,Legislator,"Mogeldorf in Nuremberg, Germany",,german_fires_nuremberg_locations,f23c78223b8a3c6a2b6094df9b0be7b7,german_fires_nuremberg_locations__f23c78223b8a3c6a2b6094df9b0be7b7
moorenbrunn,"Moorenbrunn in Nuremberg, Germany",49.3971631,11.1718678,2,,,,,,Shipping,"Moorenbrunn in Nuremberg, Germany",,german_fires_nuremberg_locations,ad7eb52ec8c0619377dd6948216ec5c0,german_fires_nuremberg_locations__ad7eb52ec8c0619377dd6948216ec5c0
