german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alsfeld,"Alsfeld in Oberhausen, Germany",51.5330479,6.8385142,2,"Oberhausen, Germany",51.49657172,6.854643988,,,,,Pipeline,"Alsfeld in Oberhausen, Germany",,german_fires_oberhausen_locations,adf019ea0f65fc2488557de417791f18,german_fires_oberhausen_locations__adf019ea0f65fc2488557de417791f18
alstaden-ost,"Alstaden-Ost in Oberhausen, Germany",51.4628756,6.8346909,2,,,,,,,ss,ForeignMinister,"Alstaden-Ost in Oberhausen, Germany",,german_fires_oberhausen_locations,3618ac4b9924acd2aa2f7b06f47e5d0a,german_fires_oberhausen_locations__3618ac4b9924acd2aa2f7b06f47e5d0a
alstaden-west,"Alstaden-West in Oberhausen, Germany",51.4628756,6.8346909,2,,,,,,,u,Keyphrase,"Alstaden-West in Oberhausen, Germany",,german_fires_oberhausen_locations,8e65718d05633116d2cc0b2cb5672517,german_fires_oberhausen_locations__8e65718d05633116d2cc0b2cb5672517
altstadt-mitte,"Altstadt-Mitte in Oberhausen, Germany",51.4369906,6.7668508,2,,,,,,,a,AAEntity,"Altstadt-Mitte in Oberhausen, Germany",,german_fires_oberhausen_locations,1e32848cdda55f5e2d5a71aa74b1f6de,german_fires_oberhausen_locations__1e32848cdda55f5e2d5a71aa74b1f6de
altstadt-sud,"Altstadt-Sud in Oberhausen, Germany",51.468832,6.8539144,2,,,,,,,o,Shipping,"Altstadt-Sud in Oberhausen, Germany",,german_fires_oberhausen_locations,7f1393c780e20f63c4836c9541e5aeac,german_fires_oberhausen_locations__7f1393c780e20f63c4836c9541e5aeac
bermensfeld,"Bermensfeld in Oberhausen, Germany",51.4787317,6.8892238,2,,,,,,,,Wells,"Bermensfeld in Oberhausen, Germany",,german_fires_oberhausen_locations,5b9d260346629fd25059e22e3530f196,german_fires_oberhausen_locations__5b9d260346629fd25059e22e3530f196
borbeck,"Borbeck in Oberhausen, Germany",51.491711,6.9139784,2,,,,,,,,AAEntity,"Borbeck in Oberhausen, Germany",,german_fires_oberhausen_locations,76d2abc6e80ac4cd53e99f9610351c42,german_fires_oberhausen_locations__76d2abc6e80ac4cd53e99f9610351c42
buschhausen,"Buschhausen in Oberhausen, Germany",51.4940058,6.8307119,2,,,,,,,,Pipeline,"Buschhausen in Oberhausen, Germany",,german_fires_oberhausen_locations,c8024b68a33e90cd0fa39b9369e6856c,german_fires_oberhausen_locations__c8024b68a33e90cd0fa39b9369e6856c
dumpten,"Dumpten in Oberhausen, Germany",51.4641426,6.8734178,2,,,,,,,,News,"Dumpten in Oberhausen, Germany",,german_fires_oberhausen_locations,aeae3221cf514be1e0c1253de31d3b53,german_fires_oberhausen_locations__aeae3221cf514be1e0c1253de31d3b53
eisenheim,"Eisenheim in Oberhausen, Germany",51.5036262,6.8636498,2,,,,,,,,Consulates,"Eisenheim in Oberhausen, Germany",,german_fires_oberhausen_locations,9a3bbb50488116dba14fb8c2724751e8,german_fires_oberhausen_locations__9a3bbb50488116dba14fb8c2724751e8
