german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
altehufe,"Altehufe in Odenthal, Germany",51.0150381,7.1729576,2,"Odenthal, Germany",51.03220845,7.116281468,,,,Pipeline,"Altehufe in Odenthal, Germany",,german_fires_odenthal_locations,5aede868568d35034c7e527642ab0611,german_fires_odenthal_locations__5aede868568d35034c7e527642ab0611
altenberg,"Altenberg in Odenthal, Germany",51.055954,7.1318075,2,,,,,,,Person,"Altenberg in Odenthal, Germany",,german_fires_odenthal_locations,d3b47b016b56e351262fc38cd2303b84,german_fires_odenthal_locations__d3b47b016b56e351262fc38cd2303b84
blecher,"Blecher in Odenthal, Germany",51.063407,7.1225218,2,,,,,,,Media,"Blecher in Odenthal, Germany",,german_fires_odenthal_locations,5d71ecd324df4da8c4c3c0d57f5edc5d,german_fires_odenthal_locations__5d71ecd324df4da8c4c3c0d57f5edc5d
bomerich,"Bomerich in Odenthal, Germany",51.0587572,7.1721927,2,,,,,,ss,Pipeline,"Bomerich in Odenthal, Germany",,german_fires_odenthal_locations,6046e2443746ee51f82bd26260f04c12,german_fires_odenthal_locations__6046e2443746ee51f82bd26260f04c12
bulsberg,"Bulsberg in Odenthal, Germany",51.0477576,7.1371696,2,,,,,,u,DiplomaticFacilities,"Bulsberg in Odenthal, Germany",,german_fires_odenthal_locations,b2d418eaa4369c43ef454c4cddd85046,german_fires_odenthal_locations__b2d418eaa4369c43ef454c4cddd85046
busch,"Busch in Odenthal, Germany",51.0443068,7.1800214,2,,,,,,a,space,"Busch in Odenthal, Germany",,german_fires_odenthal_locations,a9a22739c194a8b67483ad5c22272ab2,german_fires_odenthal_locations__a9a22739c194a8b67483ad5c22272ab2
durchmarsch,"Durchmarsch in Odenthal, Germany",51.0212525,7.1913096,2,,,,,,o,Consulates,"Durchmarsch in Odenthal, Germany",,german_fires_odenthal_locations,50bf068a2b93a147e0b1e0b6a9bed12b,german_fires_odenthal_locations__50bf068a2b93a147e0b1e0b6a9bed12b
eikamp,"Eikamp in Odenthal, Germany",51.019478,7.1866809,2,,,,,,,FTO,"Eikamp in Odenthal, Germany",,german_fires_odenthal_locations,e85d0ca8088de81970e2dc92153fb2df,german_fires_odenthal_locations__e85d0ca8088de81970e2dc92153fb2df
erberich,"Erberich in Odenthal, Germany",51.0504956,7.1084505,2,,,,,,,Refinery,"Erberich in Odenthal, Germany",,german_fires_odenthal_locations,cb88a07cf42ebffdff629d6e9735c94e,german_fires_odenthal_locations__cb88a07cf42ebffdff629d6e9735c94e
funkenhof,"Funkenhof in Odenthal, Germany",51.02677,7.118045,2,,,,,,,Keyphrase,"Funkenhof in Odenthal, Germany",,german_fires_odenthal_locations,927c3b5bd47e889ef302e7e614e59837,german_fires_odenthal_locations__927c3b5bd47e889ef302e7e614e59837
ackerstr.,"Ackerstr. in Odenthal, Germany",51.0471418,7.1065309,1,,,,,,,ForeignMinistry,"Ackerstr. in Odenthal, Germany",,german_fires_odenthal_locations,8f9ab4e88d37dd02a8936d99e5a7f1c0,german_fires_odenthal_locations__8f9ab4e88d37dd02a8936d99e5a7f1c0
adolf-kolping-str.,"Adolf-Kolping-Str. in Odenthal, Germany",51.0367812,7.1140444,1,,,,,,,FTO,"Adolf-Kolping-Str. in Odenthal, Germany",,german_fires_odenthal_locations,a5aa2a25342ca84f684b955f15740f92,german_fires_odenthal_locations__a5aa2a25342ca84f684b955f15740f92
alfred-delp-weg,"Alfred-Delp-Weg in Odenthal, Germany",51.0152828,7.1189038,1,,,,,,,FTO,"Alfred-Delp-Weg in Odenthal, Germany",,german_fires_odenthal_locations,6400868fe953e90000e11c7570ab01ca,german_fires_odenthal_locations__6400868fe953e90000e11c7570ab01ca
alte-wipperfurther-str.,"Alte-Wipperfurther-Str. in Odenthal, Germany",51.0177432,7.1840815,1,,,,,,,ForeignMinistry,"Alte-Wipperfurther-Str. in Odenthal, Germany",,german_fires_odenthal_locations,2dae8b5a51ee2104609d0489d1e96a30,german_fires_odenthal_locations__2dae8b5a51ee2104609d0489d1e96a30
altenberger-dom-str.,"Altenberger-Dom-Str. in Odenthal, Germany",51.0424064,7.1228162,1,,,,,,,Refinery,"Altenberger-Dom-Str. in Odenthal, Germany",,german_fires_odenthal_locations,49d98840e0ff5a54aa0c9b983efb8d37,german_fires_odenthal_locations__49d98840e0ff5a54aa0c9b983efb8d37
am alten hof,"Am Alten Hof in Odenthal, Germany",51.0450418,7.1090215,1,,,,,,,Media,"Am Alten Hof in Odenthal, Germany",,german_fires_odenthal_locations,5305fe8d23cba7b21bd9c0fbb9e74fe7,german_fires_odenthal_locations__5305fe8d23cba7b21bd9c0fbb9e74fe7
am alten turm,"Am Alten Turm in Odenthal, Germany",51.0622878,7.1244452,1,,,,,,,space,"Am Alten Turm in Odenthal, Germany",,german_fires_odenthal_locations,a4864fa6b7466d1536b6aa56348803df,german_fires_odenthal_locations__a4864fa6b7466d1536b6aa56348803df
am berg,"Am Berg in Odenthal, Germany",51.0330642,7.0992128,1,,,,,,,Shipping,"Am Berg in Odenthal, Germany",,german_fires_odenthal_locations,b1d99cd43ec822c9aafc11be0b2fae5a,german_fires_odenthal_locations__b1d99cd43ec822c9aafc11be0b2fae5a
