german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
zentrum,"Zentrum in Pinneberg, Germany",53.6545234,9.7937654,2,"Pinneberg, Germany",53.65497138,9.795451517,DiplomaticFacilities,"Zentrum in Pinneberg, Germany",,german_fires_pinneberg_locations,c7b0701dc4099f02bf490a06f9608876,german_fires_pinneberg_locations__c7b0701dc4099f02bf490a06f9608876
quellental,"Quellental in Pinneberg, Germany",53.6515359,9.7997992,2,,,,Legislator,"Quellental in Pinneberg, Germany",,german_fires_pinneberg_locations,19711e56f1839861b075ffd0ec7c4a5a,german_fires_pinneberg_locations__19711e56f1839861b075ffd0ec7c4a5a
thesdorf,"Thesdorf in Pinneberg, Germany",53.6443394,9.8139236,2,,,,AAEntity,"Thesdorf in Pinneberg, Germany",,german_fires_pinneberg_locations,458cdc6b1ba545447a4e0b6e07695715,german_fires_pinneberg_locations__458cdc6b1ba545447a4e0b6e07695715
eggerstedt,"Eggerstedt in Pinneberg, Germany",53.6373815,9.7912995,2,,,,AAEntity,"Eggerstedt in Pinneberg, Germany",,german_fires_pinneberg_locations,1fa82014aeb945e59d52ded83c572985,german_fires_pinneberg_locations__1fa82014aeb945e59d52ded83c572985
pinnebergerdorf,"Pinnebergerdorf in Pinneberg, Germany",53.6448791,9.8090233,2,,,,Keyphrase,"Pinnebergerdorf in Pinneberg, Germany",,german_fires_pinneberg_locations,8799aea481385113d4638dee2458e1f6,german_fires_pinneberg_locations__8799aea481385113d4638dee2458e1f6
pinneberg-nord,"Pinneberg-Nord in Pinneberg, Germany",53.6785943,9.7973626,2,,,,Organization,"Pinneberg-Nord in Pinneberg, Germany",,german_fires_pinneberg_locations,9a83e60c54897d0b51cf8c9f201b7da7,german_fires_pinneberg_locations__9a83e60c54897d0b51cf8c9f201b7da7
ratsberg,"Ratsberg in Pinneberg, Germany",53.6761742,9.7912948,2,,,,Organization,"Ratsberg in Pinneberg, Germany",,german_fires_pinneberg_locations,d539f87c735c4fafa1a12e9ca6291b9e,german_fires_pinneberg_locations__d539f87c735c4fafa1a12e9ca6291b9e
waldenau-datum,"Waldenau-Datum in Pinneberg, Germany",53.6203517,9.7896782,2,,,,Legislator,"Waldenau-Datum in Pinneberg, Germany",,german_fires_pinneberg_locations,d63dc6c1c5f0e23a3e71a3fb2f97bbca,german_fires_pinneberg_locations__d63dc6c1c5f0e23a3e71a3fb2f97bbca
ahornstr.,"Ahornstrasse in Pinneberg, Germany",53.6679516,9.791749,1,,,,space,"Ahornstrasse in Pinneberg, Germany",,german_fires_pinneberg_locations,43555aaf30311ec99e5d455de5be00d9,german_fires_pinneberg_locations__43555aaf30311ec99e5d455de5be00d9
akazienweg,"Akazienweg in Pinneberg, Germany",53.6681671,9.790292,1,,,,Legislator,"Akazienweg in Pinneberg, Germany",,german_fires_pinneberg_locations,017f2959b3f836c569dba3cbe580000a,german_fires_pinneberg_locations__017f2959b3f836c569dba3cbe580000a
