german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
bornim,"Bornim in Potsdam, Germany",52.4314607,13.0012167,2,"Potsdam, Germany",52.39022402,13.06723616,Consulates,"Bornim in Potsdam, Germany",,german_fires_potsdam_locations,957aa3036095de5a10776cf26e8d2c04,german_fires_potsdam_locations__957aa3036095de5a10776cf26e8d2c04
nauener vorstadt,"Nauener Vorstadt in Potsdam, Germany",52.4160084,13.0666823,2,,,,space,"Nauener Vorstadt in Potsdam, Germany",,german_fires_potsdam_locations,9f8d5bb47751a7b62efa1f848550b864,german_fires_potsdam_locations__9f8d5bb47751a7b62efa1f848550b864
brandenburger vorstadt,"Brandenburger Vorstadt in Potsdam, Germany",52.3987034,13.0277135,2,,,,News,"Brandenburger Vorstadt in Potsdam, Germany",,german_fires_potsdam_locations,010b4316a927a5c3e197e227c02637a7,german_fires_potsdam_locations__010b4316a927a5c3e197e227c02637a7
potsdam west,"Potsdam West in Potsdam, Germany",52.3884214,13.0227934,2,,,,Media,"Potsdam West in Potsdam, Germany",,german_fires_potsdam_locations,eb77aaeea5491874f8deec7dd3efe435,german_fires_potsdam_locations__eb77aaeea5491874f8deec7dd3efe435
wildpark,"Wildpark in Potsdam, Germany",52.3784111,12.9912097,2,,,,Diplomat,"Wildpark in Potsdam, Germany",,german_fires_potsdam_locations,5fb390994f3c91ddb07a86fa3bad2157,german_fires_potsdam_locations__5fb390994f3c91ddb07a86fa3bad2157
innenstadt,"Innenstadt in Potsdam, Germany",52.3946289,13.0640882,2,,,,Pipeline,"Innenstadt in Potsdam, Germany",,german_fires_potsdam_locations,6a108496d6ce3ccda8486939eff68715,german_fires_potsdam_locations__6a108496d6ce3ccda8486939eff68715
babelsberg,"Babelsberg in Potsdam, Germany",52.3875629,13.1028717,2,,,,Consulates,"Babelsberg in Potsdam, Germany",,german_fires_potsdam_locations,ba29efbe5e9d14f4a90956399c10b665,german_fires_potsdam_locations__ba29efbe5e9d14f4a90956399c10b665
klein glienicke,"Klein Glienicke in Potsdam, Germany",52.40906,13.1023638,2,,,,Organization,"Klein Glienicke in Potsdam, Germany",,german_fires_potsdam_locations,8dd144525a7515ed5946340dc37cc75d,german_fires_potsdam_locations__8dd144525a7515ed5946340dc37cc75d
templiner vorstadt,"Templiner Vorstadt in Potsdam, Germany",52.3859798,13.0446097,2,,,,ForeignMinister,"Templiner Vorstadt in Potsdam, Germany",,german_fires_potsdam_locations,11d710596f96c415593ee82aeed420e7,german_fires_potsdam_locations__11d710596f96c415593ee82aeed420e7
teltower vorstadt,"Teltower Vorstadt in Potsdam, Germany",52.3827172,13.0737023,2,,,,Refinery,"Teltower Vorstadt in Potsdam, Germany",,german_fires_potsdam_locations,e9f65d3b269ded54d06f6ad679e2170b,german_fires_potsdam_locations__e9f65d3b269ded54d06f6ad679e2170b
