german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
schelfstadt,"Schelfstadt in Schwerin, Germany",53.6343394,11.4176027,2,"Schwerin, Germany",53.63686542,11.40460751,,,,Consulates,"Schelfstadt in Schwerin, Germany",,german_fires_schwerin_locations,f45b8a53cca2ab71cd10266899e3c8ce,german_fires_schwerin_locations__f45b8a53cca2ab71cd10266899e3c8ce
werdervorstadt,"Werdervorstadt in Schwerin, Germany",53.636015,11.422942,2,,,,,,,ForeignMinister,"Werdervorstadt in Schwerin, Germany",,german_fires_schwerin_locations,5f1bfdbdb900608d7dca6f8742e7cdb6,german_fires_schwerin_locations__5f1bfdbdb900608d7dca6f8742e7cdb6
schelfwerder,"Schelfwerder in Schwerin, Germany",53.6541667,11.4461111,2,,,,,,,Diplomat,"Schelfwerder in Schwerin, Germany",,german_fires_schwerin_locations,951585f8107790a67c0cb54474405a4a,german_fires_schwerin_locations__951585f8107790a67c0cb54474405a4a
altstadt,"Altstadt in Schwerin, Germany",53.6293827,11.4136215,2,,,,,,,Legislator,"Altstadt in Schwerin, Germany",,german_fires_schwerin_locations,fe66c255ef264b8a23e81e9400b86760,german_fires_schwerin_locations__fe66c255ef264b8a23e81e9400b86760
feldstadt,"Feldstadt in Schwerin, Germany",53.6217141,11.4056204,2,,,,,,,DiplomaticFacilities,"Feldstadt in Schwerin, Germany",,german_fires_schwerin_locations,904d09bd8616dacf6f624b2887e79076,german_fires_schwerin_locations__904d09bd8616dacf6f624b2887e79076
paulsstadt,"Paulsstadt in Schwerin, Germany",53.633639,11.4029417,2,,,,,,ss,Organization,"Paulsstadt in Schwerin, Germany",,german_fires_schwerin_locations,6cde3cede8833b92c61c2ff84bd4520f,german_fires_schwerin_locations__6cde3cede8833b92c61c2ff84bd4520f
lewenberg,"Lewenberg in Schwerin, Germany",53.6490983,11.4087073,2,,,,,,u,Organization,"Lewenberg in Schwerin, Germany",,german_fires_schwerin_locations,29e7e08e97203fc64c92b9fabf45df21,german_fires_schwerin_locations__29e7e08e97203fc64c92b9fabf45df21
grosser dreesch,"Grosser Dreesch in Schwerin, Germany",53.600465,11.435151,2,,,,,,a,Shipping,"Grosser Dreesch in Schwerin, Germany",,german_fires_schwerin_locations,6be34a4812f900611e399ffaf3a04c29,german_fires_schwerin_locations__6be34a4812f900611e399ffaf3a04c29
neu zippendorf,"Neu Zippendorf in Schwerin, Germany",53.586222,11.4551409,2,,,,,,o,ForeignMinistry,"Neu Zippendorf in Schwerin, Germany",,german_fires_schwerin_locations,bde4b31ba0967f522c260d30e9d77e4f,german_fires_schwerin_locations__bde4b31ba0967f522c260d30e9d77e4f
muesser holz,"Muesser Holz in Schwerin, Germany",53.5898876,11.4692001,2,,,,,,,Shipping,"Muesser Holz in Schwerin, Germany",,german_fires_schwerin_locations,b89651f61e191fb4e8b41b5647238c94,german_fires_schwerin_locations__b89651f61e191fb4e8b41b5647238c94
gartenstadt,"Gartenstadt in Schwerin, Germany",53.6104569,11.4137799,2,,,,,,,FTO,"Gartenstadt in Schwerin, Germany",,german_fires_schwerin_locations,dbbfe35fbbd9d21422a772424fdab68c,german_fires_schwerin_locations__dbbfe35fbbd9d21422a772424fdab68c
ostorf,"Ostorf in Schwerin, Germany",53.6170416,11.4260603,2,,,,,,,Diplomat,"Ostorf in Schwerin, Germany",,german_fires_schwerin_locations,da0db10c49dcb7c7aacff29b1957397e,german_fires_schwerin_locations__da0db10c49dcb7c7aacff29b1957397e
lankow,"Lankow in Schwerin, Germany",53.645266,11.3600049,2,,,,,,,Exec,"Lankow in Schwerin, Germany",,german_fires_schwerin_locations,c1ac460e9f15cc19704e94c8fce18cf6,german_fires_schwerin_locations__c1ac460e9f15cc19704e94c8fce18cf6
weststadt,"Weststadt in Schwerin, Germany",53.6365869,11.3898966,2,,,,,,,Diplomat,"Weststadt in Schwerin, Germany",,german_fires_schwerin_locations,0669b76a1745bb9566dbfebfb853bec8,german_fires_schwerin_locations__0669b76a1745bb9566dbfebfb853bec8
krebsforden,"Krebsforden in Schwerin, Germany",53.592647,11.4004049,2,,,,,,,CompanyKeyword,"Krebsforden in Schwerin, Germany",,german_fires_schwerin_locations,e72df30564fa239ab0175d58f2138bee,german_fires_schwerin_locations__e72df30564fa239ab0175d58f2138bee
wustmark,"Wustmark in Schwerin, Germany",53.584045,11.399627,2,,,,,,,Pipeline,"Wustmark in Schwerin, Germany",,german_fires_schwerin_locations,3099b0cf6c0b4461d2af929915eae548,german_fires_schwerin_locations__3099b0cf6c0b4461d2af929915eae548
gohrener tannen,"Gohrener Tannen in Schwerin, Germany",53.68514092,11.48705507,2,,,,,,,ForeignMinister,"Gohrener Tannen in Schwerin, Germany",,german_fires_schwerin_locations,9d394467578cdb6ba5c93e0e28b72594,german_fires_schwerin_locations__9d394467578cdb6ba5c93e0e28b72594
gorries,"Gorries in Schwerin, Germany",53.608897,11.3743209,2,,,,,,,ForeignMinistry,"Gorries in Schwerin, Germany",,german_fires_schwerin_locations,c3a9682b7d9ba30095f57c806cb53ceb,german_fires_schwerin_locations__c3a9682b7d9ba30095f57c806cb53ceb
friedrichsthal,"Friedrichsthal in Schwerin, Germany",53.65213,11.33236,2,,,,,,,News,"Friedrichsthal in Schwerin, Germany",,german_fires_schwerin_locations,e440b9bf8d1916c970bde0b64ba34ff9,german_fires_schwerin_locations__e440b9bf8d1916c970bde0b64ba34ff9
neumuhle,"Neumuhle in Schwerin, Germany",53.62686,11.367059,2,,,,,,,ForeignMinister,"Neumuhle in Schwerin, Germany",,german_fires_schwerin_locations,92696f9fd21e2013292f3e1a56244288,german_fires_schwerin_locations__92696f9fd21e2013292f3e1a56244288
sacktannen,"Sacktannen in Schwerin, Germany",53.6332637,11.3419296,2,,,,,,,News,"Sacktannen in Schwerin, Germany",,german_fires_schwerin_locations,934f4a10acebc97b9b6cd1c104bb21ec,german_fires_schwerin_locations__934f4a10acebc97b9b6cd1c104bb21ec
warnitz,"Warnitz in Schwerin, Germany",53.662901,11.348628,2,,,,,,,Shipping,"Warnitz in Schwerin, Germany",,german_fires_schwerin_locations,6bf7e00d8e44f2a3203a50188bf6e753,german_fires_schwerin_locations__6bf7e00d8e44f2a3203a50188bf6e753
wickendorf,"Wickendorf in Schwerin, Germany",53.6812422,11.4294511,2,,,,,,,Shipping,"Wickendorf in Schwerin, Germany",,german_fires_schwerin_locations,01db7d0adaed85cc0fa4e0522980035d,german_fires_schwerin_locations__01db7d0adaed85cc0fa4e0522980035d
medewege,"Medewege in Schwerin, Germany",53.6620441,11.4043132,2,,,,,,,DiplomaticFacilities,"Medewege in Schwerin, Germany",,german_fires_schwerin_locations,69e98e7b2f55798393670f606543cf5b,german_fires_schwerin_locations__69e98e7b2f55798393670f606543cf5b
zippendorf,"Zippendorf in Schwerin, Germany",53.5996052,11.4578042,2,,,,,,,IndustryTerm,"Zippendorf in Schwerin, Germany",,german_fires_schwerin_locations,11fba6e71d7bffeaf58f3c7b22947ec2,german_fires_schwerin_locations__11fba6e71d7bffeaf58f3c7b22947ec2
muess,"Muess in Schwerin, Germany",53.600949,11.482264,2,,,,,,,AAEntity,"Muess in Schwerin, Germany",,german_fires_schwerin_locations,ea2c18fe60c5b4b9111e186217256e5e,german_fires_schwerin_locations__ea2c18fe60c5b4b9111e186217256e5e
achter de wisch,"Achter de Wisch in Schwerin, Germany",53.5902024,11.3961344,1,,,,,,,ForeignMinister,"Achter de Wisch in Schwerin, Germany",,german_fires_schwerin_locations,200325e3ad31a9100cc47de028420c84,german_fires_schwerin_locations__200325e3ad31a9100cc47de028420c84
adam-scharrer-weg,"Adam-Scharrer-Weg in Schwerin, Germany",53.6148874,11.414323,1,,,,,,,Refinery,"Adam-Scharrer-Weg in Schwerin, Germany",,german_fires_schwerin_locations,e3487943df3e7bd9769740606e536d3b,german_fires_schwerin_locations__e3487943df3e7bd9769740606e536d3b
adebarstrasse,"Adebarstrasse in Schwerin, Germany",53.6247045,11.4182424,1,,,,,,,Legislator,"Adebarstrasse in Schwerin, Germany",,german_fires_schwerin_locations,d9948386fd00c10b7b4db1d6813cce36,german_fires_schwerin_locations__d9948386fd00c10b7b4db1d6813cce36
adlerstrasse,"Adlerstrasse in Schwerin, Germany",51.5463177,7.328286,1,,,,,,,Exec,"Adlerstrasse in Schwerin, Germany",,german_fires_schwerin_locations,86d9a458fae451c167da08dbd3f20b5e,german_fires_schwerin_locations__86d9a458fae451c167da08dbd3f20b5e
adolf-wilbrandt-strasse,"Adolf-Wilbrandt-Strasse in Schwerin, Germany",53.6435688,11.3914703,1,,,,,,,Legislator,"Adolf-Wilbrandt-Strasse in Schwerin, Germany",,german_fires_schwerin_locations,e9c0a29577f2681bcc6ae1e56006cc6f,german_fires_schwerin_locations__e9c0a29577f2681bcc6ae1e56006cc6f
ahornallee,"Ahornallee in Schwerin, Germany",53.6247045,11.4182424,1,,,,,,,Diplomat,"Ahornallee in Schwerin, Germany",,german_fires_schwerin_locations,b0f9525eef1c84f8ed5052d304615e79,german_fires_schwerin_locations__b0f9525eef1c84f8ed5052d304615e79
ahornstrasse,"Ahornstrasse in Schwerin, Germany",53.6438389,11.3588357,1,,,,,,,LegislativeCommittee,"Ahornstrasse in Schwerin, Germany",,german_fires_schwerin_locations,90388fe63a3fbfb7de8b63c698daf751,german_fires_schwerin_locations__90388fe63a3fbfb7de8b63c698daf751
ahornweg,"Ahornweg in Schwerin, Germany",53.673392,11.3472935,1,,,,,,,ForeignMinister,"Ahornweg in Schwerin, Germany",,german_fires_schwerin_locations,c12266045aca615f3d944a04bc984e53,german_fires_schwerin_locations__c12266045aca615f3d944a04bc984e53
ahrenshooper ring,"Ahrenshooper Ring in Schwerin, Germany",53.6369759,11.358726,1,,,,,,,Consulates,"Ahrenshooper Ring in Schwerin, Germany",,german_fires_schwerin_locations,2510f01d257fe9a7b42997e822292c37,german_fires_schwerin_locations__2510f01d257fe9a7b42997e822292c37
alexander-behm-strasse,"Alexander-Behm-Strasse in Schwerin, Germany",53.5647645,11.3751152,1,,,,,,,CompanyKeyword,"Alexander-Behm-Strasse in Schwerin, Germany",,german_fires_schwerin_locations,bcb031cb5e43a1f5622741db096f1605,german_fires_schwerin_locations__bcb031cb5e43a1f5622741db096f1605
alexander-von-humboldt-strasse,"Alexander-von-Humboldt-Strasse in Schwerin, Germany",53.5939082,11.4634614,1,,,,,,,ForeignMinister,"Alexander-von-Humboldt-Strasse in Schwerin, Germany",,german_fires_schwerin_locations,978b93106039c97dbcae85e82ea39bc0,german_fires_schwerin_locations__978b93106039c97dbcae85e82ea39bc0
alexandrinenstrasse,"Alexandrinenstrasse in Schwerin, Germany",53.6337838,11.4107201,1,,,,,,,Media,"Alexandrinenstrasse in Schwerin, Germany",,german_fires_schwerin_locations,7d18dd642cf0a1b8bf72e54c7f615747,german_fires_schwerin_locations__7d18dd642cf0a1b8bf72e54c7f615747
alt meteler strasse,"Alt Meteler Strasse in Schwerin, Germany",53.6531175,11.3379422,1,,,,,,,AAEntity,"Alt Meteler Strasse in Schwerin, Germany",,german_fires_schwerin_locations,06b4614a77177a3d92a93bda1d94b2c1,german_fires_schwerin_locations__06b4614a77177a3d92a93bda1d94b2c1
alte crivitzer landstrasse,"Alte Crivitzer Landstrasse in Schwerin, Germany",53.6000623,11.4819212,1,,,,,,,FTO,"Alte Crivitzer Landstrasse in Schwerin, Germany",,german_fires_schwerin_locations,442709a54f07acb08d6a410427ca59c3,german_fires_schwerin_locations__442709a54f07acb08d6a410427ca59c3
alte dorfstrasse,"Alte Dorfstrasse in Schwerin, Germany",53.6017396,11.4603216,1,,,,,,,ForeignMinister,"Alte Dorfstrasse in Schwerin, Germany",,german_fires_schwerin_locations,391754b2a46806b265de4801166853a6,german_fires_schwerin_locations__391754b2a46806b265de4801166853a6
alter garten,"Alter Garten in Schwerin, Germany",53.626512,11.4168562,1,,,,,,,Diplomat,"Alter Garten in Schwerin, Germany",,german_fires_schwerin_locations,f78d3f598cd9819c8525e5fd4dc179a6,german_fires_schwerin_locations__f78d3f598cd9819c8525e5fd4dc179a6
alte gartnerei,"Alte Gartnerei in Schwerin, Germany",53.663373,11.3428896,1,,,,,,,ForeignMinister,"Alte Gartnerei in Schwerin, Germany",,german_fires_schwerin_locations,33b4589ffff08c811c419e8f4c2c4d1e,german_fires_schwerin_locations__33b4589ffff08c811c419e8f4c2c4d1e
alter holzweg,"Alter Holzweg in Schwerin, Germany",53.5903421,11.4121506,1,,,,,,,LegislativeCommittee,"Alter Holzweg in Schwerin, Germany",,german_fires_schwerin_locations,e006733d363086fb90fc9831bede59ab,german_fires_schwerin_locations__e006733d363086fb90fc9831bede59ab
alter kirchweg,"Alter Kirchweg in Schwerin, Germany",53.69604,9.93977,1,,,,,,,space,"Alter Kirchweg in Schwerin, Germany",,german_fires_schwerin_locations,75a1a7436b4b7eb4bff172b4ac1cda95,german_fires_schwerin_locations__75a1a7436b4b7eb4bff172b4ac1cda95
am alten dorf,"Am Alten Dorf in Schwerin, Germany",53.6355022,11.4012499,1,,,,,,,IndustryTerm,"Am Alten Dorf in Schwerin, Germany",,german_fires_schwerin_locations,d83793d2cff2fe671a3131f1288cf93a,german_fires_schwerin_locations__d83793d2cff2fe671a3131f1288cf93a
am anger,"Am Anger in Schwerin, Germany",53.629627,11.4144941,1,,,,,,,CompanyKeyword,"Am Anger in Schwerin, Germany",,german_fires_schwerin_locations,36534425d56977173ee050ed43e9fda3,german_fires_schwerin_locations__36534425d56977173ee050ed43e9fda3
am aubach,"Am Aubach in Schwerin, Germany",53.6388652,11.4088864,1,,,,,,,Refinery,"Am Aubach in Schwerin, Germany",,german_fires_schwerin_locations,230b6f459f52d4e10e237377b28be47e,german_fires_schwerin_locations__230b6f459f52d4e10e237377b28be47e
