german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
burg,"Burg in Solingen, Germany",51.1393372,7.1577611,,"Solingen, Germany",51.16661834,7.068105396,,,,,,Consulates,"Burg in Solingen, Germany",,german_fires_solingen_locations,baef000400bde39331891012c740375f,german_fires_solingen_locations__baef000400bde39331891012c740375f
grafrath,"Grafrath in Solingen, Germany",51.2045256,7.0735681,2,,,,,,,,,AAEntity,"Grafrath in Solingen, Germany",,german_fires_solingen_locations,f3da2ad37cd6255a93c80fe6cea3a837,german_fires_solingen_locations__f3da2ad37cd6255a93c80fe6cea3a837
hohscheid,"Hohscheid in Solingen, Germany",51.1568302,7.0703851,2,,,,,,,,ss,FTO,"Hohscheid in Solingen, Germany",,german_fires_solingen_locations,95ae2871540df0125d018d7402d28ab0,german_fires_solingen_locations__95ae2871540df0125d018d7402d28ab0
merscheid,"Merscheid in Solingen, Germany",51.16688,7.020784,2,,,,,,,,u,FTO,"Merscheid in Solingen, Germany",,german_fires_solingen_locations,78eb08b9d0499a87a3dcc529d1778a71,german_fires_solingen_locations__78eb08b9d0499a87a3dcc529d1778a71
ohligs-aufderhohe,"Ohligs-Aufderhohe in Solingen, Germany",51.1409706,7.0148136,2,,,,,,,,a,CompanyKeyword,"Ohligs-Aufderhohe in Solingen, Germany",,german_fires_solingen_locations,02255f5c1fc61db26a1a6e04f7441782,german_fires_solingen_locations__02255f5c1fc61db26a1a6e04f7441782
solingen-mitte,"Solingen-Mitte in Solingen, Germany",51.165574,7.089189,2,,,,,,,,o,Wells,"Solingen-Mitte in Solingen, Germany",,german_fires_solingen_locations,41044cb1f8f8c80f791da9f480da8ff6,german_fires_solingen_locations__41044cb1f8f8c80f791da9f480da8ff6
wald,"Wald in Solingen, Germany",51.1822329,7.04322,2,,,,,,,,,Person,"Wald in Solingen, Germany",,german_fires_solingen_locations,e239b5ddd080b34af8a0c6e815697989,german_fires_solingen_locations__e239b5ddd080b34af8a0c6e815697989
aachener strasse,"Aachener Strasse in Solingen, Germany",51.1637481,6.9992141,1,,,,,,,,,CompanyKeyword,"Aachener Strasse in Solingen, Germany",,german_fires_solingen_locations,f85ef027850ec093693c6444009373c6,german_fires_solingen_locations__f85ef027850ec093693c6444009373c6
abendstrasse,"Abendstrasse in Solingen, Germany",51.151633,7.067361,1,,,,,,,,,Media,"Abendstrasse in Solingen, Germany",,german_fires_solingen_locations,ff79300299fb5e8d3b09b60693f70e30,german_fires_solingen_locations__ff79300299fb5e8d3b09b60693f70e30
abteiweg,"Abteiweg in Solingen, Germany",51.2129106,7.0751424,1,,,,,,,,,Consulates,"Abteiweg in Solingen, Germany",,german_fires_solingen_locations,3101247c7dce8fcc9eeaf401bfebf100,german_fires_solingen_locations__3101247c7dce8fcc9eeaf401bfebf100
abtsfeld,"Abtsfeld in Solingen, Germany",51.1501526,7.053029,1,,,,,,,,,News,"Abtsfeld in Solingen, Germany",,german_fires_solingen_locations,86715c3ac587a2e1a2edbc3a80f27640,german_fires_solingen_locations__86715c3ac587a2e1a2edbc3a80f27640
ackerstrasse,"Ackerstrasse in Solingen, Germany",51.1724993,7.0171813,1,,,,,,,,,Pipeline,"Ackerstrasse in Solingen, Germany",,german_fires_solingen_locations,1b885e9a52cc7155208451b957fe7acc,german_fires_solingen_locations__1b885e9a52cc7155208451b957fe7acc
adalbertstrasse,"Adalbertstrasse in Solingen, Germany",51.1728977,7.0538432,1,,,,,,,,,Keyphrase,"Adalbertstrasse in Solingen, Germany",,german_fires_solingen_locations,cee0a40882e7ad69d4e2f96e8b452ecf,german_fires_solingen_locations__cee0a40882e7ad69d4e2f96e8b452ecf
adlerstrasse,"Adlerstrasse in Solingen, Germany",51.1755317,7.0669558,1,,,,,,,,,CompanyKeyword,"Adlerstrasse in Solingen, Germany",,german_fires_solingen_locations,86efbfd56c0d3448740c50048bbffd20,german_fires_solingen_locations__86efbfd56c0d3448740c50048bbffd20
adolf-clarenbach-strasse,"Adolf-Clarenbach-Strasse in Solingen, Germany",51.184557,7.0354776,1,,,,,,,,,Legislator,"Adolf-Clarenbach-Strasse in Solingen, Germany",,german_fires_solingen_locations,0fda104041cdf87358fd1f5cd56fb05f,german_fires_solingen_locations__0fda104041cdf87358fd1f5cd56fb05f
adolf-kolping-strasse,"Adolf-Kolping-Strasse in Solingen, Germany",51.1800762,7.0312108,1,,,,,,,,,Keyphrase,"Adolf-Kolping-Strasse in Solingen, Germany",,german_fires_solingen_locations,0a2520f80378215775fa566ed416dfc0,german_fires_solingen_locations__0a2520f80378215775fa566ed416dfc0
adolfstrasse,"Adolfstrasse in Solingen, Germany",51.1629011,7.065058941,1,,,,,,,,,CompanyKeyword,"Adolfstrasse in Solingen, Germany",,german_fires_solingen_locations,452cda7d481a34d45ba1dddbe5c9ab85,german_fires_solingen_locations__452cda7d481a34d45ba1dddbe5c9ab85
agnesstrasse,"Agnesstrasse in Solingen, Germany",51.1781391,7.0911343,1,,,,,,,,,Pipeline,"Agnesstrasse in Solingen, Germany",,german_fires_solingen_locations,8074df790c1e7c330efa728d0b95fa64,german_fires_solingen_locations__8074df790c1e7c330efa728d0b95fa64
ahornstrasse,"Ahornstrasse in Solingen, Germany",51.1943886,7.0744042,1,,,,,,,,,DiplomaticFacilities,"Ahornstrasse in Solingen, Germany",,german_fires_solingen_locations,06d06e54601bde3d8a5990e3fba3e0a2,german_fires_solingen_locations__06d06e54601bde3d8a5990e3fba3e0a2
ahrstrasse,"Ahrstrasse in Solingen, Germany",51.1573705,7.0003004,1,,,,,,,,,space,"Ahrstrasse in Solingen, Germany",,german_fires_solingen_locations,be2aa7d79438dfc5e78efa496cdbc752,german_fires_solingen_locations__be2aa7d79438dfc5e78efa496cdbc752
akazienweg,"Akazienweg in Solingen, Germany",51.1713525,7.1038205,1,,,,,,,,,Legislator,"Akazienweg in Solingen, Germany",,german_fires_solingen_locations,579b82e220807e8be52de46725ebbff5,german_fires_solingen_locations__579b82e220807e8be52de46725ebbff5
alberichweg,"Alberichweg in Solingen, Germany",51.1938703,7.0860025,1,,,,,,,,,Media,"Alberichweg in Solingen, Germany",,german_fires_solingen_locations,9846721103164b3645fc1a0f86a170db,german_fires_solingen_locations__9846721103164b3645fc1a0f86a170db
albertus-magnus-strasse,"Albertus-Magnus-Strasse in Solingen, Germany",51.1919453,7.0524443,1,,,,,,,,,Person,"Albertus-Magnus-Strasse in Solingen, Germany",,german_fires_solingen_locations,6e6600d1fe3ab59df61fb21335d39cb2,german_fires_solingen_locations__6e6600d1fe3ab59df61fb21335d39cb2
albrechtstrasse,"Albrechtstrasse in Solingen, Germany",51.1805183,7.0769798,1,,,,,,,,,Organization,"Albrechtstrasse in Solingen, Germany",,german_fires_solingen_locations,156842e406869f6a4948b636c955dc12,german_fires_solingen_locations__156842e406869f6a4948b636c955dc12
alemannenstrasse,"Alemannenstrasse in Solingen, Germany",51.1527398,7.0202356,1,,,,,,,,,FTO,"Alemannenstrasse in Solingen, Germany",,german_fires_solingen_locations,f091d521f9885006fec46533ed8055cc,german_fires_solingen_locations__f091d521f9885006fec46533ed8055cc
alexander-coppel-strasse,"Alexander-Coppel-Strasse in Solingen, Germany",51.165609,7.0834294,1,,,,,,,,,Exec,"Alexander-Coppel-Strasse in Solingen, Germany",,german_fires_solingen_locations,e1fb9e3f3948937afdc3b00fb42d65f6,german_fires_solingen_locations__e1fb9e3f3948937afdc3b00fb42d65f6
alexanderstrasse,"Alexanderstrasse in Solingen, Germany",51.1689524,7.0662677,1,,,,,,,,,space,"Alexanderstrasse in Solingen, Germany",,german_fires_solingen_locations,ca3abd9d0790627957ac141a67b74cca,german_fires_solingen_locations__ca3abd9d0790627957ac141a67b74cca
alfred-nobel-strasse,"Alfred-Nobel-Strasse in Solingen, Germany",51.1757586,7.1012174,1,,,,,,,,,Refinery,"Alfred-Nobel-Strasse in Solingen, Germany",,german_fires_solingen_locations,b2943db454a35f37edd7e17c62fd29b7,german_fires_solingen_locations__b2943db454a35f37edd7e17c62fd29b7
alleestrasse,"Alleestrasse in Solingen, Germany",51.1884818,7.0796971,1,,,,,,,,,Wells,"Alleestrasse in Solingen, Germany",,german_fires_solingen_locations,f9c29fad6cf07ec4010418565e851203,german_fires_solingen_locations__f9c29fad6cf07ec4010418565e851203
allgaustrasse,"Allgaustrasse in Solingen, Germany",51.1654873,7.1015935,1,,,,,,,,,FTO,"Allgaustrasse in Solingen, Germany",,german_fires_solingen_locations,9fdd5d45d35b88e508c155d1deaf2b9d,german_fires_solingen_locations__9fdd5d45d35b88e508c155d1deaf2b9d
alsenstrasse,"Alsenstrasse in Solingen, Germany",51.1791114,7.0283334,1,,,,,,,,,CompanyKeyword,"Alsenstrasse in Solingen, Germany",,german_fires_solingen_locations,aaa40a12fa1a89d5dbf0c7bcf034c1f7,german_fires_solingen_locations__aaa40a12fa1a89d5dbf0c7bcf034c1f7
alte strasse,"Alte Strasse in Solingen, Germany",51.183457,7.0421811,1,,,,,,,,,DiplomaticFacilities,"Alte Strasse in Solingen, Germany",,german_fires_solingen_locations,b07732da655bd8cbb1fdc0cba5791e5c,german_fires_solingen_locations__b07732da655bd8cbb1fdc0cba5791e5c
alte ziegelei,"Alte Ziegelei in Solingen, Germany",51.1991685,7.0766149,1,,,,,,,,,AAEntity,"Alte Ziegelei in Solingen, Germany",,german_fires_solingen_locations,33700298c70990289fc4468fa31b964b,german_fires_solingen_locations__33700298c70990289fc4468fa31b964b
altenbau,"Altenbau in Solingen, Germany",51.1781928,7.1068685,1,,,,,,,,,FTO,"Altenbau in Solingen, Germany",,german_fires_solingen_locations,89bcf19a084763ccaef11478d6cab424,german_fires_solingen_locations__89bcf19a084763ccaef11478d6cab424
altenberger weg,"Altenberger Weg in Solingen, Germany",51.1734408,7.0481262,1,,,,,,,,,Media,"Altenberger Weg in Solingen, Germany",,german_fires_solingen_locations,c4b5bb348a31493510b04da838429236,german_fires_solingen_locations__c4b5bb348a31493510b04da838429236
altenhofer strasse,"Altenhofer Strasse in Solingen, Germany",51.1811676,7.0290732,1,,,,,,,,,Keyphrase,"Altenhofer Strasse in Solingen, Germany",,german_fires_solingen_locations,fb95805147b8f453f2136b514242838c,german_fires_solingen_locations__fb95805147b8f453f2136b514242838c
alter markt,"Alter Markt in Solingen, Germany",51.1712306,7.0837592,1,,,,,,,,,CompanyKeyword,"Alter Markt in Solingen, Germany",,german_fires_solingen_locations,a78314540a3bd4c45a40ad1e5d7c191f,german_fires_solingen_locations__a78314540a3bd4c45a40ad1e5d7c191f
altmarkstrasse,"Altmarkstrasse in Solingen, Germany",51.1636031,7.1019386,1,,,,,,,,,Wells,"Altmarkstrasse in Solingen, Germany",,german_fires_solingen_locations,42505b9bd77f56d9ec34903513595b4b,german_fires_solingen_locations__42505b9bd77f56d9ec34903513595b4b
alzenauer weg,"Alzenauer Weg in Solingen, Germany",51.1426044,7.0138785,1,,,,,,,,,Refinery,"Alzenauer Weg in Solingen, Germany",,german_fires_solingen_locations,b839fa016f9f1e885ba170849e3ec1a8,german_fires_solingen_locations__b839fa016f9f1e885ba170849e3ec1a8
am bergelchen,"Am Bergelchen in Solingen, Germany",51.1517535,7.0055847,1,,,,,,,,,CompanyKeyword,"Am Bergelchen in Solingen, Germany",,german_fires_solingen_locations,408b3e4bf698c666b31dc75492d70117,german_fires_solingen_locations__408b3e4bf698c666b31dc75492d70117
am buschberg,"Am Buschberg in Solingen, Germany",51.1536968,7.0908118,1,,,,,,,,,Media,"Am Buschberg in Solingen, Germany",,german_fires_solingen_locations,0fe05978dde51753ce3c2f36775d3bb6,german_fires_solingen_locations__0fe05978dde51753ce3c2f36775d3bb6
am fritzfeld,"Am Fritzfeld in Solingen, Germany",51.141038,7.1585064,1,,,,,,,,,Exec,"Am Fritzfeld in Solingen, Germany",,german_fires_solingen_locations,c2628d6c554a1c9f759646eb03ee18fd,german_fires_solingen_locations__c2628d6c554a1c9f759646eb03ee18fd
am graben,"Am Graben in Solingen, Germany",51.208362,7.0699944,1,,,,,,,,,space,"Am Graben in Solingen, Germany",,german_fires_solingen_locations,70474787fef5d1fe5367796710074ad3,german_fires_solingen_locations__70474787fef5d1fe5367796710074ad3
