german_text,caption_text,location_tag,.1,ranking,default location,default_lat,default_lon,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ahrensbok,"Ahrensbok, Germany",54.0162604,10.572067,2,"Bad Oldesloe, Germany",53.80675396,10.37223572,,,ss,Organization,"Ahrensbok, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,fd2ca140ae99320a78e58867c9280768,german_fires_stormarn_ostholzstein_lauenburg_locations__fd2ca140ae99320a78e58867c9280768
ahrensburg,"Ahrensburg, Germany",53.6764136,10.2378854,2,,,,,,u,DiplomaticFacilities,"Ahrensburg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,4423b969cd5b7ed919c3a93ea0db4998,german_fires_stormarn_ostholzstein_lauenburg_locations__4423b969cd5b7ed919c3a93ea0db4998
albsfelde,"Albsfelde, Germany",53.6803354,10.6945646,2,,,,,,a,LegislativeCommittee,"Albsfelde, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,41b9dfc7abaa4355631f0affbaaa5e1c,german_fires_stormarn_ostholzstein_lauenburg_locations__41b9dfc7abaa4355631f0affbaaa5e1c
alt molln,"Alt Molln, Germany",53.6224935,10.6712572,2,,,,,,o,space,"Alt Molln, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,b38bd386190d0fc9e1642a6284ab27af,german_fires_stormarn_ostholzstein_lauenburg_locations__b38bd386190d0fc9e1642a6284ab27af
altenkrempe,"Altenkrempe, Germany",54.130596,10.7784196,2,,,,,,,FTO,"Altenkrempe, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,6a537f175487c6c6b690905e333aa613,german_fires_stormarn_ostholzstein_lauenburg_locations__6a537f175487c6c6b690905e333aa613
ammersbek,"Ammersbek, Germany",53.70643,10.2209,2,,,,,,,Diplomat,"Ammersbek, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,960c51cb471460a7c79b0b063ae7f605,german_fires_stormarn_ostholzstein_lauenburg_locations__960c51cb471460a7c79b0b063ae7f605
nordstormarn,"Nordstormarn, Germany",53.833333,10.516667,2,,,,,,,Media,"Nordstormarn, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,ea358d761e8940d96438c40e32956b86,german_fires_stormarn_ostholzstein_lauenburg_locations__ea358d761e8940d96438c40e32956b86
siek,"Siek, Germany",53.6353731,10.2937579,2,,,,,,,CompanyKeyword,"Siek, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,af3f83a03f731c9569690b816647f78d,german_fires_stormarn_ostholzstein_lauenburg_locations__af3f83a03f731c9569690b816647f78d
aumuhle,"Aumuhle, Germany",53.5252333,10.3153293,2,,,,,,,Shipping,"Aumuhle, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c6bad5216d93ab402358c068e337be40,german_fires_stormarn_ostholzstein_lauenburg_locations__c6bad5216d93ab402358c068e337be40
bad oldesloe,"Bad Oldesloe, Germany",53.8076269,10.3822557,2,,,,,,,Refinery,"Bad Oldesloe, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,8a2c97d52c62fe16b5dd47e5aae6fb6b,german_fires_stormarn_ostholzstein_lauenburg_locations__8a2c97d52c62fe16b5dd47e5aae6fb6b
bad schwartau,"Bad Schwartau, Germany",53.9163386,10.6854143,2,,,,,,,ForeignMinister,"Bad Schwartau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,a5521f973e836d953c49b6176104de5f,german_fires_stormarn_ostholzstein_lauenburg_locations__a5521f973e836d953c49b6176104de5f
badendorf,"Badendorf, Germany",53.8685998,10.5786525,2,,,,,,,Media,"Badendorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,4fb3f8cd09bc963d862a3cde37656ba0,german_fires_stormarn_ostholzstein_lauenburg_locations__4fb3f8cd09bc963d862a3cde37656ba0
bak,"Bak, Germany",53.713598,10.7849537,2,,,,,,,LegislativeCommittee,"Bak, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,3cacf3b22987abbcd7e6a9d6b1b165dd,german_fires_stormarn_ostholzstein_lauenburg_locations__3cacf3b22987abbcd7e6a9d6b1b165dd
balau,"Balau, Germany",53.6165539,10.6217792,2,,,,,,,space,"Balau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,7bd965185cd06758ab082c918f18b208,german_fires_stormarn_ostholzstein_lauenburg_locations__7bd965185cd06758ab082c918f18b208
bargfeld-stegen,"Bargfeld-Stegen, Germany",53.7658466,10.185932,2,,,,,,,ForeignMinister,"Bargfeld-Stegen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c174068f03857cb5ea68efa44b10bdfb,german_fires_stormarn_ostholzstein_lauenburg_locations__c174068f03857cb5ea68efa44b10bdfb
bargteheide,"Bargteheide, Germany",53.7287773,10.2656004,2,,,,,,,IndustryTerm,"Bargteheide, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,a9c65ad3855528950760014b318fa024,german_fires_stormarn_ostholzstein_lauenburg_locations__a9c65ad3855528950760014b318fa024
barnitz,"Barnitz, Germany",53.8059683,10.4999508,2,,,,,,,Pipeline,"Barnitz, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,54ba9141ea66ae8d2030f4345548f949,german_fires_stormarn_ostholzstein_lauenburg_locations__54ba9141ea66ae8d2030f4345548f949
barsbuttel,"Barsbuttel, Germany",53.5715488,10.1759457,2,,,,,,,Wells,"Barsbuttel, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,67ed2bc5521f2d18577a00d4ccdd55ff,german_fires_stormarn_ostholzstein_lauenburg_locations__67ed2bc5521f2d18577a00d4ccdd55ff
basedow,"Basedow, Germany",53.6983701,12.6823944,2,,,,,,,Refinery,"Basedow, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,9dd54833510919c5589970e46d30f5ec,german_fires_stormarn_ostholzstein_lauenburg_locations__9dd54833510919c5589970e46d30f5ec
basthorst,"Basthorst, Germany",53.5773238,10.473389,2,,,,,,,space,"Basthorst, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,39f817091cc01237832a79f27a958b4e,german_fires_stormarn_ostholzstein_lauenburg_locations__39f817091cc01237832a79f27a958b4e
behlendorf,"Behlendorf, Germany",53.6991492,10.6687365,2,,,,,,,Consulates,"Behlendorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,22dc80e2c73a025dc4359da09f56eec5,german_fires_stormarn_ostholzstein_lauenburg_locations__22dc80e2c73a025dc4359da09f56eec5
berkenthin,"Berkenthin, Germany",53.716667,10.65,2,,,,,,,AAEntity,"Berkenthin, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,bda4b6d17ef1994da6a10c97dad14901,german_fires_stormarn_ostholzstein_lauenburg_locations__bda4b6d17ef1994da6a10c97dad14901
beschendorf,"Beschendorf, Germany",54.1826576,10.8789072,2,,,,,,,Consulates,"Beschendorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,275ab5e64e353747edf68f1cc6857862,german_fires_stormarn_ostholzstein_lauenburg_locations__275ab5e64e353747edf68f1cc6857862
besenthal,"Besenthal, Germany",53.5297265,10.7408375,2,,,,,,,space,"Besenthal, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,86fb4a60b2daf90e128530b60a7877b0,german_fires_stormarn_ostholzstein_lauenburg_locations__86fb4a60b2daf90e128530b60a7877b0
bliestorf,"Bliestorf, Germany",53.7679028,10.5980212,2,,,,,,,Media,"Bliestorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,2bfb5869b43b89cee37838488701cdc7,german_fires_stormarn_ostholzstein_lauenburg_locations__2bfb5869b43b89cee37838488701cdc7
bornsen,"Bornsen, Germany",53.4687649,10.2819874,2,,,,,,,DiplomaticFacilities,"Bornsen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,82019586bc5354a31decab4c644c346e,german_fires_stormarn_ostholzstein_lauenburg_locations__82019586bc5354a31decab4c644c346e
borstorf,"Borstorf, Germany",53.612969,10.565025,2,,,,,,,Diplomat,"Borstorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,27b3596218e1873c9575aee1039b63a1,german_fires_stormarn_ostholzstein_lauenburg_locations__27b3596218e1873c9575aee1039b63a1
braak,"Braak, Germany",53.6097988,10.244846,2,,,,,,,ForeignMinistry,"Braak, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,019e796b5f7404be3e3ef2874dc13983,german_fires_stormarn_ostholzstein_lauenburg_locations__019e796b5f7404be3e3ef2874dc13983
breitenfelde,"Breitenfelde, Germany",53.6061824,10.6332452,2,,,,,,,News,"Breitenfelde, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,30847a70f5507ec7c913c8ee4e93f947,german_fires_stormarn_ostholzstein_lauenburg_locations__30847a70f5507ec7c913c8ee4e93f947
brothen,"Brothen, Germany",53.4785947,10.6665913,2,,,,,,,CompanyKeyword,"Brothen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,92acc0a871e23913f6751bff02219909,german_fires_stormarn_ostholzstein_lauenburg_locations__92acc0a871e23913f6751bff02219909
brunsbek,"Brunsbek, Germany",53.5938828,10.2808114,2,,,,,,,Consulates,"Brunsbek, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c062254edcdb10e69774f6f2958172aa,german_fires_stormarn_ostholzstein_lauenburg_locations__c062254edcdb10e69774f6f2958172aa
brunsmark,"Brunsmark, Germany",53.6151163,10.7486895,2,,,,,,,Keyphrase,"Brunsmark, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,246567684656758e95dcf8904e182e31,german_fires_stormarn_ostholzstein_lauenburg_locations__246567684656758e95dcf8904e182e31
brunstorf,"Brunstorf, Germany",53.493211,10.4246861,2,,,,,,,Refinery,"Brunstorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,57f6e36e4fd3c47e89007175c6fd91a4,german_fires_stormarn_ostholzstein_lauenburg_locations__57f6e36e4fd3c47e89007175c6fd91a4
buchen,"Buchen, Germany",53.483253,10.6141336,2,,,,,,,Wells,"Buchen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,5c384674d0218834d07ad4739a646388,german_fires_stormarn_ostholzstein_lauenburg_locations__5c384674d0218834d07ad4739a646388
buchholz,"Buchholz, Germany",53.3176971,9.8694844,2,,,,,,,Pipeline,"Buchholz, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,72b6e3752951b1099bd6859a013ebd59,german_fires_stormarn_ostholzstein_lauenburg_locations__72b6e3752951b1099bd6859a013ebd59
buchhorst,"Buchhorst, Germany",53.3838499,10.5695789,2,,,,,,,ForeignMinistry,"Buchhorst, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,705100ae0e864e95d72ddf45470a144c,german_fires_stormarn_ostholzstein_lauenburg_locations__705100ae0e864e95d72ddf45470a144c
dahme,"Dahme, Germany",54.2239738,11.0813043,2,,,,,,,Exec,"Dahme, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,976527c5181dc43d58fe9507d34d6028,german_fires_stormarn_ostholzstein_lauenburg_locations__976527c5181dc43d58fe9507d34d6028
dahmker,"Dahmker, Germany",53.5875103,10.4451155,2,,,,,,,News,"Dahmker, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,8180c11d2b5df2201b12fc5e25cf9fb7,german_fires_stormarn_ostholzstein_lauenburg_locations__8180c11d2b5df2201b12fc5e25cf9fb7
dalldorf,"Dalldorf, Germany",53.4346078,10.6110381,2,,,,,,,ForeignMinister,"Dalldorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,232ba5b7f4b7c6f42e305174a15edc6d,german_fires_stormarn_ostholzstein_lauenburg_locations__232ba5b7f4b7c6f42e305174a15edc6d
damlos,"Damlos, Germany",54.2446215,10.9059002,2,,,,,,,Person,"Damlos, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,348387a82753914267bfdf0e7d2752b2,german_fires_stormarn_ostholzstein_lauenburg_locations__348387a82753914267bfdf0e7d2752b2
dassendorf,"Dassendorf, Germany",53.4883491,10.3738809,2,,,,,,,CompanyKeyword,"Dassendorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,3800c7fc9bb044609039de68b688ab87,german_fires_stormarn_ostholzstein_lauenburg_locations__3800c7fc9bb044609039de68b688ab87
delingsdorf,"Delingsdorf, Germany",53.7049434,10.2532557,2,,,,,,,AAEntity,"Delingsdorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,a07c650b89113b7ff9672cca24daeea9,german_fires_stormarn_ostholzstein_lauenburg_locations__a07c650b89113b7ff9672cca24daeea9
duchelsdorf,"Duchelsdorf, Germany",53.7368642,10.582961,2,,,,,,,Media,"Duchelsdorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,fa1f6fe0bd76a9c866578db3a079ef22,german_fires_stormarn_ostholzstein_lauenburg_locations__fa1f6fe0bd76a9c866578db3a079ef22
duvensee,"Duvensee, Germany",53.6934091,10.5661488,2,,,,,,,ForeignMinistry,"Duvensee, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,747cb980b832592c18044763038a4e24,german_fires_stormarn_ostholzstein_lauenburg_locations__747cb980b832592c18044763038a4e24
einhaus,"Einhaus, Germany",53.7130996,10.7285003,2,,,,,,,Organization,"Einhaus, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,e7d5d2a0e11aa790fadea29bd555fa21,german_fires_stormarn_ostholzstein_lauenburg_locations__e7d5d2a0e11aa790fadea29bd555fa21
elmenhorst,"Elmenhorst, Germany",54.1556902,12.0119268,2,,,,,,,Wells,"Elmenhorst, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,549232ec9cc2c1afb8916a10f8bb0b90,german_fires_stormarn_ostholzstein_lauenburg_locations__549232ec9cc2c1afb8916a10f8bb0b90
elmenhorst,"Elmenhorst, Germany",54.1556902,12.0119268,2,,,,,,,Organization,"Elmenhorst, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,549232ec9cc2c1afb8916a10f8bb0b90,german_fires_stormarn_ostholzstein_lauenburg_locations__549232ec9cc2c1afb8916a10f8bb0b90
escheburg,"Escheburg, Germany",53.466542,10.3091922,2,,,,,,,ForeignMinistry,"Escheburg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,867dd0d309f5e7492bf42ac3fd35eb1d,german_fires_stormarn_ostholzstein_lauenburg_locations__867dd0d309f5e7492bf42ac3fd35eb1d
eutin,"Eutin, Germany",54.1330282,10.6095048,2,,,,,,,Organization,"Eutin, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,4ffb498a585f6cdf6da725ee70204663,german_fires_stormarn_ostholzstein_lauenburg_locations__4ffb498a585f6cdf6da725ee70204663
fehmarn,"Fehmarn, Germany",54.4700537,11.132927,2,,,,,,,Organization,"Fehmarn, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,81a069577733c3cce7ae1a7fb6300956,german_fires_stormarn_ostholzstein_lauenburg_locations__81a069577733c3cce7ae1a7fb6300956
feldhorst,"Feldhorst, Germany",53.86064,10.42064,2,,,,,,,Wells,"Feldhorst, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,178d173b85a4ffd97b7e64d9cc5e25dd,german_fires_stormarn_ostholzstein_lauenburg_locations__178d173b85a4ffd97b7e64d9cc5e25dd
fitzen,"Fitzen, Germany",53.49622,10.648169,2,,,,,,,Wells,"Fitzen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,496bbdcc05059d9b320bc72569883eee,german_fires_stormarn_ostholzstein_lauenburg_locations__496bbdcc05059d9b320bc72569883eee
fredeburg,"Fredeburg, Germany",53.45442,7.8320346,2,,,,,,,Pipeline,"Fredeburg, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,43acfe2bd56f316d6e4558df166e97e9,german_fires_stormarn_ostholzstein_lauenburg_locations__43acfe2bd56f316d6e4558df166e97e9
fuhlenhagen,"Fuhlenhagen, Germany",53.5731312,10.527948,2,,,,,,,FTO,"Fuhlenhagen, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,8a2304e8229d0e58686431038e864613,german_fires_stormarn_ostholzstein_lauenburg_locations__8a2304e8229d0e58686431038e864613
geesthacht,"Geesthacht, Germany",53.4379562,10.3611665,2,,,,,,,DiplomaticFacilities,"Geesthacht, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,fd05db6725e76aeb771ca4346713881d,german_fires_stormarn_ostholzstein_lauenburg_locations__fd05db6725e76aeb771ca4346713881d
giesensdorf,"Giesensdorf, Germany",53.6888634,10.7120929,2,,,,,,,LegislativeCommittee,"Giesensdorf, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,978348b47e58b967cac7976b545470ea,german_fires_stormarn_ostholzstein_lauenburg_locations__978348b47e58b967cac7976b545470ea
glinde,"Glinde, Germany",53.5435908,10.2165943,2,,,,,,,Exec,"Glinde, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,41ea83e717d56419127262e38e64a62f,german_fires_stormarn_ostholzstein_lauenburg_locations__41ea83e717d56419127262e38e64a62f
gohl,"Gohl, Germany",54.2839676,10.9411889,2,,,,,,,space,"Gohl, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,373e1161cdf6def63d242d6c4ef034bf,german_fires_stormarn_ostholzstein_lauenburg_locations__373e1161cdf6def63d242d6c4ef034bf
goldenitz,"Goldenitz, Germany",53.7223424,10.6321039,2,,,,,,,Media,"Goldenitz, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,06b40a13b4c5f00784df00ecfdf6da26,german_fires_stormarn_ostholzstein_lauenburg_locations__06b40a13b4c5f00784df00ecfdf6da26
gottin,"Gottin, Germany",53.5317686,10.7032799,2,,,,,,,Organization,"Gottin, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,f3586d2e34d7818da958597414fbab9f,german_fires_stormarn_ostholzstein_lauenburg_locations__f3586d2e34d7818da958597414fbab9f
grabau,"Grabau, Germany",53.80288,10.27773,2,,,,,,,DiplomaticFacilities,"Grabau, Germany",,german_fires_stormarn_ostholzstein_lauenburg_locations,c0315fd867d74243c018e0ce18ddd0c3,german_fires_stormarn_ostholzstein_lauenburg_locations__c0315fd867d74243c018e0ce18ddd0c3
