german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,ss,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
auringen,"Auringen in Wiesbaden, Germany",50.1178017,8.3312166,2,"Wiesbaden, Germany",50.07929177,8.238052066,,u,Wells,"Auringen in Wiesbaden, Germany",,german_fires_wiesbaden_locations,285df1797a7a234ced9bc8772b4ff064,german_fires_wiesbaden_locations__285df1797a7a234ced9bc8772b4ff064
biebrich,"Biebrich in Wiesbaden, Germany",50.0517113,8.2390966,2,,,,,a,Diplomat,"Biebrich in Wiesbaden, Germany",,german_fires_wiesbaden_locations,9085c91e4ed9a06eda7dee3a4de4a683,german_fires_wiesbaden_locations__9085c91e4ed9a06eda7dee3a4de4a683
bierstadt,"Bierstadt in Wiesbaden, Germany",50.0852386,8.2772655,2,,,,,o,CompanyKeyword,"Bierstadt in Wiesbaden, Germany",,german_fires_wiesbaden_locations,3daa3dedb745c55fe64304b5c528538c,german_fires_wiesbaden_locations__3daa3dedb745c55fe64304b5c528538c
breckenheim,"Breckenheim in Wiesbaden, Germany",50.0811464,8.3729487,2,,,,,,ForeignMinister,"Breckenheim in Wiesbaden, Germany",,german_fires_wiesbaden_locations,ef8d19cdaded39e3470f97e2e223abda,german_fires_wiesbaden_locations__ef8d19cdaded39e3470f97e2e223abda
delkenheim,"Delkenheim in Wiesbaden, Germany",50.0436404,8.3551681,2,,,,,,Exec,"Delkenheim in Wiesbaden, Germany",,german_fires_wiesbaden_locations,7961338fa07d5e87c81f366b4816b279,german_fires_wiesbaden_locations__7961338fa07d5e87c81f366b4816b279
dotzheim,"Dotzheim in Wiesbaden, Germany",50.0730319,8.1942059,2,,,,,,Consulates,"Dotzheim in Wiesbaden, Germany",,german_fires_wiesbaden_locations,6a46076db1d46d7fab7f5dd8ae92cbe2,german_fires_wiesbaden_locations__6a46076db1d46d7fab7f5dd8ae92cbe2
erbenheim,"Erbenheim in Wiesbaden, Germany",50.0556363,8.2963174,2,,,,,,Shipping,"Erbenheim in Wiesbaden, Germany",,german_fires_wiesbaden_locations,554a14ea2ee113356735acc8588ef03c,german_fires_wiesbaden_locations__554a14ea2ee113356735acc8588ef03c
frauenstein,"Frauenstein in Wiesbaden, Germany",50.0655132,8.1541743,2,,,,,,ForeignMinistry,"Frauenstein in Wiesbaden, Germany",,german_fires_wiesbaden_locations,e941f7c6845b59dc232669d747f8e885,german_fires_wiesbaden_locations__e941f7c6845b59dc232669d747f8e885
hessloch,"Hessloch in Wiesbaden, Germany",50.1106735,8.2953683,2,,,,,,IndustryTerm,"Hessloch in Wiesbaden, Germany",,german_fires_wiesbaden_locations,724095f5b7391fdea5f41e49c4e39647,german_fires_wiesbaden_locations__724095f5b7391fdea5f41e49c4e39647
igstadt,"Igstadt in Wiesbaden, Germany",50.0811797,8.3277242,2,,,,,,ForeignMinistry,"Igstadt in Wiesbaden, Germany",,german_fires_wiesbaden_locations,0c143ebe447d156db73c885b294b9e35,german_fires_wiesbaden_locations__0c143ebe447d156db73c885b294b9e35
kloppenheim,"Kloppenheim in Wiesbaden, Germany",50.0931643,8.3049772,2,,,,,,Organization,"Kloppenheim in Wiesbaden, Germany",,german_fires_wiesbaden_locations,af4fc465df3b319dca1af987f30965e3,german_fires_wiesbaden_locations__af4fc465df3b319dca1af987f30965e3
mainz-amoneburg,"Mainz-Amoneburg in Wiesbaden, Germany",50.035018,8.252845,2,,,,,,DiplomaticFacilities,"Mainz-Amoneburg in Wiesbaden, Germany",,german_fires_wiesbaden_locations,749be231633268cbce5d81477616657c,german_fires_wiesbaden_locations__749be231633268cbce5d81477616657c
medenbach,"Medenbach in Wiesbaden, Germany",50.1095031,8.3386222,2,,,,,,Organization,"Medenbach in Wiesbaden, Germany",,german_fires_wiesbaden_locations,323e1cc99e9313adfc6ee43779320747,german_fires_wiesbaden_locations__323e1cc99e9313adfc6ee43779320747
naurod,"Naurod in Wiesbaden, Germany",50.1353277,8.3035004,2,,,,,,space,"Naurod in Wiesbaden, Germany",,german_fires_wiesbaden_locations,9d534968c191a454de203d695a76d778,german_fires_wiesbaden_locations__9d534968c191a454de203d695a76d778
nordenstadt,"Nordenstadt in Wiesbaden, Germany",50.0616037,8.3391589,2,,,,,,ForeignMinister,"Nordenstadt in Wiesbaden, Germany",,german_fires_wiesbaden_locations,dbb8e0fc97bb00bc75ed32c772645a15,german_fires_wiesbaden_locations__dbb8e0fc97bb00bc75ed32c772645a15
rambach,"Rambach in Wiesbaden, Germany",50.1156094,8.2740314,2,,,,,,Consulates,"Rambach in Wiesbaden, Germany",,german_fires_wiesbaden_locations,005c675d51e7cdaf30a765170fd9e13e,german_fires_wiesbaden_locations__005c675d51e7cdaf30a765170fd9e13e
schierstein,"Schierstein in Wiesbaden, Germany",50.0445973,8.1962967,2,,,,,,Person,"Schierstein in Wiesbaden, Germany",,german_fires_wiesbaden_locations,cd3b6d60955e6ffd3febf86ec6b851b0,german_fires_wiesbaden_locations__cd3b6d60955e6ffd3febf86ec6b851b0
sonnenberg,"Sonnenberg in Wiesbaden, Germany",50.0974413,8.2580588,2,,,,,,AAEntity,"Sonnenberg in Wiesbaden, Germany",,german_fires_wiesbaden_locations,37bacb4b5c6cd2ab2bdbae1b03766a3e,german_fires_wiesbaden_locations__37bacb4b5c6cd2ab2bdbae1b03766a3e
wiesbaden-auringen,"Auringen in Wiesbaden, Germany",50.1178017,8.3312166,2,,,,,,Pipeline,"Auringen in Wiesbaden, Germany",,german_fires_wiesbaden_locations,285df1797a7a234ced9bc8772b4ff064,german_fires_wiesbaden_locations__285df1797a7a234ced9bc8772b4ff064
wiesbaden-biebrich,"Biebrich in Wiesbaden, Germany",50.0517113,8.2390966,2,,,,,,Shipping,"Biebrich in Wiesbaden, Germany",,german_fires_wiesbaden_locations,9085c91e4ed9a06eda7dee3a4de4a683,german_fires_wiesbaden_locations__9085c91e4ed9a06eda7dee3a4de4a683
