german_word,caption_text,additional_topics,threshold,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
evakuierung,evacuation underway,,,2,Wells,evacuation underway,,german_mapping_eventSubtype,571c0394ddfe8c4b253dc72d2e123401,german_mapping_eventSubtype__571c0394ddfe8c4b253dc72d2e123401
strassensperrungen,road closures implemented,188130,,2,Legislator,road closures implemented,,german_mapping_eventSubtype,ae29d4599dbd20c45f0aeaf1e6f3365c,german_mapping_eventSubtype__ae29d4599dbd20c45f0aeaf1e6f3365c
entscharft worden,defusal completed after,,,1,AAEntity,defusal completed after,,german_mapping_eventSubtype,b8d8d94c8b12c09a9e0020d41ab50022,german_mapping_eventSubtype__b8d8d94c8b12c09a9e0020d41ab50022
abgesperrt,cordon erected,188130,,2,DiplomaticFacilities,cordon erected,,german_mapping_eventSubtype,00c4d310db293c51a615c9bc605bf4d8,german_mapping_eventSubtype__00c4d310db293c51a615c9bc605bf4d8
entscharfung hat begonnen,defusal started,,,1,IndustryTerm,defusal started,,german_mapping_eventSubtype,4323bdff8eb6d9ed6a74a7cb62d89e97,german_mapping_eventSubtype__4323bdff8eb6d9ed6a74a7cb62d89e97
evakuierung ist abgeschlossen,evacuation completed,,,1,Shipping,evacuation completed,,german_mapping_eventSubtype,784f6db00b76c6743c90f7533d12a595,german_mapping_eventSubtype__784f6db00b76c6743c90f7533d12a595
sperrkreis,cordon erected,188130,,2,FTO,cordon erected,,german_mapping_eventSubtype,00c4d310db293c51a615c9bc605bf4d8,german_mapping_eventSubtype__00c4d310db293c51a615c9bc605bf4d8
evakuierung ist beendet,evacuation completed,,,3,Media,evacuation completed,,german_mapping_eventSubtype,784f6db00b76c6743c90f7533d12a595,german_mapping_eventSubtype__784f6db00b76c6743c90f7533d12a595
evakuierungsmassnahmen,evacuation underway,,,2,Pipeline,evacuation underway,,german_mapping_eventSubtype,571c0394ddfe8c4b253dc72d2e123401,german_mapping_eventSubtype__571c0394ddfe8c4b253dc72d2e123401
wurde entscharft,defusal completed,,,1,CompanyKeyword,defusal completed,,german_mapping_eventSubtype,0172ff34c33bd2dbb28cc9024e89bda9,german_mapping_eventSubtype__0172ff34c33bd2dbb28cc9024e89bda9
wird entscharft,defusal underway,,,3,ForeignMinistry,defusal underway,,german_mapping_eventSubtype,d70e67bf2fcfa3d2b41e00d49cceb197,german_mapping_eventSubtype__d70e67bf2fcfa3d2b41e00d49cceb197
erfolgreich entscharft,defusal completed,,,1,Legislator,defusal completed,,german_mapping_eventSubtype,0172ff34c33bd2dbb28cc9024e89bda9,german_mapping_eventSubtype__0172ff34c33bd2dbb28cc9024e89bda9
