german_word,caption_text,threshold,topic,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#angriffe_auf_einsatzkrafte,emergency responders attacked,Local Urgent,188297,1,Wells,emergency responders attacked,,german_mapping_eventType,1aa300fd61b2a4b2500ff7c2d9c8491a,german_mapping_eventType__1aa300fd61b2a4b2500ff7c2d9c8491a
#bma,fire alarm,Signal,188118,30,Keyphrase,fire alarm,,german_mapping_eventType,1133e0d9630e7e4f2158776df786993f,german_mapping_eventType__1133e0d9630e7e4f2158776df786993f
#brandbekampfung,fire,Signal,188118,19,CompanyKeyword,fire,,german_mapping_eventType,015f28b9df1bdd36427dd976fb73b29d,german_mapping_eventType__015f28b9df1bdd36427dd976fb73b29d
#chlorgas,chlorine gas leak,Local Urgent,188122,11,Media,chlorine gas leak,,german_mapping_eventType,98ba67fcf8b8204c725f6c6314d20e23,german_mapping_eventType__98ba67fcf8b8204c725f6c6314d20e23
#fliegerbombe,World War II bomb found,Local Urgent,188118,6,DiplomaticFacilities,World War II bomb found,,german_mapping_eventType,3d6cedc84c1328f29b5ea0a3adcf578e,german_mapping_eventType__3d6cedc84c1328f29b5ea0a3adcf578e
#gasausstromung,gas leak,Local Urgent,"188241, 188188",12,News,gas leak,,german_mapping_eventType,1516240bc89a1a494e8aeb67393b5886,german_mapping_eventType__1516240bc89a1a494e8aeb67393b5886
#gasaustritt,gas leak,Local Urgent,"188241, 188188",12,Consulates,gas leak,,german_mapping_eventType,1516240bc89a1a494e8aeb67393b5886,german_mapping_eventType__1516240bc89a1a494e8aeb67393b5886
#gasgeruch,smell of gas,Local Urgent,"188122, 188188, 188241",14,IndustryTerm,smell of gas,,german_mapping_eventType,f47487b518bc72709e5028766b4d7d3a,german_mapping_eventType__f47487b518bc72709e5028766b4d7d3a
#kellerbrand,basement fire,Signal,188118,20,Refinery,basement fire,,german_mapping_eventType,4bad326647c6bf927ecc8599ed674277,german_mapping_eventType__4bad326647c6bf927ecc8599ed674277
#olaustritt,oil leak,Signal,"188122, 188130",15,Organization,oil leak,,german_mapping_eventType,df69819bfaece77dc34f9025387c8d5d,german_mapping_eventType__df69819bfaece77dc34f9025387c8d5d
#person_im_wasser,person in the water,Local Urgent,188290,17,Keyphrase,person in the water,,german_mapping_eventType,20757b7c9b8f8320b019ba84fa6afedb,german_mapping_eventType__20757b7c9b8f8320b019ba84fa6afedb
#rettungsdienst,rescue service,Signal,188118,22,FTO,rescue service,,german_mapping_eventType,a0bf94a49ef33b40f1f79b0baf64799c,german_mapping_eventType__a0bf94a49ef33b40f1f79b0baf64799c
#rettungsdienst_einsatz,rescue service deployment,Signal,188118,21,Refinery,rescue service deployment,,german_mapping_eventType,219fe1bcccdcff084ab11f588098a522,german_mapping_eventType__219fe1bcccdcff084ab11f588098a522
#technische_hilfeleistung,technical assistance,Signal,188118,26,Organization,technical assistance,,german_mapping_eventType,2a4aff8da65a69dc2ac2f78a73f6c2e0,german_mapping_eventType__2a4aff8da65a69dc2ac2f78a73f6c2e0
#vu,car crash,Signal,188130,23,Person,car crash,,german_mapping_eventType,77afa6a91899572e486ceb85fa199b76,german_mapping_eventType__77afa6a91899572e486ceb85fa199b76
amtshilfe,official assistance,Signal,188118,27,Wells,official assistance,,german_mapping_eventType,7b7bfae403e1667aa276e2a3460bee9e,german_mapping_eventType__7b7bfae403e1667aa276e2a3460bee9e
anlagen leit- und sicherungstechnik,safety issue,Local Signal,,1005,Media,safety issue,,german_mapping_eventType,673fd6c18c66e3e6e19d69b753005411,german_mapping_eventType__673fd6c18c66e3e6e19d69b753005411
anschlussreisende,connecting passengers,Local Signal,,1005,Exec,connecting passengers,,german_mapping_eventType,c9435cb670200857c18cbb67e65c0160,german_mapping_eventType__c9435cb670200857c18cbb67e65c0160
auf grund gelaufen,vessel runs aground,Local Urgent,188131,4,Consulates,vessel runs aground,,german_mapping_eventType,98368ad54737fb6b5eec4f151dbfff9c,german_mapping_eventType__98368ad54737fb6b5eec4f151dbfff9c
autounfall,car crash,Signal,188130,23,Keyphrase,car crash,,german_mapping_eventType,77afa6a91899572e486ceb85fa199b76,german_mapping_eventType__77afa6a91899572e486ceb85fa199b76
bahn,train,Signal,188129,35,Consulates,train,,german_mapping_eventType,61b3a8faa9c1091806675c230a9abe64,german_mapping_eventType__61b3a8faa9c1091806675c230a9abe64
bauarbeiten,construction works,Local Signal,,1005,CompanyKeyword,construction works,,german_mapping_eventType,7643f924073a4521da1e1b0bf8bbc3b6,german_mapping_eventType__7643f924073a4521da1e1b0bf8bbc3b6
baum im gleis,tree on tracks,Local Signal,,1005,space,tree on tracks,,german_mapping_eventType,1ee9049bd4991c5bb5ceb4bf7e0a6785,german_mapping_eventType__1ee9049bd4991c5bb5ceb4bf7e0a6785
befolgen einer behordlichen anordnung,police operation,Signal,188296,1001,ForeignMinister,police operation,,german_mapping_eventType,c8bd87d3ad562a87dd0e41d34e8d11b7,german_mapping_eventType__c8bd87d3ad562a87dd0e41d34e8d11b7
behinderung durch wetter,adverse weather conditions,Local Signal,188141,1005,ForeignMinister,adverse weather conditions,,german_mapping_eventType,bdde80955d1f25976eb67ffbc364b430,german_mapping_eventType__bdde80955d1f25976eb67ffbc364b430
blindganger,World War II bomb found,Local Urgent,188118,6,Media,World War II bomb found,,german_mapping_eventType,3d6cedc84c1328f29b5ea0a3adcf578e,german_mapping_eventType__3d6cedc84c1328f29b5ea0a3adcf578e
bombe,World War II bomb found,Local Urgent,188118,6,Media,World War II bomb found,,german_mapping_eventType,3d6cedc84c1328f29b5ea0a3adcf578e,german_mapping_eventType__3d6cedc84c1328f29b5ea0a3adcf578e
bombe gefunden,World War II bomb found,Local Urgent,188118,6,Consulates,World War II bomb found,,german_mapping_eventType,3d6cedc84c1328f29b5ea0a3adcf578e,german_mapping_eventType__3d6cedc84c1328f29b5ea0a3adcf578e
bombenblindganger,World War II bomb found,Local Urgent,188118,6,FTO,World War II bomb found,,german_mapping_eventType,3d6cedc84c1328f29b5ea0a3adcf578e,german_mapping_eventType__3d6cedc84c1328f29b5ea0a3adcf578e
bombenentscharfung,World War II bomb defusal,Local Urgent,188118,7,FTO,World War II bomb defusal,,german_mapping_eventType,652ec364098ef9c297c6abb764e83903,german_mapping_eventType__652ec364098ef9c297c6abb764e83903
bombenfund,World War II bomb found,Local Urgent,188118,6,Wells,World War II bomb found,,german_mapping_eventType,3d6cedc84c1328f29b5ea0a3adcf578e,german_mapping_eventType__3d6cedc84c1328f29b5ea0a3adcf578e
bombenreste,remainders of World War II bomb found,Local Urgent,188118,6,Keyphrase,remainders of World War II bomb found,,german_mapping_eventType,fcd1c998171089bf12cdd72c9c4d72c2,german_mapping_eventType__fcd1c998171089bf12cdd72c9c4d72c2
bombenverdacht,suspected World War II bomb found,Local Urgent,188118,6,Legislator,suspected World War II bomb found,,german_mapping_eventType,67f181fb9cb6abc7741246cae5450126,german_mapping_eventType__67f181fb9cb6abc7741246cae5450126
boschungsbrand,embankment fire,Local Signal,188118,1005,FTO,embankment fire,,german_mapping_eventType,8f27f52e7b5df41951ccd42773b6d72f,german_mapping_eventType__8f27f52e7b5df41951ccd42773b6d72f
brand,fire,Signal,188118,19,Diplomat,fire,,german_mapping_eventType,015f28b9df1bdd36427dd976fb73b29d,german_mapping_eventType__015f28b9df1bdd36427dd976fb73b29d
feuer,fire,Signal,188118,19,Media,fire,,german_mapping_eventType,015f28b9df1bdd36427dd976fb73b29d,german_mapping_eventType__015f28b9df1bdd36427dd976fb73b29d
brand im keller,basement fire,Signal,188118,18,AAEntity,basement fire,,german_mapping_eventType,4bad326647c6bf927ecc8599ed674277,german_mapping_eventType__4bad326647c6bf927ecc8599ed674277
brannte,fire,Signal,188118,19,News,fire,,german_mapping_eventType,015f28b9df1bdd36427dd976fb73b29d,german_mapping_eventType__015f28b9df1bdd36427dd976fb73b29d
brennen,fire,Signal,188118,19,Diplomat,fire,,german_mapping_eventType,015f28b9df1bdd36427dd976fb73b29d,german_mapping_eventType__015f28b9df1bdd36427dd976fb73b29d
brennt,fire,Signal,188118,19,FTO,fire,,german_mapping_eventType,015f28b9df1bdd36427dd976fb73b29d,german_mapping_eventType__015f28b9df1bdd36427dd976fb73b29d
deckeneinsturz,ceiling collapse,Signal,188118,25,Consulates,ceiling collapse,,german_mapping_eventType,0e72d3be108b4ce70a45cf42d1b58059,german_mapping_eventType__0e72d3be108b4ce70a45cf42d1b58059
