german_text,caption_text,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aachen hbf,Aachen,50.7680939,6.0908755,AAEntity,Aachen,,german_mapping_location,f1ef0ef1eaa60c0aeff7203df96508fd,german_mapping_location__f1ef0ef1eaa60c0aeff7203df96508fd
aachen schanz,Aachen Schanz,50.7694121,6.0738246,News,Aachen Schanz,,german_mapping_location,29f3658476391db5d9542ecd192e9b6f,german_mapping_location__29f3658476391db5d9542ecd192e9b6f
aachen west,Aachen West,50.7803406,6.0706303,Person,Aachen West,,german_mapping_location,16572c9cec4098c6d013300452ac8bd4,german_mapping_location__16572c9cec4098c6d013300452ac8bd4
aachen-rothe erde,Aachen-Rothe Erde,50.7700614,6.116181,Legislator,Aachen-Rothe Erde,,german_mapping_location,b028d3125273edfa7460f870e5f82e0d,german_mapping_location__b028d3125273edfa7460f870e5f82e0d
aalen,Aalen,48.8409575,10.0959969,Refinery,Aalen,,german_mapping_location,feb63393528469e892e35cbf5c213eb9,german_mapping_location__feb63393528469e892e35cbf5c213eb9
abensberg,Abensberg,48.8190448,11.8474393,AAEntity,Abensberg,,german_mapping_location,b4ad8b4e14e207808403819dc18480d1,german_mapping_location__b4ad8b4e14e207808403819dc18480d1
achern,Achern,48.63399,8.065324,Media,Achern,,german_mapping_location,7d15308b09eae16bacd898edd18f6b43,german_mapping_location__7d15308b09eae16bacd898edd18f6b43
achim,Achim,53.0157545,9.030993,Refinery,Achim,,german_mapping_location,1c3637faced18b9026cd054fac9354fc,german_mapping_location__1c3637faced18b9026cd054fac9354fc
achmer,Achmer,53.0145634,9.0323837,ForeignMinistry,Achmer,,german_mapping_location,b7a405588f02f59437439da265b4c5c3,german_mapping_location__b7a405588f02f59437439da265b4c5c3
achterwehr,Achterwehr,54.3146703,9.9636134,CompanyKeyword,Achterwehr,,german_mapping_location,cc5c45226c51558c28ac737e55f8d9db,german_mapping_location__cc5c45226c51558c28ac737e55f8d9db
adelebsen,Adelebsen,51.578323,9.759938,Exec,Adelebsen,,german_mapping_location,fda5e9041df25efe261ccc3e7d297270,german_mapping_location__fda5e9041df25efe261ccc3e7d297270
adelschlag,Adelschlag,48.8408579,11.211643,ForeignMinister,Adelschlag,,german_mapping_location,2ae70dc905dd9285d7953d718bcb0bae,german_mapping_location__2ae70dc905dd9285d7953d718bcb0bae
adelsdorf (mittelfr),Adelsdorf,49.4745918,10.6866194,ForeignMinister,Adelsdorf,,german_mapping_location,707c1d431193adb121d608ab50d8c4f1,german_mapping_location__707c1d431193adb121d608ab50d8c4f1
adelsheim nord,Adelsheim North,49.4213609,9.3922085,News,Adelsheim North,,german_mapping_location,f7cc083ab4a21f99e84c31a9959ea2d5,german_mapping_location__f7cc083ab4a21f99e84c31a9959ea2d5
adelsheim ost,Adelsheim East,49.4027279,9.3945727,Refinery,Adelsheim East,,german_mapping_location,381a251b909cc4220df0df79eb67f153,german_mapping_location__381a251b909cc4220df0df79eb67f153
adorf (vogtl),Adorf,50.3233665,12.261571,Media,Adorf,,german_mapping_location,48bbfa28e888742f79529dc98e61249e,german_mapping_location__48bbfa28e888742f79529dc98e61249e
affaltrach,Affaltrach,49.1379188,9.37914,space,Affaltrach,,german_mapping_location,04efb3accc48f6efc53fa6c7e207a42a,german_mapping_location__04efb3accc48f6efc53fa6c7e207a42a
agatharied,Agatharied,47.7654654,11.8245663,FTO,Agatharied,,german_mapping_location,6246bef24a60c0cbcfb1f92a5c352192,german_mapping_location__6246bef24a60c0cbcfb1f92a5c352192
agathenburg,Agathenburg,53.5642784,9.5310942,Consulates,Agathenburg,,german_mapping_location,07023139468ae9e110b020659303815d,german_mapping_location__07023139468ae9e110b020659303815d
aglasterhausen,Aglasterhausen,49.3499389,8.9906905,DiplomaticFacilities,Aglasterhausen,,german_mapping_location,9aebd1746f9c2918dc59c0da95196790,german_mapping_location__9aebd1746f9c2918dc59c0da95196790
aha,Aha,47.8334904,8.1338984,ForeignMinistry,Aha,,german_mapping_location,1d5ffd3c4e0dde41443505d77bf49d45,german_mapping_location__1d5ffd3c4e0dde41443505d77bf49d45
ahaus,Ahaus,52.0817347,7.0163882,LegislativeCommittee,Ahaus,,german_mapping_location,12be51f8a47ea2a3a4e3e6470c723539,german_mapping_location__12be51f8a47ea2a3a4e3e6470c723539
ahlen (westf),Ahlen,51.7613359,7.8950357,Person,Ahlen,,german_mapping_location,b4fdefcf0deccda10840c9a8d276339b,german_mapping_location__b4fdefcf0deccda10840c9a8d276339b
ahlhorn,Ahlhorn,52.900182,8.2091925,FTO,Ahlhorn,,german_mapping_location,2e248056658f93a84ccfb1c28021d1f2,german_mapping_location__2e248056658f93a84ccfb1c28021d1f2
ahlten (han),Ahlten,52.376485,9.905789,AAEntity,Ahlten,,german_mapping_location,9c2852fb5a870846be2c96c64ac976d3,german_mapping_location__9c2852fb5a870846be2c96c64ac976d3
ahrbrück,Ahrbruck,50.489566,6.9724058,Shipping,Ahrbruck,,german_mapping_location,2cfe6b2864460a7de1bf35aa31fbcd83,german_mapping_location__2cfe6b2864460a7de1bf35aa31fbcd83
ahrensburg,Ahrensburg,53.6692211,10.2362262,Organization,Ahrensburg,,german_mapping_location,6fb45f320b832a49a0db85eaa363b61b,german_mapping_location__6fb45f320b832a49a0db85eaa363b61b
ahrensburg-gartenholz,Ahrensburg-Gartenholz,53.688473,10.2515722,Exec,Ahrensburg-Gartenholz,,german_mapping_location,24d4544e37c2774179ae4f0a72551d18,german_mapping_location__24d4544e37c2774179ae4f0a72551d18
ahrensfelde,Ahrensfelde,52.572143,13.5668542,ForeignMinister,Ahrensfelde,,german_mapping_location,ead7880831f403fd727e8eb151039beb,german_mapping_location__ead7880831f403fd727e8eb151039beb
ahrensfelde friedhof,Ahrensfelde Friedhof,52.5805205,13.5729834,Pipeline,Ahrensfelde Friedhof,,german_mapping_location,f91bc082b6446c3f1b1c07f20bb3dbd7,german_mapping_location__f91bc082b6446c3f1b1c07f20bb3dbd7
ahrensfelde nord,Ahrensfelde North,52.5905296,13.581841,AAEntity,Ahrensfelde North,,german_mapping_location,4be8becc9d60dbdf1e29531a9a884701,german_mapping_location__4be8becc9d60dbdf1e29531a9a884701
ahrweiler,Ahrweiler,50.5463309,7.1073032,CompanyKeyword,Ahrweiler,,german_mapping_location,1621f6732ecf1a98130c6a46f902a257,german_mapping_location__1621f6732ecf1a98130c6a46f902a257
ahrweiler markt,Ahrweiler Markt,50.5442281,7.0943323,News,Ahrweiler Markt,,german_mapping_location,b45fab9371841dd295a9622b786d5147,german_mapping_location__b45fab9371841dd295a9622b786d5147
aichach,Aichach,48.4577035,48.4610565,CompanyKeyword,Aichach,,german_mapping_location,9fdfe91b6421b8d0c375fe4790872135,german_mapping_location__9fdfe91b6421b8d0c375fe4790872135
aichstetten,Aichstetten,47.8921162,10.0767579,Exec,Aichstetten,,german_mapping_location,80006d481692d373f841cd2526f6b5b6,german_mapping_location__80006d481692d373f841cd2526f6b5b6
ainring,Ainring,47.8145816,12.9415464,LegislativeCommittee,Ainring,,german_mapping_location,a5c60973923a6d834db7c4748ce8c30c,german_mapping_location__a5c60973923a6d834db7c4748ce8c30c
aken (elbe),Aken,51.8539201,12.0430815,IndustryTerm,Aken,,german_mapping_location,5c7be2a12ea3d5ce6d44229012754b70,german_mapping_location__5c7be2a12ea3d5ce6d44229012754b70
albachten,Albachten,51.920214,7.5273625,Keyphrase,Albachten,,german_mapping_location,19133de0dd82e5251911e37c0cb2859f,german_mapping_location__19133de0dd82e5251911e37c0cb2859f
albbruck,Albbruck,47.5946573,8.1362987,Diplomat,Albbruck,,german_mapping_location,927e0c30633df89f119ae151b12ed136,german_mapping_location__927e0c30633df89f119ae151b12ed136
albersdorf,Albersdorf,54.1465413,9.2835032,AAEntity,Albersdorf,,german_mapping_location,22aaa4b1af83a408caf67592af2dd4df,german_mapping_location__22aaa4b1af83a408caf67592af2dd4df
albersweiler (pfalz),Albersweiler,49.2196205,8.032028,Consulates,Albersweiler,,german_mapping_location,29880b9453b51311018f91f30876daed,german_mapping_location__29880b9453b51311018f91f30876daed
albig,Albig,49.7728485,8.1180216,IndustryTerm,Albig,,german_mapping_location,c2be8ed738f0896fa9fd1c32ab6aec7b,german_mapping_location__c2be8ed738f0896fa9fd1c32ab6aec7b
albrechtshof,Albrechtshof,52.5495663,13.1285852,LegislativeCommittee,Albrechtshof,,german_mapping_location,51493d710c6aa9ea4cdf382ce88dda25,german_mapping_location__51493d710c6aa9ea4cdf382ce88dda25
albshausen,Albshausen,50.5457138,8.4345925,IndustryTerm,Albshausen,,german_mapping_location,c468ce7b9e67d10272d67d5743a13910,german_mapping_location__c468ce7b9e67d10272d67d5743a13910
albsheim,Albsheim,49.580748,8.179166,Refinery,Albsheim,,german_mapping_location,6d560e8503a854d8218bc235b12be8bd,german_mapping_location__6d560e8503a854d8218bc235b12be8bd
albsheim (eis),Albsheim,49.580748,8.179166,Organization,Albsheim,,german_mapping_location,6d560e8503a854d8218bc235b12be8bd,german_mapping_location__6d560e8503a854d8218bc235b12be8bd
albstadt ebingen west,Albstadt Ebingen West,48.2112882,8.9970765,Person,Albstadt Ebingen West,,german_mapping_location,37f53003eeeeb64b9691f620015ef0a6,german_mapping_location__37f53003eeeeb64b9691f620015ef0a6
albstadt-ebingen,Albstadt-Ebingen,48.2103812,9.0273872,Exec,Albstadt-Ebingen,,german_mapping_location,2dd5de83a4a629f99bff9c312b800880,german_mapping_location__2dd5de83a4a629f99bff9c312b800880
albstadt-laufen ort,Albstadt-Laufen Ort,48.222859,8.917316,IndustryTerm,Albstadt-Laufen Ort,,german_mapping_location,9845e6a0a2c0ea0aada44e874417f67c,german_mapping_location__9845e6a0a2c0ea0aada44e874417f67c
albstadt-lautlingen,Albstadt-Lautlingen,48.213638,8.95462,Keyphrase,Albstadt-Lautlingen,,german_mapping_location,b0fe110fec867520676d447c55cac6c3,german_mapping_location__b0fe110fec867520676d447c55cac6c3
aldekerk,Aldekerk,51.435784,6.4127272,IndustryTerm,Aldekerk,,german_mapping_location,d085cd0f7305829e0ed63fab5e49bd7c,german_mapping_location__d085cd0f7305829e0ed63fab5e49bd7c
aldingen,Aldingen,48.0956781,8.7127576,Media,Aldingen,,german_mapping_location,3a67df0920f5534f91eb3e64e83b9e7f,german_mapping_location__3a67df0920f5534f91eb3e64e83b9e7f
aletshausen,Aletshausen,48.201313,10.383631,CompanyKeyword,Aletshausen,,german_mapping_location,50be74fdcc9aa8a79cb4a3bb8b565094,german_mapping_location__50be74fdcc9aa8a79cb4a3bb8b565094
alfeld (leine),Alfeld,51.981417,9.817779,Organization,Alfeld,,german_mapping_location,72b121a6c8c6a15dde9cc936e54490d7,german_mapping_location__72b121a6c8c6a15dde9cc936e54490d7
alfter-impekoven,Alfter-Impekoven,50.711027,7.019801,DiplomaticFacilities,Alfter-Impekoven,,german_mapping_location,a0c901bc840e6101d167ddaa3cd47f38,german_mapping_location__a0c901bc840e6101d167ddaa3cd47f38
alfter-witterschlick,Alfter-Witterschlick,50.6901468,7.0257544,FTO,Alfter-Witterschlick,,german_mapping_location,ef83880b5e7ec0a1252e7877f5026309,german_mapping_location__ef83880b5e7ec0a1252e7877f5026309
algermissen,Algermissen,52.252347,9.966137,Legislator,Algermissen,,german_mapping_location,e6a6851265516f0475ed54f873453404,german_mapping_location__e6a6851265516f0475ed54f873453404
alheim-heinebach,Alheim-Heinebach,51.045739,9.664423,CompanyKeyword,Alheim-Heinebach,,german_mapping_location,5bf86b1130aa27d70d397496a8acf268,german_mapping_location__5bf86b1130aa27d70d397496a8acf268
aligse,Aligse,52.402818,9.978851,Exec,Aligse,,german_mapping_location,d1f01b87ab3d8a56293d179ed5da00da,german_mapping_location__d1f01b87ab3d8a56293d179ed5da00da
allee-center leipzig,Allee-Center Leipzig,51.3190543,12.2919489,AAEntity,Allee-Center Leipzig,,german_mapping_location,22fca570c4d37b9aec7db35a774dda39,german_mapping_location__22fca570c4d37b9aec7db35a774dda39
allendorf (dillkr),Allendorf,50.7439116,8.1852288,Keyphrase,Allendorf,,german_mapping_location,e7b76b545275afb1ed6098ff0c90d518,german_mapping_location__e7b76b545275afb1ed6098ff0c90d518
allensbach,Allensbach,47.7149966,9.0680502,News,Allensbach,,german_mapping_location,1dd99b29fef680f75eba5dc17d0e9835,german_mapping_location__1dd99b29fef680f75eba5dc17d0e9835
allermöhe,Allermohe,53.4903904,10.1586791,Exec,Allermohe,,german_mapping_location,2a75ef0366b10879f3f35ed24c921a54,german_mapping_location__2a75ef0366b10879f3f35ed24c921a54
allermöhe (s-bahn),Allermohe,53.4903904,10.1586791,IndustryTerm,Allermohe,,german_mapping_location,2a75ef0366b10879f3f35ed24c921a54,german_mapping_location__2a75ef0366b10879f3f35ed24c921a54
allersberg (rothsee),Allersberg,49.2623568,11.2122866,Diplomat,Allersberg,,german_mapping_location,f150f95959124a31c5e38b49482c9e9e,german_mapping_location__f150f95959124a31c5e38b49482c9e9e
allmendingen,Allmendingen,48.3277478,9.7225794,Consulates,Allmendingen,,german_mapping_location,bf74ea030aae15a063e74b1e9705c1a1,german_mapping_location__bf74ea030aae15a063e74b1e9705c1a1
alpen,Alpen,51.5832798,6.5181577,CompanyKeyword,Alpen,,german_mapping_location,eddfa664c416718b2a720d35a3d63de9,german_mapping_location__eddfa664c416718b2a720d35a3d63de9
alpirsbach,Alpirsbach,48.3439747,8.3984714,Pipeline,Alpirsbach,,german_mapping_location,9aaeeaeda268399ea70ead9e49076ae6,german_mapping_location__9aaeeaeda268399ea70ead9e49076ae6
alsenz,Alsenz,49.727495,7.817189,Consulates,Alsenz,,german_mapping_location,a62e8275a2e4965a9714e2aff60556c2,german_mapping_location__a62e8275a2e4965a9714e2aff60556c2
alsfeld (oberhess),Alsfeld,50.7507533,9.265184,AAEntity,Alsfeld,,german_mapping_location,55c624f27d2d6b4ffeb1c22f8d744555,german_mapping_location__55c624f27d2d6b4ffeb1c22f8d744555
alsheim,Alsheim,49.765294,8.3424029,Person,Alsheim,,german_mapping_location,f469de6d759c1516548a5e8e23a3b1ce,german_mapping_location__f469de6d759c1516548a5e8e23a3b1ce
alt hüttendorf,Alt Huttendorf,52.957478,13.783561,News,Alt Huttendorf,,german_mapping_location,d99fcb25f8cbaa622284363e3b0de9d3,german_mapping_location__d99fcb25f8cbaa622284363e3b0de9d3
alt rosenthal,Alt Rosenthal,52.550381,14.278579,FTO,Alt Rosenthal,,german_mapping_location,8764399015fa80648c62183fab9272a3,german_mapping_location__8764399015fa80648c62183fab9272a3
alt schwerin,Alt Schwerin,53.5118875,12.34903,News,Alt Schwerin,,german_mapping_location,42756adf9e6c31956e61b84194c6302e,german_mapping_location__42756adf9e6c31956e61b84194c6302e
alt-reinickendorf,Alt-Reinickendorf,52.5778327,13.3499818,Consulates,Alt-Reinickendorf,,german_mapping_location,ab9d3b1965b7c53c0e5c9aaaa61aed1d,german_mapping_location__ab9d3b1965b7c53c0e5c9aaaa61aed1d
altbach,Altbach,48.7205521,9.382756,Wells,Altbach,,german_mapping_location,af3f4d57a62b48a0711f80e3655b2a1e,german_mapping_location__af3f4d57a62b48a0711f80e3655b2a1e
altdöbern,Altdobern,51.65259,14.0093739,News,Altdobern,,german_mapping_location,e4dc6d9c323ee1ab8eff9c7020653d75,german_mapping_location__e4dc6d9c323ee1ab8eff9c7020653d75
altdorf (b nürnberg),Altdorf,49.3896087,11.3539597,Pipeline,Altdorf,,german_mapping_location,634e324ec7d00235a70d6cd24723a661,german_mapping_location__634e324ec7d00235a70d6cd24723a661
altdorf west (b nürnberg),Altdorf West,49.3911125,11.3415777,DiplomaticFacilities,Altdorf West,,german_mapping_location,c7640ee9fcd8f21ad83515c993b01606,german_mapping_location__c7640ee9fcd8f21ad83515c993b01606
alte veste,Alte Veste,49.4542891,10.9722102,Refinery,Alte Veste,,german_mapping_location,1b0152b2497c249f4902412482115c19,german_mapping_location__1b0152b2497c249f4902412482115c19
alte wöhr (s-bahn),Alte Wohr,53.5977249,10.0354675,News,Alte Wohr,,german_mapping_location,f87e61778edc14e05dead65fa6031a10,german_mapping_location__f87e61778edc14e05dead65fa6031a10
altefähr,Altefahr,54.322927,13.14101,AAEntity,Altefahr,,german_mapping_location,9a009908cede8ec7061f69d6fccb227e,german_mapping_location__9a009908cede8ec7061f69d6fccb227e
altena (westf),Altena,51.3016516,7.6688364,Pipeline,Altena,,german_mapping_location,10172eac553929371c9d179a24a4f107,german_mapping_location__10172eac553929371c9d179a24a4f107
