german_text,caption_text,location_tag,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
weißensee,"Weissensee, Berlin, Germany","Weissensee, Berlin, Germany",space,"Weissensee, Berlin, Germany",,german_mapping_location_fires,d3820ca5734d68733f1dbcca0a7e904c,german_mapping_location_fires__d3820ca5734d68733f1dbcca0a7e904c
mariendorf,"Mariendorf, Berlin, Germany","Mariendorf, Berlin, Germany",Media,"Mariendorf, Berlin, Germany",,german_mapping_location_fires,a05c832fe04b1a2f2e84a2c5e85e1e24,german_mapping_location_fires__a05c832fe04b1a2f2e84a2c5e85e1e24
mitte,"Mitte, Berlin, Germany","Mitte, Berlin, Germany",Media,"Mitte, Berlin, Germany",,german_mapping_location_fires,d8f03d1c6116987a4dbc8bddc0cba4d3,german_mapping_location_fires__d8f03d1c6116987a4dbc8bddc0cba4d3
moabit,"Moabit, Berlin, Germany","Moabit, Berlin, Germany",Pipeline,"Moabit, Berlin, Germany",,german_mapping_location_fires,05b680f731aac01198ca6f8cc9641600,german_mapping_location_fires__05b680f731aac01198ca6f8cc9641600
hansaviertel,"Hansaviertel, Berlin, Germany","Hansaviertel, Berlin, Germany",LegislativeCommittee,"Hansaviertel, Berlin, Germany",,german_mapping_location_fires,4f11e2c23cd92cdca0df46c2f1471017,german_mapping_location_fires__4f11e2c23cd92cdca0df46c2f1471017
tiergarten,"Tiergarten, Berlin, Germany","Tiergarten, Berlin, Germany",Person,"Tiergarten, Berlin, Germany",,german_mapping_location_fires,8e7419a3862c44ec934906a5e0d46b2c,german_mapping_location_fires__8e7419a3862c44ec934906a5e0d46b2c
wedding,"Wedding, Berlin, Germany","Wedding, Berlin, Germany",LegislativeCommittee,"Wedding, Berlin, Germany",,german_mapping_location_fires,b90798b340872c50708e99a9993fdff0,german_mapping_location_fires__b90798b340872c50708e99a9993fdff0
gesundbrunnen,"Gesundbrunnen, Berlin, Germany","Gesundbrunnen, Berlin, Germany",LegislativeCommittee,"Gesundbrunnen, Berlin, Germany",,german_mapping_location_fires,db8ab3c647d57b763280a3869f22cf17,german_mapping_location_fires__db8ab3c647d57b763280a3869f22cf17
friedrichshain,"Friedrichshain, Berlin, Germany","Friedrichshain, Berlin, Germany",Keyphrase,"Friedrichshain, Berlin, Germany",,german_mapping_location_fires,bc989ccf8c0bd5d4e73eab56f0da5ead,german_mapping_location_fires__bc989ccf8c0bd5d4e73eab56f0da5ead
kreuzberg,"Kreuzberg, Berlin, Germany","Kreuzberg, Berlin, Germany",IndustryTerm,"Kreuzberg, Berlin, Germany",,german_mapping_location_fires,3a85ecf8289bc64b2d772859c4e1a82a,german_mapping_location_fires__3a85ecf8289bc64b2d772859c4e1a82a
