german_word,caption_text,threshold,topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hohes fahrgastaufkommen,high volume of passengers,Local Signal,,Person,high volume of passengers,,german_rail_eventType2,a6ff3951a10a4ce9f0d49aac64f8aff0,german_rail_eventType2__a6ff3951a10a4ce9f0d49aac64f8aff0
befolgen einer behördlichen anordnung,police operation,Signal,188296,space,police operation,,german_rail_eventType2,c8bd87d3ad562a87dd0e41d34e8d11b7,german_rail_eventType2__c8bd87d3ad562a87dd0e41d34e8d11b7
technische störung an der lok,technical issue with engine,Local Signal,,ForeignMinistry,technical issue with engine,,german_rail_eventType2,cdd715a90282075ef2b3dcaa304ee6c0,german_rail_eventType2__cdd715a90282075ef2b3dcaa304ee6c0
überholung durch einen anderen zug,being overtaken by another train,Local Signal,,IndustryTerm,being overtaken by another train,,german_rail_eventType2,c59f53702805a145eee7fa0083283737,german_rail_eventType2__c59f53702805a145eee7fa0083283737
verspätung aus vorheriger fahrt,delay to an earlier service,Local Signal,,Consulates,delay to an earlier service,,german_rail_eventType2,fb09152b75f08b41fff77d082b2ad9dc,german_rail_eventType2__fb09152b75f08b41fff77d082b2ad9dc
wende,being turned around,Local Signal,,Refinery,being turned around,,german_rail_eventType2,8ebca74027bcb224eb1d6306e158ea4c,german_rail_eventType2__8ebca74027bcb224eb1d6306e158ea4c
störungen an den signalanlagen,signal problems,Local Signal,,CompanyKeyword,signal problems,,german_rail_eventType2,9df797a31333b26068819ca24ac9ebcc,german_rail_eventType2__9df797a31333b26068819ca24ac9ebcc
anlagen leit- und sicherungstechnik,safety issue,Local Signal,,Person,safety issue,,german_rail_eventType2,673fd6c18c66e3e6e19d69b753005411,german_rail_eventType2__673fd6c18c66e3e6e19d69b753005411
weichenstörung,switch failure,Local Signal,,News,switch failure,,german_rail_eventType2,3d0b38dc282913462d4bee2637baa869,german_rail_eventType2__3d0b38dc282913462d4bee2637baa869
notwendige arbeiten am zug,emergency works to train,Local Signal,,Exec,emergency works to train,,german_rail_eventType2,1e0cdc2524124b06ebba2cedd6a8456b,german_rail_eventType2__1e0cdc2524124b06ebba2cedd6a8456b
verkehrliche zugvorbereitung,train being prepared,Local Signal,,Person,train being prepared,,german_rail_eventType2,d504bf7377de67fe1cf4f5e163c7aea1,german_rail_eventType2__d504bf7377de67fe1cf4f5e163c7aea1
warten auf triebfahrzeugführer,waiting for driver,Local Signal,,Wells,waiting for driver,,german_rail_eventType2,475104ea27f59ea142bd952d8d86bbbd,german_rail_eventType2__475104ea27f59ea142bd952d8d86bbbd
anschlussreisende,connecting passengers,Local Signal,,Person,connecting passengers,,german_rail_eventType2,c9435cb670200857c18cbb67e65c0160,german_rail_eventType2__c9435cb670200857c18cbb67e65c0160
