keyword,german_text,caption_text,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
feuerwehralpen,alpen,"Alpen, Germany",51.57540357,6.511203022,DiplomaticFacilities,"Alpen, Germany",,german_single_locations,70de053018a9bd67e9c6eea65debcf18,german_single_locations__70de053018a9bd67e9c6eea65debcf18
feuerwehrbasa,bad salzungen,"Bad Salzungen, Germany",50.81045611,10.2331881,Refinery,"Bad Salzungen, Germany",,german_single_locations,5416ac3fe3f74ce12e828c56cb2684f2,german_single_locations__5416ac3fe3f74ce12e828c56cb2684f2
feuerwehrbrilon,brilon,"Brilon, Germany",51.39816918,8.575205284,DiplomaticFacilities,"Brilon, Germany",,german_single_locations,f35c5df25c38bb776e5b5832cf9bbf22,german_single_locations__f35c5df25c38bb776e5b5832cf9bbf22
ffcelle,celle,"Celle, Germany",52.61749009,10.06389954,Diplomat,"Celle, Germany",,german_single_locations,8e02ac1c3a63fe6f5eb4fea28467d1c8,german_single_locations__8e02ac1c3a63fe6f5eb4fea28467d1c8
feuerwehrtaucha,taucha,"Taucha, Germany",51.37945796,12.49437384,News,"Taucha, Germany",,german_single_locations,05bbcd502602482ab5c2b9978e84d61e,german_single_locations__05bbcd502602482ab5c2b9978e84d61e
feuerwehr_ws,wetzikon,"Wetzikon, Switzerland",47.32721551,8.801129646,Shipping,"Wetzikon, Switzerland",,german_single_locations,d0557ccdf77b10075d41900f4defe671,german_single_locations__d0557ccdf77b10075d41900f4defe671
ffengelsby,"engelsby, flensburg","Engelsby, Flensburg, Germany",54.79686567,9.48865951,AAEntity,"Engelsby, Flensburg, Germany",,german_single_locations,9baf74f4116cc1f8bafbc377194a0e4a,german_single_locations__9baf74f4116cc1f8bafbc377194a0e4a
ffgolssen,golssen,"Golssen, Germany",51.97143149,13.59891025,CompanyKeyword,"Golssen, Germany",,german_single_locations,20daf727018fee7137843397a144132a,german_single_locations__20daf727018fee7137843397a144132a
ffkostheim,mainz-kostheim,"Mainz-Kostheim, Germany",50.00781118,8.299425953,AAEntity,"Mainz-Kostheim, Germany",,german_single_locations,a8400c834388d49eead8b499ca75104c,german_single_locations__a8400c834388d49eead8b499ca75104c
ffmenden,menden,"Menden, Germany",51.43768768,7.794562594,Pipeline,"Menden, Germany",,german_single_locations,a6766e4d333ebfcdcdc23255b788c5c4,german_single_locations__a6766e4d333ebfcdcdc23255b788c5c4
ffoberndorf,oberndorf,"Oberndorf, Austria",47.94162416,12.94499645,News,"Oberndorf, Austria",,german_single_locations,8506ae77d40a2f724b6a3c8a82d93b75,german_single_locations__8506ae77d40a2f724b6a3c8a82d93b75
ffwdd,dürrröhrsdorf-dittersbach,"Durrrohrsdorf-Dittersbach, Germany",51.03470358,13.98855145,Keyphrase,"Durrrohrsdorf-Dittersbach, Germany",,german_single_locations,a1cada3cab2938a4840ae4ecbf05d733,german_single_locations__a1cada3cab2938a4840ae4ecbf05d733
ffwerbendorf,erbendorf,"Erbendorf, Germany",49.83761762,12.04281264,Media,"Erbendorf, Germany",,german_single_locations,150b6f82f0525c0e6eca85af25c9918b,german_single_locations__150b6f82f0525c0e6eca85af25c9918b
ffweyer,weyer,"Weyer, Germany",50.3667502,8.223705909,ForeignMinister,"Weyer, Germany",,german_single_locations,fa016949a155efeae650d09b83597c86,german_single_locations__fa016949a155efeae650d09b83597c86
ffwseulberg,seulberg,"Seulberg, Germany",50.24500428,8.648526452,Refinery,"Seulberg, Germany",,german_single_locations,b6b370850beaee510f8d5427b1554ca2,german_single_locations__b6b370850beaee510f8d5427b1554ca2
ffw_breisach,breisach,"Breisach, Germany",48.03591132,7.579077196,Consulates,"Breisach, Germany",,german_single_locations,b6551d12712a1efeac3f60df1c44e98a,german_single_locations__b6551d12712a1efeac3f60df1c44e98a
ffw_hillscheid,hillscheid,"Hillscheid, Germany",50.40725154,7.698028362,ForeignMinistry,"Hillscheid, Germany",,german_single_locations,b194abbc5e1908b444af402ced1a4deb,german_single_locations__b194abbc5e1908b444af402ced1a4deb
ffw_zschortau,zschortau,"Zschortau, Germany",51.48076574,12.35948299,space,"Zschortau, Germany",,german_single_locations,2755bde197a0ca98f7ef275c9a114e95,german_single_locations__2755bde197a0ca98f7ef275c9a114e95
ff_hepberg,hepberg,"Hepberg, Germany",48.82267503,11.46257762,Consulates,"Hepberg, Germany",,german_single_locations,b2710e9247d80af31cf2b0f7c9873346,german_single_locations__b2710e9247d80af31cf2b0f7c9873346
ff_m_buchholz,märkisch buchholz,"Markisch Buchholz, Germany",52.10822895,13.76478404,Shipping,"Markisch Buchholz, Germany",,german_single_locations,f11b5d740432a8a1c87f93bf356daf46,german_single_locations__f11b5d740432a8a1c87f93bf356daf46
ff_schimborn,schimborn,"Schimborn, Germany",50.05486218,9.187273246,Refinery,"Schimborn, Germany",,german_single_locations,addc5242e020d7e1a4cfc116bdf33604,german_single_locations__addc5242e020d7e1a4cfc116bdf33604
ff_siershahn,siershahn,"Siershahn, Germany",50.48439751,7.777713997,IndustryTerm,"Siershahn, Germany",,german_single_locations,168fbcef0cb099526342530de4347739,german_single_locations__168fbcef0cb099526342530de4347739
fwkierspe,kierspe,"Kierspe, Germany",51.12975589,7.598606969,ForeignMinistry,"Kierspe, Germany",,german_single_locations,4fcee66abc586b2e387d28c1788de022,german_single_locations__4fcee66abc586b2e387d28c1788de022
