handle,caption_name,country,state_province,city,capital_country,capital_state_province,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mcconnellpress,US Senate Minority Leader McConnell,United States,Kentucky,Frankfort,Washington DC,Frankfort,Keyphrase,US Senate Minority Leader McConnell,,gov_handles_mapping,b7d5f0d30dbafc2b9e4ec31cf39be706,gov_handles_mapping__b7d5f0d30dbafc2b9e4ec31cf39be706
lucyallan,UK MP Allan,United Kingdom,Shropshire,Telford,Washington DC,Telford,Organization,UK MP Allan,,gov_handles_mapping,00d05b9f50b946e50b1b22085cec7e08,gov_handles_mapping__00d05b9f50b946e50b1b22085cec7e08
repkenmarchant,US Representative Marchant,United States,Texas,Austin,Washington DC,Austin,Wells,US Representative Marchant,,gov_handles_mapping,569ce954e707be38273bc3d14caa9387,gov_handles_mapping__569ce954e707be38273bc3d14caa9387
senatemajldr,US Senate Majority Leader McConnell,United States,Kentucky,Frankfort,Washington DC,Frankfort,FTO,US Senate Majority Leader McConnell,,gov_handles_mapping,a6708ed6170e628c9c26dc8c22eddf6f,gov_handles_mapping__a6708ed6170e628c9c26dc8c22eddf6f
chuckschumer,US Senate Majority Leader Schumer,United States,New York,Albany,Washington DC,Albany,Legislator,US Senate Majority Leader Schumer,,gov_handles_mapping,1cd26d9706d7884fd4a180c7ee189441,gov_handles_mapping__1cd26d9706d7884fd4a180c7ee189441
senschumer,US Senate Minority Leader Schumer,United States,New York,Albany,Washington DC,Albany,LegislativeCommittee,US Senate Minority Leader Schumer,,gov_handles_mapping,865cb25fa3b0cb42418d5d8abba1f809,gov_handles_mapping__865cb25fa3b0cb42418d5d8abba1f809
amyklobuchar,US Senator Klobuchar,United States,Minnesota,Saint Paul,Washington DC,Saint Paul,AAEntity,US Senator Klobuchar,,gov_handles_mapping,fdc5a26c198234e0e41cf6ba21896345,gov_handles_mapping__fdc5a26c198234e0e41cf6ba21896345
senamyklobuchar,US Senator Klobuchar,United States,Minnesota,Saint Paul,Washington DC,Saint Paul,Consulates,US Senator Klobuchar,,gov_handles_mapping,fdc5a26c198234e0e41cf6ba21896345,gov_handles_mapping__fdc5a26c198234e0e41cf6ba21896345
angusformaine,US Senator King,United States,Maine,Augusta,Washington DC,Augusta,Exec,US Senator King,,gov_handles_mapping,8eb39d08b6f04230c03650e9e6392198,gov_handles_mapping__8eb39d08b6f04230c03650e9e6392198
senangusking,US Senator King,United States,Maine,Augusta,Washington DC,Augusta,Refinery,US Senator King,,gov_handles_mapping,8eb39d08b6f04230c03650e9e6392198,gov_handles_mapping__8eb39d08b6f04230c03650e9e6392198
