handle,caption_name,location,Type,location_lower,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1tvnewsaf,Afghan news outlet 1TV,Afghanistan,HN_MajorNews,afghanistan,,Hn_majornews,Afghan news outlet 1TV,,hnmn_mentioner,5cd9d1dd9873f43d6a9737a29b581570,hnmn_mentioner__5cd9d1dd9873f43d6a9737a29b581570
ariananews_,Afghan news outlet Ariana News,Afghanistan,HN_MajorNews,afghanistan,,Hn_majornews,Afghan news outlet Ariana News,,hnmn_mentioner,a3f4dcce9cd57c452d1fedc4b41eac26,hnmn_mentioner__a3f4dcce9cd57c452d1fedc4b41eac26
pajhwok,Afghan news outlet Pajhwok Afghan News,Afghanistan,HN_MajorNews,afghanistan,,Hn_majornews,Afghan news outlet Pajhwok Afghan News,,hnmn_mentioner,2f7725581a6210badd1e4ddade147dd4,hnmn_mentioner__2f7725581a6210badd1e4ddade147dd4
shamshadnetwork,Afghan news outlet Shamshad Radio & Television Network,Afghanistan,HN_MajorNews,afghanistan,,Hn_majornews,Afghan news outlet Shamshad Radio & Television Network,,hnmn_mentioner,852f6497fbe4d313d99c43c73f1a8ccf,hnmn_mentioner__852f6497fbe4d313d99c43c73f1a8ccf
tolonews,Afghan news outlet TOLOnews,Afghanistan,HN_MajorNews,afghanistan,,Hn_majornews,Afghan news outlet TOLOnews,,hnmn_mentioner,592978ef3a3e0f2d6d5ad41ec52a11cc,hnmn_mentioner__592978ef3a3e0f2d6d5ad41ec52a11cc
balkanwebcom,Albanian news outlet BalkanWeb,Albania,HN_MajorNews,albania,fto,Hn_majornews,Albanian news outlet BalkanWeb,,hnmn_mentioner,afb00bb0c807c88555ee490be640fa84,hnmn_mentioner__afb00bb0c807c88555ee490be640fa84
gazetaexpress,Albanian news outlet Gazeta Express,Albania,HN_MajorNews,albania,fto,Hn_majornews,Albanian news outlet Gazeta Express,,hnmn_mentioner,b059be5386c4652a1d872e2861dc51f6,hnmn_mentioner__b059be5386c4652a1d872e2861dc51f6
gazeta_panorama,Albanian news outlet Gazeta Panorama,Albania,HN_MajorNews,albania,fto,Hn_majornews,Albanian news outlet Gazeta Panorama,,hnmn_mentioner,476051b57319e128edd15b41ce13e290,hnmn_mentioner__476051b57319e128edd15b41ce13e290
shqiptaregazeta,Albanian news outlet Gazeta Shqiptare,Albania,HN_MajorNews,albania,fto,Hn_majornews,Albanian news outlet Gazeta Shqiptare,,hnmn_mentioner,4a2839788bcf029c1f5e60dfe3990b71,hnmn_mentioner__4a2839788bcf029c1f5e60dfe3990b71
oranewsrtv,Albanian news outlet Ora News,Albania,HN_MajorNews,albania,fto,Hn_majornews,Albanian news outlet Ora News,,hnmn_mentioner,3b4820b43b225fb65f7c21ae21c79912,hnmn_mentioner__3b4820b43b225fb65f7c21ae21c79912
elkhabarlive,Algerian news outlet El Khabar,Algeria,HN_MajorNews,algeria,,Hn_majornews,Algerian news outlet El Khabar,,hnmn_mentioner,e79eb6c8da40dfed4e374423a594744d,hnmn_mentioner__e79eb6c8da40dfed4e374423a594744d
ennaharonline,Algerian news outlet Ennahar TV,Algeria,HN_MajorNews,algeria,,Hn_majornews,Algerian news outlet Ennahar TV,,hnmn_mentioner,a2fde55b6d6042912bbf9ebc93ba66cb,hnmn_mentioner__a2fde55b6d6042912bbf9ebc93ba66cb
radioalgerie_ar,Algerian news outlet Radio Algeria,Algeria,HN_MajorNews,algeria,,Hn_majornews,Algerian news outlet Radio Algeria,,hnmn_mentioner,38566b5fc4bfcd54c5ad09ba61bf3877,hnmn_mentioner__38566b5fc4bfcd54c5ad09ba61bf3877
sabqpressalg,Algerian news outlet Sabq News,Algeria,HN_MajorNews,algeria,,Hn_majornews,Algerian news outlet Sabq News,,hnmn_mentioner,6d6e4dd8aaa14dcad1c4de40d155db15,hnmn_mentioner__6d6e4dd8aaa14dcad1c4de40d155db15
altaveuandorra,Andorran news outlet Altaveu,Andorra,HN_MajorNews,andorra,fto,Hn_majornews,Andorran news outlet Altaveu,,hnmn_mentioner,532c5e45bd6db2c44787356f882eec07,hnmn_mentioner__532c5e45bd6db2c44787356f882eec07
