original_text,caption_text,threshold,flag,internal_topic_1,topic_id_1,internal_topic_2,topic_id_2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
قصف مدفعي,artillery shelling,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,Person,artillery shelling,,houthis_claims_weapons_mapping,6e616648d127b3009bd1d876cbbd372d,houthis_claims_weapons_mapping__6e616648d127b3009bd1d876cbbd372d
قذيفة,shells,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,FTO,shells,,houthis_claims_weapons_mapping,6cada1b5279cf64ec485c08de4d14f53,houthis_claims_weapons_mapping__6cada1b5279cf64ec485c08de4d14f53
قذيفة هاون,mortar shells,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,Keyphrase,mortar shells,,houthis_claims_weapons_mapping,adc21839fa645fc426d7238f2d103e0b,houthis_claims_weapons_mapping__adc21839fa645fc426d7238f2d103e0b
العيارات الرشاشة,machine guns,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,Consulates,machine guns,,houthis_claims_weapons_mapping,ee102a13ce6ee3d295823e2d33c3387a,houthis_claims_weapons_mapping__ee102a13ce6ee3d295823e2d33c3387a
كاتيوشا,Katyusha,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,ForeignMinistry,Katyusha,,houthis_claims_weapons_mapping,f3ef96d3eb5b84a7eae25780430116b2,houthis_claims_weapons_mapping__f3ef96d3eb5b84a7eae25780430116b2
الأسلحة الرشاشة والثقيلة,machine guns and heavy weapons,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,Shipping,machine guns and heavy weapons,,houthis_claims_weapons_mapping,93f9f3869acd1b39f11a4f78b31ef186,houthis_claims_weapons_mapping__93f9f3869acd1b39f11a4f78b31ef186
تقصف بصواريخ الكاتيوشا وقذائف المدفعية,Katyusha rockets and artillery shells,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,FTO,Katyusha rockets and artillery shells,,houthis_claims_weapons_mapping,b5367f6081b784e8141b4815ea453d33,houthis_claims_weapons_mapping__b5367f6081b784e8141b4815ea453d33
قصف صاروخي ومدفعي سعودي,rocket and artillery shells,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,CompanyKeyword,rocket and artillery shells,,houthis_claims_weapons_mapping,d579f93a5d43f66cf01f32e04c97fcf5,houthis_claims_weapons_mapping__d579f93a5d43f66cf01f32e04c97fcf5
قصف مدفعي لقوى العدوان,artillery shells,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,Refinery,artillery shells,,houthis_claims_weapons_mapping,001377cd57cdf977bea411786c9b0537,houthis_claims_weapons_mapping__001377cd57cdf977bea411786c9b0537
قذيفتين,two shells,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,FTO,two shells,,houthis_claims_weapons_mapping,2474b12df4b3ca032251d4c185407506,houthis_claims_weapons_mapping__2474b12df4b3ca032251d4c185407506
القذائف,shells,Local Urgent,general.alert2.local,Conflicts - Land,188250,,,Shipping,shells,,houthis_claims_weapons_mapping,6cada1b5279cf64ec485c08de4d14f53,houthis_claims_weapons_mapping__6cada1b5279cf64ec485c08de4d14f53
