handle,caption_name,location_lower,exclude_groups,Location City,Location Country,Alternate Location (city/statge/region/country/constituency),.1,.2,Firstname,Lastname,Entity Type,Entity Type 2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
adolfozordan,Italian Legislator Zordan,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Lega Nord,Adolfo,Zordan,Legislator,Member of the Italian Chamber of Deputies,Legislator,Italian Legislator Zordan,,int_leg_handles,f28b638c384b291176a4caea69a93ea4,int_leg_handles__f28b638c384b291176a4caea69a93ea4
adrianovarrica,Italian Legislator Varrica,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Adriano,Varrica,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Varrica,,int_leg_handles,2be51bddf5a1f317872e5fd5dd582c1c,int_leg_handles__2be51bddf5a1f317872e5fd5dd582c1c
a_gusmeroli,Italian Legislator Gusmeroli,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Lega Nord,Alberto,Gusmeroli,Legislator,Member of the Italian Chamber of Deputies,ForeignMinister,Italian Legislator Gusmeroli,,int_leg_handles,3efda2bb6b36368ace9497f6d5ec64f2,int_leg_handles__3efda2bb6b36368ace9497f6d5ec64f2
albertolosacco,Italian Legislator Losacco,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Democratic Party,Alberto,Losacco,Legislator,Member of the Italian Chamber of Deputies,space,Italian Legislator Losacco,,int_leg_handles,83e84886f3b7bf7d0aa35097a014000c,int_leg_handles__83e84886f3b7bf7d0aa35097a014000c
albertomanca_,Italian Legislator Manca,italy,italy,Rome,Italy,Sardinia,Chamber of Deputies of Italy,Five Star Movement,Alberto,Manca,Legislator,Member of the Italian Chamber of Deputies,Keyphrase,Italian Legislator Manca,,int_leg_handles,54412b71c8680cab68121de83b523313,int_leg_handles__54412b71c8680cab68121de83b523313
stefanicamera,Italian Legislator Stefani,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Lega Nord,Alberto,Stefani,Legislator,Member of the Italian Chamber of Deputies,Organization,Italian Legislator Stefani,,int_leg_handles,cdb01a3258049f63b4f64720db6e1a46,int_leg_handles__cdb01a3258049f63b4f64720db6e1a46
zolezzialberto,Italian Legislator Zolezzi,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Five Star Movement,Alberto,Zolezzi,Legislator,Member of the Italian Chamber of Deputies,AAEntity,Italian Legislator Zolezzi,,int_leg_handles,f6df0340316d6b85fd3b3d540b0b1024,int_leg_handles__f6df0340316d6b85fd3b3d540b0b1024
aldopenna,Italian Legislator Penna,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Aldo,Penna,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Penna,,int_leg_handles,27a461aa13cd21bf20121fdda84fd2e0,int_leg_handles__27a461aa13cd21bf20121fdda84fd2e0
alecarbonarom5s,Italian Legislator Carbonaro,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Five Star Movement,Alessandra,Carbonaro,Legislator,Member of the Italian Chamber of Deputies,Consulates,Italian Legislator Carbonaro,,int_leg_handles,3c08c9d085fce4eed34d8a16c11e68de,int_leg_handles__3c08c9d085fce4eed34d8a16c11e68de
aermellino,Italian Legislator Ermellino,italy,italy,Rome,Italy,Apulia,Chamber of Deputies of Italy,Five Star Movement,Alessandra,Ermellino,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Ermellino,,int_leg_handles,88cfd341c830dc26938fd3efc150af5a,int_leg_handles__88cfd341c830dc26938fd3efc150af5a
aleamitrano,Italian Legislator Amitrano,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Alessandro,Amitrano,Legislator,Member of the Italian Chamber of Deputies,Organization,Italian Legislator Amitrano,,int_leg_handles,aee63c7d2852b34d7d18b0ffa22ada00,int_leg_handles__aee63c7d2852b34d7d18b0ffa22ada00
battilocchio,Italian Legislator Battilocchio,italy,italy,Rome,Italy,Lazio,Chamber of Deputies of Italy,Forza Italia,Alessandro,Battilocchio,Legislator,Member of the Italian Chamber of Deputies,IndustryTerm,Italian Legislator Battilocchio,,int_leg_handles,8f54fdf23d499e94ca16744a594efc20,int_leg_handles__8f54fdf23d499e94ca16744a594efc20
alecattaneo79,Italian Legislator Cattaneo,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Forza Italia,Alessandro,Cattaneo,Legislator,Member of the Italian Chamber of Deputies,Refinery,Italian Legislator Cattaneo,,int_leg_handles,e0688555e704238f338e9bd0b2b30def,int_leg_handles__e0688555e704238f338e9bd0b2b30def
alecolucci1,Italian Legislator Colucci,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Us with Italy,Alessandro,Colucci,Legislator,Member of the Italian Chamber of Deputies,ForeignMinister,Italian Legislator Colucci,,int_leg_handles,9fa7ea3b71295ae414efa0bad09cb986,int_leg_handles__9fa7ea3b71295ae414efa0bad09cb986
fusacchia,Italian Legislator Fusacchia,italy,italy,Rome,Italy,Rome,Chamber of Deputies of Italy,Mixed Group,Alessandro,Fusacchia,Legislator,Member of the Italian Chamber of Deputies,ForeignMinister,Italian Legislator Fusacchia,,int_leg_handles,2f07685a0f6046153f0849c553034f37,int_leg_handles__2f07685a0f6046153f0849c553034f37
alebenvenuto,Italian Legislator Benvenuto,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Lega Nord,Alessandro,Benvenuto,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Benvenuto,,int_leg_handles,e51d71e970476d717daadd611e6d5a03,int_leg_handles__e51d71e970476d717daadd611e6d5a03
alexmelicchio,Italian Legislator Melicchio,italy,italy,Rome,Italy,Calabria,Chamber of Deputies of Italy,Five Star Movement,Alessandro,Melicchio,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Melicchio,,int_leg_handles,919fb9fbf0932c247aeb91c30996f068,int_leg_handles__919fb9fbf0932c247aeb91c30996f068
alepaganotwit,Italian Legislator Pagano,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Lega Nord,Alessandro,Pagano,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Pagano,,int_leg_handles,4f32f90929119140288a7a4607ec9c37,int_leg_handles__4f32f90929119140288a7a4607ec9c37
sortealex,Italian Legislator Sorte,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Mixed Group,Alessandro,Sorte,Legislator,Member of the Italian Chamber of Deputies,LegislativeCommittee,Italian Legislator Sorte,,int_leg_handles,a654f758386b8bc27296c0b27bde5eab,int_leg_handles__a654f758386b8bc27296c0b27bde5eab
zanalessandro,Italian Legislator Zan,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Democratic Party,Alessandro,Zan,Legislator,Member of the Italian Chamber of Deputies,CompanyKeyword,Italian Legislator Zan,,int_leg_handles,0526c9b0d8df99f0f6f2ca0c4f5bf325,int_leg_handles__0526c9b0d8df99f0f6f2ca0c4f5bf325
alessiamorani,Italian Legislator Morani,italy,italy,Rome,Italy,Marche,Chamber of Deputies of Italy,Democratic Party,Alessia,Morani,Legislator,Member of the Italian Chamber of Deputies,ForeignMinister,Italian Legislator Morani,,int_leg_handles,6022ec9f6fa64aa4d913af345312c49a,int_leg_handles__6022ec9f6fa64aa4d913af345312c49a
alessiarotta,Italian Legislator Rotta,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Democratic Party,Alessia,Rotta,Legislator,Member of the Italian Chamber of Deputies,Diplomat,Italian Legislator Rotta,,int_leg_handles,3a6d60d7186fdf0a816dbcaf9a6cf380,int_leg_handles__3a6d60d7186fdf0a816dbcaf9a6cf380
ale_villarosa,Italian Legislator Villarosa,italy,italy,Rome,Italy,Sicily,Chamber of Deputies of Italy,Five Star Movement,Alessio,Villarosa,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Villarosa,,int_leg_handles,bdcb2255498f28a0375e400ed0aaa965,int_leg_handles__bdcb2255498f28a0375e400ed0aaa965
alexbazzaro,Italian Legislator Bazzaro,italy,italy,Rome,Italy,Veneto,Chamber of Deputies of Italy,Lega Nord,Alex,Bazzaro,Legislator,Member of the Italian Chamber of Deputies,Exec,Italian Legislator Bazzaro,,int_leg_handles,2914b2febc34c9a2c968fa2cd4e370e5,int_leg_handles__2914b2febc34c9a2c968fa2cd4e370e5
alfonsobonafede,Italian Legislator Bonafede,italy,italy,Rome,Italy,Tuscany,Chamber of Deputies of Italy,Five Star Movement,Alfonso,Bonafede,Legislator,Member of the Italian Chamber of Deputies,space,Italian Legislator Bonafede,,int_leg_handles,af99406467357dc031a2b6da40bdd7c4,int_leg_handles__af99406467357dc031a2b6da40bdd7c4
alfredobazoli,Italian Legislator Bazoli,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Democratic Party,Alfredo,Bazoli,Legislator,Member of the Italian Chamber of Deputies,DiplomaticFacilities,Italian Legislator Bazoli,,int_leg_handles,aedc37928138fc576e620e1e7807cea0,int_leg_handles__aedc37928138fc576e620e1e7807cea0
andreacaso85,Italian Legislator Caso,italy,italy,Rome,Italy,Campania,Chamber of Deputies of Italy,Five Star Movement,Andrea,Caso,Legislator,Member of the Italian Chamber of Deputies,LegislativeCommittee,Italian Legislator Caso,,int_leg_handles,0e82597cf23f449d6b6acf29fab2e59d,int_leg_handles__0e82597cf23f449d6b6acf29fab2e59d
andreacecconi84,Italian Legislator Cecconi,italy,italy,Rome,Italy,Marche,Chamber of Deputies of Italy,Associative Movement Italians Abroad,Andrea,Cecconi,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Cecconi,,int_leg_handles,6be7e2c0576228681a995da243369a70,int_leg_handles__6be7e2c0576228681a995da243369a70
andcol81,Italian Legislator Colletti,italy,italy,Rome,Italy,Abruzzo,Chamber of Deputies of Italy,Mixed Group,Andrea,Colletti,Legislator,Member of the Italian Chamber of Deputies,News,Italian Legislator Colletti,,int_leg_handles,d675b851ccd557403e9bce75d6ab64e2,int_leg_handles__d675b851ccd557403e9bce75d6ab64e2
andreacrippa10,Italian Legislator Crippa,italy,italy,Rome,Italy,Lombardy,Chamber of Deputies of Italy,Lega Nord,Andrea,Crippa,Legislator,Member of the Italian Chamber of Deputies,Exec,Italian Legislator Crippa,,int_leg_handles,d40488ed34b92459d5d426de8c10c88b,int_leg_handles__d40488ed34b92459d5d426de8c10c88b
andreademaria_,Italian Legislator Maria,italy,italy,Rome,Italy,Emilia-Romagna,Chamber of Deputies of Italy,Democratic Party,Andrea,Maria,Legislator,Member of the Italian Chamber of Deputies,LegislativeCommittee,Italian Legislator Maria,,int_leg_handles,865b87c9894bfadada038cd33d575f65,int_leg_handles__865b87c9894bfadada038cd33d575f65
delmastroandrea,Italian Legislator Delmastro,italy,italy,Rome,Italy,Piedmont,Chamber of Deputies of Italy,Brothers of Italy,Andrea,Delmastro,Legislator,Member of the Italian Chamber of Deputies,FTO,Italian Legislator Delmastro,,int_leg_handles,ca1942e923819e9a68d7d0ac9c0cdad3,int_leg_handles__ca1942e923819e9a68d7d0ac9c0cdad3
