keyword,companies,guid,caption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
comcast,Comcast,2e4b0c3f87d475be72b4f23ccfab4d2d,Comcast,space,Comcast,,internet_outage_company_mapping,2c57439101d1d9696fd1c023ae70d511,internet_outage_company_mapping__2c57439101d1d9696fd1c023ae70d511
spectrum,Spectrum,42ac53bd3004f6cf89795e112276f8b7,Spectrum,Shipping,Spectrum,,internet_outage_company_mapping,c0d49cbee3b571a77b483aaceb20270f,internet_outage_company_mapping__c0d49cbee3b571a77b483aaceb20270f
cox,Cox,396f47ec54178e3c5815ba042d1010e7,Cox Business,Exec,Cox Business,,internet_outage_company_mapping,b06217774ba090046ab75b6b6513be10,internet_outage_company_mapping__b06217774ba090046ab75b6b6513be10
coxbusiness,CoxBusiness,396f47ec54178e3c5815ba042d1010e7,Cox Business,CompanyKeyword,Cox Business,,internet_outage_company_mapping,b06217774ba090046ab75b6b6513be10,internet_outage_company_mapping__b06217774ba090046ab75b6b6513be10
atlanticbroadband,AtlanticBroadband,d1ed3a6933dfabbcb65eb2d38f62d11b,Atlantic Broadband,AAEntity,Atlantic Broadband,,internet_outage_company_mapping,fb1e5b22abffcdbeb88ff2a9aae3ab3f,internet_outage_company_mapping__fb1e5b22abffcdbeb88ff2a9aae3ab3f
consolidatedcommunications,ConsolidatedCommunications,66f503e64ec2d9f64f7b4114f655dcaa,Consolidated Communications Holdings,Legislator,Consolidated Communications Holdings,,internet_outage_company_mapping,589a6b5d09837df97d3898f69d733d40,internet_outage_company_mapping__589a6b5d09837df97d3898f69d733d40
comcastbusiness,ComcastBusiness,2e4b0c3f87d475be72b4f23ccfab4d2d,Comcast,Person,Comcast,,internet_outage_company_mapping,2c57439101d1d9696fd1c023ae70d511,internet_outage_company_mapping__2c57439101d1d9696fd1c023ae70d511
verizonfios,VerizonFiOS,5559b5eea076eae74a93a09af10cd9b7,Verizon,Shipping,Verizon,,internet_outage_company_mapping,9ef23a446a119387586d089c425f2d55,internet_outage_company_mapping__9ef23a446a119387586d089c425f2d55
att,ATT,eb4c37efac8ef073aaf6d5e9f4120e0a,AT&T,Pipeline,AT&T,,internet_outage_company_mapping,b74e69c4545cf7fc29395289f96240c2,internet_outage_company_mapping__b74e69c4545cf7fc29395289f96240c2
spectrumbusiness,SpectrumBusiness,42ac53bd3004f6cf89795e112276f8b7,Spectrum,News,Spectrum,,internet_outage_company_mapping,c0d49cbee3b571a77b483aaceb20270f,internet_outage_company_mapping__c0d49cbee3b571a77b483aaceb20270f
