keyword,threshold,topic,caption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
emergenza aeroportuale di altro genere,alert4,188128,Airport emergency prompts emergency response,LegislativeCommittee,Airport emergency prompts emergency response,,italy_fires_logic_mapping,5489118236221ba53e78fdf03316aa95,italy_fires_logic_mapping__5489118236221ba53e78fdf03316aa95
recupero aeromobile,alert5,188128,Emergency services engaged in aircraft recovery,ForeignMinister,Emergency services engaged in aircraft recovery,,italy_fires_logic_mapping,f2d6510ccf1c146f859b5f4e0e63669a,italy_fires_logic_mapping__f2d6510ccf1c146f859b5f4e0e63669a
recupero salme,alert5,188297,Emergency services engaged in recovery of corpse,Shipping,Emergency services engaged in recovery of corpse,,italy_fires_logic_mapping,032913c50dda88cfb7d0e241080c21b2,italy_fires_logic_mapping__032913c50dda88cfb7d0e241080c21b2
ascensori bloccati,alert5,188118,Emergency services respond to blocked elevator,Keyphrase,Emergency services respond to blocked elevator,,italy_fires_logic_mapping,f1639aec372ecaf12eea6d1954254a23,italy_fires_logic_mapping__f1639aec372ecaf12eea6d1954254a23
crollo parziale di elementi strutturali,alert5,188118,Emergency services respond to structure collapse,Pipeline,Emergency services respond to structure collapse,,italy_fires_logic_mapping,4e920b7f2befa75cf1297eb04b4009e2,italy_fires_logic_mapping__4e920b7f2befa75cf1297eb04b4009e2
dissesto statico di elementi costruttivi,alert5,188118,Emergency services respond to structural instability of building,Pipeline,Emergency services respond to structural instability of building,,italy_fires_logic_mapping,253b78dcb9d3c82055cceebeab8498d5,italy_fires_logic_mapping__253b78dcb9d3c82055cceebeab8498d5
esplosione da sostanza esplodente,alert4,188118,Explosion prompts emergency response,Consulates,Explosion prompts emergency response,,italy_fires_logic_mapping,8358712023e0672f5e9644fa37ecadcc,italy_fires_logic_mapping__8358712023e0672f5e9644fa37ecadcc
incendio aeromobile,alert3,"188118, 188128, 188301",Emergency services respond to aircraft fire,Keyphrase,Emergency services respond to aircraft fire,,italy_fires_logic_mapping,7ab0398eed8abb595c9458064c101a5b,italy_fires_logic_mapping__7ab0398eed8abb595c9458064c101a5b
assistenza per abbandono locali e/o ambienti,alert5,188118,Emergency services assist in evacuation,LegislativeCommittee,Emergency services assist in evacuation,,italy_fires_logic_mapping,12a8ee2e60aae761fe0d3c071da9f887,italy_fires_logic_mapping__12a8ee2e60aae761fe0d3c071da9f887
alberi pericolanti,alert5,"188118, 188130",Emergency services respond to tree hazard,AAEntity,Emergency services respond to tree hazard,,italy_fires_logic_mapping,26efeb316cd4bfb4fe6b42c1944ed656,italy_fires_logic_mapping__26efeb316cd4bfb4fe6b42c1944ed656
